"pronoun"	"verb"	"context"	"filename"
"4080"	"it"	"dies"	" In the case of cholera, a comparatively well-studied disease, Fisher said, the bacterium Vibrio cholera can live only four to seven days outside the body. ``In dead bodies, it is present in the gut only, not even on the skin unless there is moist stool on it, and once the stool dries, it dies,'' she said. ``In stool-contaminated water, a hospitable, moist environment, it lives only a maximum of seven days.'' </P> "	"nyt_eng_199409.gz"
"4127"	"it"	"dies"	" In the case of cholera, a comparatively well-studied disease, Fisher said, the bacterium Vibrio cholera can live only four to seven days outside the body. ``In dead bodies, it is present in the gut only, not even on the skin unless there is moist stool on it, and once the stool dries, it dies,'' she said. ``In stool-contaminated water, a hospitable, moist environment, it lives only a maximum of seven days.'' </P> "	"nyt_eng_199409.gz"
"8570"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"8571"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"8572"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"8675"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"8677"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"8679"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"8680"	"it"	"dies"	" ``Every time I get in contact with some EU program, it dies,'' complains Micheil Carpentier, vice-president for business development at TechGnosis, a medium-sized Belgian software firm. Most government cash ends up with established companies, particularly those working with universities. </P> "	"nyt_eng_199411.gz"
"108788"	"she"	"dies"	" ``This poor woman has three children and if she doesn't get the drugs, she dies,'' Gumbo said. ``I'm trying to find her some, but it's an impossible situation.'' </P> "	"nyt_eng_200203.gz"
"133177"	"it"	"dies"	" Although the Euro-skeptics are a motley crew that includes Scandinavian socialists and French members of a countryside rights party, whose motto is jokingly said to be, ``If it flies, it dies,'' they tend to be mostly from Europe's northern countries. These lands generally put more money into the union than they take out, as opposed to the more union-friendly Mediterranean members, net gainers from the system. The movement, such as it is, is most keenly associated with the British Conservatives. </P> "	"nyt_eng_200212.gz"
"171220"	"it"	"dies"	" Getting a sitcom in L.A. is like getting a goldfish, he explains. You get one, it dies, you flush it down the toilet and you get another one. </P> "	"nyt_eng_200609.gz"
