"pronoun"	"verb"	"context"	"filename"
"8119"	"they"	"disappeared"	" Such a universal, well-rounded perspective informs every page of A.D. 1250, which details the lives of the Sinagua traders, the Mogollon farmers, the canal-building Hohokam and the mysterious Salado people. These tribes flourished during 1250 and 1400, Cheek tells us, but just before Columbus arrived in the New World, they disappeared, leaving their impressive building sites abruptly abandoned. </P> "	"nyt_eng_199411.gz"
"36347"	"they"	"disappeared"	" In those days, if Jack or I weren't crazy about folks, they disappeared, filed under the category of people we didn't choose to see again. It wasn't until we joined the Unitarian Universalist Church years later that I noticed something different happening in our social life. </P> "	"nyt_eng_199510.gz"
"87515"	"he"	"disappeared"	" Kojima quickly became a major embarrassment to the White House. Soon after the dinner, he disappeared, as claims surfaced that he had vast business and tax debts. Several months later, he was arrested and charged with failure to pay child support. </P> "	"nyt_eng_199702.gz"
"96219"	"he"	"disappeared"	" After Almarabh was convicted on assault charges in December 2000, he disappeared, his lawyer said Wednesday, violating the terms of his six-month suspended sentence. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20010919.0403 type=story > <HEADLINE> RELIGIOUS LEADER BRINGS HIS CALLING TO GROUND ZERO </HEADLINE> <DATELINE> NEW YORK (BC-NY-SCIENTOLOGISTS-NYT) </DATELINE> <TEXT> "	"nyt_eng_200109.gz"
"100174"	"he"	"disappeared"	" His father was assigned to Trieste, to hold military trials of captured partisans, and one night in 1944, he disappeared, except in Domenig's imagination. </P> "	"nyt_eng_200111.gz"
"116491"	"they"	"disappeared"	" With the coming of the Nazis, they disappeared, carrying with them the histories of homes and communities and the recollections of parents and grandparents and uncles and aunts and brothers and sisters wiped out in the Holocaust. </P> "	"nyt_eng_200205.gz"
"134671"	"he"	"disappeared"	" A church was being built or remodeled and they wanted a spiral staircase. A passer-by came in and built the spiral staircase with no supports! When it was done, he disappeared, and other people realized nobody knew who he was. (Out-of-work mason? Good Samaritan? Angel?) </P> "	"nyt_eng_200212.gz"
"134672"	"he"	"disappeared"	" A church was being built or remodeled and they wanted a spiral staircase. A passer-by came in and built the spiral staircase with no supports! When it was done, he disappeared, and other people realized nobody knew who he was. (Out-of-work mason? Good Samaritan? Angel?) </P> "	"nyt_eng_200212.gz"
"154496"	"they"	"disappeared"	" Before World War II, bedbugs, known as Cimex lectularius, were as common as fleas in the United States. But after World War II, they disappeared, leaving behind the popular saying, don't let the bedbugs bite. </P> "	"nyt_eng_200507.gz"
"155826"	"he"	"disappeared"	" Rep. Scott Hochberg, D-Houston, the amendment's primary sponsor, said the Democratic plan would have put $2 billion more into the public schools than the Republican proposal, would have been more equitable and given homeowners more property tax relief through a higher homestead exemption. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20050727.0100 type=advis > <HEADLINE> SUNDAY-EARLY-BUDGET-NYT </HEADLINE> <TEXT> The New York Times News Service plans the following articles from the Arts &amp; Leisure and Travel sections for use Sunday, July 31, and thereafter.  If you have questions about stories, call 888-346-9867 or 212-556-1927. For questions about photos, call 888-603-1036 or 212-556-4204. This budget will be updated as needed in the SUNDAY-FINAL-BUDGET, which moves Friday before 8 p.m. EST. Sunday Financial articles are budgeted separately on Thursday, then incorporated, with updates, into Friday's final Sunday budget.  Arts &amp; Leisure articles move with an e code; Travel articles, t.  MTV-VIDEOS (Undated) -- It's hard to remember now, but there was a time when MTV was new -- an upstart with barely enough clips to fill its airtime, using I Want My MTV! commercials to urge local providers to take notice. The viewing experience was unlike any before it: almost exclusively music videos, a strange new medium of three-minute units and an uncharted arena of artistic and commercial opportunities. Back then, the venue and the content seemed so perfectly suited that it was hard to imagine one without the other. Today the video and MTV have gone their separate ways. Even MTV2, the little-sister channel once devoted solely to videos, has begun a switch to original programming. But rather than shrivel away, videos have taken on an exciting if uncertain life of their own, far away from the mother ship that launched them. They thrive at online music sites, they're sold in record stores, they connect strangers across the Internet. And just this month, speculation was rampant that they might soon be coming to iPods. By Jon Caramanica.  ESPN-SMITH (New York) -- If you're a sports fan -- more specifically, a basketball fan -- you may already find it hard to avoid Stephen A. Smith. He is the emerging face of hoops talk at ESPN, a fierce, confident, at times bombastic presence whose brash, clamorous style not only punctuates his reporting and analysis but sometimes eclipses them. In less than two years at the sports media empire, the lean, goateed Smith has become one of its best-known personalities, and arguably its most renowned African-American. A cheeky attitude has already earned him Smith regular spots on SportsCenter, an analyst's seat on three NBA programs, appearances on ESPN2's Cold Pizza and a daily ESPN Radio program. Now, Smith's posture has prompted ESPN to make him the star of a nightly one-hour talk show on ESPN2, Quite Frankly (named for one of his often-repeated phrases). By Richard Sandomir.  CINDERELLA-CITY-ARCHITECTURE (New York) -- For comic book fans, the fictional cities of Metropolis and Gotham, home to Superman and Batman, feel as real as New York, the inspiration for both. Now there is another city to add to their dreamscape: the Cinderella City, the setting for the comic book series Manhattan Guardian. As the title indicates, Cinderella City is unmistakably New York, but it is a New York that is at once more true to life and more fantastical than that of any other comic book tribute. Much of it looks like the New York of today: grimy subway stations, soaring buildings, busy street scenes. But Grant Morrison, the Scottish writer who created the Manhattan Guardian as part of the larger Seven Soldiers series, also laced it with architectural marvels that were proposed but never actually constructed. By Alexandra Starr.  Theater  LENNON-THEATER (New York) -- For Don Scardino, the idea of writing and directing a musical about John Lennon was impossible to resist, even though the pitfalls of undertaking the project could not have been clearer. A Beatles fan since the group's earliest hits -- now 57, he said he hightailed it to Kennedy Airport to see the group's arrival here on its first visit in 1964 -- he caught both Beatles concerts at Shea Stadium, in 1965 and 1966, and still quotes lines from A Hard Day's Night and Help! from memory. Scardino, whose Lennon has been running in previews here for three weeks, also knew that the medium itself might seem suspect to many of Lennon's fans. The wave of the rock revolution that the Beatles led, after all, swept musical theater hits off the pop charts (permanently, with the exception of rock-oriented shows like Hair) and made musical theater seem decidedly uncool. How could a musical theater work do justice to Lennon, the sharp-tongued rock star who, during the Beatles years and for a while beyond them, defined counterculture hipness? By Allan Kozinn.  Film  DOGS-FILM-SPIRO (Undated) -- The incandescent Diane Lane and the appealing John Cusack are the stars, playing mopey singles stepping warily back into circulation after painful divorces. The supporting cast, an ensemble of scene stealers, includes Christopher Plummer and Stockard Channing. And as the title, Must Love Dogs, suggests, several adorable pooches figure in as well. But when Jordana Spiro, as Sherry, bounces into a party scene to flirt briefly with Cusack's character, Jake, she might as well be in the movie by herself. With her come-hither hair, Goldie Hawn lips and solemnly empty-headed gaze, Spiro nails the dumb-blonde stereotype with a mere six lines of dialogue. When Sylviane Gold called her in Los Angeles, where she is working on what she said was a pretty twisted indie called Alone With Her, Spiro sounded friendly and focused and in no way dumb. An interview, in Q&amp;A form.  PEARL-FILMS (Undated) -- Of the many stories born of our encounters with terror in the last four years, few have had the obvious narrative power of Daniel Pearl's. The Wall Street Journal reporter -- relentlessly inquisitive, a bit poetic and, not incidentally, a Jew -- landed in Pakistan following the U.S. invasion of Afghanistan, determined to find and report on some of the religious extremists in the region. In January of 2002, he disappeared, leaving his pregnant spouse to mount a search that spiraled toward a hideous endpoint: the videotape of his throat being slit by Islamic militants. Inevitably, Hollywood was drawn to the drama. In October 2003, Warner Bros. agreed to pay more than $500,000 for film rights to a book on Pearl by his widow. Warner's Pearl project survived a jolt when its producers at a company called Plan B went through multiple separations. Two partners, Brad Pitt and Jennifer Aniston, broke up their marriage, while a third, Brad Grey, took a day job as head of Paramount Pictures. Meanwhile, a competing project entered the picture when Beacon Communications teamed with the veteran filmmakers Edward Zwick and Marshall Herskovitz and the producer Charlie Lyons in buying film rights to a conversational detective story about Pearl written by the philosopher Bernard-Henri Levy. By Christian Moerk.  Art and Architecture  FRICK-COLLECTION (New York) -- With its selection of revered old master paintings and imposing Gilded Age decor, the Frick Collection is set in its ways. And visitors apparently like it that way. People were so startled by improved lighting in the galleries a few years ago that they worried that all the paintings had been cleaned. When a never-before-displayed portrait bust quietly took up residence next to Jacques-Louis David's well-known oil portrait of the Comtesse Daru last fall, it was a potential earthquake in the making. This leaves Anne L. Poulet with a tricky challenge. Since becoming the director of the collection, started a century ago by the coke-and-steel baron Henry Clay Frick, she has been trying to change the unchangeable -- in a way that nobody will notice. By Hugh Eakin.  Bestseller Lists  BESTSELLERS-HARD-L (Undated) -- Best-selling hardbacks, long-form list.  BESTSELLERS-HARD-S (Undated) -- Best-selling hardbacks, short-form list.  BESTSELLERS-PAPER-L (Undated) -- Best-selling paperbacks, long-form list.  BESTSELLERS-PAPER-S (Undated) -- Best-selling paperbacks, short-form list.  BESTSELLERS-CHILDREN (Undated) -- Best-selling children's books.  NOTEWORTHY-PAPERBACKS (Undated) -- Short summaries of other paperbacks.  ON-LANGUAGE (Undated) -- The weekly language column. By William Safire.  Editors, this column moves on the Monday or Tuesday before publication.  TRAVEL (t code)  TRAVEL-ST-TROPEZ (Undated) -- This just in: Don't look for St.-Tropez in the obituaries anytime soon. Summer after summer, year after year, the former Roman colony whose name has become a byword for sun-soaked shores and Champagne-soaked revelry swells with the pleasure seekers, the rich, the superrich and the flesh-and-blood incarnations of characters usually seen on magazine covers and shareholder reports. The ritual is as regular and irrepressible as the Cote d'Azur tides themselves: The yachts barrel in, the Ferraris roll up, the paparazzi take up position, the vacationers gape and wave. By Seth Sherwood.  With  TRAVEL-ST-TROPEZ-VILLAGE (Undated) -- Champagne showers and showy boats notwithstanding, one of the most enduring -- and false -- legends about St.-Tropez is that it is a gated Olympus where mortals rarely tread. While it does have its share of Big Names, a second St.-Tropez lurks among the sports cars and screen stars, hidden in plain sight. St.-Tropez is of course very mythic for the wealthy who come here to party, says Tonya Kinzinger. But it's also an old fisherman's town and very authentic. You have a relationship with the people where you buy your bread. By Seth Sherwood.  TRAVEL-DISNEY (Undated) -- As Disney marks the 50th birthday of its first theme park -- Disneyland in California -- with a company-wide 18-month celebration that began in May, it is facing great scrutiny, particularly when it comes to Walt Disney World -- a 30,000-plus-acre complex in Florida that comprises four theme parks and more than 20 resorts and that attracted 40.5 million visitors in 2004. Much of the focus stems from the recent corporate shakeup that ended with the decision by Michael D. Eisner, the longtime chief executive, to resign effective this September. At the heart of the drama is the question of whether Disney has put profits ahead of the need to deliver the celebrated Disney magic, especially at the parks and resorts. By Charles Passy.  TRAVEL-SLOVENIA (Undated) -- In Ljubljana, Slovenia's capital city, Old Europe still provides a tasteful, functional backdrop for a cool, microchip New Europe. By Alex Creaver.  TRAVEL-TORONTO (Undated) -- When it comes to trendy neighborhoods, Toronto's east end has traditionally lagged behind more westerly hot spots such as Queen Street West or College Street's Little Italy. Now, however, Queen Street East is the new Queen Street West, with the formerly industrial stretch known as Leslieville emerging as Toronto's hippest place to dine, drink, shop and live. By Susan Catto.  Regular Features  FRUGAL-NEWPORT (Undated) -- A weekend for two in Newport, R.I., for $500. By Matt Gross.  PRACTICAL-TRAVELER (Undated) -- If last summer's tempests weren't a powerful enough reminder of the risks of traveling during hurricane season, this year's early string of violent storms should do the job. Between Dennis and Emily, and the National Weather Service's grim prediction of seven to nine hurricanes this season, the odds of a tropical getaway turning into a brush with disaster seem stacked against the traveler. With the Caribbean and Florida now fully established as year-round destinations, travel industry officials have a new mantra for storm-dodging travelers: Be prepared. By Beth Greenfield.  TRAVEL-BARGAINS (Undated) -- On the lookout for travel deals and discounts. By Pamela Noel.  (Editors: Budgets and advisories are internal documents not for publication or redistribution outside of client news organizations. Unauthorized use of budgets and advisories constitutes a violation of our contract terms. All clients receive all budgets, but only full-service clients receive all stories. Please check your level of service to determine which stories you will receive.) </TEXT> </DOC> <DOC id=NYT_ENG_20050727.0101 type=story > <HEADLINE> GREETINGS-NYT </HEADLINE> <TEXT> "	"nyt_eng_200507.gz"
