"pronoun"	"verb"	"context"	"filename"
"1295"	"he"	"discovered"	" There's a world of difference between ``all'' and ``most.'' From the start, President Clinton's mantra has been health coverage for ``every American.'' But those, he discovered, were fighting words; the perfect world he envisioned simply hit too many political potholes. </P> "	"nyt_eng_199407.gz"
"2861"	"he"	"discovered"	" Hamilton, he discovered, isn't nearly the end of the world that it appears. It may be, as Rosenbach suggested to the Ti-Cat fan, just the long way around. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940816.0130 type=story > <HEADLINE> THE JOY OF NOODLES: AN AMERICAN SOBA MASTER IN JAPAN </HEADLINE> <DATELINE> TOKYO  (BC-SOBA-MASTER-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"2869"	"he"	"discovered"	" Hamilton, he discovered, isn't nearly the end of the world that it appears. It may be, as Rosenbach suggested to the Ti-Cat fan, just the long way around. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940816.0174 type=story > <HEADLINE> NEED FOR CAR REPAIR MONEY INSPIRES OPERA SINGER </HEADLINE> <DATELINE> SAN FRANCISCO  (BC-SALTER-COLUMN-HNS) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"3724"	"we"	"discovered"	" Then one day a small gray male kitten showed up in our yard and despite my misgivings we added him to the family, too. This new kitten unfortunately didn't know a litter box from the living room sofa, and pretty soon, we discovered, both cats were urinating between the couch cushions. At this point, they instantly became ``outside'' cats, still enjoying our love and protection but now living on the patio. </P> "	"nyt_eng_199408.gz"
"3727"	"we"	"discovered"	" Then one day a small gray male kitten showed up in our yard and despite my misgivings we added him to the family, too. This new kitten unfortunately didn't know a litter box from the living room sofa, and pretty soon, we discovered, both cats were urinating between the couch cushions. At this point, they instantly became ``outside'' cats, still enjoying our love and protection but now living on the patio. </P> "	"nyt_eng_199408.gz"
"5952"	"we"	"discovered"	" What it takes, we discovered, is to just get here, a 200-mile drive from San Francisco and then an early wakeup. In return, you have a chance for a blind date with Godzilla. </P> "	"nyt_eng_199410.gz"
"14606"	"they"	"discovered"	" Redesigning an island, they discovered, involves things you don't learn by creating new interfaces for the Internet. </P> "	"nyt_eng_199502.gz"
"21102"	"they"	"discovered"	" When the community's efforts are met by apathy and police harassment, Seale and Newton form the Black Panther Party, challenge white police authority with armed patrols (which, they discovered, was perfectly legal under Caliornia law of the time) and, in May of 1967, enter the State Assembly to protest its efforts to pass a gun control law _ thereby capturing national headlines and the wrath of J. Edgar Hoover. </P> "	"nyt_eng_199505.gz"
"27861"	"he"	"discovered"	" ``Oswald saw himself as a great man,'' Mailer explained. ``He was going to change the world, and in that new world, he would be this huge leader. But even in Russia, he discovered, no one appreciated him like he felt he should be appreciated.'' </P> "	"nyt_eng_199507.gz"
"27962"	"he"	"discovered"	" ``Oswald saw himself as a great man,'' Mailer explained. ``He was going to change the world, and in that new world, he would be this huge leader. But even in Russia, he discovered, no one appreciated him like he felt he should be appreciated.'' </P> "	"nyt_eng_199507.gz"
"29971"	"I"	"discovered"	" I had already hired four Acadian wallpaper hangers to help me complete the conversion. They were the only workmen I could hire in mid-July. Mid-July, I discovered, is not an ideal time to put in a pool. All bona-fide pool contractors were booked; being as bankable as movie stars, they plan seasons in advance. And pool contractors, too, seek out the right ``vehicle'' for their talents. </P> "	"nyt_eng_199508.gz"
"31068"	"they"	"discovered"	" His doctors at Baylor University Medical Center revealed Sunday that they had known even during Mantle's June 8 liver transplant that his outlook was at best uncertain. The cancer from his liver had already spread around his bile ducts, they discovered, and from there probably elsewhere. </P> "	"nyt_eng_199508.gz"
"31331"	"I"	"discovered"	" My wife, the Scot, was so happy during a recent visit to a small gathering in Blandford (a town about 20 miles west of Springfield founded by Scots) that's she's ready to pack up and head for Glasgow (which just happens to now have direct flights _ via New York _ from Boston on British Airways). There are, I discovered, more than 60 such festivals throughout the United States. </P> "	"nyt_eng_199508.gz"
"31417"	"she"	"discovered"	" In her mother's high school yearbook, she discovered, Richard See had written her a note, describing himself as ``God's gift to the children of broken homes.'' </P> "	"nyt_eng_199508.gz"
"35611"	"he"	"discovered"	" He also stays grounded by that belief that anything can change the course of a life. In 1970, he discovered, by a strange coincidence, that his grandmother Anna Auster had murdered his grandfather Harry Auster. The two had fought about money and an affair he was having, and in 1919, she shot him in Kenosha, Wis. She was later acquitted by reason of temporary emotional insanity. </P> "	"nyt_eng_199510.gz"
"36125"	"he"	"discovered"	" The drab, ultra-secretive war front at Bletchley, he discovered, had as many as 6,000 employees in 1943, but the elite comprised an eccentric band of British and foreign refugee intellectuals, aided by young women carefully picked from upper-class British families. </P> "	"nyt_eng_199510.gz"
"36178"	"he"	"discovered"	" The drab, ultra-secretive war front at Bletchley, he discovered, had as many as 6,000 employees in 1943, but the elite comprised an eccentric band of British and foreign refugee intellectuals, aided by young women carefully picked from upper-class British families. </P> "	"nyt_eng_199510.gz"
"40436"	"I"	"discovered"	" The tour over, I pulled out my map again, finally beginning to project hillsides onto that flat plane of streets. It was only three blocks to the cable car line, according to the map. It was uphill, I discovered, really uphill. I climbed and I climbed, and as I leaned against a signpost at the top, trying to catch my breath, I saw that the sign read: ``This is not a cable car stop.'' </P> "	"nyt_eng_199511.gz"
"40518"	"we"	"discovered"	" There are many differences, we discovered, between a five-day bike tour in Europe and a five-day stint at a Florida golf school, but perhaps the most telling one is this: </P> "	"nyt_eng_199511.gz"
"40519"	"we"	"discovered"	" Golf, we discovered, is serious business. </P> "	"nyt_eng_199511.gz"
"43437"	"I"	"discovered"	" So this, I discovered, is what ``the real spirit of Christmas'' has come to in America 1995. No wonder Kathie Lee is prayerful. Thanks to this TV show, the Giffords will be able to write off their entire house, their tree, their Christmas gifts, their ski passes and no doubt their kids' orthodontia as business expenses on their tax returns. </P> "	"nyt_eng_199512.gz"
"46436"	"we"	"discovered"	" We told each other our secrets, and they're bigger secrets than our latest crush. Unlike most group discussions, nothing was off limits. We talked about cosmetic surgery and we asked to see the scars. We talked about lovers and we named names. We talked, and laughed, about the art of faking an orgasm. We agreed that after all our earlier confusion and concern about men, it turns out they are not nearly as complex as we thought. Nor are they as complicated as we are. We all wasted an inordinate amount of time, we discovered, trying to talk feelings with them when all most of them wanted to talk was football. </P> "	"nyt_eng_199601.gz"
"47815"	"I"	"discovered"	" Different pills, I discovered, produced different results. There was a pill, for example, that made the hands icy cold. It was fun to see the shock on the faces of strangers when I gave them this hand in a limp handshake. </P> "	"nyt_eng_199602.gz"
"47869"	"I"	"discovered"	" Different pills, I discovered, produced different results. There was a pill, for example, that made the hands icy cold. It was fun to see the shock on the faces of strangers when I gave them this hand in a limp handshake. </P> "	"nyt_eng_199602.gz"
