"pronoun"	"verb"	"context"	"filename"
"1182"	"I"	"do"	" ``I just go around and see if I can find any bargains. Naturally, I do,'' she says. </P> "	"nyt_eng_199407.gz"
"1541"	"I"	"do"	" Now, vine-covered latticework and found pieces of sculpture decorate the surrounding walls. A stone-encircled pond is home to papyrus, water lettuce and goldfish. Old-fashioned roses herald early summer (``my mother raised Cecile Brunner; now, I do, too''). And scores of flowers -- among them columbine, lilies, Chinese lanterns, climbing hydrangea and astilbe -- insure a mosaic of seasonal color in a verdant English ivy carpet. </P> "	"nyt_eng_199407.gz"
"2072"	"they"	"do"	" While the new exhibits do not support the U.S. decision to bomb Hiroshima, they do, for the first time, lay out for the Japanese the choices facing President Harry Truman. </P> "	"nyt_eng_199408.gz"
"3462"	"they"	"do"	" Reischauer was a widower, and much is made of his children's reluctance to accept his new wife. Eventually, of course, they do, but only after she struggles to make a family Thanksgiving dinner and goes into private anguish because she failed to replicate the first wife's zucchini bread. </P> "	"nyt_eng_199408.gz"
"4573"	"you"	"do"	" ``Well, if you do, you do,'' Cisneros responded. </P> "	"nyt_eng_199409.gz"
"4574"	"you"	"do"	" ``Well, if you do, you do,'' Cisneros responded. </P> "	"nyt_eng_199409.gz"
"7209"	"they"	"do"	" After retirement, Wiesner remained an outspoken critic of the nuclear arms race. ``If the United States doubles the number of nuclear weapons and delivery systems, the USSR does the same,'' he said in an interview in 1981. ``If we develop a new weapon, they do, too. </P> "	"nyt_eng_199410.gz"
"7210"	"they"	"do"	" After retirement, Wiesner remained an outspoken critic of the nuclear arms race. ``If the United States doubles the number of nuclear weapons and delivery systems, the USSR does the same,'' he said in an interview in 1981. ``If we develop a new weapon, they do, too. </P> "	"nyt_eng_199410.gz"
"7530"	"they"	"do"	" As good as the Detroit Pistons were in the late 1980s, they never had a player who played above the rim -- someone who could utterly scatter people on a dunk. Now, they do, in rookie Grant Hill. </P> "	"nyt_eng_199410.gz"
"10054"	"I"	"do"	" ``Yeah, I do, because it's there every day and, to be honest with you, I couldn't say I'm a hundred percent because I'm not,'' Marino said. ``It just has to do with the way my leg has come from camp and the operation. I just don't think it's recovered the way it should. </P> "	"nyt_eng_199412.gz"
"11036"	"you"	"do"	" Despite their defiance, the people of Grozny are generous. If they have a loaf of bread, you do, too. If their cars have gas, you have a ride. Although one would think this would be a time for Russian residents to fear the wrath of their neighbors, there has been not a single report of attacks on Russian residents by a Chechen national. </P> "	"nyt_eng_199412.gz"
"11097"	"you"	"do"	" Despite their defiance, the people of Grozny are generous. If they have a loaf of bread, you do, too. If their cars have gas, you have a ride. Although one would think this would be a time for Russian residents to fear the wrath of their neighbors, there has been not a single report of attacks on Russian residents by a Chechen national. </P> "	"nyt_eng_199412.gz"
"14114"	"I"	"do"	" ``Yes, I do,'' McCarthy said. </P> "	"nyt_eng_199502.gz"
"15860"	"they"	"do"	" Yes, they do, and mostly to the Celtics. </P> "	"nyt_eng_199503.gz"
"17480"	"we"	"do"	" ``Yeah, we do,'' Auriemma said. ``But we've still got to play our way into it. Unless Alabama decides that they don't want to play tomorrow, I don't think they're going to roll over. Their slogan is `Roll Tide Roll,' it's not `Roll Over.' '' </P> "	"nyt_eng_199503.gz"
"18306"	"we"	"do"	" ``It's gratifying to work on a show where you can pretty much do anything you want. Believe me, we do,'' said writer Markowitz. </P> "	"nyt_eng_199503.gz"
"19331"	"I"	"do"	" ``Yes, I do,'' he answers, adding that he has never put that opinion in print. ``I think that a person who was not guilty would not have allowed the handcuffs to go on his wrists that easily. Where was his sense of outrage? Where was the `How dare you!' That didn't exist. </P> "	"nyt_eng_199504.gz"
"19860"	"we"	"do"	" Do we need to be tough on crime? Of course, we do, but we don't need to repeal the commitment to 100,000 police officers or the assault-weapons ban. </P> "	"nyt_eng_199504.gz"
"20111"	"they"	"do"	" Modern cussers are always trying to impress you with how brutal, vulgar, slobbish, tough, tough, tough they are. Put you to sleep, they do, with those same old four, five tiresome old four-letter jobs that once had real zing power, now just make eyes go glassy. Want to talk tedium? Cuss bores is all we've got left. Maybe cuss boors. </P> "	"nyt_eng_199504.gz"
"20162"	"we"	"do"	" ``If there's any team in the NFL, in my view, that has the ability to pick the best player available, we do,'' Jones said. ``We really feel that the core of our team is in place, and what we're looking for are people that can come in here and play backup roles and special teams and that may some day be a starter.'' </P> "	"nyt_eng_199504.gz"
"24064"	"they"	"do"	" Do some people believe the NBA nudges, if not actually places, the teams it prefers in its showcase events? Yes, they do, and all the more so when their team doesn't get the end-of-the-game call. </P> "	"nyt_eng_199506.gz"
"24659"	"you"	"do"	" Still, though it's often not worthwhile to spend lavishly on legal advice, you do, as a rule, have to spend. A small job like a simple will ordinarily requires a small, one-shot payment, probably less than $1,000. Almost anything else requires at least that much for a retainer. </P> "	"nyt_eng_199506.gz"
"24824"	"you"	"do"	" Still, though it's often not worthwhile to spend lavishly on legal advice, you do, as a rule, have to spend. A small job like a simple will ordinarily requires a small, one-shot payment, probably less than $1,000. Almost anything else requires at least that much for a retainer. </P> "	"nyt_eng_199506.gz"
"26513"	"I"	"do"	" ``Well, yes, of course it does. But I'm too old a hand to lose any sleep over it. Do they realize I made over 20 films? I don't really care that much. Well, I do, but I don't. You know what I mean? It upsets me but I say, So what else is new?'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950627.0313 type=story > <HEADLINE> PREVENTING BIRTH DEFECTS EVEN BEFORE PREGNANCY </HEADLINE> <DATELINE>  (BC-BRODY-HEALTH-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"28053"	"they"	"do"	" ``Yeah, they do,'' he replied, ``but this was a religion class and the test was about the Ten Commandments.'' (BULLET) </P> "	"nyt_eng_199507.gz"
"28211"	"we"	"do"	" ``Do we have security? Yes, we do,'' Kennedy said. ``Kevin Hallinan (head of Major League security) has talked to the club about security when the season started. He talked about the dangers out there. It's getting more and more magnified STORY IN </P> "	"nyt_eng_199507.gz"
"29137"	"I"	"do"	" ``In a way, I do,'' Boxer finally said, using the Packwood case to illustrate her point. ``Because I think that this is a no-brainer. ... Why is there so much agitation when all I'm asking for and the women are asking for, is fair treatment? So I have to answer that in the affirmative.'' </P> "	"nyt_eng_199507.gz"
"29173"	"I"	"do"	" ``In a way, I do,'' Boxer finally said, using the Packwood case to illustrate her point. ``Because I think that this is a no-brainer. ... Why is there so much agitation when all I'm asking for and the women are asking for, is fair treatment? So I have to answer that in the affirmative.'' </P> "	"nyt_eng_199507.gz"
