"pronoun"	"verb"	"context"	"filename"
"5480"	"it"	"doesn't"	" ``As to the general question of `if you take money does that taint your research,' the institution says no, it doesn't, because every drug in everybody's medicine cabinet has been researched in that fashion,'' Gibbons said. </P> "	"nyt_eng_199409.gz"
"5484"	"it"	"doesn't"	" ``As to the general question of `if you take money does that taint your research,' the institution says no, it doesn't, because every drug in everybody's medicine cabinet has been researched in that fashion,'' Gibbons said. </P> "	"nyt_eng_199409.gz"
"13189"	"it"	"doesn't"	" And those questions at the beginning -- even for a miserable $10 billion, sworn testimony would be nice. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950126.0302 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> ``You can keep grubs for icefishing warm and pliable by putting them in a small pill bottle and keeping it inside a shirt pocket, close to your body's warmth.''   -- Winter tip from Sports Afield magazine.   The conservative newsletter Dispatches joins right-wingers who want to do away with public television, on the ground that the network has turned away from inspirational lifestyle dramas:   ``Do those who still think they can't live without `Masterpiece Theatre' realize it has been the vehicle for shrill liberal dramas for the past decade,'' asks   ``When I'm a little angry or have a little too much stress, I have a little trick. I sit down, take some deep breaths and I think of Mount St. Helens.''   In their new book, ``The Power of Style'' (Crown; $40),   Among their accomplishments:   -- Socialite   -- In 1925, the American   -- The Paris bathroom in the apartment of   -- The   -- Upon learning that the fashion house of Balenciaga had closed,   They're plugged into the computer age at the always-happening Spin, which has established Spin On-Line for readers to get in touch with the magazine and each other.   Inside Media reports that at 3 a.m. one morning, associate publisher   ``Spin sucks,'' said one participant. ``No, it doesn't,'' said the other. ``Spin's cool.''   Thus, the debate raged on, reports Inside Media, ``in Beavis/Butt-head fashion,'' until Rheins had had all he could stand.   ``Why don't you guys get a life and go to bed?'' he typed in.   ``This is the only incident,'' says the magazine, ``in which users were asked to leave the room.''   -- Among the questions on the 1995 Details magazine sex survey -- answers due by February 6, you slackers -- are ``Who is   -- Pampered Pooch Productions is selling the ``Pooch Sack,'' an eight-pound disaster survival kit packed in a nylon pouch your dog can wear strapped to his middle. The sack, which costs $59 plus shipping and handling, contains food and water for three days, a bowl to serve it and a first aid kit. More information is available at (800) 4BOWWOW.  </TEXT> </DOC> <DOC id=NYT_ENG_19950126.0303 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> ``You can keep grubs for icefishing warm and pliable by putting them in a small pill bottle and keeping it inside a shirt pocket, close to your body's warmth.''   -- Winter tip from Sports Afield magazine.   The conservative newsletter Dispatches joins right-wingers who want to do away with public television, on the ground that the network has turned away from inspirational lifestyle dramas:   ``Do those who still think they can't live without `Masterpiece Theatre' realize it has been the vehicle for shrill liberal dramas for the past decade,'' asks   ``When I'm a little angry or have a little too much stress, I have a little trick. I sit down, take some deep breaths and I think of Mount St. Helens.''   In their new book, ``The Power of Style'' (Crown; $40),   Among their accomplishments:   -- Socialite   -- In 1925, the American   -- The Paris bathroom in the apartment of   -- The   -- Upon learning that the fashion house of Balenciaga had closed,   They're plugged into the computer age at the always-happening Spin, which has established Spin On-Line for readers to get in touch with the magazine and each other.   Inside Media reports that at 3 a.m. one morning, associate publisher   ``Spin sucks,'' said one participant. ``No, it doesn't,'' said the other. ``Spin's cool.''   Thus, the debate raged on, reports Inside Media, ``in Beavis/Butt-head fashion,'' until Rheins had had all he could stand.   ``Why don't you guys get a life and go to bed?'' he typed in.   ``This is the only incident,'' says the magazine, ``in which users were asked to leave the room.''   -- Among the questions on the 1995 Details magazine sex survey -- answers due by February 6, you slackers -- are ``Who is   -- Pampered Pooch Productions is selling the ``Pooch Sack,'' an eight-pound disaster survival kit packed in a nylon pouch your dog can wear strapped to his middle. The sack, which costs $59 plus shipping and handling, contains food and water for three days, a bowl to serve it and a first aid kit. More information is available at (800) 4BOWWOW.  </TEXT> </DOC> <DOC id=NYT_ENG_19950126.0304 type=story > <HEADLINE> DEION SANDERS REMEMBERED AS `A LITTLE SKINNY KID' </HEADLINE> <DATELINE> NORTH FORT MYERS, Fla.  (BC-SUPERBOWL-SANDERS-BOS) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"15691"	"it"	"doesn't"	" ``Well, it doesn't,'' she purrs as she systematically removes huge hunks of hair from her head. ``I have skimpy hair but with these miraculous hair extenders...'' pause for dramatic effect as she removes first one then another switch of hair attached to some snaggle-toothed contraption that looks like it came from a James Bond movie. </P> "	"nyt_eng_199502.gz"
"19661"	"it"	"doesn't"	" ``No, it doesn't,'' Jones said. ``People don't remember rookies of the year and all that. They remember what you did on the court. Some people win Rookie of the Year, then don't make the playoffs their whole career. </P> "	"nyt_eng_199504.gz"
"45145"	"she"	"doesn't"	" ``No, she doesn't,'' replied Barnum. </P> "	"nyt_eng_199601.gz"
"54180"	"it"	"doesn't"	" We see death on television more often than we would like. But there are restrictions. A robber who bursts into a convenience store and shoots a clerk dead makes the store's video camera. Whether it makes the local news is up to a station's news director. Usually, it doesn't, because it is deemed gratuitous and serves no purpose except to appeal to a lurid fascination with death. </P> "	"nyt_eng_199604.gz"
"56773"	"it"	"doesn't"	" Does its recent history matter? ``If something is great, it doesn't,'' said Robert Monk, head of Sotheby's contemporary art department in New York. </P> "	"nyt_eng_199604.gz"
"71747"	"it"	"doesn't"	" Kertzman says Job 1 is convincing customers that Sybase is here to stay, no easy task with Oracle and Informix salesmen and saleswomen out banging that drum every day. He says he's looking for more ways to cut expenses, though the big job cuts are probably done. He notes he's sold his company before and would do it again if it seems the right way to go; for now, it doesn't, he says. </P> "	"nyt_eng_199609.gz"
"92593"	"it"	"doesn't"	" The screen is full of flying objects. Unfortunately, these include the actors, who are lumbered with Luhrmann's frantic hope that pandemonium might somehow pass for passion, which, of course, it doesn't, a truth all too glumly apparent in the attractive but arid presence of the star around whom the spectacle is built, Nicole Kidman. </P> "	"nyt_eng_200106.gz"
