"pronoun"	"verb"	"context"	"filename"
"2518"	"you"	"don't"	" ``No, you don't,'' Groom says with a smile. ``Whatever it is, I didn't do it. And if I did do it, I was crazy when I did it.'' </P> "	"nyt_eng_199408.gz"
"4053"	"you"	"don't"	" ``He goes, `Roger, why me?' and I said, `Better me than you. I need it, you don't,' '' said Smith, a Bahamian Davis Cup mainstay who hadn't even qualified or the U.S. Open's main draw since 1988. </P> "	"nyt_eng_199409.gz"
"5811"	"they"	"don't"	" ``He's the former president of the United States, he's a big deal,'' Halldin said. But unlike his brother, Prescott Bush actually lives in Connecticut, Halldin added. ``We got a vote, they don't,'' he said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941001.0081 type=story > <HEADLINE> PHAIL HIRED TO LEAD CUBS TO OCTOBER </HEADLINE> <DATELINE>  (BC-BBO-BASEBALL-NOTEBOOK-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"7029"	"you"	"don't"	" ``No, you don't,'' Oates corrects. ``He's 7 for 11 off you with three home runs.'' </P> "	"nyt_eng_199410.gz"
"8448"	"I"	"don't"	" Brown was asked if he agreed with Reeves' remarks that the quarterback can learn by taking a step back and watching from the sideline. ``No, I don't,'' Brown said. ``I guess maybe that's because I want to play. All I can say is that he makes the decisions and I live by them, and that's the way it goes.'' </P> "	"nyt_eng_199411.gz"
"8722"	"I"	"don't"	" The incident happened in Manhattan, Kan., where Hanks was born. Soon after his father's death, his family moved to Dallas. ``My older brothers and sisters remember him but, of course, I don't,'' Hanks said. ``I used to get real bitter about it. But really, I can't blame him for what was lost.'' </P> "	"nyt_eng_199411.gz"
"9934"	"we"	"don't"	" ``Medical coverage has gotten so expensive and with the new accounting rules, companies are thinking real hard about do they really want to promise lifetime benefits, and most have said, `No, we don't,''' says Jack Findley, an actuary at William M. Mercer Inc. in Houston, an employee benefits consulting firm. </P> "	"nyt_eng_199412.gz"
"10896"	"I"	"don't"	" ``No, I don't,'' Otto said. ``I only did my job.'' Transit officials refused to let him talk more about the incident until he is debriefed. </P> "	"nyt_eng_199412.gz"
"12308"	"I"	"don't"	" More than a minute after the collision, the TWA pilots asked the control tower if its saw any fire or smoke around the aircraft. ``No sir, I don't,'' a controller responded, adding, ``He was supposed to be on runway 31. I did not see the aircraft on that runway.'' </P> "	"nyt_eng_199501.gz"
"15710"	"I"	"don't"	" ``I used to feel nervous when I talked to people. Now, I don't,'' he said. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950228.0210 type=story > <HEADLINE> ANTITRUST OFFICIAL CITES PLAN TO EASE LONG-DISTANCE CURBS ON BABY BELLS </HEADLINE> <DATELINE> WASHINGTON  (BC-BABY-BELLS-295&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199502.gz"
"21982"	"you"	"don't"	" No, you don't, somebody tells her. You don't talk too much. Not about this. Not at all. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950511.0496 type=story > <HEADLINE> ESPN ENTERS CYBERSPACE GALAXY </HEADLINE> <DATELINE>  (BC-GEN-COLUMN-MEDIA-LADN) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"26848"	"they"	"don't"	" ``That's easy, we just stuff 'em,'' Bogart says. ``That's why we have the push-up pads. If they don't have to do the taping, they don't, because it hurts.'' </P> "	"nyt_eng_199506.gz"
"28728"	"I"	"don't"	" ``Some days I feel good. A lot of days, I don't,'' he said. ``When I tell them something, I hope they believe me, know what I mean? When I tell people something is bothering me, I'm not bulls----ing.'' </P> "	"nyt_eng_199507.gz"
"34484"	"I"	"don't"	" ``I don't know; straight up, I don't,'' he says. ``It's a disease, I guess, depression that's unexplainable. Believe me, I wish I was one of those people who's happy most of the time or deals with situations well, but I'm not. I'm not losing the battle or giving up. I'm perhaps writing these songs as therapy. People say, `How can this kid be depressed when he's got this and this?' But all that doesn't matter when you're suffering.'' </P> "	"nyt_eng_199509.gz"
"35620"	"I"	"don't"	" ``No, I don't,'' she replied, and added, ``All eligible bachelors will have to pass through my family first, and that's a pretty rigid selection process.'' She said with a laugh that the only way there could be romance in her immediate future would be ``only if money can buy love.'' And just in case anyone were to think of making a pitch, ``I'm not answering my phone.'' </P> "	"nyt_eng_199510.gz"
"37134"	"we"	"don't"	" So what else is new? Only one thing, really. Back then we, the white majority, were willing to recognize that we were part of the problem, the great American problem, and were responsible as a community to try to do something about these things. Now we, feeling righteously that we tried for a while, think it is ``their'' problem, ``their'' fault -- and, as a nation or a government, we don't, in good conscience, intend to do much if anything about it except to put down disorder when it crosses from ghettos to better neighborhoods. </P> "	"nyt_eng_199510.gz"
"45709"	"we"	"don't"	" ``No, we don't,'' Noel protests, and the shouting match begins anew. </P> "	"nyt_eng_199601.gz"
"46315"	"I"	"don't"	" I smiled. No, I don't, actually. But I will. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960123.0367 type=story > <HEADLINE> HOW MUCH CHARDONNAY IS IN YOUR CHARDONNAY? </HEADLINE> <DATELINE>  (BC-WINE-TALK-NYT) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"46794"	"I"	"don't"	" ``No, I don't,'' he said. ``I know I made the mistake. I just want to keep on working and do good for the community.'' </P> "	"nyt_eng_199601.gz"
"51147"	"I"	"don't"	" ``People ask, `Do you see Brooke being like you?' No, I don't,'' Evans said. ``When I was 15, I had three world records. She's swimming fast, but I don't think her times are anything that will be remembered in five years unless she starts to swim a lot faster.'' LONE STAR LONER </P> "	"nyt_eng_199603.gz"
"52772"	"I"	"don't"	" ``No, I don't,'' he told them. ``But I can teach you how to carve one.'' </P> "	"nyt_eng_199603.gz"
"55057"	"they"	"don't"	" ``They come in with many cases, and in those cases they'll recommend probation, but when there's publicity, they don't,'' the judge charged. ``I don't think you punish somebody just because there's publicity.'' </P> "	"nyt_eng_199604.gz"
"55207"	"you"	"don't"	" ``Golf is a risk/reward game. If you get lucky, you get lucky. If you don't, you don't,'' said Norman, who likened his shot at No. 12 to Fred Couples' tee shot that refused to find the water in 1992, allowing Couples to claim a green jacket. </P> "	"nyt_eng_199604.gz"
"55527"	"I"	"don't"	" Maco and other SEC officials declined to comment on existing investigations. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960415.0774 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``a'' national news file) By LEAH GARCHIK c.1996 San Francisco Chronicle  PICKIN' ON DAVID DUKE  David Duke, the former Ku Klux Klan leader who ran unsuccessfully for one of Louisiana's Senate seats in 1990, has been fined $15,000 for violations of federal campaign laws.  According to the New Orleans Times-Picayune, Duke's campaign committee accepted 192 contributions over the legal limit of $1,000, netting an illegal $53,901. The Federal Election Commission also determined that he had accepted money from ``prohibited sources'' and didn't itemize donations properly, reports the Washington newspaper the Hill.  Duke said the FEC was picking on him, doing ``dirty tricks,'' for political reasons. ``They're just singling me out because we're opposed to this overreaching by the United States federal government. And I think they fear I'll do well in my current campaign for the Senate.''  Duke wants the seat of Senator Bennett Johnston, D-La., who has announced his retirement.  DEPARTMENT OF COMMERCE  In Russia nowadays, reports the Washington Post, one can buy a series of nesting dolls with O.J. Simpson on the outside, covering Nicole Simpson, under whom is Lance Ito, inside of whom is Robert Shapiro, who's over Marcia Clark, who hides Kato Kaelin, in the very center of whom is a bloody glove.  WHY CHARLIE SHEEN CALLED IT QUITS  Charlie Sheen, known best for spending oodles of money chez Heidi Fleiss, and then marrying model Donna Peele six weeks after meeting her, and then ditching her 5-1/2 months after the wedding, told US magazine that he called the whole thing off after he became a born-again Christian.  ``There was a voice,'' he said. ``Not like drug-induced voices, but there was a voice that kept telling me this will not work.''  OOH, THAT HURTS  A poll taken by U.S. News &AMP; World Report, which for some lousy reason had nothing more important to do, found that 37 percent of Americans think journalists are uncivil, and that 54 percent  would say no if they were asked whether they would be willing to talk to a reporter about the issue of civility.  BY THE NUMBERS  A TV Guide survey of made-for-TV movies that were shown from September to March found that the following subjects were covered in full:  _ Male murderers were featured in 21 movies; female murderers, 8.  _ Adulterous husbands, 15; adulterous wives, 5.  _ Abusive spouses or lovers, 14.  _ Murdered spouses, 8.  _ Violent obsessions, 6.  _ Rape victims, 7.  _ Kidnapped children, 8; murdered children, 6.  _ Teenagers who have adult lovers, 5.  WHO SAID WHAT  ``We came to a very sad end. (Mailer) was a mistake, a foolish choice. ... I would welcome a book jacket blurb from him.''  _ Carole Mallory, former lover of Norman Mailer, telling New York magazine about ``A Woman's Story,'' her as-yet-unpublished book.  AN ACTOR WHO'S STILL IN THE DARK  Actor Vince Van Patten told Total TV that he was really happy to be hired to play Dr. Tom Morella, a ``doctor/surfer/lifeguard'' on ``Baywatch.''  ``They asked if I'd like to do `Baywatch,' '' he said, ``and I said, `That sounds like fun. I'll work on my tan.' ''  Great idea. In the show, Patten's doctor discovers a cancerous melanoma on the leg of his girlfriend. ``I learned a lot about skin cancer,'' said Van Patten, discussing the educational benefits of his craft. ``I guess with the ozone layer getting depleted you need to use the sun block.''  But seriously, Vince, did you have fun on the job? ``I love the ocean,'' he said, ``and in between takes I jump in. They don't have to put makeup on me because I'm so tan.''  But what about that ozone layer? Do you wear sunscreen? ``Uh, I don't,'' said the let's-pretend doctor/surfer/lifeguard. ``But, no, I really should.'' </TEXT> </DOC> <DOC id=NYT_ENG_19960415.0775 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``l'' lifestyle file) By LEAH GARCHIK c.1996 San Francisco Chronicle  PICKIN' ON DAVID DUKE  David Duke, the former Ku Klux Klan leader who ran unsuccessfully for one of Louisiana's Senate seats in 1990, has been fined $15,000 for violations of federal campaign laws.  According to the New Orleans Times-Picayune, Duke's campaign committee accepted 192 contributions over the legal limit of $1,000, netting an illegal $53,901. The Federal Election Commission also determined that he had accepted money from ``prohibited sources'' and didn't itemize donations properly, reports the Washington newspaper the Hill.  Duke said the FEC was picking on him, doing ``dirty tricks,'' for political reasons. ``They're just singling me out because we're opposed to this overreaching by the United States federal government. And I think they fear I'll do well in my current campaign for the Senate.''  Duke wants the seat of Senator Bennett Johnston, D-La., who has announced his retirement.  DEPARTMENT OF COMMERCE  In Russia nowadays, reports the Washington Post, one can buy a series of nesting dolls with O.J. Simpson on the outside, covering Nicole Simpson, under whom is Lance Ito, inside of whom is Robert Shapiro, who's over Marcia Clark, who hides Kato Kaelin, in the very center of whom is a bloody glove.  WHY CHARLIE SHEEN CALLED IT QUITS  Charlie Sheen, known best for spending oodles of money chez Heidi Fleiss, and then marrying model Donna Peele six weeks after meeting her, and then ditching her 5-1/2 months after the wedding, told US magazine that he called the whole thing off after he became a born-again Christian.  ``There was a voice,'' he said. ``Not like drug-induced voices, but there was a voice that kept telling me this will not work.''  OOH, THAT HURTS  A poll taken by U.S. News &AMP; World Report, which for some lousy reason had nothing more important to do, found that 37 percent of Americans think journalists are uncivil, and that 54 percent  would say no if they were asked whether they would be willing to talk to a reporter about the issue of civility.  BY THE NUMBERS  A TV Guide survey of made-for-TV movies that were shown from September to March found that the following subjects were covered in full:  _ Male murderers were featured in 21 movies; female murderers, 8.  _ Adulterous husbands, 15; adulterous wives, 5.  _ Abusive spouses or lovers, 14.  _ Murdered spouses, 8.  _ Violent obsessions, 6.  _ Rape victims, 7.  _ Kidnapped children, 8; murdered children, 6.  _ Teenagers who have adult lovers, 5.  WHO SAID WHAT  ``We came to a very sad end. (Mailer) was a mistake, a foolish choice. ... I would welcome a book jacket blurb from him.''  _ Carole Mallory, former lover of Norman Mailer, telling New York magazine about ``A Woman's Story,'' her as-yet-unpublished book.  AN ACTOR WHO'S STILL IN THE DARK  Actor Vince Van Patten told Total TV that he was really happy to be hired to play Dr. Tom Morella, a ``doctor/surfer/lifeguard'' on ``Baywatch.''  ``They asked if I'd like to do `Baywatch,' '' he said, ``and I said, `That sounds like fun. I'll work on my tan.' ''  Great idea. In the show, Patten's doctor discovers a cancerous melanoma on the leg of his girlfriend. ``I learned a lot about skin cancer,'' said Van Patten, discussing the educational benefits of his craft. ``I guess with the ozone layer getting depleted you need to use the sun block.''  But seriously, Vince, did you have fun on the job? ``I love the ocean,'' he said, ``and in between takes I jump in. They don't have to put makeup on me because I'm so tan.''  But what about that ozone layer? Do you wear sunscreen? ``Uh, I don't,'' said the let's-pretend doctor/surfer/lifeguard. ``But, no, I really should.'' </TEXT> </DOC> <DOC id=NYT_ENG_19960415.0776 type=story > <HEADLINE> INTEL REPORTS 1ST-QTR EARNINGS ABOVE EXPECTATIONS (UPDATE2) </HEADLINE> <DATELINE> Santa Clara, California, April 15 (Bloomberg) (BC-EARNS-INTEL-UPDATE2-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199604.gz"
"56162"	"I"	"don't"	" They don't, I don't, you don't. And that is where art comes in. </P> "	"nyt_eng_199604.gz"
"56286"	"I"	"don't"	" They don't, I don't, you don't. And that is where art comes in. </P> "	"nyt_eng_199604.gz"
"63496"	"you"	"don't"	" ``Do you give every employee in your restaurant, including the line cook, their own business card?'' Feltenstein asked. ``No, you don't, do you? And why not? Because they are not important enough.'' </P> "	"nyt_eng_199607.gz"
