"pronoun"	"verb"	"context"	"filename"
"35167"	"they"	"emphasize"	" Scientists say that the discouraging results of the two studies show that it is time to rethink the methods they are using for gene therapy, which attempts to cure diseases by adding genes to cells. But, they emphasize, they remain confident that gene therapy will eventually transform medicine. </P> "	"nyt_eng_199509.gz"
"36631"	"they"	"emphasize"	" Under regulations in place since last year, they emphasize, nearly 200 of the roughly 900 Cubans who are infected with HIV or have already developed AIDS have moved back home. Many more are now allowed to leave the sanatoriums unchaperoned for several days or more. </P> "	"nyt_eng_199510.gz"
"68692"	"they"	"emphasize"	" No one expects the company to walk away from its Kansas City investment of $115 million and the profits the Flamingo will contribute once the questions about Anderson have been resolved. The company, they emphasize, has the financial strength to weather choppy waters. </P> "	"nyt_eng_199608.gz"
"92399"	"they"	"emphasize"	" Even so, she insists on taking the students on field trips to Bowie State University and other centers of higher computer education. She and Steven Johnson urge the Cisco trainees to weigh the inviting job offers against going to college. College, they emphasize, presents an even larger opportunity to create their own businesses, which could offer even more computer jobs to ambitious young people like themselves. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20010522.0699 type=story > <HEADLINE> EVERYTHING FOR CAMP BUT THE MOSQUITOES </HEADLINE> <DATELINE>  (BC-CIR-ONLINE-SHOPPING-NYT) </DATELINE> <TEXT> "	"nyt_eng_200105.gz"
"104966"	"they"	"emphasize"	" The decision by the protesters to keep their puppets mostly idle ceded the day to the Police Department, which in recent weeks has tried to strike a balance in the message it wanted to convey about its preparations for the economic conference. On the one hand, police officials say, they will protect the free-speech rights of protesters wanting to demonstrate. On the other hand, they emphasize, New York _ which is still recovering from the terrorist attack of Sept. 11 _ will not tolerate any of the vandalism or minor violence that has punctuated protests at other economic conferences. </P> "	"nyt_eng_200202.gz"
"111796"	"they"	"emphasize"	" The collapse of Enron, they emphasize, resulted in the loss of about 4,500 jobs _ a tiny portion of the city's overall work force. </P> "	"nyt_eng_200204.gz"
"141513"	"they"	"emphasize"	" The Rauns could never make a living with their specialty sideline alone, they emphasize, but they would feel less confident of making a living without it. They are among a growing number of people in the rice business who see specialty rice as one way to help keep the beleaguered rice farmer on the farm. Rice land </P> "	"nyt_eng_200408.gz"
"145539"	"they"	"emphasize"	" What is really needed, they emphasize, is for the court to presume a 50-50 custody arrangement from the start, and then work from there. It is the kind of policy that exists in parts of Scandinavia and several American states. The fathers also call for mandatory mediation, penalties that are enforced and open, not secret, court proceedings. </P> "	"nyt_eng_200411.gz"
"148250"	"I"	"emphasize"	" The IDF (Israel Defense Forces) and the security forces have been instructed to step up operational activity against terrorism and they will continue to do so, without restrictions, I emphasize, without restrictions, as long as the Palestinians are not lifting a finger, Sharon told his cabinet during its weekly meeting. </P> "	"nyt_eng_200501.gz"
"156256"	"they"	"emphasize"	" That it is a perennial problem, they emphasize, in no way minimizes the urgency of Niger's current tragedy -- severe food shortages in the agricultural and herding belts where many of Niger's 11 to 12 million people live. </P> "	"nyt_eng_200508.gz"
