"pronoun"	"verb"	"context"	"filename"
"13594"	"she"	"emphasized"	" ``I think it has a better texture,'' Ms. Medrich said. ``The original had so much fat in it, when it was refrigerated overnight it compacted into a heavy mass.'' But, she emphasized, ``this is not diet food.'' </P> "	"nyt_eng_199501.gz"
"21966"	"he"	"emphasized"	" But as he took the stand Thursday morning, the captain defended his belief in conscience, a belief that was bolstered, he emphasized, by his soldier-father, who took him as a boy to the Dachau concentration camp in Germany and taught him about the individual soldier's duty to human rights over rote obedience. </P> "	"nyt_eng_199505.gz"
"21989"	"he"	"emphasized"	" But as he took the stand Thursday morning, the captain defended his belief in conscience, a belief that was bolstered, he emphasized, by his soldier-father, who took him as a boy to the Dachau concentration camp in Germany and taught him about the individual soldier's duty to human rights over rote obedience. </P> "	"nyt_eng_199505.gz"
"28318"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
"28320"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
"28393"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
"28395"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
"28397"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
"28742"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
"28744"	"he"	"emphasized"	" The heat gun is key to a lasting shine, he emphasized, and he puts on the coat of neutral to keep the polish from rubbing off on his customers' socks. </P> "	"nyt_eng_199507.gz"
