"pronoun"	"verb"	"context"	"filename"
"14570"	"it"	"exists"	" Zemeckis admits he has been criticized for helping engineer visual tricks and understands the concern of those who mistrust them. But he said that technology ``can't ever be uninvented. So whenever it exists, it exists, and we have to live with it.'' </P> "	"nyt_eng_199502.gz"
"16318"	"it"	"exists"	" ``Yes, it exists, and it's real,'' Colangelo said. ``The bottom line is on April 1, the funding for the stadium goes away. I go away. When I go away, the ownership goes away. </P> "	"nyt_eng_199503.gz"
"16319"	"it"	"exists"	" ``Yes, it exists, and it's real,'' Colangelo said. ``The bottom line is on April 1, the funding for the stadium goes away. I go away. When I go away, the ownership goes away. </P> "	"nyt_eng_199503.gz"
"16345"	"it"	"exists"	" ``Yes, it exists, and it's real,'' Colangelo said. ``The bottom line is on April 1, the funding for the stadium goes away. I go away. When I go away, the ownership goes away. </P> "	"nyt_eng_199503.gz"
"16346"	"it"	"exists"	" ``Yes, it exists, and it's real,'' Colangelo said. ``The bottom line is on April 1, the funding for the stadium goes away. I go away. When I go away, the ownership goes away. </P> "	"nyt_eng_199503.gz"
"43612"	"it"	"exists"	" ``The fact is, it's there, it exists, and the question now is, how best do we reshape it so that Atlantic City will be viable in the long run. To me, the new housing, the baseball stadium, the corridor project and the convention center are the kinds of things Atlantic City will need to survive in the next century.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951225.0216 type=story > <HEADLINE> ON BASEBALL: PLAYING TO WIN IN OFF-SEASON </HEADLINE> <DATELINE>  (BC-BBO-OFFSEASON-500&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199512.gz"
"43657"	"it"	"exists"	" ``The fact is, it's there, it exists, and the question now is, how best do we reshape it so that Atlantic City will be viable in the long run. To me, the new housing, the baseball stadium, the corridor project and the convention center are the kinds of things Atlantic City will need to survive in the next century.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951226.0121 type=story > <HEADLINE> MORE HOUSEHOLDS FIND THEY NEED AT LEAST 2 PHONE LINES </HEADLINE> <DATELINE>  (BC-SECOND-PHONE-ART-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199512.gz"
"76570"	"it"	"exists"	" Martin agrees: ``We're not trivializing death, we're coming to terms with it. We're saying, it exists, it's a part of life, and celebrating those who have gone on.'' </P> "	"nyt_eng_199611.gz"
"86853"	"it"	"exists"	" (Thomas Oliphant is a columnist for the Boston Globe.) </P> </TEXT> </DOC> <DOC id=NYT_ENG_19970211.0201 type=advis > <DATELINE>  (BC-FEATURE-BUDGET-ART-BOS) </DATELINE> <TEXT> ART ADV.: Photos with BLACK-DOLLS and SCHOOLS-LANGUAGES are being transmitted to NYT Photo Service subscribers. For Immediate Release  The Boston Globe plans to move the following FEATURE stories for use by NYTimes News Service clients.  For questions about stories, contact Frank Perrotta at the Boston Globe, 617-929-2597. For individual purchase of graphics or photos please call 212 556-4204 or -1927.  All stories will bear the BOS designator.  WASHINGTON (w)  OLIPHANT-COLUMN (Washington) _ Imbedded deeply in one of President Clinton's budget books are two numbers that appear to define a serious disagreement but in fact don't. By Thomas Oliphant.(w and k coding.)  NATIONAL (a)  SIMPSON-PAY (Santa Monica, Calif.) -- Some observers believe O.J. Simpson has the wherewithal to come up with the $25 million he's been assessed. By Adam Pertman and Alisa Valdes.  GRADUATE-HONORS (Undated) -- Worried that grade inflation has resulted in the concept of graduating with honors becoming meaningless, colleges are capping the percentage of students who can qualify for honors. By Alice Dembner. 1400 words.  NANNY-SYSTEM (Boston) -- Massachusetts baby's death puts the spotlight not just on screening for au pairs, but on the system as a whole -- and whether it's been flying under the regulatory radar. By Anthony Flint. 100 words.  COMMENTARY (k)  BARNICLE-COLUMN (Undated) _ Somehow life seems a little less ferocious than it did just a few short years ago. By Mike Barnicle.  JACOBY-COLUMN (Undated) _ Madeleine Albright's parents rejected their Jewishness, betrayed their parents' memory and spent a lifetime deceiving their daughter. By Jeff Jacoby. (Moved in advance.)  LIFESTYLE (l)  SCHOOLS-LANGUAGES (Everett, Mass.) -- The new reality in public schools is demonstrated by the spike in the number of foreign languages spoken in the hallways. By Dick Lehr. (2 takes) PHOTO  BLACK-DOLLS (Boston) -- Sharon McCollum's love for black dolls led her to start a collector's club. The Black Gold Doll Club of New England has attracted 60 members, one of them with a collection of 500 dolls. By Sandy Colelman. PHOTO  ENTERTAINMENT/ARTS (e)  PROFILE-GRAHAM (Undated) -- In her autobiography, Katharine Graham presents a poignant, sober, funny and at times brutally honest look at marital infidelity and mental illness amid a life born of privilege and shaped by epochal events. By Joseph Kahn.  TOY STORY-HEATH (Boston) -- Although he's 29, professional figure skater Craig Heath is working day and night trying to cut a different kind of fine figure. He's trying to be a 6 year-old. Two 6 year-olds, actually. By Bruce McCabe.  BOOK-MARKOWITZ (Undated) _ On the face of it, the Markowitz family, the subject of Allegra Goodman's book of interrelated short stories, is so very ordinary that one marvels the author saw any potential here. By Linda Matchan.  MUSIC-AEROSMITH (Undated) -- With a new Aerosmith single out this week, it's nice to have something to discuss other than psychodrama from Boston's Bad Boys. By Steve Morse.  TV-EMPIRES (Undated) -- ``Nova'' plays it a bit loose recreating ``Secrets of Lost Empires,'' a 4-hour series. By Michael Blowen.  TRAVEL (t)  TRAVEL-IRELAND (Bushmills, Northern Ireland) _ In north and south Ireland, an agreement to market the Emerald Ise as one smooth blend. By Kevin Cullen.  w/  TRAVEL-IRISH-FOOD (Dublin, Ireland) -- A traveler is on a quest: Irish food. Surely, it exists, doesn't it? By Larry Tye.  TRAVEL-MEXICO (Undated) _ A grandmother's diary relives a different day and a way of traveling in Old Mexico. By Thomas C. Palmer Jr. (2 takes)  w/  TRAVEL-MEXICO-GO (Undated) _ Traveling in Mexico was simpler in the '50s. But then, what wasn't? By Thomas C. Palmer Jr.  TRAVEL-RAGGED (Danbury, N.H.) _ Ragged Mountain takes a step up by adding trails all the way to its peak. By Bob MacDonald.  TRAVEL-VEGAS (Las Vegas, Nev.) _ Look, there's the Statue of Liberty! And the Empire State Building! And the Chrysler Building! This must be ... Las Vegas? By Richard P. Carpenter.  TRAVEL-COLUMN(Undated) _ By Jerry Morris.  w/  TRAVEL-NOTES (Undated) _ By Richard Carpenter.  FINANCIAL (f)  WORKER-PRIVACY (Undated) -- Smart cards. Active badges. GPS truck dispatching. High-tech monitoring tools are making it easier for the boss to keep a closer watch on where employees are and what they're doing. By Diane E. Lewis. 1500 words.  BUDGET-GUIDE (Washington) -- A Reader's Guide to the Budget, an effort to enlarge some of the fine print that will be important as a final budget is negotiated. By Aaron Zitner, 1500 words. By Aaron Zitner. 1500 words.  TECHNO-TRAINING (Undated) -- Training software professionals is a growing business as computer programmers and systems analysts rush to keep up with the latest software developments. By Ronald Rosenberg. 1200 words.  ONBUSINESS-COLUMN (Undated) -- Fidelity Investments has sweetened the pot to keep its top people. By Steve Bailey and Steven Syre.  ONJOBS-COLUMN (Undated) _ Linda Chavez-Thompson's election as executive vice president of the 13-million member AFL-CIO has ended the historic hold of males on the top jobs in the union movement.By Diane Lewis. 900 words.  SPORTS (s)  TV-SPORTS-MANLY (Undated) -- In sports there are drug abuse, alcoholism, rape and greed, but when Oliver McCall, broke down and cried the scene was powerful and rare. By Howard Manly.  The Boston Globe </TEXT> </DOC> <DOC id=NYT_ENG_19970211.0202 type=story > <HEADLINE> CUM LAUDE GETTING HARDER TO COME BY </HEADLINE> <DATELINE>  (BC-GRADUATE-HONORS-BOS) </DATELINE> <TEXT> "	"nyt_eng_199702.gz"
"86860"	"it"	"exists"	" nn </P> </TEXT> </DOC> <DOC id=NYT_ENG_19970211.0228 type=advis > <DATELINE>  (BC-FEATURE-BUDGET-ART-BOS) </DATELINE> <TEXT> ART ADV.: Photos with BLACK-DOLLS and SCHOOLS-LANGUAGES are being transmitted to NYT Photo Service subscribers. For Immediate Release  The Boston Globe plans to move the following FEATURE stories for use by NYTimes News Service clients.  For questions about stories, contact Frank Perrotta at the Boston Globe, 617-929-2597. For individual purchase of graphics or photos please call 212 556-4204 or -1927.  All stories will bear the BOS designator.  WASHINGTON (w)  OLIPHANT-COLUMN (Washington) _ Imbedded deeply in one of President Clinton's budget books are two numbers that appear to define a serious disagreement but in fact don't. By Thomas Oliphant.(w and k coding.)  NATIONAL (a)  SIMPSON-PAY (Santa Monica, Calif.) -- Some observers believe O.J. Simpson has the wherewithal to come up with the $25 million he's been assessed. By Adam Pertman and Alisa Valdes.  GRADUATE-HONORS (Undated) -- Worried that grade inflation has resulted in the concept of graduating with honors becoming meaningless, colleges are capping the percentage of students who can qualify for honors. By Alice Dembner. 1400 words.  NANNY-SYSTEM (Boston) -- Massachusetts baby's death puts the spotlight not just on screening for au pairs, but on the system as a whole -- and whether it's been flying under the regulatory radar. By Anthony Flint. 100 words.  COMMENTARY (k)  BARNICLE-COLUMN (Undated) _ Somehow life seems a little less ferocious than it did just a few short years ago. By Mike Barnicle.  JACOBY-COLUMN (Undated) _ Madeleine Albright's parents rejected their Jewishness, betrayed their parents' memory and spent a lifetime deceiving their daughter. By Jeff Jacoby. (Moved in advance.)  LIFESTYLE (l)  SCHOOLS-LANGUAGES (Everett, Mass.) -- The new reality in public schools is demonstrated by the spike in the number of foreign languages spoken in the hallways. By Dick Lehr. (2 takes) PHOTO  BLACK-DOLLS (Boston) -- Sharon McCollum's love for black dolls led her to start a collector's club. The Black Gold Doll Club of New England has attracted 60 members, one of them with a collection of 500 dolls. By Sandy Colelman. PHOTO  ENTERTAINMENT/ARTS (e)  PROFILE-GRAHAM (Undated) -- In her autobiography, Katharine Graham presents a poignant, sober, funny and at times brutally honest look at marital infidelity and mental illness amid a life born of privilege and shaped by epochal events. By Joseph Kahn.  TOY STORY-HEATH (Boston) -- Although he's 29, professional figure skater Craig Heath is working day and night trying to cut a different kind of fine figure. He's trying to be a 6 year-old. Two 6 year-olds, actually. By Bruce McCabe.  BOOK-MARKOWITZ (Undated) _ On the face of it, the Markowitz family, the subject of Allegra Goodman's book of interrelated short stories, is so very ordinary that one marvels the author saw any potential here. By Linda Matchan.  MUSIC-AEROSMITH (Undated) -- With a new Aerosmith single out this week, it's nice to have something to discuss other than psychodrama from Boston's Bad Boys. By Steve Morse.  TV-EMPIRES (Undated) -- ``Nova'' plays it a bit loose recreating ``Secrets of Lost Empires,'' a 4-hour series. By Michael Blowen.  TRAVEL (t)  TRAVEL-IRELAND (Bushmills, Northern Ireland) _ In north and south Ireland, an agreement to market the Emerald Ise as one smooth blend. By Kevin Cullen.  w/  TRAVEL-IRISH-FOOD (Dublin, Ireland) -- A traveler is on a quest: Irish food. Surely, it exists, doesn't it? By Larry Tye.  TRAVEL-MEXICO (Undated) _ A grandmother's diary relives a different day and a way of traveling in Old Mexico. By Thomas C. Palmer Jr. (2 takes)  w/  TRAVEL-MEXICO-GO (Undated) _ Traveling in Mexico was simpler in the '50s. But then, what wasn't? By Thomas C. Palmer Jr.  TRAVEL-RAGGED (Danbury, N.H.) _ Ragged Mountain takes a step up by adding trails all the way to its peak. By Bob MacDonald.  TRAVEL-VEGAS (Las Vegas, Nev.) _ Look, there's the Statue of Liberty! And the Empire State Building! And the Chrysler Building! This must be ... Las Vegas? By Richard P. Carpenter.  TRAVEL-COLUMN(Undated) _ By Jerry Morris.  w/  TRAVEL-NOTES (Undated) _ By Richard Carpenter.  FINANCIAL (f)  WORKER-PRIVACY (Undated) -- Smart cards. Active badges. GPS truck dispatching. High-tech monitoring tools are making it easier for the boss to keep a closer watch on where employees are and what they're doing. By Diane E. Lewis. 1500 words.  BUDGET-GUIDE (Washington) -- A Reader's Guide to the Budget, an effort to enlarge some of the fine print that will be important as a final budget is negotiated. By Aaron Zitner, 1500 words. By Aaron Zitner. 1500 words.  TECHNO-TRAINING (Undated) -- Training software professionals is a growing business as computer programmers and systems analysts rush to keep up with the latest software developments. By Ronald Rosenberg. 1200 words.  ONBUSINESS-COLUMN (Undated) -- Fidelity Investments has sweetened the pot to keep its top people. By Steve Bailey and Steven Syre.  ONJOBS-COLUMN (Undated) _ Linda Chavez-Thompson's election as executive vice president of the 13-million member AFL-CIO has ended the historic hold of males on the top jobs in the union movement.By Diane Lewis. 900 words.  SPORTS (s)  TV-SPORTS-MANLY (Undated) -- In sports there are drug abuse, alcoholism, rape and greed, but when Oliver McCall, broke down and cried the scene was powerful and rare. By Howard Manly.  The Boston Globe </TEXT> </DOC> <DOC id=NYT_ENG_19970211.0229 type=story > <HEADLINE> CFTC CHAIR SAYS BILL LEAVES MOST FUTURES TRADING UNREGULATED </HEADLINE> <DATELINE> Washington, Feb. 11 (Bloomberg) (BC-CFTC-LEGISLATION-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199702.gz"
