"pronoun"	"verb"	"context"	"filename"
"32122"	"I"	"expect"	" Of course it said nothing about their longer futures. Some of them, I expect, went on to lives of service as doctors and teachers and community leaders, because what you are at 20 tells very little about the possibilities you contain. </P> "	"nyt_eng_199508.gz"
"35504"	"I"	"expect"	" ``We came here in search of justice,'' Darden said. ``You have to be the judges, I expect, as to whether or not any of us found it today. But I'm not bitter and I'm not angry.'' He then began to thank his colleagues. But as he did so, he broke down and the words abruptly stopped. Waving his hand, he left the lectern and doubled over, with Mrs. Goldman and some lawyers offering solace. </P> "	"nyt_eng_199510.gz"
"35514"	"I"	"expect"	" ``We came here in search of justice,'' Darden said. ``You will have to be the judges, I expect, of whether or not any of us found it today.'' </P> "	"nyt_eng_199510.gz"
"35518"	"I"	"expect"	" ``We came here in search of justice,'' Darden said. ``You have to be the judges, I expect, as to whether or not any of us found it today. But I'm not bitter and I'm not angry.'' He then began to thank his colleagues. But as he did so, he broke down and the words abruptly stopped. Waving his hand, he left the lectern and doubled over, with Mrs. Goldman and some lawyers offering solace. </P> "	"nyt_eng_199510.gz"
"35523"	"I"	"expect"	" ``We came here in search of justice,'' Darden said. ``You have to be the judges, I expect, as to whether or not any of us found it today. But I'm not bitter and I'm not angry.'' He then began to thank his colleagues. But as he did so, he broke down and the words abruptly stopped. Waving his hand, he left the lectern and doubled over, with Mrs. Goldman and some lawyers offering solace. </P> "	"nyt_eng_199510.gz"
"35530"	"I"	"expect"	" ``We came here in search of justice,'' he said. ``You'll have to be the judges, I expect, as to whether or not any of us found it today.'' </P> "	"nyt_eng_199510.gz"
"38652"	"I"	"expect"	" But I'm definitely adjusting. By now, my roommates and I are real friends. My schedule is working. I finally remember where I put the bottles of Advil when I moved in. I've found the late-night coffee shops. Over Thanksgiving break, I expect, I'll have to adjust to being home again. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951103.0195 type=story > <HEADLINE> COLLEGE PRESIDENTS IN THE SPOTLIGHT </HEADLINE> <DATELINE>  (BC-COLLEGE-PRESIDENTS-3TAKES-$ADV05-ART-NYT) </DATELINE> <TEXT> "	"nyt_eng_199511.gz"
"49586"	"I"	"expect"	" From the man who made Top Ten Lists a national addiction, I expect, well...more addictions. Give me a Mujibur and Sirajul (http://www.gmi.edu/maju6406/ms/ms2.html) screen saver, Q&AMP;A with your pal Dave, or a `Win a Free Ham' contest! </P> "	"nyt_eng_199602.gz"
"50335"	"I"	"expect"	" From the man who made Top Ten Lists a national addiction, I expect, well...more addictions. Give me a Mujibur and Sirajul (http://www.gmi.edu/maju6406/ms/ms2.html) screen saver, Q&AMP;A with your pal Dave, or a `Win a Free Ham' contest! </P> "	"nyt_eng_199603.gz"
"52667"	"we"	"expect"	" STORY FIRST SENT: -03-18-96 1107EST </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960320.0389 type=advis > <DATELINE>  (AM-NYT-BUDGET) </DATELINE> <TEXT> gm  FOR THURSDAY AMs  Here are the top news stories in sight at this hour from The New York Times News Service for AMs of Thursday, March 21:  For questions about stories call (212) 556-1927. The supervisor is Gary E. McCardell, followed at 3:30 p.m. by Pat Ryan.  For technical problems call Gladys Pera at (212) 499-3330.  A rundown of columns and financial, lifestyle, sports and special section stories will move shortly as AM-ADD-BUDGET-NYT.  Please note that news stories and features from The Boston Globe, The Cox Newspapers, Hearst News Service, The Arizona Republic, The Phoenix Gazette, Kansas City Star, Los Angeles Daily News, San Francisco Chronicle, Fort Worth Star-Telegram, Seattle Post-Intelligencer, States News Service and the New York Times Regional Newspapers are part of your New York Times News Service.  A list of stories being considered by New York Times editors for Page 1 will move at 4:15 p.m. ET as AM-PAGE1-NYT-CONSIDER.  Stories scheduled for Page 1 will be listed in AM-FRONTPAGE-NYT, which will move by 7:30 p.m.  POLITICS (``p'' code)  PEROT (Chicago) _ With Ross Perot making sounds about running again, Republicans are asking what if anything they can do to stop him. By Richard Berke.  CALIF-PRIMARY (Los Angeles) _ While the outcome of next week's California primary is a foregone conclusion, the question among many Republicans in the state is whether Dole will make a full-court press there next fall. Clinton is well ahead in polls in the state, where he has made 23 visits since becoming President. Gov. Wilson says Dole is committed to spending the $10 million it will take to put California in play. By B. Drummond Ayres Jr.  BUCHANAN (San Diego) _ Pat Buchanan breaks for the border looking for another backdrop for his pronouncement on immigration.  CONGRESS (``w'' code)  CLINTON-DOLE (Washington) _ In their first encounter since Dole became the presumptive Republican nominee, Clinton meets with him and Gingrich on the budget.  SENATE-BUDGET (Washington) _ Senate hopes to finish work on the 1996 budget.  CONGRESS-COWBOYS (Washington) _ Grazing provisions of the farm bill are to be debated soon, and cattlemen from all over are in town to lobby about it. By John H. Cushman.  HOUSE-IMMIG (Washington) _ House votes on amendments to immigration bill. By Eric Schmitt.  TORT-REFORM (Washington) _ Senate votes, we expect, on tort reform legislation opposed by Clinton. By Neil A. Lewis.  HEALTH-INSURE (Washington) _ House Commerce Committee acts on health insurance legislation. By Robert Pear.  OTHER WASHINGTON (``w'' code)  SCOTUS-CENSUS (Washington) _ Ending a lengthy battle led by New York City, the Supreme Court rules unanimously that the Bush administration had no obligation to use statistical adjustment to correct for any undercount in the 1990 Census. By Linda Greenhouse.  NATIONAL GENERAL (``a'' code)  COLLEGE-ADMISSIONS (Undated) _ A federal appeals court decision that the admissions program at the University of Texas law school is unconstitutional appears to give the U.S. Supreme Court a clear shot out at finding preferential admissions programs in higher education generally unconstitutional. Universities around the nation today were examining their admissions formulas and policies to determine whether they are likely to withstand court scrutiny. By Peter Applebome.  With a related story:  COLLEGE-ADMISSIONS-TEXAS (Houston) _ With acceptances being sent out to undergraduate and graduate school candidates, the University of Texas has shut down the admissions process on all 15 of its campuses as it determines how to proceed. Talking with students, high school advisers, university officials. By Sam Howe Verhovek.  DRINKING-AGE (Beaumont, Texas) _ In a decision that many people in Louisiana view as woefully short on common sense, a 4-3 majority of the state supreme court ruled that the state's drinking age law was a form of age discrimination. It was the judicial equivalent of a keg party, making Louisiana the only state with a drinking age of 18 and thus a drinking mecca for youngsters from Beaumont and other towns in Texas, Mississippi and Arkansas.  COMMENTARY (``k'' code)  William Safire's ``Essay'' and Maureen Dowd's ``Liberties''; details to come.  INTERNATIONAL (These stories will move with an ``i'' category code)  BRITAIN-MADCOW (London) _ An unusal cluster of Kreuzfeld-Jacob disease in Britain has been officially linked to cases of beef consumption for the first time, but officials say once again that mad cow disease is under control. By John Darnton.  EUROPE-CHRISTOPHER (Prague) _ Christopher gives his ``Whither Eastern Europe'' speech in Prague, saying U.S. will continue its plans for bringing former Communist bloc countries under NATO's wing, undaunted by a Russian Parliament vote that proclaimed the breakup of the Soviet Union invalid. By Steven Erlanger.  RUSSIA-PRIMAKOV (Moscow) _ Profile of Yevgeny M. Primakov, the new Russian foreign minister. By Alessandra Stanley.  YUGO-BOSNIA (Sarajevo) _ Plan for training and arming the Bosnian Muslims to level the playing field seems to be falling apart as countries fail to participate. By Chris Hedges.  Following is a tentative sked:  INDIA-TIBETANS (Dharmsala, India) _ N.N. Nowroji has lived up here in the foothills of the Himalayas for most of his 81 years, and he thanks God, and China, for the Tibetans. It was 36 years ago this spring that the Dalai Lama and his entourage arrived to set up their new homes here, fresh from their flight from Chinese troops suppressing an uprising in Tibet. A Foreign Journal by John F. Burns. </TEXT> </DOC> <DOC id=NYT_ENG_19960320.0390 type=advis > <DATELINE>  (AM-ADD-NYT-BUDGET) </DATELINE> <TEXT> Add N.Y. Times News Service budget for papers of THURSDAY, March 21.  For information and repeats call the News Service at (212) 556-1927. And be sure to look for other stories from our partners: Bloomberg Business News, The Boston Globe, Cox News Service, Hearst News Service, The Arizona Republic, The Phoenix Gazette, Kansas City Star, Fort Worth Star-Telegram, Los Angeles Daily News, San Francisco Chronicle and Seattle Post-Intelligencer.  ENTERTAINMENT (``e'' code)  BLACK-WRITERS (Undated) _ Curtain-raiser on the Black Writers conference.  MANN-BOOK-REVIEW (Undated) _ ``Thomas Mann: Eros and Literature,'' by Anthony Heilbut (Knopf). Reviewed by Christopher Lehmann-Haupt.  TV-INTERNET-REVIEW (Undated) _ On PBS, ``Firing Line: Resolved: The Government Has the Right to Regulate the Internet.'' Reviewed by Walter Goodman.  FINANCIAL (``f'' code)  ECON-REPORT (Washington) _ Retail sales rose 0.8 percent in February, slightly below forecasts. Auto sales were the strongest in half a year; excluding them, retail sales rose only 0.4 percent in February. By Robert D. Hershey Jr.  DIGITAL-OUTLOOK (Undated) _ Digital Equipment says results in its fiscal third quarter will not meet analysts' expectations. Its stock falls as much as 15 percent, and the news pulls down the tech sector and the market over all. By Lawrence Fisher.  OIL-PRICES (Undated) _ Oil prices continue to surge, but analysts say they expect the rally to be short-lived. Oil stocks are down (in an admittedly weak market over all). By Kenneth N. Gilpin.  MARKETPLACE (Undated) _ The daily Market Place column.  SIGNET-BANK-FRAUD (Undated) _ More about the loan fraud involving Signet and other banks.  ECONSCENE (Undated) _ Looking for hard evidence that the world economy is becoming one? Look no farther than the World Bank's report, released last week, on capital flows from rich countries to poor. In 1990, net flows were slightly more than $100 billion, with less than half the money coming from private investors. Last year, the number reached $230 billion, of which 70 percent was private. By Peter Passell.  MARKET (New York) _ Stock market developments: Dow was down 33 at 1:40. By Leonard Sloane.  CREDIT (New York) _ Credit market developments: Long bond was up 21/32 point at noon. By Robert Hurtado.  COMPANIES (Undated) _ Company news.  KEYRATES (Undated) _ Key interest rate numbers.  EXECS (Undated) _ Executive changes.  BIZGLANCE (Undated) _ Major financial stories at a glance.  SPORTS (``s'' code)  HKN-ANDERSON-COLUMN (Undated) _ Sports of The Times column on the Rangers: despite their several great players, they're old, and not as well positioned as the Devils to win the Stanley Cup. By Dave Anderson.  HKN-RANGERS (New York) _ Off day story on their continued slump and the trading deadline.  HKN-DEVILS-BRUINS (East Rutherford, N.J.) _ Boston at Devils, 7:30 p.m. ET start.  BKN-KNICKS-PACERS (Undated) _ Indiana at Knicks, 8 p.m. ET start.  BKN-NCAA-EAST (Atlanta) _ Advance East regional, focused on UMass.  BKN-NCAA-MIDWEST (Minneapolis) _ Advance on Midwest Regional.  BBN-METS-ASTROS (Kissimmee, Fla.) _ Houston vs. Mets, 1:05 p.m. ET start.  BBA-YANKS-CHISOX (Tampa) _ White Sox at Yankees, 7:05 p.m. ET start.  BBO-OWNERS (Scottsdale, Ariz.) _ Developments at the Major League owners' meetings. By Murray Chass.  SKATE-WORLD (Edmonton, Alberta) _ World championships, men's short program. </TEXT> </DOC> <DOC id=NYT_ENG_19960320.0391 type=story > <HEADLINE> TECHNOBUDDY: TOO MUCH ATTENTION OFTEN OFFERED INVENTIONS </HEADLINE> <DATELINE>  (BC-CPT-TECHNOBUDDY-COX) </DATELINE> <TEXT> "	"nyt_eng_199603.gz"
