"pronoun"	"verb"	"context"	"filename"
"723"	"I"	"fear"	" ``If it were to occur on the side of Jupiter we can see and the collisions were to occur at night, this could be a really spectacular event,'' said Art Whipple, an astronomer at the University of Texas at Austin. ``With professional equipment, we will be able to see perhaps profound effects of this. As far as what the public will see, the answer, I fear, is not much.'' </P> "	"nyt_eng_199407.gz"
"3984"	"they"	"fear"	" Dodgers employees are expecting layoffs in almost every department, with the possibility that if there is no strike settlement this year they will have to reapply for jobs before next season. Many of those jobs, they fear, will simply be eliminated. </P> "	"nyt_eng_199409.gz"
"4137"	"I"	"fear"	" Rose Franken is, I fear, a quite thoroughly forgotten author and probably shouldn't be. She was in vogue especially during the wartime of my own adolescence, when I read ``Claudia'' even before meeting the girl I would marry. </P> "	"nyt_eng_199409.gz"
"7935"	"I"	"fear"	" We can throw the bums out, but our new leaders will confront the same informational economy; and ``it's the Economy alone, I fear, rather than the masses of people increasingly indentured to its avid needs, that . . . well-intentioned policies will finally serve. </P> "	"nyt_eng_199411.gz"
"10216"	"they"	"fear"	" Some farmers think they are being pushed aside now to allow a bit of the wild back into the equation. With restoration, they fear, will come a host of regulations. </P> "	"nyt_eng_199412.gz"
"10268"	"they"	"fear"	" Some farmers think they are being pushed aside now to allow a bit of the wild back into the equation. With restoration, they fear, will come a host of regulations. </P> "	"nyt_eng_199412.gz"
"10837"	"I"	"fear"	" --The trade was a bad one for the Warriors. Tom Gugliotta is a good player, but not what the Warriors needed. Gugliotta, I fear, will become the Ray Sadecki of the '90s. Sadecki was a promising young pitcher the Giants got in 1966 for Orlando Cepeda. As Cepeda led the St. Louis Cardinals to a World Championship in 1967, Sadecki became the focal point of the ire of Giants fans; in five-plus seasons, he was 37-47. </P> "	"nyt_eng_199412.gz"
"14621"	"I"	"fear"	" One false move, I fear, and I'll end up in court, paying damages for the rest of my life. </P> "	"nyt_eng_199502.gz"
"14622"	"I"	"fear"	" One false move, I fear, and I'll end up in court, paying damages for the rest of my life. </P> "	"nyt_eng_199502.gz"
"14713"	"I"	"fear"	" One false move, I fear, and I'll end up in court, paying damages for the rest of my life. </P> "	"nyt_eng_199502.gz"
"14784"	"I"	"fear"	" ``The Washington Post's vindication of The American Spectator, will, I fear, not redound to our credit,'' he wrote. ``There is an infantile quality about the American journalist's mind; our journalists do not revise their thoughts when confronted by earlier errors.'' </P> "	"nyt_eng_199502.gz"
"15819"	"they"	"fear"	" At a news conference, the affirmative action advocates also said they were trying to recast the growing debate over the issue so that it focused on the way such programs benefit women. The more that affirmative action is described as an effort aimed primarily at helping blacks, they fear, the worse its political prospects. </P> "	"nyt_eng_199503.gz"
"18784"	"they"	"fear"	" If not, they fear, they too may look out of touch to worried shareholders desperately seeking information. </P> "	"nyt_eng_199504.gz"
"19088"	"they"	"fear"	" If not, they fear, they too may look out of touch to worried shareholders desperately seeking information. </P> "	"nyt_eng_199504.gz"
"19133"	"they"	"fear"	" The scientists predict that a doubling of carbon dioxide concentrations in the atmosphere, expected some time in the next century at current rates of emission, would cause the average global temperature to rise by 3 to 8 degrees Fahrenheit. This, they fear, could disrupt the climate system with largely unpredictable but possibly catastrophic consequences. </P> "	"nyt_eng_199504.gz"
"19204"	"they"	"fear"	" The scientists predict that a doubling of carbon dioxide concentrations in the atmosphere, expected some time in the next century at current rates of emission, would cause the average global temperature to rise by 3 to 8 degrees Fahrenheit. This, they fear, could disrupt the climate system with largely unpredictable but possibly catastrophic consequences. </P> "	"nyt_eng_199504.gz"
"20526"	"I"	"fear"	" My daughter is only 18 months old -- a bit too young, I fear, for Take Our Daughters to Work Day. She would not respond positively to being trapped in a newsroom with kvetching journalists for four-and-a-half hours. </P> "	"nyt_eng_199504.gz"
"21357"	"they"	"fear"	" Clinton and the Western allies are trying to help Yeltsin succeed. Failure, they fear, could lead toward military dictatorship, civil war or the rise to power of dark forces rekindling visions of empire. </P> "	"nyt_eng_199505.gz"
"21388"	"they"	"fear"	" Clinton and the Western allies are trying to help Yeltsin succeed. Failure, they fear, could lead toward military dictatorship, civil war or the rise to power of dark forces rekindling visions of empire. </P> "	"nyt_eng_199505.gz"
"21444"	"they"	"fear"	" Clinton and the Western allies are trying to help Yeltsin succeed. Failure, they fear, could lead toward military dictatorship, civil war or the rise to power of dark forces rekindling visions of empire. </P> "	"nyt_eng_199505.gz"
"21460"	"they"	"fear"	" Clinton and the Western allies are trying to help Yeltsin succeed. Failure, they fear, could lead toward military dictatorship, civil war or the rise to power of dark forces rekindling visions of empire. </P> "	"nyt_eng_199505.gz"
"21696"	"I"	"fear"	" The best man said that in all his experience, including, I fear, the time that I was his best man, the hour before the ceremony was the most tension-free he had ever seen. </P> "	"nyt_eng_199505.gz"
"21762"	"I"	"fear"	" The best man said that in all his experience, including, I fear, the time that I was his best man, the hour before the ceremony was the most tension-free he had ever seen. </P> "	"nyt_eng_199505.gz"
"21901"	"I"	"fear"	" We are, I fear, experiencing one of those periods following great calamity when it is easy to lose one's balance and when angry partisans tend to reach for each other's throats. It would not hurt for the president to set us an example by throttling down his rhetoric. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950511.0132 type=story > <HEADLINE> `DIVERGENCE' IS THEME AT ELECTRONIC ENTERTAINMENT EXPOSITION </HEADLINE> <DATELINE> LOS ANGELES (BC-E3-DIVERGENCE-HNS) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"21927"	"I"	"fear"	" We are, I fear, experiencing one of those periods following great calamity when it is easy to lose one's balance and when angry partisans tend to reach for each other's throats. It would not hurt for the president to set us an example by throttling down his rhetoric. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950511.0253 type=story > <HEADLINE> QUIRKY BRITISH COMEDY IS A DELIGHT </HEADLINE> <DATELINE> Undated (BC-FILM-REVIEW-ENGLISHMAN WENT UP MOUNTAIN-SPI) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
