"pronoun"	"verb"	"context"	"filename"
"3916"	"he"	"fears"	" Like many others, Campbell suspects that London, despite its insistent denials, has already chosen a course that will loosen Britain's historic ties to the province. The British, he fears, are setting the stage for the day when Northern Ireland, with its majority Protestant population, will be unified with the predominantly Catholic Republic of Ireland, which is the overarching goal of the IRA and other nationalists in Ulster. </P> "	"nyt_eng_199409.gz"
"5482"	"he"	"fears"	" The day Jim Ayers terrorized his neighbors cost him business, medical expenses -- and, he fears, the loss of respect in this small community. The police cars were a constant presence around the house for a long time after the incident, he said. </P> "	"nyt_eng_199409.gz"
"12799"	"he"	"fears"	" But at the Los Angeles district attorney's office, where he stopped next, he worked his way up through felonies to hard-core gangs to the police work. But all, he fears, may go for naught after the debate over the racial epithet. Once, he said, he hoped to be a judge; now he wonders whether he will pay a price for his candor. </P> "	"nyt_eng_199501.gz"
"12805"	"he"	"fears"	" But at the Los Angeles district attorney's office, where he stopped next, he worked his way up through felonies to hard-core gangs to the police work. But all, he fears, may go for naught after the debate over the racial epithet. Once, he said, he hoped to be a judge; now he wonders whether he will pay a price for his candor. </P> "	"nyt_eng_199501.gz"
"28559"	"she"	"fears"	" She frets instead ``for future generations, especially the poor'' who, she fears, could find Medicare's coffers depleted, or benefits curtailed, by the time they reach retirement age. </P> "	"nyt_eng_199507.gz"
"31663"	"it"	"fears"	" Time-Warner's position is that it has no choice because it already backed out when King put a Julio Cesar Chavez show on Sept. 16, a date it intended to use for Oscar De La Hoya. To back down again will only enc STORY IN STORY IN ourage a repeat of these tactics, it fears, so the Time-Warner people are ready to do what people seldom do in boxing _ gamble with their own money. </P> "	"nyt_eng_199508.gz"
"34239"	"he"	"fears"	" No one knows for sure how far the infestation will ultimately spread. ``I think we can only speculate,'' said Johnson, ``but you probably have to start out with the reasonable assumption that sooner or later it's going to spread downstream'' through the entire Missouri River watershed of which the Madison is a part. In many areas, he fears, rainbows ``are going to get slaughtered.'' </P> "	"nyt_eng_199509.gz"
"74575"	"he"	"fears"	" As a result, Kleine said, ``Our production companies have weak distribution systems, nationally and internationally. They lack financing structures and have no rights or libraries.'' The recent boom, he fears, ``could prove to be a kind of straw fire.'' </P> "	"nyt_eng_199610.gz"
"89085"	"he"	"fears"	" Caselli is one of many who would like an amnesty; otherwise, he fears, tensions may snap. It would be the 20th big release since 1947. </P> "	"nyt_eng_200007.gz"
"91673"	"he"	"fears"	" Kepesh returns in Roth's cursory new novel, ``The Dying Animal,'' but while he returns in human form, as a semi-retired teacher and part-time television commentator, he remains as unmoored as ever. Like so many Rothian heroes before him, he finds that his defiance of convention, his refusal to grow up, his unaccommodated pursuit of sex and self-fulfillment have left him floating alone, unbound from family and lasting emotional attachments and perhaps, he fears, secretly longing ``not to be free'' as he approaches his 70th year. </P> "	"nyt_eng_200105.gz"
