"pronoun"	"verb"	"context"	"filename"
"312"	"we"	"feel"	" ``The winged-body approach, we feel, is the least risky because you have the most data (on it),'' said Charles Scottoline, Rockwell's program director for advanced launch systems. </P> "	"nyt_eng_199407.gz"
"2571"	"I"	"feel"	" ``He was a real influence, I feel, on Herman. Herman said, `I had to live in a car.' Mark said, `Oh, I didn't have to do that. I lived in a tent.' Herman talked about having to wait in lines for food and water. Mark said, `Yeah, so did I.' They kept comparing experiences. Herman, I think, was just astounded that this guy, this hero in baseball, had had to go through the same thing. It really opened him up.'' </P> "	"nyt_eng_199408.gz"
"3589"	"I"	"feel"	" ``Maybe they do it perfectly legal. I don't know. If it is proven that I'm wrong, then I'll certainly apologize. But if it is proven that it's true, then I have a responsibility, I feel, as a Division I coach, as a competitor, to express my opinion. I'm not taking anything back.'' </P> "	"nyt_eng_199408.gz"
"4268"	"they"	"feel"	" Already, Suarez reports positive reaction in the Cuban-American community. One building contractor pledged $10,000 a month for the duration of the project, that presumably being until the fall of Castro. A doctor called to donate equipment. The idea, they feel, is not as audacious as some might think. </P> "	"nyt_eng_199409.gz"
"6198"	"we"	"feel"	" ``If we are trying to find out why the people are cynical about the political process, take a look at what happens outside the Finance Committee when it takes up a tax bill,'' he said. ``That corridor is lined with paid professional lobbyists who are paid huge sums of money to lobby on behalf of their clients. The public, we feel, would like to know who is being paid how much to lobby for whom on what issues.'' </P> "	"nyt_eng_199410.gz"
"6950"	"I"	"feel"	" ``This isn't endorsing women in senior pastor positions,'' Hemphill said. ``We affirm the role of women in many ministries. But there is a problem, I feel, based on I Timothy, with a woman in senior pastoral positions.'' </P> "	"nyt_eng_199410.gz"
"7227"	"I"	"feel"	" ``And that second run, I feel, was our best-ever. It's as close to a perfect run as I've ever thrown up on the (computer) screen.'' </P> "	"nyt_eng_199410.gz"
"9249"	"I"	"feel"	" ``It's unbelievable that we haven't beaten them in 11 years. I know they're 6-4 and it's one of their down years, but it's a huge game and I think it'll be a great game. The key to winning, I feel, will be how well we run the ball.'' </P> "	"nyt_eng_199411.gz"
"9854"	"they"	"feel"	" Many on management's side believe union chief Donald Fehr's militancy has become a major problem. They believe his primary motivation is to not risk the disdain of his predecessor, Marvin Miller, by becoming the first union chief to ``lose'' a negotiation. Such a stance, they feel, is wedding him to a hard line at a time when some degree of conciliation is essential. </P> "	"nyt_eng_199412.gz"
"10647"	"they"	"feel"	" While Russians may have higher, more spiritual values than other peoples, they feel, they are uniquely prey to the cleverer and more wily dark-skinned people of the south. And even their spiritual values are under threat, as their children turn from intellectual pursuits to make deals and money or forsake Russian Orthodoxy for Western evangelists. </P> "	"nyt_eng_199412.gz"
"10731"	"they"	"feel"	" While Russians may have higher, more spiritual values than other peoples, they feel, they are uniquely prey to the cleverer and more wily dark-skinned people of the south. And even their spiritual values are under threat, as their children turn from intellectual pursuits to make deals and money or forsake Russian Orthodoxy for Western evangelists. </P> "	"nyt_eng_199412.gz"
"11227"	"we"	"feel"	" O'Connor said that baseball's ``biggest cost item'' is player compensation, adding, ``To refuse to negotiate that, we feel, was irresponsible and we don't feel it's permissible under the labor act.'' </P> "	"nyt_eng_199412.gz"
"11296"	"I"	"feel"	" ``It's all a growing process, I feel,'' head coach Pat Sullivan said. ``Tonight, in that respect, was a lot like our season. We've shown heart and character all year long.'' </P> "	"nyt_eng_199412.gz"
"12374"	"I"	"feel"	" ``I, myself, might come up with a long, slang word for a person if I was upset with him, but the whole incident was blown way out of proportion, I feel,'' he said. ``I talked with Willis and Derrick. Teams have their moments of frustration.'' </P> "	"nyt_eng_199501.gz"
"12905"	"you"	"feel"	" ``And suddenly,'' said Willhite, ``you're finished with baseball -- you're on your own in that world that, you feel, has pretty much forgotten you.'' </P> "	"nyt_eng_199501.gz"
"15695"	"you"	"feel"	" This kind of manly man talk permeates the book. Here's one of Crane/Stroud's descriptions of combat: ``And then suddenly it's over, and that's when you get to think about it, and maybe you can walk over, see the guy you killed. You look down at him, look at the holes in him, see what the rounds can do, and you feel a little sick, feel like you're gonna throw up, but mainly you feel alive, you feel, Hey, I did okay, I didn't choke, and you look back down at him and you say to yourself, Better you than me, asshole.'' </P> "	"nyt_eng_199502.gz"
"17063"	"we"	"feel"	" Occasionally, ``Queen Margot'' echoes of the Dumas who wrote the romantic ``The Three Musketeers'' -- La Mole's attempt to rescue Margot, for instance -- but mostly Chereau is content to paint in darker, more nightmarish hues that, we feel, reflect the reality of the time. </P> "	"nyt_eng_199503.gz"
"20626"	"they"	"feel"	" William Kunstler and his associate, Ronald Kuby, are perhaps the best-known defenders of pariah clients, but they only take clients from the left or members of minorities who, they feel, can be made to represent social issues. </P> "	"nyt_eng_199504.gz"
"21662"	"they"	"feel"	" ``Many of today's parents experience a profound sense of isolation because they're away from extended family or a community that can help them rear their children. Consequently, they feel, `It's me doing this job completely alone,''' says Ron Taffel, author of ``Why Parents Disagree'' (Morrow, 1994). ``Most people wait for a disaster to happen before they ask for help,'' he says. ``But I've repeatedly seen smart mothers set up a support network of friends and neighbors to help them handle ordinary parenting from the beginning, before a crisis develops.'' </P> "	"nyt_eng_199505.gz"
"21983"	"I"	"feel"	" Also, said Smith, ``Look at the balls he's hitting to right-center and left-center field, the number of doubles (eight). That, I feel, is the key to his success. He's taking what they give him. If they pitch him away, he's going to drive it to the gap.'' </P> "	"nyt_eng_199505.gz"
