"pronoun"	"verb"	"context"	"filename"
"278"	"he"	"feels"	" Brown, who grew up in the Bedford-Stuyvesant section of Brooklyn, also writes poetry and essays. But choreography, he feels, allows him to best express himself. </P> "	"nyt_eng_199407.gz"
"6063"	"she"	"feels"	" The difference in their ages, she feels, would have passed unnoticed had their genders been reversed. ``But it's strange to be the woman,'' she said. ``To be older, with everything in her life ebbing, to go after the young playwright -- it's very sad. Or it could be sad.'' She laughed and raised her eyebrows. ``But I had a very good time.'' </P> "	"nyt_eng_199410.gz"
"7478"	"he"	"feels"	" Not that it keeps him from saying what he wants anymore. But politics, he feels, still prevents audiences from seeing what he wants them to see: themselves. </P> "	"nyt_eng_199410.gz"
"7659"	"he"	"feels"	" The more relevant issue, he feels, is whether the school's revenues are diversified. ``What's important is not whether we're making money on that handbag or that pot but that we have a strategy in place,'' he said. </P> "	"nyt_eng_199410.gz"
"9611"	"it"	"feels"	" Among those riding the tunnel during its first week of service, the experience seemed, for the most part, a bit anticlimactic. After a minute or so of excited gabble about the idea of racing through a giant tube buried beneath the seabed, it feels, after all, like just another train ride. But of course, it isn't. </P> "	"nyt_eng_199412.gz"
"9667"	"he"	"feels"	" Mitchell's dilemma is that the only way out, most likely, is to leave Coppin. Larger schools have not come knocking, he feels, because of his pedigree. </P> "	"nyt_eng_199412.gz"
"12973"	"she"	"feels"	" Since then Dame Gwyneth has continued to perform and ponder the role. It is vital, she feels, to project Turandot's frailty as well as her cruelty. The princess keeps alive the stories of her ancestor Lo-u-ling and the men who ravaged and murdered her, Dame Gwyneth explains, to protect herself from men, who terrify her. </P> "	"nyt_eng_199501.gz"
"19761"	"she"	"feels"	" Now, she feels, all that has changed for her. ``I'm kind of at the beginning of my new life.'' </P> "	"nyt_eng_199504.gz"
"22428"	"he"	"feels"	" Piazza can't help but wonder if this season's short spring training may not be at least partially responsible for his troubles. His legs, he feels, just weren't in shape when the season began. Not for the workout they were going to get, at any rate. </P> "	"nyt_eng_199505.gz"
"23338"	"she"	"feels"	" Checkbook balancing? That too, she feels, is for people with too much time on their hands, and prefers to skip it. ``He thinks that's the height of foolishness,'' Mrs. McMahon said. ``I figure if there was something wrong, the bank would tell me.'' </P> "	"nyt_eng_199505.gz"
"25745"	"he"	"feels"	" According to Mark Pearce, NEC spokesman in Tokyo, the company will begin to deliver engineering samples to customers later this year. Production, he feels, might begin as early as late 1997. </P> "	"nyt_eng_199506.gz"
"25746"	"he"	"feels"	" According to Mark Pearce, NEC spokesman in Tokyo, the company will begin to deliver engineering samples to customers later this year. Production, he feels, might begin as early as late 1997. </P> "	"nyt_eng_199506.gz"
"25948"	"he"	"feels"	" According to Mark Pearce, NEC spokesman in Tokyo, the company will begin to deliver engineering samples to customers later this year. Production, he feels, might begin as early as late 1997. </P> "	"nyt_eng_199506.gz"
"25949"	"he"	"feels"	" According to Mark Pearce, NEC spokesman in Tokyo, the company will begin to deliver engineering samples to customers later this year. Production, he feels, might begin as early as late 1997. </P> "	"nyt_eng_199506.gz"
"30977"	"he"	"feels"	" Tenney now says this torture session showed him he had a higher tolerance for pain that many other people. The buffer against pain, he feels, is largely psychological. </P> "	"nyt_eng_199508.gz"
"34952"	"he"	"feels"	" It's just that Somerset, for all his skill and learned intelligence, has given up. The task is too big, the decay too widespread, the pathology too relentless and getting worse. All of his efforts, he feels, have been futile, and he can't wait to run away from it all and retire to the country. </P> "	"nyt_eng_199509.gz"
"37651"	"she"	"feels"	" Indeed Olive Benson, owner of Olive's salon, says that she has no plans to provide services beyond shampoo, conditioning and color for natural hair. Braiding, she feels, is often damaging to hair because of the weight braids put on fragile roots and because of allergic reactions women have to the synthetic hair often used in braiding. Dreadlocks, she describes as ``almost like a shelf with antiques and curios that just collects dust and stuff.'' </P> "	"nyt_eng_199510.gz"
"39392"	"he"	"feels"	" Now, he feels, his back poses more of a threat to his future than Hodgkin's disease, a form of cancer that attacks the lymph nodes and can be fatal. </P> "	"nyt_eng_199511.gz"
"40000"	"he"	"feels"	" Adams also had a few words for Houston officials, who, he feels, did not do enough to keep the Oilers in the Lone Star state. </P> "	"nyt_eng_199511.gz"
"40001"	"he"	"feels"	" Adams also had a few words for Houston officials, who, he feels, did not do enough to keep the Oilers in the Lone Star state. </P> "	"nyt_eng_199511.gz"
"41264"	"he"	"feels"	" Traditionally, multipurpose appliances have not been successful in the United States, says Peter Giannetti, editor of Home World, the New York-based trade magazine for the home appliance industry. In Europe and Japan, where kitchen space is often at a premium, such appliances are far more popular, he says. Americans, he feels, like one gadget for one purpose. </P> "	"nyt_eng_199511.gz"
"42504"	"she"	"feels"	" Her long success, she feels, was due to her ability to draw limits, an ability she says today's singers lack. </P> "	"nyt_eng_199512.gz"
"43552"	"he"	"feels"	" He would stay with friends, or perhaps a relative or coach. He would go weeks without speaking to Beverly, whose overprotectiveness, he feels, shielded his siblings from important life experiences. </P> "	"nyt_eng_199512.gz"
"43745"	"he"	"feels"	" All of that has influenced his dances, Salaam said. And his choreography is work that he finds almost impossible to separate from the life of the world around him, to which, he feels, he has enormous responsibilities as both a black man and a father. Salaam is married to the dancer Dyane Harvey, and they have an 11-year-old daughter, Khisekh. </P> "	"nyt_eng_199512.gz"
"43896"	"he"	"feels"	" He has felt the frustration of the Bruins' struggles this year and that has translated to his own. The remedy, he feels, is to lighten up and not be unnecessarily burdened by expectations, be they realistic or not. </P> "	"nyt_eng_199512.gz"
"51359"	"he"	"feels"	" Fine report by the LA Times last week, revealing the bizarre abduction of Oleg Tverdovsky's mother near Kiev. Alexandra Tverdovsky was spirited off the streets in Donetsk, Ukraine, in a plan allegedly masterminded by one of Oleg's former coaches _ identified only as Nikolai V. The captors attempted to extort $200,000 from Tverdovsky and the plan was in its final stages when authorities recaptured Alexandra aboard a train headed for Moscow, where she was going to be exchanged for the ransom. Nikolai V. enlisted the help of a woman, Tetiana R. (this is getting slightly Kafkaesque, no?), and the plot crumbled with the arrest of five people _ all of whom, if convicted, could be sentenced to up to seven years in a Ukraine hoosegow. Tverdovsky's former coach, Nikolai V., visited him in Anaheim over the summer and grew jealous of the teen-ager's rich, comfortable lifestyle. ``After that, he was upset,'' said Ducks forward Valeri Karpov. ``Things are hard in Ukraine _ the hardest in Russia _ and he wanted the money.'' During the 10 days of his mother's abduction, Tverdovsky was traded from the Ducks to the Jets, and all the while he said nothing to teammates or management on either side. ``I couldn't talk to anyone,'' he told the LA Times. ``She was in danger.'' Alexandra and her husband, Fedor,are now safe and sound in Anaheim ... Tverdovsky is now one of four teen-agers, along with Chad Kilger,Shane Doan and New Hampshire's Deron Quint,getting a good share of ice time in Winnipeg ... St. Louis TV station KPLR drew a 17.5 Nielsen rating for Gretzky's first game with the Blues. Previously, the hockey high was 14.2 for a March '91 playoff game ... Burns' opinion is that the Leafs' future now rests with two Swedes (Mats Sundin,Kenny Jonsson)and a goalie (Felix Potvin),and the leader who must emerge is Sundin. ``He sees a lot of talent sitting in the dressing room,'' said Burns, ``and he looks over and he doesn't want to put anyone's nose out of joint. He says, `OK, there's Mike Gartner,there's Dave Andreychuk,there's Doug Gilmour _ all these guys have accomplished so much.' If he was on a young team, right now he'd feel like a leader. But I think, right now, he feels, `Well, it shouldn't be me.''' ... Jon Casey and the Amazing Technicolor Five-Hole made it into the Blues' 4-2 loss to Calgary Thursday night, relieving Grant Fuhr. The Blues were 2-1-1 in the first four games since Gretzky's arrival. Total offense: 10 goals. They're winning, but mostly to Fuhr's credit. Not much has changed ... The Wackier They Get, The More You Wonder, Part I: Speculation has it that Mike Keenan could be behind the Toronto bench next season, replacing Burns. Makes you wonder, would Gretzky be there, too? ... The Wackier They Get, The More You Wonder, Part II: One rumor making the rounds Friday morning had Gerry Cheevers back as Boston coach if the Bruins hadn't pulled out a win the night before over the Islanders. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960309.0271 type=story > <HEADLINE> BUCHANAN STIRS UP HIS TROOPS IN TEXAS </HEADLINE> <DATELINE> NACOGDOCHES, Texas (BC-GOPCAMPAIGN-TEX) </DATELINE> <TEXT> "	"nyt_eng_199603.gz"
"52886"	"she"	"feels"	" Hank takes a room above Marian's. He visits and makes love to Clare, who lives alone in her father's house up on the hill above town. She never leaves the house. She looks down from her front steps on the town her father has destroyed. She looks within herself for further signs of deterioration. Her large intestine has been cut out and she now wears what she calls a ``glorified Baggie.'' But she's reflective. Nearly dying in her 20s, she feels, taught her that time stops. ``The walls of time fall away, and you can see the past complete.'' </P> "	"nyt_eng_199603.gz"
"53847"	"she"	"feels"	" Such blatant sexism, she feels, oversteps the mark of what is acceptable. </P> "	"nyt_eng_199603.gz"
"56635"	"she"	"feels"	" She acknowledges that the large corporate communications providers have entered some areas and then they left because of political instability, high corruption and vandalism. A number of them, she feels, are simply wary of investing big bucks in Africa when there are more opportunities with less risk in China and Latin America. </P> "	"nyt_eng_199604.gz"
"56692"	"she"	"feels"	" Myths and confusion, she feels, stop families from granting consent. </P> "	"nyt_eng_199604.gz"
"57474"	"she"	"feels"	" She acknowledges that the large corporate communications providers have entered some areas and then they left because of political instability, high corruption and vandalism. A number of them, she feels, are simply wary of investing big bucks in Africa when there are more opportunities with less risk in China and Latin America. </P> "	"nyt_eng_199605.gz"
"58716"	"he"	"feels"	" Too much of today's political reporting, he feels, is delivered with a kind of cynical knowingness that encourages voters to have contempt for politics. ``Increasingly,'' he said, journalism ``takes on this edge, this attitude, this smirk, this swagger.'' </P> "	"nyt_eng_199605.gz"
"58721"	"he"	"feels"	" Too much of today's political reporting, he feels, is delivered with a kind of cynical knowingness that encourages voters to have contempt for politics. ``Increasingly,'' he said, journalism ``takes on this edge, this attitude, this smirk, this swagger.'' </P> "	"nyt_eng_199605.gz"
"76591"	"he"	"feels"	" With its who's-up, who's-down mentality, he feels, the Washington, D.C., media has missed the singluar, lasting achievement of Clinton's first term. Defying his own political base, Clinton committed the United States to free trade. He may have stumbled on other fronts but has worked with deftness and skill to make the U.S. a key player in (being italics) all (end italics) of the world's major emerging trade blocs. </P> "	"nyt_eng_199611.gz"
"76600"	"he"	"feels"	" He'd still like to be thought of as ``Coach'' Auerbach, even though he retired from that position 30 years ago. Everything else he's done is secondary in his mind to the act of molding a bunch of disparate talents and personalities into a smooth, functioning unit. It was, he feels, his life's calling, and when he decided to quit, it was with the knowledge that he had done it to the best of his ability. </P> "	"nyt_eng_199611.gz"
"77070"	"he"	"feels"	" Samuel Proctor, a former college president and pastor emeritus of Harlem's Abyssinian Baptist Church, is saying he doesn't think God should be condemned for the flood. The story, he feels, does not define God's nature but is merely ``one writer's understanding.'' </P> "	"nyt_eng_199611.gz"
"77214"	"he"	"feels"	" Samuel Proctor, a former college president and pastor emeritus of Harlem's Abyssinian Baptist Church, is saying he doesn't think God should be condemned for the flood. The story, he feels, does not define God's nature but is merely ``one writer's understanding.'' </P> "	"nyt_eng_199611.gz"
"77740"	"he"	"feels"	" The Vuelta, he feels, was the first race of his professional career where he arrived in peak form and morale. </P> "	"nyt_eng_199611.gz"
"84511"	"she"	"feels"	" Emily Holmgren likes Green Bay's chances _ a lot _ against New England. The Packers, she feels, are unstoppable _ kind of like her mother and father teamed in a game of Trivial Pursuit. But she quickly points out how much she and her father respect Parcells, Drew Bledsoe and the rest of the Patriots. </P> "	"nyt_eng_199701.gz"
"86931"	"she"	"feels"	" The advent of Chinese rule is but one constraint facing artists in Hong Kong, according to Ms. Cheung. More troubling in some ways, she feels, is an esthetic indifference to Hong Kong's own artists, a feeling that the only thing of value in Hong Kong is money and how it is made. ``Before, nobody cared about art in Hong Kong,'' she explains. ``Now it's changing a bit. But people pay much more attention to imported art. Local art is not good enough.'' </P> "	"nyt_eng_199702.gz"
