"pronoun"	"verb"	"context"	"filename"
"925"	"I"	"felt"	" ``At the time (of last year's Class A assignment), I felt, `I'm going to have to put a year or two in,''' Lorraine said of his minor-league career. ``I didn't know how fast I could move if I did well.'' </P> "	"nyt_eng_199407.gz"
"1127"	"he"	"felt"	" A watercolor by Akseli Gallen-Kallela combines a visionary portrait of the composer with a landscape inspired by the tone poem ``En Saga.'' A blank space had been left for Sibelius to write in a relevant musical quotation, but he declined to do so. No painting, he felt, can precisely represent musical content. </P> "	"nyt_eng_199407.gz"
"4339"	"we"	"felt"	" But Mrs. Brown said: ``The other crayons, we felt, added enough to the lead level that they should be withdrawn, and the companies agreed to withdraw them. I think their knowing we can get good press encourages them to go along with us, but we're not legislating by press release.'' </P> "	"nyt_eng_199409.gz"
"4450"	"we"	"felt"	" The answer, said Lynn Giordano, creative director at the agency, was ``to paint a picture of the reader,'' adding: ``And the best way, we felt, was to paint that picture through the eyes of all the men in her life. It could be a brother, a best friend, a father, a son, a lover, a friend.'' </P> "	"nyt_eng_199409.gz"
"4495"	"they"	"felt"	" As speaker, Rayburn went out of his way to help Republican President Dwight D. Eisenhower. He led the battle to fend off threats to the president's foreign policy initiatives. When an economic recession struck in 1958, Rayburn and Senate Democratic Leader Lyndon Johnson organized a legislative rescue effort for the economy. Solutions, they felt, were better than scapegoats. A healthy economy was better than a campaign issue. Trust in our American government was better than a cheap slogan to throw at the opposition. </P> "	"nyt_eng_199409.gz"
"4886"	"I"	"felt"	" ``I think around the league my reputation has improved,'' Churla said. ``Just last year in the playoffs was a big step. A lot of players who play that role won't play much in the playoffs because they know the fighting and intimidation factor isn't really there. But I was able to play and, I felt, contribute to the team. And I think that's where you're measured, in the playoffs when everything counts.'' </P> "	"nyt_eng_199409.gz"
"7221"	"I"	"felt"	" ``The idea of paying maintenance really turns me off,'' she said. ``In addition to purchasing real estate and paying the mortgage, I felt, why should I have to pay these other expenses?'' </P> "	"nyt_eng_199410.gz"
"7275"	"she"	"felt"	" At 16, while a student at the Horace Mann School in the Riverdale section of the Bronx, she decided to write a book about teen-agers. She was tired of the so-called experts, usually in their 40s, who, she felt, didn't have a clue and weren't even asking the right questions. </P> "	"nyt_eng_199410.gz"
"8594"	"I"	"felt"	" Opulence was still present. In a nod toward those angels who are gathering to help us over the hump into the 21st century, there was a dazzling array of pastel satins, the most dazzling of which, I felt, were Ralph Lauren's oyster-shell whites. He made them into sort of late-30s tennis dresses worn with blue or pink vest-sweaters, and women of all colorings looked glorious in them. </P> "	"nyt_eng_199411.gz"
"9909"	"they"	"felt"	" ``This is the third time I tried to make the team,'' said White, who was activated in the eighth game. ``I think this game showed them. Once they felt I showed my solid nerves in the game's pressure situations, they felt, `Hey, this guy's ready.''' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941206.0034 type=story > <DATELINE> LOS ANGELES  (BC-SIMPSON-TRIAL-LADN) </DATELINE> <TEXT> "	"nyt_eng_199412.gz"
"12093"	"they"	"felt"	" Many young people supported the war and died fighting for their country. And a great many older Americans opposed the war. It was not, they felt, a vital national security issue. But in general, America's youth came close to answering the bumper sticker question ``What if they called a war and no one came?'' </P> "	"nyt_eng_199501.gz"
"13736"	"I"	"felt"	" ``It's the kind of theme I'm always interested in, and when this script (by Michael De Luca, president and CEO of the film's distributor, New Line Cinema) came along, I felt, `Hmm, this is one way of looking at it that I haven't seen.''' </P> "	"nyt_eng_199502.gz"
"14257"	"he"	"felt"	" Despite unbelievable money, he felt, with reason, that ``the players don't have as much fun as we did.'' On induction to the Tennis Hall of Fame at Newport in 1975, he looked around the Casino, one of his old circuit haunts, and grinned, ``Ah, if this shrubbery could talk. We'd all be in trouble.'' </P> "	"nyt_eng_199502.gz"
"14334"	"he"	"felt"	" Although he dragged the steel mills back to profitability, USX's orientation toward its Marathon Oil business, he felt, blocked further advancement. Moved up to a nonoperating job of chairman of the steel and diversified group, he retired at age 64 in May 1991. </P> "	"nyt_eng_199502.gz"
"15007"	"I"	"felt"	" ``It even got to the point that we started going to the 6:30 a.m. practices a couple of times a week,'' Yeomans said. ``But I enjoyed it, and, I felt, it was keeping me in shape for the golf season.'' </P> "	"nyt_eng_199502.gz"
"15869"	"he"	"felt"	" Stierheim also complained that CNN made the gang killing of a Miami samaritan last year the lead story of its worldwide news service when, he felt, it was hardly the most important piece of news going on in the world that day. </P> "	"nyt_eng_199503.gz"
"16367"	"he"	"felt"	" There are a number of useful points to be taken from his long and harrowing account of how he became dependent on sleeping pills and alcohol, and then agonizingly withdrew. Several involve his polite dispute with the techniques used by Alcoholics Anonymous, which, he felt, inflicted on him a mild form of brainwashing, and may have misdiagnosed him in insisting that ``one disease fits all.'' </P> "	"nyt_eng_199503.gz"
"20396"	"he"	"felt"	" He wants to know more about a 16-year career with the Cubs, in which Smiling Stan averaged .301, played in four World Series and, he felt, was unfairly left out of the Baseball Hall of Fame. </P> "	"nyt_eng_199504.gz"
"20443"	"they"	"felt"	" Prior to that game, the Magic coaching staff warned the officials to watch Montross, who, they felt, was tangling too much with Shaq. The two teams had played the night before in Hartford. Montross didn't change a thing in Orlando, O'Neal got agitated and threw a choke-punch at the rookie and found himself ejected. (The Magic then went on to pummel the Celtics, but the fans still remember the ejection). </P> "	"nyt_eng_199504.gz"
"20692"	"he"	"felt"	" Despite his success, Harvey lived in despair, cut off, he felt, from any source of spiritual strength. In 1977 he put his Oxford life behind him and returned to Mother India. There, a year later, when he was 26, he met a 17-year-old woman, Kamala Reddy. Her followers call her Mother Meera (``miraculous''); they believe she is an avatar, a temporal incarnation of the eternal Divine. </P> "	"nyt_eng_199504.gz"
"20978"	"he"	"felt"	" Still, FDR wanted a more expressive name. It was an exceptional war, he felt, and so it demanded an exceptional title. </P> "	"nyt_eng_199505.gz"
"20979"	"he"	"felt"	" Still, FDR wanted a more expressive name. It was an exceptional war, he felt, and so it demanded an exceptional title. </P> "	"nyt_eng_199505.gz"
"21073"	"he"	"felt"	" Still, FDR wanted a more expressive name. It was an exceptional war, he felt, and so it demanded an exceptional title. </P> "	"nyt_eng_199505.gz"
"21074"	"he"	"felt"	" Still, FDR wanted a more expressive name. It was an exceptional war, he felt, and so it demanded an exceptional title. </P> "	"nyt_eng_199505.gz"
"21079"	"he"	"felt"	" The Celtics had one gate attraction during Auerbach's first six years as coach, and that was Bob Cousy. Despite Cousy's heroics, the Celtics were a close-but-no-cigar team that lacked a rebounder to trigger the fast-break style that Auerbach espoused and at which Cousy excellecoach and mentor, Bill Reinhart, had tipped him off to this very different type of player. Russell lacked a scorer's touch, but he had exceptional spring and timing. His game consisted of rebounding and defense. He blocked shots in a manner heretofore unseen. Auerbach was intrigued. Here, he felt, was our savior. </P> "	"nyt_eng_199505.gz"
"22420"	"I"	"felt"	" Conquering the summit, I felt, would reveal the deeper meaning of the famous eruption after the passage of 15 springtimes. </P> "	"nyt_eng_199505.gz"
"25897"	"he"	"felt"	" Conrades thought he recognized the key to growing through the Internet, the burgeoning amalgam of computer networks. The answer, he felt, was not to go after the so-called ``network surfers,'' users who pay as little as $15 a month to be connected. </P> "	"nyt_eng_199506.gz"
"31647"	"she"	"felt"	" Although not so well known to the public as the sex researchers William Masters and Virginia Johnson, Dr. Kaplan was a leader in her field. She also had her differences with the Masters-Johnson team, questioning their advocacy and use of two therapists working together because, she felt, one therapist of either sex would suffice. </P> "	"nyt_eng_199508.gz"
"32957"	"I"	"felt"	" ``(People read that) I grew up in the inner city but (stories are not) saying my mom lives in Sherman Oaks. There was a comment made by one of the Pac-10 investigators and I felt it was a real negative comment toward me,'' Johnson said. ``It has something to do, I felt, with me being an inner-city kid. They expect for you not to have $1,500 in your bank account.'' </P> "	"nyt_eng_199509.gz"
