"pronoun"	"verb"	"context"	"filename"
"625"	"you"	"figure"	" Fehr, you figure, sniffs wine corks and swirls his brandy before sipping. Ravitch, the owners' hired gun labor negotiator who lost a bid for mayor of New York City in 1989, is more likely to belly up to the bar and order a round of Iron City beer for the house. </P> "	"nyt_eng_199407.gz"
"736"	"they"	"figure"	" ``When people see our camera in the room, they figure, well, it's just C-SPAN,'' Lamb said. ``That's a plus, and if we could somehow get politicians to ignore the camera, we'd see a lot more honest view of what they are.'' </P> "	"nyt_eng_199407.gz"
"1241"	"they"	"figure"	" But, they figure, if Spike and John Singleton and Hal Hartley and ``that `Slacker' guy'' can make a movie for nothing and become rich 'n' famous, why can't they, even if they are totally flummoxed by terms like ``pitch'' or ``script''? </P> "	"nyt_eng_199407.gz"
"7716"	"you"	"figure"	" ``People find they're stuck in their first house and that's scary to people who are in the market,'' said Lisa Rosenthal, who in May of last year moved into a house that she and her husband, David, bought in Montclair, N.J. ``If you can't turn it over, you figure, `Why bother?''' </P> "	"nyt_eng_199410.gz"
"8972"	"I"	"figure"	" ``I know I'm a minor celebrity,'' said Lebenthal, who stars in television commercials for his bond business. ``I walk into `21,' his restaurant, and there's a kind of stir. I know I'm a call you should return. But on the other hand, I figure, well, I didn't cut it.'' </P> "	"nyt_eng_199411.gz"
"9081"	"you"	"figure"	" You could say the Cowboys had their thumb on the Redskins all day. Unfortunately, it was backup quarterback Rodney Peete's thumb. Rodney was pitching in relief of Aikman. First, it was Aikman's thumb last week. And then his knee ligament yesterday. Soon, you figure, Aikman might be endorsing anatomy textbooks and ice packs. </P> "	"nyt_eng_199411.gz"
"16810"	"they"	"figure"	" In the face of such uproar, House Speaker Newt Gingrich and Armey had no choice but to junk Judiciary's language and put off the vote. They now propose an amendment restricting members of Congress to 12 years -- max -- but keeping silent on the question of preempting state law. That way, they figure, the door is left open for the courts to invalidate more stringent state limits. </P> "	"nyt_eng_199503.gz"
"19992"	"you"	"figure"	" You have several television sets in your home, but you consider yourself a moderate watcher. Your children may watch a bit too much TV, but they do fine in school and have plenty of friends so you're not worried. The set goes on before school and you often watch TV when you prepare dinner, but it's background noise mostly, you figure, just a friendly presence in the house. It can be annoying to come home and not even get a hello from kids glued to the set, but actually, you get private time that you really need after a long day. </P> "	"nyt_eng_199504.gz"
"22994"	"we"	"figure"	" I bought an old clock at a garage sale recently. It's the kind that requires winding every twelve hours. Not so many of us turn handles or knobs to manage time any more, with electric and battery and digital clocks convenient at little cost. They save time, we figure, one more thing we don't have to think about. </P> "	"nyt_eng_199505.gz"
"28069"	"I"	"figure"	" ``Wingate, I figure, is going to help us the most because he's a defensive player and he's athletic and can run with us. With me, him, Nate (McMillan) and Vincent (Askew) in the game, I think we'll be a great team that could press, run and jump. He can rebound and he can guard somebody. </P> "	"nyt_eng_199507.gz"
