"pronoun"	"verb"	"context"	"filename"
"1169"	"we"	"figured"	" We desperately needed a Super Hero. Chad, we figured, was the sequel to Roger Staubach. ``Captain America II,'' coming soon to a National Football League stadium near you. </P> "	"nyt_eng_199407.gz"
"3386"	"I"	"figured"	" ``Well, I figured, why not? I knew a law degree would certainly be useful to have. </P> "	"nyt_eng_199408.gz"
"3558"	"I"	"figured"	" An even greater difficulty was that Lechle did not know anything about gay life: ``Over the years, I had known a few gay people but that was it. Still, I figured, with my customers shooting up in the bathroom, what did I have to lose? My wife agreed.'' </P> "	"nyt_eng_199408.gz"
"3835"	"she"	"figured"	" Then, stiffening as he picked at a slice of veal, he added: ``We'll be the first to go over and taste it. If it's good, we'll make it like they do.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940831.0323 type=multi > <HEADLINE> WITH A SONG IN THEIR HEARTS </HEADLINE> <DATELINE> NEW YORK  (BC-PEOPLE-BRIEFS-NYT) </DATELINE> <TEXT> If at first you don't succeed, wait. Your time will come.   Robbie Capp, a free-lance book editor who loves Broadway songs, has always had to sing along at home with the likes of Judy Garland and Barbra Streisand because she could never find an amateur chorus specializing in American musical theater.   This year, she figured, with all the revivals around, it was time for a serious effort. She approached Andrew Colton, the director of the 92nd Street Y School of Music, with her dream and, voila, the Broadway at the Y Chorus was created.   It will begin life next month with Neil Ginsberg, a conductor, at the helm and will be open to singers of all levels who love Broadway songs. Well, singers of almost all levels. ``If they sing off-key, I might suggest a ceramics course,'' Ms. Capp said.   For those on-key, there will be 12 two-hour rehearsals ending with a public performance. It costs $150 to participate. And even before the first rehearsal, Ms. Capp is thinking big. Her goal?   ``An annual sing-along with 100,000 voices, on the Great Lawn of Central Park,'' she said.   President Clinton, Hillary Rodham Clinton and their daughter, Chelsea, now vacationing on Martha's Vineyard in Massachusetts, are expected at a barbecue Thursday night to be given by Paul Beirne, a money manager with Sanford C. Bernstein &AMP; Co. in New York, and Thomas Lee, a leveraged-buyout specialist, who entertained the Clintons at a similar event last year.   Beirne said the barbecue is to be at the home of Susie Tree, a friend on the Vineyard, and that the 150 guests are to include both friends of the Clintons and members of the press corps.   What is Beirne's connection? He was a student at Santa Clara University with Dee Dee Myers, the White House press secretary, and -- double whammy -- Thursday is her 33rd birthday.   NEW YORK -- Maybe it's a first, but no matter. An 87-page book of photographs called ``The Seasons Observed'' (Harry N. Abrams, $24.95) is to go on sale at cosmetics counters later this month, as well as in bookstores.   An exhibition of the photographs will open on Sept. 14 at the Holly Solomon Gallery in the SoHo section of New York City. The gallery will also sell the pictures.   The photographs are the work of Evelyn H. Lauder, so there's no need to explain the cosmetics connection, or the whys and wherefores. Mrs. Lauder, the senior corporate vice president of Estee Lauder, is donating her royalties to the Breast Cancer Research Foundation, and many department stores are following suit with from half to all of their profits.   An originator of the pink-ribbon campaign to increase awareness of breast cancer, Mrs. Lauder has already raised $18 million for a breast cancer center for Memorial Sloan-Kettering Cancer Center and for research into the disease.   Not so incidentally, Mrs. Lauder said, the family company will soon introduce a new cosmetics color -- you guessed it -- ``Pink Ribbon.''  </TEXT> </DOC> <DOC id=NYT_ENG_19940831.0324 type=story > <HEADLINE> DEBATE RAGES ON WHAT BOOKS SHOULD BE ALLOWED IN SCHOOLS </HEADLINE> <DATELINE> WASHINGTON  (BC-SCHOOL-CENSORSHIP-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"4883"	"they"	"figured"	" As passive investors there was little they could do. So the three established Cali Associates and built homes themselves. For each new project, they insisted that the project managers they hired invest some of their own money in the projects. That way, they figured, each project would be run by someone with a vested interest. </P> "	"nyt_eng_199409.gz"
"7674"	"he"	"figured"	" So, he figured, why not give the crowd a thrill?. </P> "	"nyt_eng_199410.gz"
"10521"	"he"	"figured"	" When Irving S. Shapiro got his law degree from the University of Minnesota, jobs were scarce. ``The best thing I could come up with was a lawyer who let me use a spare office in exchange for doing some work for him,'' Shapiro said. The arrangement, he figured, would leave him plenty of time to build his own practice. </P> "	"nyt_eng_199412.gz"
"12502"	"I"	"figured"	" ``By then, it was established; John Taylor does not talk to the press,'' he said. ``And things were working out for me. So, I figured, if it ain't broke, don't fix it.'' </P> "	"nyt_eng_199501.gz"
"13065"	"he"	"figured"	" The name Gary Kubiak ring a bell? If you can't beat 'em, he figured, join 'em. </P> "	"nyt_eng_199501.gz"
"13428"	"he"	"figured"	" Young will admit that today, though he wouldn't then. He has said that he didn't apply himself to the mental part of the game as he should have in his early days. When coaches started talking about second and third reads in the passing game, Young didn't pay much attention. If the primary receiver wasn't open, he figured, he would do what he had done his whole life -- run for a first down. </P> "	"nyt_eng_199501.gz"
"14911"	"he"	"figured"	" Lockert admitted to one problem. He was far from the tourist trade on the main highways. Still, he figured, even a nominal fee shouldn't put off wide-eyed visitors once they saw what he'd created. </P> "	"nyt_eng_199502.gz"
"16224"	"you"	"figured"	" Or maybe you're a major-league coach and while you've given everything you've got these first few weeks, trying to sort out the flotsam and jetsam, all along in the back of your mind you've figured replacement ball would never really happen. This would be just an exercise, you figured, a fire drill. Sort of like the war games the Pentagon plays. But not real. God help us, not real. </P> "	"nyt_eng_199503.gz"
"16819"	"I"	"figured"	" I'd leverage my position irresponsibly, buy everything on margin and pray the market moved in my direction. By the end of the session, I figured, I'd either be Trump-rich in play money or be facing extradition to Singapore. </P> "	"nyt_eng_199503.gz"
"17089"	"they"	"figured"	" The second was just bizarre: They planned to kidnap Kohley's ex-wife in order to photograph her nude. The nude pictures, they figured, would then be used as leverage to get her to drop a sexual assault charge against Kohley. </P> "	"nyt_eng_199503.gz"
"17985"	"they"	"figured"	" THE ROOTS OF THE WRITING: The two old friends lingered as the sun receded behind Somervell County's limestone cliffs. Within a few hours on that brilliant afternoon a few years ago, both Mickey Schmid and John Graves had bagged their limit of doves, a dozen apiece, no small achievement, they figured, for men now in their 70s and one of them hunting with only one good eye. The day's shooting done, the afternoon still pleasant, conversation turned to another time and place, and eventually to the uncommon notion of 60 years passing since they first took up guns together and sallied forth into the wilds. </P> "	"nyt_eng_199503.gz"
"19488"	"she"	"figured"	" Boston, she figured, was the next step. </P> "	"nyt_eng_199504.gz"
"19733"	"he"	"figured"	" This was the 11th Boston for John Zupanc of Oshkosh, Wisc. and, he figured, about his 40th marathon overall. He has finished all he has started so didn't doubt he would finish this one. </P> "	"nyt_eng_199504.gz"
"20592"	"he"	"figured"	" After 15 years in Seattle, he welcomed the slower pace that small-town Americana offered. And what better place to live, he figured, than this orchard town whose back rubs against the Columbia River and which calls itself The Apple Capital of the World. </P> "	"nyt_eng_199504.gz"
"21521"	"she"	"figured"	" If the Croats slit her throat, she figured, it would be over in a minute. If she chose flight, however, the agony of refugee life in Serbian-held Bosnia could stretch on for years. She pulled down the shutters of her small house on the northern banks of the river and sat tight. </P> "	"nyt_eng_199505.gz"
"23212"	"he"	"figured"	" Despite the film's bizarre effects considerations, Silberling tried, as best he could, to approach it like any other shoot. That was the only way, he figured, to lend ``Casper'' the heart and personality that Spielberg hired him to create. </P> "	"nyt_eng_199505.gz"
"23362"	"I"	"figured"	" Inside, he says: ``I have a very good reason for doing what I just did. I'm thinking of doing my own tour in the U.K. in November with this little band. When I found out what they paid for this, I figured, that's the wages for the tour.'' </P> "	"nyt_eng_199505.gz"
"24072"	"he"	"figured"	" The CD-ROM project was a perfect match, he figured, between new technology and the old culture. It was also classic Quincy Jones, yet another expansion from popular music into a new medium. </P> "	"nyt_eng_199506.gz"
"24678"	"we"	"figured"	" But the Yankees came to Dodger Stadium for the third and fourth games of the 1963 World Series, what would be the climax of an L.A. sweep. Although Mantle was about to turn 32, his tortured body was ancient, and he had played just 65 games that season. But this, we figured, would be the ultimate: watching Mantle in our own back yard against Don Drysdale and Sandy Koufax. </P> "	"nyt_eng_199506.gz"
"25960"	"they"	"figured"	" Our only hope was that once the crabs lopped off all our toes, they would attack the jellyfish and kill each other off. Alas, this wondrous battle never materialized. There was no sense fighting among themselves, they figured, because even if they did manage to strip all the flesh off our bones, another group of campers would be along in less than two weeks. </P> "	"nyt_eng_199506.gz"
"26331"	"they"	"figured"	" There really is no one that hate-able or horrible in today's NHL. The Philadelphia Flyers of the late-'60s and early-'70s, with a fang-toothed Bobby Clarke at their center, were the last of the game's real hellions. They called themselves the Broad Street Bullies, and they hacked and slashed their way to Stanley Cups in '74 and '75, leading the NHL powers that be to surrender to the WWF as the role model for North American inner-city street gangs. Hockey, they figured, could find a different way, before each team in the league was carrying a dozen 6-6, steroid-inflated forwards. </P> "	"nyt_eng_199506.gz"
"27334"	"I"	"figured"	" On the first day of the conference, at a seminar on Social Security, I tried to raise the issue of means testing. Everyone, I figured, was aware of the need to cut back on benefits if there was to be anything left for our children and grandchildren. </P> "	"nyt_eng_199507.gz"
"27554"	"I"	"figured"	" ``It was a 23-year chase,'' said McVie. ``When it ended, and they offered me the job in Providence, I figured, `What, am I going to work my way back to Boston?' I didn't have 23 years. I couldn't believe it. I still can't believe it.'' </P> "	"nyt_eng_199507.gz"
"27603"	"he"	"figured"	" It would be a little alcove in cyberspace, where, he figured, people could meet to discuss movies and television shows. </P> "	"nyt_eng_199507.gz"
"27871"	"he"	"figured"	" It would be a little alcove in cyberspace, where, he figured, people could meet to discuss movies and television shows. </P> "	"nyt_eng_199507.gz"
"30399"	"I"	"figured"	" ``We're sure he didn't do this,'' Ms. Ismail said, on the verge of tears. ``We want to see the justice of America.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950806.0183 type=advis > <DATELINE>  (BC-AZR-BUDGET-AZR) </DATELINE> <TEXT> (For use by N.Y. Times News Service clients)  The Arizona Republic plans to move the following stories for use by clients of the NYTimes News Service for Monday, Aug. 7. If you have any questions, please call Tom Journey on the Republic News Desk at 1-(602)-271-8108.  FLIGHT255-REUNION (PHOENIX) _ It's been eight years, but the Geiger clan still feels the loss. ``I remember it like it was yesterday,'' said Rosemarie Geiger McGrath. ``I don't think it ever really goes away.'' McGrath's son, his wife and their two daughters were on their way back to Phoenix on Aug. 16, 1987, when their plane, Northwest Airlines Flight 255, slammed into a hilltop near Detroit. All but one of the 157 passengers died. The Geigers will meet in Phoenix Aug. 16 with others whose loved ones perished in the crash. By KELLY PEARCE. Photo available. Story will move in the ``A'' category.  LION-TAUNT (PHOENIX) _ Little Sterling Borchers learned a lesson: don't tease a kitty with a stick, especially when the kitty is a 90-pound mountain lion with an attitude. The 5-year-old waved a stick at a female lion at the Phoenix Zoo, trying to get the cat's attention. He did, and the cat lashed out through the bars of its cage, nipped a piece out of Sterling's right arm and raked its claws over the little boy's chest. By ABRAHAM KWOK. Story will move in the ``A'' category.  GALAXIES (UNDATED) _ Our own Milky Way and other giant galaxies probably grew from collisions of smaller galaxies, a group of astronomers concludes from new observations of the distant past. Their work adds evidence against the once-dominant theory that each giant galaxy condensed from its own primordial cloud of gases. The newer theory implies that the sun and Earth may have been conceived by the shock waves of smaller galaxies joining together. By GUY WEBSTER. Story will move in the ``A'' category.  RADIOSCOPES-PHONES (TEMPE, Ariz.) _ The rising use of radio waves for everything from making phone calls to detecting drug smugglers is frustrating radio astronomers studying turbulent reaches of the universe. By GUY WEBSTER. Story will move in the ``A'' category.  NICKELL-COLUMN (UNDATED) _ As a relatively long-time subscriber to the Prodigy online service, I've often been puzzled, and occasionally irritated, by some of the changes they have made _ and some they haven't. However, their newest redesign effort may lead me to take another look at America Online or CompuServe. By NAAMAN NICKELL. Story will move in the ``F'' category.  GOODYKOONTZ-COLUMN (UNDATED) _ The classic vacation plans: It's hot in Arizona all summer, I figured, so I went East, where I encountered a heat wave with humidity. By BILL GOODYKOONTZ. Story will move in the ``L'' category. </TEXT> </DOC> <DOC id=NYT_ENG_19950806.0184 type=story > <HEADLINE> BURDEN OF TRANSIT INCREASE WILL NOT BE BORNE EQUALLY </HEADLINE> <DATELINE> NEW YORK (BC-NYC-TRANSIT-HIKE-625&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"30403"	"I"	"figured"	" Yes, it seems I made the classic vacation plans. It's hot in Arizona all summer, I figured, so I went East, where not only could I cool off and visit relatives, I could enjoy water, as well. </P> "	"nyt_eng_199508.gz"
"30805"	"I"	"figured"	" The Randall house is on the National Register of Historic Places, which explains, I figured, why the wrought-iron door latch to one of our rooms hung askew: even the disrepair had to be landmarked. </P> "	"nyt_eng_199508.gz"
"31171"	"he"	"figured"	" God, he figured, must be a Yankees fan, or else how did Mantle happen to come along when DiMaggio was leaving, just as DiMaggio came along when Lou Gehrig left? </P> "	"nyt_eng_199508.gz"
"31226"	"it"	"figured"	" But the San Francisco company dropped that idea, and opted for another venture instead: Tele-TV, an alliance of Bell Atlantic, Nynex, and Hollywood's Creative Artists Agency as talent scout. Tele-TV, it figured, would offer more programming opportunities. </P> "	"nyt_eng_199508.gz"
"31487"	"I"	"figured"	" ``Yeah, I figured,'' I say. ``OK, at least it didn't suffer.'' </P> "	"nyt_eng_199508.gz"
"32133"	"I"	"figured"	" I remember imagining that in the SWC, the wheels of commerce stood still on an autumn Saturday afternoon. Surely, I figured, there were sold-out stadiums, stuffed with oil-rich alumni, loyally bedecked in their SWC school colors. </P> "	"nyt_eng_199508.gz"
"32308"	"he"	"figured"	" George (Buddy) Marucci, a 43-year-old Mercedes-Benz dealer from Berwyn, Pa., knows how daunting his task is in Sunday's final of the centennial U.S. Amateur championships at Newport Country Club. His best chance, he figured, was to focus on a different opponent. </P> "	"nyt_eng_199508.gz"
"33946"	"they"	"figured"	" A Grambling victory Saturday would give Robinson the chance to gain No. 400 at his namesake stadium in Grambling, La., on Sept. 23 against Central State. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950915.0475 type=multi > <DATELINE>  (BC-US-PAGE-ONE-BLOOM) </DATELINE> <TEXT> BLOOMBERG BUSINESS NEWS U.S. PAGE ONE: SEPT. 15, 1995 (For use by New York Times News Service clients) c.1995 Bloomberg Business News The following are the day's top stories from Bloomberg Business News: LEAD STORIES Dollar Surpasses 104 Yen for the First Time in 15 Months, by Frank Connelly New York: The dollar resumed its climb against the yen, rising above 104 yen for the first time in 15 months after senior officials from Japan, Germany and the U.S. all said they want a stronger dollar. Ryutaro Hashimoto, Japan's Minister of International Trade and Industry, gave the dollar an initial boost by saying he'd like to see the yen climb to 110 per dollar, a level it last reached in January 1994. The U.S. currency rose further after Deputy Treasury Secretary Lawrence Summers said the U.S. will work with its partners in the Group of Seven industrialized nations to bolster the dollar. Bundesbank President Hans Tietmeyer also said he hopes the dollar's upward ``correction'' will continue. ``Summers's and Tietmeyer's comments show that the G-7's call for an orderly reversal of the dollar's declines has not been satisfied yet,'' said Marc Chandler, senior analyst at Deutsche Morgan Grenfell in New York. The dollar was last quoted at 104.03 yen against yesterday's 102.39, and at 1.4884 marks, slightly higher than 1.486 late yesterday. Published 15:09. (See story: NI FRX) Technology Shares Fall, Prompting Concerns That Rally Is Ending, by Tom Murphy  New York: Investors dumped technology stocks as a week of bad news about computer-company earnings and slower semiconductor orders and software sales raised concerns that the 10-month rally in technology shares is ending. Several analysts reduced their ratings and earnings expectations for such high-profile companies as Apple Computer Inc., Oracle Corp., Electronic Arts Inc. and Cypress Semiconductor Corp. The jitters were triggered by Oracle's fiscal first-quarter earnings report. Shares of the biggest seller of data-management software fell 16 percent after the company posted a disappointing 39 percent rise in revenue --below the 50 percent growth of recent years -- although earnings met expectations. ``Oracle has been one of the leaders of this technology rally and you're seeing a sell-off not just in Oracle but the whole sector,'' said Christopher Mortenson, analyst at Alex. Brown &AMP; Sons. In late trading, the bellwether Philadelphia Semiconductor Index was down 7.40, or 2.6 percent, at 7.40 277.72, the fourth straight daily decline. Published 15:38. (See story: NI SOF) Premium Standard Farms: Pork's Unfinished Revolution, by David Ward  Princeton, Missouri: Six years ago, Premium Standard Farms set out to revolutionize the way pork is produced in the U.S. Like Ford Motor Co. or some other industrial pioneer, Premium's founders and Wall Street backers envisioned controlling every stage in the $33 billion-a-year pork. An efficient pork producer, they figured, could reap fat profits even in period of wildly gyrating prices -- they're up 60 percent this year. In just four years, Premium has risen to become the nation's third-biggest pork producer after Murphy Family Farms and Carroll Foods. But success has a price: It's mired in more than $454 million in debt and, under pressure from financial backers led by Morgan Stanley &AMP; Co., Premium is searching for buyers or joint-venture partners for large parts of its operations. ``This isn't one of our higher-yielding returns, but we have deep pockets and a long-term view,'' said Robert Niehaus, a partner at Morgan Stanley. ``This one gets a lot of our time and attention.'' Published 15:48. (See story: NI AGR) ALSO IN THE NEWS Mutual Funds Slashing Ad Budgets, by Susan Antilla  New York: Sales of mutual funds are moving faster than you can say ``hidden sales fee,'' but spending on ads that tout funds in newspapers, magazines and on television and radio is plunging. Big fund outfits like Fidelity Investments and T. Rowe Price slashed their budgets in half this year, with one fund company cutting its budget by 58 percent, says Robert Moss, president of Competitrack, which keeps tabs on financial advertising. Tiny operations that don't do much advertising to begin with apparently increased their spending in many cases, Mr. Moss adds. But not enough to counter the cuts by the big guys: In the first six months this year, ad spending by the 40 mutual fund companies tracked by Competitrack dropped 18 percent over the same period in 1994. ``It's the first year since Competitrack began collecting data in 1988 that you've seen a year-over-year decline,'' says Charles Flynn, an analyst at Chicago's Financial Research Corp., which does research on mutual funds. Published 15:53. (See story: NI FND) Toshiba, Sony Groups Agree on Next Generation CD, by Sandra Jones and Malcolm Foster  Tokyo: Consumer electronics companies, after months of sparring, have decided to make it easier for individuals to switch to the next generation of compact discs for playing movies, video games and storing massive amounts of computer information. Toshiba Corp. and six other electronics makers reached a compromise with Sony Corp. and Philips Electronics NV on standardizing the format for a more powerful compact disc which is expected to replace the video cassette and CD-ROM. It marks the end of a yearlong battle and means consumers won't have to choose between two incompatible formats as they did in the VHS vs Betamax scrap of the 1980s. ``This way there are no losers, and the biggest winner is the consumer,'' said Richard Doherty, director of the Envisioneering Group, a consumer electronics and computer market research firm in Seaford, New York. Published 15:40. (See story: NI ELE) White House Watch: Black CEOs Say Clinton Needs Them in '96, by Dina Temple-Raston  Washington: Bob Johnson had high hopes for President Bill Clinton. The chief executive officer of the Washington-based Black Entertainment Television thought the young Arkansas Democrat would fight for minority business interests. Two and a half years later, Johnson is angry. ``I can't point to one Clinton program that is aimed at dealing with the problems and concerns of black business,'' he said. ``They don't care if black businesses go down the tubes.'' Other black executives say they're disappointed by what they see as a lack of economic development programs aimed at black Americans -- something Clinton promised when he was running for president in 1992. Now, with 1996 around the corner, they're looking for alternatives. Last week, Jesse Jackson re-emerged as a possible contender after black businessmen banded together and paid off his campaign finance debts. (See story: BBCO41) ECONOMY AND MARKETS U.S. Economy: Industrial Output Surges 1.1% in August, by Vincent Del Giudice  Washington: The U.S. posted its largest increase in industrial output in eight months in August, led by demand for electricity to power air conditioners and broad-based demand for cars and other manufactured goods. Production surged a larger-than-expected 1.1 percent, the Federal Reserve said, well above analyst expectations of a 0.4 percent rise. Signs of a stronger output would undercut arguments for the Fed to lower interest rates to stimulate the economy. ``You could even argue a tightening'' in interest rates if the trend continues, said Richard Yamarone, an economist at Mountain Econometrics in Maplewood, New Jersey. ``This ought to put the nail in the argument the Fed will be easing'' when policymakers next meet on Sept. 26, said Robert Dederick, economic consultant at the Northern Trust Co. Published 11:47. (See story: NI ECO) Bank Stocks Surge to New Highs on Economic News, Merger Outlook, by Jim Silver  New York: Stocks of most of the biggest U.S. banks hit 52-week or record highs as investors responded to favorable news on the economy and acquisition speculation. BankAmerica Corp., NationsBank Corp., Norwest Corp. and Banc One Corp., Chemical Banking Corp. and J.P. Morgan &AMP; Co. were among those reacing highs. Traders said the economy's ability to avoid a recession and post steady growth with little inflation promises to aid bank earnings. ``This not-too-hot, not-too-cold kind of economy is a very good financial services economy,'' said analyst Sally Pope Davis of Goldman, Sachs &AMP; Co. Published 13:38. (See story: NI BNK) HEADLINE NEWS Business and finance Oracle shares fall 14% on lower revenue increase (NI CPR) AT&AMP;T to cut 10,000 jobs, take $1.2 bln charge (NI TLS) Worldwide Clinton sees `good possibility' for peace in Bosnia (NI YUGO) Sarajevo airport opens after 5 months to aid flights (NI YUGO)  16:45 -0- (BBN) Sep/15/95 16:47 EOS (BBN) Sep/15/95 16:47 86 </TEXT> </DOC> <DOC id=NYT_ENG_19950915.0476 type=story > <HEADLINE> WELFARE BILL SEEN AS A MODEL OF BIPARTISAN COLLABORATION </HEADLINE> <DATELINE> WASHINGTON (BC-SENATE-WELFARE-BOS) </DATELINE> <TEXT> "	"nyt_eng_199509.gz"
"34207"	"she"	"figured"	" Last spring, when she was guesting with the Chieftains at Symphony Hall, she mused about playing an extended run in a handful of cities. The only problem, she figured, was logistics _ doing that kind of show might mean moving beyond the usual rock venues. </P> "	"nyt_eng_199509.gz"
"34895"	"they"	"figured"	" Donaldson, they figured, might last a round or two. </P> "	"nyt_eng_199509.gz"
"35590"	"he"	"figured"	" But that, he figured, was that. He was over 40, a former ``new Dylan'' whose popularity peaked in the '70s, and he had no fantasies about ever playing stadiums or being a household name. </P> "	"nyt_eng_199510.gz"
