"pronoun"	"verb"	"context"	"filename"
"2070"	"he"	"figures"	" Ties, he figures, pull everything together. ``So many men will spend $1,000 on a suit and $18 on a tie. They should do it the other way, spend less on a suit, $100 on a tie. That's what gets the attention,'' said Westbrook, who heads the Corporate Communications Group in Overland Park. </P> "	"nyt_eng_199408.gz"
"3968"	"he"	"figures"	" Hill's philosophy for success in sports programming is simple: be generous in signing up name-brand talent and make sure the production is slick and cutting-edge. Audience ratings and revenues, he figures, will follow. ``As much a business dyslexic as I am, I know that,'' he said. </P> "	"nyt_eng_199409.gz"
"4324"	"he"	"figures"	" Given that particular campaign theme, it is not surprising that Fisher would be concerned about rampant cynicism. The more cynical we become out here in voterland, he figures, the more cynics there are to be exploited by his opponent. </P> "	"nyt_eng_199409.gz"
"4801"	"he"	"figures"	" In fact, although he expects the number of artificial knees and hips implanted this year to inch up from 344,000 to 355,000, he projects a drop back to the 344,000 level in 1995. In a truly strict cost control environment, he figures, the number of knee replacements could fall by 25 percent and hip replacements by 10 percent. </P> "	"nyt_eng_199409.gz"
"8808"	"he"	"figures"	" By then, he figures, a burning question will be: Where's Spot? </P> "	"nyt_eng_199411.gz"
"9436"	"she"	"figures"	" Despite her fruitless search, Mim hasn't given up on the dating service scene. Although she advertises herself to be attractive, brilliant and world-traveled, she figures, at her age, the odds of meeting a wonderful man on her own are minimal. </P> "	"nyt_eng_199411.gz"
"9462"	"she"	"figures"	" Despite her fruitless search, Mim hasn't given up on the dating service scene. Although she advertises herself to be attractive, brilliant and world-traveled, she figures, at her age, the odds of meeting a wonderful man on her own are minimal. </P> "	"nyt_eng_199411.gz"
"11470"	"he"	"figures"	" When the hit came, Maegle swerved -- else, he figures, ``he probably would have broken both my legs.'' </P> "	"nyt_eng_199501.gz"
"13760"	"he"	"figures"	" If Mitchell Maxwell can pull off what he hopes with ``On the Waterfront,'' more people than his mother, he figures, will consider him a genius. </P> "	"nyt_eng_199502.gz"
"17425"	"he"	"figures"	" Time, he figures, took away Nell, his beloved wife of 53 years, 10 years ago on Tuesday. Time eventually will bring her back to him. </P> "	"nyt_eng_199503.gz"
"18893"	"he"	"figures"	" If 46-year-old International Boxing Federation champion George Foreman could do it, he figures, why not him? </P> "	"nyt_eng_199504.gz"
"19989"	"she"	"figures"	" Erik's mother nags incessantly about his need for the right friends, but these definitely do not include Dexter, the boy next door. The tall white wooden fence that separates the two back yards should keep the virus away, she figures, but under no circumstances should Erik take any chances by associating with the boy. </P> "	"nyt_eng_199504.gz"
"21494"	"she"	"figures"	" She asks whether my mica is legitimate, and I say yes. But Teresa seems skeptical. Leticia, she figures, is too embarrassed to admit she's not documented. </P> "	"nyt_eng_199505.gz"
"26839"	"he"	"figures"	" Finally, no matter how good a company looks on paper, if its stock is falling in a steady or rising market, Oberweis does not buy. Serious problems, he figures, may be lurking. His focus is on companies whose stocks are performing better than 75 percent of the market. </P> "	"nyt_eng_199506.gz"
"27426"	"he"	"figures"	" Presidential politics, he figures, ``will work in our favor, because it's very much in Dole's interest to win block grants.'' </P> "	"nyt_eng_199507.gz"
