"pronoun"	"verb"	"context"	"filename"
"12904"	"he"	"finds"	" He has had to give up his union position, now that he is the personnel director. But ownership, he finds, has its own rewards. </P> "	"nyt_eng_199501.gz"
"15221"	"she"	"finds"	" Even after that, she finds, some people report that satisfaction continues to grow. </P> "	"nyt_eng_199502.gz"
"19922"	"she"	"finds"	" So when a Japanese student gives an answer in class, ``they consult with students on either side of them,'' she said, an act that might be considered cheating in an American classroom. The Japanese, she finds, are more serious, too. </P> "	"nyt_eng_199504.gz"
"22422"	"he"	"finds"	" In many of these 14 essays, Epstein, who is editor of The American Scholar and teaches writing and literature at Northwestern University, reveals still more subtle symptoms of aging. In ``Livestock,'' he tells how he has switched his affections from dogs to cats, whose demeanor, he finds, ``is a reminder that it is possible to get through life without having to be the least bit obsequious.'' In ``The Ignorant Man's Guide to Serious Music,'' he describes his increasing interest in serious music, although he also admits that in his lack of musical memory ``I am uniquely unfit for something I so much love, a charmless and not particularly intelligent dwarf in pursuit of Sophia Loren.'' </P> "	"nyt_eng_199505.gz"
"23425"	"he"	"finds"	" Horns appeared late in an animal's life, he finds, suggesting they did not serve to keep away predators. If they did, ``one would expect early rather than late development, so they could be put to use as soon as possible,'' says Sampson. </P> "	"nyt_eng_199505.gz"
"30454"	"he"	"finds"	" Delbanco has been conducting old-fashioned grand rounds on thorny cases and publishing the resulting treatment decisions in the Journal of the American Medical Association. To his surprise, he finds, ``when you really weigh options in difficult situations,'' the best answer is often ``do little.'' </P> "	"nyt_eng_199508.gz"
"31045"	"he"	"finds"	" Parents are willing to provide educational resources until they reach a certain threshold, he finds, but after four kids, the focus seems to shift to fulfilling basic needs like food and shelter. </P> "	"nyt_eng_199508.gz"
"31146"	"he"	"finds"	" Parents are willing to provide educational resources until they reach a certain threshold, he finds, but after four kids, the focus seems to shift to fulfilling basic needs like food and shelter. </P> "	"nyt_eng_199508.gz"
"41999"	"he"	"finds"	" In an analysis to be published next year by Oxford University Press, Hahn, an economist at the American Enterprise Institute, looks closely at 92 health, safety and environmental rules issued by five federal agencies since 1990. Only 17 of them, he finds, can be justified in the sense that the measurable benefits exceed the costs. </P> "	"nyt_eng_199512.gz"
"44202"	"he"	"finds"	" Weight lifting, he finds, doesn't seem to affect the immune system, though it helps retain lean body mass. </P> "	"nyt_eng_199601.gz"
"55169"	"he"	"finds"	" Fuller is at home in other milieux.He has written five novels; as a young lawyer in the Justice Department, he helped put the FBI back on its feet after the Watergate scandal. But he is nevertheless a newsman to his core. As the Tribune's editor, he led some of the boldest newspaper investigations of the 1980s. Among the best parts of an excellent book is a comparison of Col. Robert McCormick's Tribune in the heyday of personal journalism, and the same paper under the corporate journalism of the present day. There was, he finds, no golden age. </P> "	"nyt_eng_199604.gz"
"59336"	"he"	"finds"	" Meliorists, he finds, consistently have won the day. </P> "	"nyt_eng_199605.gz"
"74726"	"she"	"finds"	" Often, she finds, it's pneumonia that delivers the coup de grace, ``and you don't even have to be old to pick it up.'' </P> "	"nyt_eng_199610.gz"
"84530"	"she"	"finds"	" More recently, she finds, reports grow scarcer, more formulaic in describing predatory males who prey on vulnerable females, and more one-sided in their condemnation. But, she writes, with the increasing feminization of the therapeutic professions, abuse is likely to diminish. And with the rise of managed care, the rules against transgression are hardening. So strict is prohibition growing that ``serious considerations of the physical attraction that develops so often between doctor and patient'' are getting ``swept under the rug'' and becoming ``undiscussable.'' </P> "	"nyt_eng_199701.gz"
"84614"	"she"	"finds"	" More recently, she finds, reports grow scarcer, more formulaic in describing predatory males who prey on vulnerable females, and more one-sided in their condemnation. But, she writes, with the increasing feminization of the therapeutic professions, abuse is likely to diminish. And with the rise of managed care, the rules against transgression are hardening. So strict is prohibition growing that ``serious considerations of the physical attraction that develops so often between doctor and patient'' are getting ``swept under the rug'' and becoming ``undiscussable.'' </P> "	"nyt_eng_199701.gz"
"85238"	"he"	"finds"	" One skill that will come in handy: Richardson's ability to let people with grievances _ whether it's Fidel Castro, Saddam Hussein or an irate voter at one of his frequent town meetings _ vent their spleen at length (for hours, if need be). When they've finished, he finds, they're calmer. Then he can get his message across. </P> "	"nyt_eng_199701.gz"
"85282"	"he"	"finds"	" For years, Richardson has been juggling a mini-United Nations in New Mexico. His district is more than half Hispanic and Native American, and its 28 Indian tribes all consider themselves sovereign ``nations.'' An unabashed carpetbagger who started running for Congress only months after he selected New Mexico as his launch pad, Richardson had to press a lot of flesh to convince people he was just a good ole boy. He started wearing cowboy boots and learned the local customs quickly. Some friends think his visits to the state's pockets of appalling poverty will make Richardson more sympathetic to Third World concerns at the United Nations. One skill that will come in handy: Richardson's ability to let people with grievances _ whether it's Fidel Castro, Saddam Hussein or an irate voter at one of his frequent town meetings _ vent their spleen at length (for hours, if need be). When they've finished, he finds, they're calmer. Then he can get his message across. </P> "	"nyt_eng_199701.gz"
"85288"	"he"	"finds"	" One skill that will come in handy: Richardson's ability to let people with grievances _ whether it's Fidel Castro, Saddam Hussein or an irate voter at one of his frequent town meetings _ vent their spleen at length (for hours, if need be). When they've finished, he finds, they're calmer. Then he can get his message across. </P> "	"nyt_eng_199701.gz"
"95858"	"he"	"finds"	" In each case, Nossiter explores a different experience and a different way of remembering (or a way of experiencing what he calls ``The Pleasures of Forgetting'' in a chapter title), managing usually to find documentary evidence that lets the reader measure the gap between fact and myth. He lived in Bordeaux for the entire six months of the Papon trial, when, he finds, the local urge to forget, to move on, was faltering. </P> "	"nyt_eng_200107.gz"
