"pronoun"	"verb"	"context"	"filename"
"1465"	"she"	"fled"	" And no amount of sophistication can ever replace the reality created for one little girl. She was watching at home, naked in the bathtub, when Miss Sally ``saw'' her in the Magic Mirror. Horrified, she fled, dived under the bed and stayed there for hours. </P> "	"nyt_eng_199407.gz"
"1810"	"she"	"fled"	" And no amount of sophistication can ever replace the reality created for one little girl. She was watching at home, naked in the bathtub, when Miss Sally ``saw'' her in the Magic Mirror. Horrified, she fled, dived under the bed and stayed there for hours. </P> "	"nyt_eng_199407.gz"
"88807"	"she"	"fled"	" Raised in an orphanage, Talia married Eric Serle, who beat her. Eventually, she fled, changed her name to Taylor Brooke, graduated from law school and now has a new life. </P> "	"nyt_eng_199703.gz"
"107355"	"he"	"fled"	" As enemies _ Greenwich neighbors, state and federal regulators, former associates _ closed in, he fled, telling some of the women to destroy his files. Shredders were slow, so they tried the fireplace. Smoke alarms went off. They fled. The police arson expert arrived, surveyed the mess and told a detective: ``You've got to call your boss, you need to call your chief, the FBI, the ATF and probably the SEC and the NBA and the NFL. Anything with three initials in it, you call them.'' </P> "	"nyt_eng_200202.gz"
"109856"	"he"	"fled"	" Alan is a chronic worrier, always tense and anxious. So he was not reassured when he heard the announcement that his tower was safe and that he should stay put. Instinctively, he fled, running down all 81 flights of stairs. </P> "	"nyt_eng_200203.gz"
"117254"	"she"	"fled"	" She said she fled her village in 1947, when India and Pakistan fought a war at the time of partition, and Kashmir ended up in India. She returned. Then in 1965, another war over Kashmir, she fled, and her village was taken over by Pakistan. </P> "	"nyt_eng_200206.gz"
"126212"	"he"	"fled"	" Shortly before his 1981 trial, he fled, and his whereabouts were unknown for 16 years. </P> "	"nyt_eng_200209.gz"
"144162"	"he"	"fled"	" But The Final Cut is saddled with distractions and cheesy subplots, and unlike Alan's memorial Christmas cards, it is poorly edited. The most serious distraction is Alan's own mawkish psychodrama. As a little boy, he once coaxed another boy to walk across a thin, shaky plank. The other boy fell and landed unconscious. When Alan couldn't rouse him, he fled, harboring his guilty secret for decades. He has grown up convinced he is responsible for the boy's death. His sees his occupation as a quasi-religious means of expiation for his sins. In redeeming sordid lives by editing them into saintly ones, he is doing good by making the world a happier place and in the process saving his own soul. </P> "	"nyt_eng_200410.gz"
"166743"	"he"	"fled"	" Mistaken for a rapist and sentenced to 65 years, Orlando Bosquette lay on a bunk in a Florida penitentiary and read Papillon, the memoir about an inmate's escape from Devil's Island. It was 1983. Bosquette was 29. Two years later, he fled, scaling barbed-wire fences, bobbing in soupy canals, hiding in ant-ridden ditches. </P> "	"nyt_eng_200605.gz"
"168000"	"he"	"fled"	" Bloch-Bauer died in 1925 at 43. In her will she requested that the painting and four others by Klimt be left to Austria upon her husband's death. But when Germany annexed Austria in March 1938, he fled, leaving his possessions behind. The Nazi government confiscated his property. </P> "	"nyt_eng_200606.gz"
"168001"	"he"	"fled"	" Mrs. Bloch-Bauer died of meningitis in 1925 at 43. In her will she requested that the painting and four others by Klimt that the couple owned be left to Austria upon her husband's death. But when Germany annexed Austria in March 1938, he fled, leaving his possessions behind. The Nazi government confiscated his property, placed three of the paintings in the Austrian Gallery and sold the rest. </P> "	"nyt_eng_200606.gz"
