"pronoun"	"verb"	"context"	"filename"
"43995"	"he"	"followed"	" However, Mrs. Bourget said he became obsessed with her daughter and when they moved to a small town about two hours away, he followed, renting a house nearby. </P> "	"nyt_eng_199512.gz"
"48491"	"we"	"followed"	" ``With Wall Street up, we followed,'' said Peter Cogliatti, a trader at Williams de Broe Plc. ``After a dull week last week, we were due for some recovery. We had some pretty good PPI (producer price index) figures, that helped bonds and stocks.'' </P> "	"nyt_eng_199602.gz"
"60166"	"we"	"followed"	" ``As the U.S. started picking up, we followed, and then amplified it because no sellers were around,'' he said. </P> "	"nyt_eng_199605.gz"
"69745"	"she"	"followed"	" When Rowlands opened the door to the balcony and let the dog scamper out, she followed, and so did Morris. </P> "	"nyt_eng_199608.gz"
"69815"	"she"	"followed"	" When Rowlands opened the door to the balcony and let the dog scamper out, she followed, and so did Morris. </P> "	"nyt_eng_199609.gz"
"69904"	"she"	"followed"	" When Rowlands opened the door to the balcony and let the dog scamper out, she followed, and so did Morris. </P> "	"nyt_eng_199609.gz"
"69988"	"she"	"followed"	" When Rowlands opened the door to the balcony and let the dog scamper out, she followed, and so did Morris. </P> "	"nyt_eng_199609.gz"
"78673"	"we"	"followed"	" His devotion was unquestioning and willfully naive. ``Whatever line the Soviet Union took, we followed,'' he writes. ``It seemed only right. The Russians had suffered more than anyone (30 million dead in the war) and they `Knew the Way.''' </P> "	"nyt_eng_199611.gz"
"102944"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree miracle unfurled. First she found string for us to hang things on branches. She began with spoons and forks. Who would guess that silverware would look lovely on a tree? Then she suggested china teacups. </P> "	"nyt_eng_200112.gz"
"127447"	"he"	"followed"	" Tony Novia, senior vice president of Radio and Records, the leading trade publication, said that the single is No. 8 on Radio and Records' national pop charts. On the publication's charts last week, he followed, in order, ``Lose Yourself,'' by Eminem; ``Game of Love,'' by Santana, featuring Michelle Branch; ``A Moment Like This,'' by Kelly Clarkson; ``Ska8er Boi,'' by Avril Lavigne; ``Family Portrait,'' by Pink; ``Underneath It All,'' by No Doubt; and ``Hey Ma,'' by Cam'Ron. </P> "	"nyt_eng_200210.gz"
"132687"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"132688"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"132700"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"132701"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133241"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133242"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133691"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133695"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133885"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133886"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133956"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"133957"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
"134366"	"we"	"followed"	" For the next two hours, Tia walked, we followed, and a free tree came into existence. </P> "	"nyt_eng_200212.gz"
