"pronoun"	"verb"	"context"	"filename"
"3881"	"he"	"fought"	" ``Carmen Policy (49ers president) badgered, he fought, he jabbed, he did everything he could to get Steve to stay there,'' Cindrich said. ``I still believe, far and away, the Chiefs were the best of all opportunities.'' </P> "	"nyt_eng_199409.gz"
"11847"	"they"	"fought"	" Whenever his parents were around, they fought, especially while the children were in bed, so night ``was the time when adults showed their true natures.'' Yet Alvarez prefers to believe that fear of the dark is a vestige of a primitive time when the night really was a threat to humans, when perhaps we were stalked ``by a malign predator with a taste for human flesh.'' </P> "	"nyt_eng_199501.gz"
"43994"	"they"	"fought"	" ``It hurt him very badly,'' Decker remembered. ``In their last encounter, they fought, and my dad never had the chance to say he was sorry.'' </P> "	"nyt_eng_199512.gz"
"46493"	"we"	"fought"	" ``It was unfortunately the only reasonable solution,'' said Ms. Beaud, a contemporary art curator who is the center's first French director. ``We tried, we fought, we did everything we could to avoid this. We found money to run most of our programs, but we couldn't run the building. It was very sad, but we had no choice.'' </P> "	"nyt_eng_199601.gz"
"46929"	"we"	"fought"	" ``They made the plays, and we didn't. That's the bottom line. But we came out and fought _ even after that last (Cowboys) touchdown, we fought, and I'm proud of that.'' </P> "	"nyt_eng_199601.gz"
"61867"	"they"	"fought"	" Jesse (Betsy Brantley) was a veterinarian at a wildlife park in Tampa, Fla. Noah (Daniel Hugh Kelly) was a coach turned best-selling author. Nevertheless, the family was in many ways traditional _ they laughed, they fought, they loved. </P> "	"nyt_eng_199606.gz"
"61869"	"they"	"fought"	" Jesse (Betsy Brantley) was a veterinarian at a wildlife park in Tampa, Fla. Noah (Daniel Hugh Kelly) was a coach turned best-selling author. Nevertheless, the family was in many ways traditional _ they laughed, they fought, they loved. </P> "	"nyt_eng_199606.gz"
"61877"	"they"	"fought"	" Jesse (Betsy Brantley) was a veterinarian at a wildlife park in Tampa, Fla. Noah (Daniel Hugh Kelly) was a coach turned best-selling author. Nevertheless, the family was in many ways traditional _ they laughed, they fought, they loved. </P> "	"nyt_eng_199606.gz"
"61879"	"they"	"fought"	" Jesse (Betsy Brantley) was a veterinarian at a wildlife park in Tampa, Fla. Noah (Daniel Hugh Kelly) was a coach turned best-selling author. Nevertheless, the family was in many ways traditional _ they laughed, they fought, they loved. </P> "	"nyt_eng_199606.gz"
"62121"	"they"	"fought"	" Jesse (Betsy Brantley) was a veterinarian at a wildlife park in Tampa, Fla. Noah (Daniel Hugh Kelly) was a coach turned best-selling author. Nevertheless, the family was in many ways traditional _ they laughed, they fought, they loved. </P> "	"nyt_eng_199606.gz"
"62123"	"they"	"fought"	" Jesse (Betsy Brantley) was a veterinarian at a wildlife park in Tampa, Fla. Noah (Daniel Hugh Kelly) was a coach turned best-selling author. Nevertheless, the family was in many ways traditional _ they laughed, they fought, they loved. </P> "	"nyt_eng_199606.gz"
"123732"	"we"	"fought"	" Start with Robert Reich, the former secretary of labor. Asked about staving off future tax hikes, Reich cited his work in the Clinton administration. ``When I came to Washington ... we had deficits of $300 billion as far as the eye could see,'' Reich said. ``And as part of the Clinton administration's economic council, we fought, and I fought, to reduce those deficits.'' </P> "	"nyt_eng_200208.gz"
"157981"	"they"	"fought"	" All the way home, they fought, all the way through that night's TV news. A little after 11 p.m., Debbie fell asleep. Barbara lay in the bed beside her. </P> "	"nyt_eng_200509.gz"
