"pronoun"	"verb"	"context"	"filename"
"1359"	"he"	"found"	" Often, he found, borderline pitches were called strikes. He became impatient and flailed away. Now that test period seems to be over, and he's getting more calls from the umpires. </P> "	"nyt_eng_199407.gz"
"2397"	"he"	"found"	" Dr. Dan Gill, a senior geologist with the Geological Survey of Israel, first reported the discovery three years ago in the journal Science. Underlying the City of David, he found, is a well-developed karst system, a geological term for a region of irregular sinks, caverns and channels caused by ground water seeping through underground rock, mainly limestone and dolomite. Similar processes account for the many caves under the limestone of Kentucky. </P> "	"nyt_eng_199408.gz"
"2399"	"he"	"found"	" Beneath the City of David, he found, lie two layers of rock, highly porous limestone on top of more impervious dolomite. Warren's Shaft is a natural sinkhole that developed along a joint in the limestone. Its bottom narrows into a funnel-like shape, typical of a karstic sinkhole, and carbon dating of the calcium crust on its walls indicates an age of more than 40,000 years. </P> "	"nyt_eng_199408.gz"
"2454"	"they"	"found"	" A few years ago, nutritionists realized that the pop-it-yourself microwave varieties, which are surpassed only by potato chips and pretzels as the most popular American snack foods, were loaded with fat (although, as it turns out, not nearly as loaded as movie popcorn). And some brands, they found, were excessively high in sodium. </P> "	"nyt_eng_199408.gz"
"3664"	"they"	"found"	" The process, called imprinting, was first studied in the early 1930's by the renowned Austrian ethologist Konrad Lorenz and his colleague Oskar Heinroth. Geese hatched from eggs in isolation, they found, would follow the first large moving object they saw -- in this case, their keepers -- as they would have followed their parents. For the rest of their lives, imprinted birds tend to regard humans as members of their own species. </P> "	"nyt_eng_199408.gz"
"5171"	"she"	"found"	" Good divorces, she found, have a common denominator: ``Most basic is the absence of malice and a mutual concern for the well-being of the children.'' </P> "	"nyt_eng_199409.gz"
"5400"	"they"	"found"	" Furthermore, they found, the more habitat that is lost, the more severe are the effects of further loss. For instance, when a 1,000-acre habitat has lost 200 acres, the loss of one additional acre might doom five more species to eventual extinction. But after 900 acres have been lost, the loss of an additional acre might doom 40 more species. </P> "	"nyt_eng_199409.gz"
"5466"	"they"	"found"	" Furthermore, they found, the more habitat that is lost, the more severe are the effects of further loss. For instance, when a 1,000-acre habitat has lost 200 acres, the loss of one additional acre might doom five more species to eventual extinction. But after 900 acres have been lost, the loss of an additional acre might doom 40 more species. </P> "	"nyt_eng_199409.gz"
"6752"	"it"	"found"	" The anti-gay referendum, it found, singled out one form of discrimination and ``removed its redress from consideration by the normal political process.'' In other words, if local communities want to prohibit housing bias against homosexuals, they have the right, just as they do to prohibit it against blacks or Jews or women. </P> "	"nyt_eng_199410.gz"
"6783"	"he"	"found"	" There are, he found, 38 Union and 2 Confederate generals at Green-Wood. One of those Confederates, Robert Selden Garnett, was, in fact, the first general on either side to die in the war -- on July 13, 1861, at Corricks Ford, Va., during the first battle of Bull Run. ``His body fell into the hands of the enemy -- that's us,'' Cashman said. ``He was first buried in Baltimore, then secretly buried in Brooklyn, because his wish was to be with his wife, who was already here.'' </P> "	"nyt_eng_199410.gz"
"6828"	"it"	"found"	" The anti-gay referendum, it found, singled out one form of discrimination and ``removed its redress from consideration by the normal political process.'' In other words, if local communities want to prohibit housing bias against homosexuals, they have the right, just as they do to prohibit it against blacks or Jews or women. </P> "	"nyt_eng_199410.gz"
"7808"	"they"	"found"	" From this record the researchers deduced that the warmest winter temperatures in the first 2,900 years of the Eemian, on average, were about 10 degrees Fahrenheit warmer than they are today. But the rest of the Eemian, they found, descended often into episodes of severe cold. </P> "	"nyt_eng_199410.gz"
"8450"	"they"	"found"	" Connell and Dr. Huntington looked at more than 100 papers claiming that prenatal care saves money by preventing the births of premature babies. Most papers cited the same few studies, and those studies, they found, were deeply flawed. </P> "	"nyt_eng_199411.gz"
"8456"	"they"	"found"	" Connell and Dr. Huntington looked at more than 100 papers claiming that prenatal care saves money by preventing the births of premature babies. Most papers cited the same few studies, and those studies, they found, were deeply flawed. </P> "	"nyt_eng_199411.gz"
"8750"	"he"	"found"	" But an analysis presented Tuesday by Dr. Christopher Gardner of Stanford University at a meeting of the American Heart Association in Dallas seems to suggest otherwise. There is little to be gained, he found, from switching from the polyunsaturated oils like corn, soybean and sunflower to canola oil or to the more costly olive oil. </P> "	"nyt_eng_199411.gz"
"9253"	"he"	"found"	" Men in unstable marriages, he found, had heartbeats that were 17 beats per minute higher than those in stable marriages. </P> "	"nyt_eng_199411.gz"
"9376"	"it"	"found"	" Most newsletters and investment advisers are bearish, according to Investors Intelligence, a newsletter in New Rochelle, N.Y., that tracks market newsletter views. Fifty-two percent, it found, are outright bears, and an additional 12 percent are worried about the short term though they remain optimistic. Only 36 percent of the advisers are resolutely bullish. </P> "	"nyt_eng_199411.gz"
"9425"	"it"	"found"	" Most newsletters and investment advisers are bearish, according to Investors Intelligence, a newsletter in New Rochelle, N.Y., that tracks market newsletter views. Fifty-two percent, it found, are outright bears, and an additional 12 percent are worried about the short term though they remain optimistic. Only 36 percent of the advisers are resolutely bullish. </P> "	"nyt_eng_199411.gz"
"9601"	"she"	"found"	" She made a key discovery that paves the way for moving immune systems among different species. Within the bone marrow, she found, are two separate populations of cells that must be transplanted together. For years, scientists have known that so-called stem cells provide the raw material for growth of a wide range of disease fighting cells in the blood stream, including the T-lymphocytes ravaged by HIV. Ildstad recently discovered a second line, called facilitating cells, that must accompany stem cells if they are to set up shop in a new host. </P> "	"nyt_eng_199411.gz"
"9689"	"he"	"found"	" There was little difference, he found, between the victim and the assailant. Both tended to be kids with prospects so bleak they had little reason to worry about the future. </P> "	"nyt_eng_199412.gz"
"9691"	"he"	"found"	" There was little difference, he found, between the victim and the assailant. Both tended to be kids with prospects so bleak they had little reason to worry about the future. </P> "	"nyt_eng_199412.gz"
"12326"	"they"	"found"	" By the 1930s, astronomers had figured out that supernovas were the explosions of dying stars, and in the 1950s they began to realize that they are crucial to our existence. Without them, they found, there would be no air, no water, no Earth, and no life. </P> "	"nyt_eng_199501.gz"
"12327"	"they"	"found"	" By the 1930s, astronomers had figured out that supernovas were the explosions of dying stars, and in the 1950s they began to realize that they are crucial to our existence. Without them, they found, there would be no air, no water, no Earth, and no life. </P> "	"nyt_eng_199501.gz"
"12508"	"I"	"found"	" ``The (NHL) exhibition games were more physical, but we traveled a lot in Europe, I played in a couple of back-to-back games, and I had no major problems. The European beds, I found, aren't real conducive to a good night's sleep. But, considering everything, it was a terrific experience.'' </P> "	"nyt_eng_199501.gz"
