"pronoun"	"verb"	"context"	"filename"
"305"	"you"	"go"	" ``My body said, `You don't want to see this,''' Danza said. ``When you wake up on a respirator with people crying around you, you want a second opinion. At that point, you go, `Wait a minute.' I was pretty bad. </P> "	"nyt_eng_199407.gz"
"4572"	"we"	"go"	" ``So you press that, and you end up exploring it, and yes, there is a double standard,'' says Williams. ``I think most men are like Tim, and it's why people identify with him. We all want to be liberated and sensitive, but when you push us, we go, `Well, no, but I'm the man, I'm the husband,' and there's this old-fashioned rooting of our feet in the dirt.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940913.0207 type=story > <HEADLINE> PROJECT AMERICA: VOLUNTEERS TO DEDICATE A DAY TO IMPROVING THEIR COMMUNITY </HEADLINE> <DATELINE>  (BC-PROJECTAMERICA-TEX) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"4641"	"they"	"go"	" After ``Sudden Death,'' Van Damme's plans have yet to crystallize. With becoming sheepishness, and after no little prodding, he admittd that someday it might be nice to win an Academy Award. ``It's a long way off,'' he said, laughing. ``We'll see. You have to be careful when you say things like that on interviews because some people, they go, `What are you thinking about, karate guy?''' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940913.0453 type=story > <HEADLINE> CURRY AND ROWLAND ARE WINNERS IN CONNECTICUT GUBERNATORIAL PRIMARIES </HEADLINE> <DATELINE> HARTFORD, Conn.  (BC-CONN-ELN-520&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"7707"	"they"	"go"	" ``My friends say, `You hang around white people; it's wrong,' '' Rodriguez said. ``I'm Latino, I like my culture, my heritage. But just because I'm Hispanic, they go, `La raza first.' '' </P> "	"nyt_eng_199410.gz"
"17758"	"we"	"go"	" UMass coach John Calipari keeps deflecting attention from his young center, telling us, ``As Lou Roe goes, we go,'' but everybody knows that in this tournament, Camby is the Man for Massachusetts. UMass has won its three games by an average of 21.3 points, and everybody associated with St. Peter's, Stanford and Tulsa went home talking about Camby. </P> "	"nyt_eng_199503.gz"
"19852"	"I"	"go"	" ``Where Joe goes, I go,'' she said, pointing to her 49ers jacket and her Chiefs' hat and T-shirt and gripping her camera. </P> "	"nyt_eng_199504.gz"
"19854"	"I"	"go"	" ``Where Joe goes, I go,'' she said, pointing to her 49ers jacket and her Chiefs' hat and T-shirt and gripping her camera. </P> "	"nyt_eng_199504.gz"
"19990"	"you"	"go"	" ``Yeah, I go through lonely periods. Sometimes I just want to deal with things myself, stay at home. And my friends know when I'm doing it because I won't pick up the phone, I just shut off. But I need it; it's, like, my rejuvenation. I'd rather just think about what's going on in my head and not burden anybody else with it, even though I'm sure my friends would like for me to go to them. But, you just pull up your socks and go about it your way, and eventually it becomes trivial. In retrospect, you go, `That was stupid.''' </P> "	"nyt_eng_199504.gz"
"23974"	"I"	"go"	" ``When I look at myself, I go, `Damn, this girl looks pretty good.' The more I look at myself _ and I have to tell you, to look at myself in a mirror was one of the most challenging things I ever had to do in my life _ the more I love being in front of those mirrors. I love watching myself move. It feels good.'' </P> "	"nyt_eng_199506.gz"
"24970"	"you"	"go"	" ``When the baby cries, you go,'' she said. ``When the boss calls, you go. Sex becomes much more postponable, and that seriously weakens the marriage.'' </P> "	"nyt_eng_199506.gz"
"24992"	"you"	"go"	" ``When the baby cries, you go,'' she said. ``When the boss calls, you go. Sex becomes much more postponable, and that seriously weakens the marriage.'' </P> "	"nyt_eng_199506.gz"
"26548"	"I"	"go"	" Stackhouse, who would like to go to Golden State or Philadelphia, said he's not thrilled about the prospect of the Clippers drafting him. ``If it's the Clippers, I go,'' Stackhouse said. ``But I'd like to step in and be a part of a winning situation. Right at this point, they're not ready for that. That's OK. God tests strong people. That would be a test.'' </P> "	"nyt_eng_199506.gz"
"30709"	"I"	"go"	" ``Where others go, I go,'' said Marko Begic, 47, a reservist in the Krajina Serb army. </P> "	"nyt_eng_199508.gz"
"31211"	"they"	"go"	" ``Instead of pretending to know what you're talking about, they go, `What are you talking about?' '' says Dryden, 34. ``They're genuinely more inquisitive than any other generation. </P> "	"nyt_eng_199508.gz"
"42822"	"you"	"go"	" Bray said he tried to make it punchy, short and amusing. ``The formula generally is to be clever in some way, don't be too boastful, highlight each member of the family. No more than a paragraph, tops, on each one, and be humorous,'' he said. ``Sometimes we get long, turgid letters from other people, and when you're slogging through what they're doing, you go, `Who cares?' '' </P> "	"nyt_eng_199512.gz"
"42991"	"you"	"go"	" Bray said he tried to make it punchy, short and amusing. ``The formula generally is to be clever in some way, don't be too boastful, highlight each member of the family. No more than a paragraph, tops, on each one, and be humorous,'' he said. ``Sometimes we get long, turgid letters from other people, and when you're slogging through what they're doing, you go, `Who cares?' '' </P> "	"nyt_eng_199512.gz"
