"pronoun"	"verb"	"context"	"filename"
"3300"	"it"	"goes"	" As the baseball negotiations grind on, an old aphorism comes to mind. Be careful of what you ask, it goes, because you might get it. </P> "	"nyt_eng_199408.gz"
"26525"	"he"	"goes"	" The customer has returned, and buys $185 worth of books. After giving Waxman his vacation schedule for the entire summer, he goes, only to be replaced by a food writer who purchases a copy of ``100 Easy to Make Gujarati Dishes.'' Waxman studies it. ``Thank you,'' he says. ``I never even knew this was here.'' Though with the 10,000 titles the store carries, that's not surprising. </P> "	"nyt_eng_199506.gz"
"48603"	"it"	"goes"	" ``I probably won't buy it. My philosophy is when it goes, it goes,'' said the 36-year-old, who has a thinning front. </P> "	"nyt_eng_199602.gz"
"51908"	"he"	"goes"	" ``So this guy comes up to me, right?'' DeLorenzo says, sitting forward on the raggedy blue-and-white striped couch in his dressing room, elbows on his knees, fingers laced together. ``And he says, `Listen, I'm really proud of you and all the stuff you represent, being (itals)Boricua(unitals) and everything.' And then he goes, he goes, `but I gotta tell ya' _ and he whispers in my ear _ `if you go near my girlfriend again, I'll rip your heart out.' Man, I didn't even know who this guy's girlfriend was. To this day I don't know.'' </P> "	"nyt_eng_199603.gz"
"64836"	"she"	"goes"	" American Organization of the Rhetorically Challenged Scholarship: $500 cash award to students who, like, use ``like'' and ``goes'' and other irritating slang expressions over and over again to the point that you just want to slap them, as in, ``So, Jennifer, she's like so mad, so she goes, `So, like Ashley, if you're so, like, tight with Sean, then how come he's been like going out with Amber for the past like three months.' So Ashley, she goes, like, `No way!' And Jennifer, she gets like right up in her face and goes, `Way, Ashley. Way.' And I'm going, like, whoa, I can't believe Jennifer's talking this way. You know?'' </P> "	"nyt_eng_199607.gz"
"64911"	"she"	"goes"	" American Organization of the Rhetorically Challenged Scholarship: $500 cash award to students who, like, use ``like'' and ``goes'' and other irritating slang expressions over and over again to the point that you just want to slap them, as in, ``So, Jennifer, she's like so mad, so she goes, `So, like Ashley, if you're so, like, tight with Sean, then how come he's been like going out with Amber for the past like three months.' So Ashley, she goes, like, `No way!' And Jennifer, she gets like right up in her face and goes, `Way, Ashley. Way.' And I'm going, like, whoa, I can't believe Jennifer's talking this way. You know?'' </P> "	"nyt_eng_199607.gz"
"68523"	"he"	"goes"	" ``My husband, he goes, `I can't believe how much you just love everything Avon!' I have fun with this. I don't know why. I can't explain it. Knock on wood, I can't explain it. ... Not to seem like I don't have aspirations, but I feel really happy and content with what I'm doing.'' </P> "	"nyt_eng_199608.gz"
"84298"	"he"	"goes"	" ``If he stays, he stays. If he goes, he goes, but this team is going to be successful anyway.'' </P> "	"nyt_eng_199701.gz"
"102621"	"he"	"goes"	" ``If it were up to me, I would have kept it forever,'' he said. ``It was hard to give up. Most people don't know anything about those cars. Even the police officer who gave me a ticket a few years ago didn't know how to spell it. When he was writing out my ticket, he goes, `How do you spell that?' '' </P> "	"nyt_eng_200112.gz"
"104707"	"he"	"goes"	" ``Sometimes his rule is to stay with his man, but if he thinks he can get the quarterback, he goes,'' the coach said. ``They just seem to know when to do the right thing and they are consistently successful.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020123.0435 type=story > <HEADLINE> HALLIBURTON CREDIT RATING IS CUT AGAIN ON WORRY ABOUT ASBESTOS </HEADLINE> <DATELINE>  (BC-HALLIBURTON-RATING-NYT) </DATELINE> <TEXT> "	"nyt_eng_200201.gz"
"111268"	"it"	"goes"	" On the airwaves, at the lunch counter, on more than a couple of bumper stickers around here, there is a new basketball joke of sorts: at the University of Connecticut, it goes, the men are men and the women are champions. </P> "	"nyt_eng_200204.gz"
"141658"	"she"	"goes"	" On the podium, she goes, 'Medals! Medals!'  Patterson said, barking and laughing. Like, 'I know what to do.'  </P> "	"nyt_eng_200408.gz"
"143359"	"it"	"goes"	" The persistent rumbling has always been there. If only Finneran would step aside, it goes, Mattapan could be represented by someone who looks more like present-day Mattapan. Soon, probably in a special election early next year, that assumption will finally be put to the test. </P> "	"nyt_eng_200409.gz"
"149273"	"he"	"goes"	" Come Thanksgiving, he goes with his girlfriend, Jessica (Tory Mussett), to her parents' house, which is such a big-(butt) mansion, he goes, Shouldn't we wait for the bellhop? </P> "	"nyt_eng_200502.gz"
"153443"	"he"	"goes"	" It was a Sunday and the Nintendo Building was closed, he recalled. But when I told the taxi driver where I wanted to go, he goes, 'Ah, Ichiro.' I said, 'How did you know that?' He says, 'Everybody knows Ichiro. He's more famous than the emperor.'  </P> "	"nyt_eng_200506.gz"
"153945"	"it"	"goes"	" Weather is not primarily a moral affair. We do not deserve a long, slow patch of hot weather, like the one that sat on the city in early June, any more than we deserve the extraordinarily beautiful evenings that have come with these longest days of the year. Deserving has nothing to do with it. The weather comes, it goes, and sometimes it's occluded. The days of seeing the wrath of God in a prolonged drought or a heavy windstorm -- believing that bad weather chastens our bad actions, in other words -- are pretty much past. One of the sobering ironies of global warming is the thought that it threatens to make weather moral again in a very different way. </P> "	"nyt_eng_200506.gz"
