"pronoun"	"verb"	"context"	"filename"
"383"	"I"	"guess"	" This proves, I guess, that when given the choice, people find it more interesting to figure out whether to buy an alibi than a vowel. </P> "	"nyt_eng_199407.gz"
"513"	"I"	"guess"	" ``What can you tell them?'' Piniella said. ``About the only thing is, I guess, to make him throw strikes. But if he's throwing strikes and he's getting his breaking ball over, you're on your own.'' </P> "	"nyt_eng_199407.gz"
"603"	"I"	"guess"	" Raveling weighed several factors ranging from his love for Los Angeles (``I'm kind of a L.A. guy, I guess,'' he said) to his son, Mark, who will be a senior at USC this year. He doesn't play basketball. </P> "	"nyt_eng_199407.gz"
"620"	"I"	"guess"	" ``I'm kind of an L.A. guy, I guess,'' he said with a shrug. ``Deep down inside I was scared if I got back there I'd have a lonely feeling about being out here (with) my friends.'' </P> "	"nyt_eng_199407.gz"
"621"	"I"	"guess"	" ``Tough luck, I guess,'' Piazza said as he hurriedly dressed and left the stadium before the contest was even over. ``I hit a couple of balls hard but couldn't get under it. I was just trying to go out and have some fun.'' </P> "	"nyt_eng_199407.gz"
"816"	"I"	"guess"	" ``I'm too stubborn, I guess,'' he admits. ``I think I go at it the old-fashioned way.'' </P> "	"nyt_eng_199407.gz"
"1230"	"I"	"guess"	" ``That's about the worst I could play,'' she said. ``I mean, I've shot worse rounds, I guess, but to come to the U.S. Open and shoot 80, that's pretty disappointing.'' </P> "	"nyt_eng_199407.gz"
"1343"	"I"	"guess"	" ``Somebody's got to be predicting something,'' said Bills running back Thurman Thomas. ``They will keep saying it, I guess, until it finally happens. And then they can say, `See, I told you so.' Well, they can keep saying it. </P> "	"nyt_eng_199407.gz"
"1519"	"I"	"guess"	" ``The only way shareholders can attend is if they are affluent or on the Turner staff, I guess,'' said Maryellen Andersen of the Connecticut State Treasurer's Office, which holds 200,000 Class B Turner shares for the state pension fund. ``The annual meeting is for shareholders.'' </P> "	"nyt_eng_199407.gz"
"1586"	"I"	"guess"	" ``A normal Buddy practice,'' said the former Bears and Eagles quarterback, signed by Ryan to back up Steve Beuerlein. ``The only thing that surprised me, I guess, is there weren't any fights.'' </P> "	"nyt_eng_199407.gz"
"1724"	"I"	"guess"	" ``I already had a large financial incentive but it wasn't large enough, I guess,'' he said. </P> "	"nyt_eng_199407.gz"
"2246"	"I"	"guess"	" ``It (the cleat) got stuck in the dirt, and when I turned, I forgot to lift, I guess,'' said Portugal, who was wearing a brace that went from his ankle to his mid-thigh. ``It hurt. There's no getting around that.'' </P> "	"nyt_eng_199408.gz"
"2516"	"I"	"guess"	" ``This is crazy, man, with all of the positive things that have been going on with myself, the city and the team, to have something like that put a damper on things just because one police officer, I guess, has a chip on his shoulder,'' Sanders said. ``There were plenty of witnesses at the scene and I can't wait until we hear from those guys. . . . The manner in which (Kohus) said you can't go here and the abuse he was using is uncalled for. </P> "	"nyt_eng_199408.gz"
"2864"	"I"	"guess"	" This marks his seventh year as coach at Modesto, said Richert. ``The thing about this level is, you got guys calling you before the season starts, asking you what they should do to keep in shape. It's almost like adopting 12 kids for the summer. What it comes down to, I guess, is that they're not spoiled yet.'' </P> "	"nyt_eng_199408.gz"
"2881"	"I"	"guess"	" ``Stubborn, I guess,'' Scrogum said. </P> "	"nyt_eng_199408.gz"
"3623"	"I"	"guess"	" ``Basically, I hope they're just looking at me to play,'' Jordan said. ``For me to leave here and go there, I guess, it will be a better opportunity for me as far as getting in and playing and learning more.'' </P> "	"nyt_eng_199408.gz"
"3658"	"I"	"guess"	" And that, I guess, is the promise we had made, long ago, and remembered on this night. </P> "	"nyt_eng_199408.gz"
"4131"	"I"	"guess"	" (P.S. Lucky for Bush, I guess, that there were no whooping cranes in the neighborhood. Lucky, too, for the whooping cranes.) </P> "	"nyt_eng_199409.gz"
"4551"	"I"	"guess"	" ``I certainly understand, I guess, the feeling that many people have concerning our position,'' Garcetti said. ``But I also understand that regardless of the decisions I made there was going to be a firestorm of response.'' </P> "	"nyt_eng_199409.gz"
"4609"	"I"	"guess"	" ``It's good to get it from the horse's mouth, I guess,'' said Uygur, a third-year law student. </P> "	"nyt_eng_199409.gz"
"4888"	"I"	"guess"	" ``Thank you,'' said Rams defensive end Fred Stokes, glad that someone else had noticed the difficulty in defensing this offense. ``Our job is to try to contain him, I guess, as far as not letting him just run around freely. You can't go in there and say, `We're going to shut this guy down, we're going to stop him, we're going to do this,' because you'll be discouraged.'' </P> "	"nyt_eng_199409.gz"
"5363"	"I"	"guess"	" ``I kind of slipped over into the Raiders' way of playing there, I guess,'' said Davis. ``It wasn't good judgment on my part, but none of the referees were helping Leslie, so I thought I had to do something.'' </P> "	"nyt_eng_199409.gz"
"5366"	"I"	"guess"	" ``I kind of slipped over into the Raiders' way of playing there, I guess,'' said Davis. ``It wasn't good judgment on my part, but none of the referees were helping Leslie, so I thought I had to do something.'' </P> "	"nyt_eng_199409.gz"
