"pronoun"	"verb"	"context"	"filename"
"3210"	"you"	"guessed"	" Sooner or later, you guessed, Aikman and Co. would find its way back to Texas Stadium from the Super Bowl, the rings locked away in a vault, the wounds healed, the new coach broken in. </P> "	"nyt_eng_199408.gz"
"3770"	"he"	"guessed"	" And maybe more than that. After reaching a high ranking of No.10 in 1992, an injury-plagued Krajicek went sliding, all the way to No.30, the skid ending when he beat Sampras in Davis Cup play last month. If Krajicek had lost this match, he guessed, correctly, that it would have been the worst defeat of his four-year professional career. </P> "	"nyt_eng_199408.gz"
"43530"	"he"	"guessed"	" When somebody asked Schickele a year after that 1965 Town Hall concert how long he thought P.D.Q. Bach would last, he guessed, ``Five years at the most.'' </P> "	"nyt_eng_199512.gz"
"52575"	"he"	"guessed"	" Of all Taiwan investors in China, he guessed, at least 80 percent are making money. ``Among those that came early,'' he said, meaning three or more years ago, ``I'd say 100 percent are making money.'' </P> "	"nyt_eng_199603.gz"
"61569"	"I"	"guessed"	" At last it occurred to me that the book must have been written by using the touted new technology. The author, I guessed, had snatched information off the World Wide Web and promiscuously introduced it without giving much thought to its relevancy. </P> "	"nyt_eng_199606.gz"
"82800"	"I"	"guessed"	" I was not alone; perhaps a dozen other people also gathered round, in interesting, still silence. All, I guessed, felt isolated enough and cowed enough by the furious beastliness to contemplate themselves in awe. Unfenced in, separated from us by a wall and a moat, the lion disappeared behind a rock, then returned to view, maybe 30 feet from where I stood. </P> "	"nyt_eng_199701.gz"
"82807"	"I"	"guessed"	" I was not alone; perhaps a dozen other people also gathered round, in interesting, still silence. All, I guessed, felt isolated enough and cowed enough by the furious beastliness to contemplate themselves in awe. Unfenced in, separated from us by a wall and a moat, the lion disappeared behind a rock, then returned to view, maybe 30 feet from where I stood. </P> "	"nyt_eng_199701.gz"
"85670"	"I"	"guessed"	" One morning we left our B&AMP;B in Old Sodbury and almost immediately passed an exclusive private school where shrieking 8-year-old boys in blue blazers and striped ties were kicking a soccer ball around the muddy playing fields. These, I guessed, were the young masters of the lavish country manors we'd passed _ the sort of places Bertie Wooster and Jeeves were always tootling off to for the weekend in the two-seater. </P> "	"nyt_eng_199701.gz"
"117602"	"she"	"guessed"	" When the assessor saw the contradictory listings, she guessed, Kresser said. ``When she saw his name, she said, `Oh, he's well known. He must live in Park City.''' And so the assessor changed the home into Romney's primary residence. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020605.0332 type=advis > <DATELINE>  (BC-BUDGET-SPI) </DATELINE> <TEXT> c.2002 Seattle Post-Intelligencer The Seattle Post-Intelligencer plans to move the following for clients of the NYTimes News Service for editions of Thursday, June 6, and thereafter. If you have any questions, please call Larry Johnson on the Post-Intelligencer's National/Foreign Desk at 206-448-8035.  BOEING-EXEC (Seattle) _ A Boeing executive is under consideration for another top job in the industry.  By James Wallace. (Story will move in the ``f'' category.)  BOOKS-SALISBURY Undated) _ Interview with Graham Salisbury, who came to writing late and has turned out a series of successful children's books, all based in Hawaii where he grew up.  By Cecelia Goodnow. (Story has moved in the ``e'' category.)  BBA-MARINERS (Oakland) _ Seattle Mariners at Oakland.  By John Hickey. (Story will move in the ``s'' category.)  CAR-CAIN-COLUMN (Undated) _ Holly Cain's weekly motor sports column.  By Holly Cain. (Story will move in the ``s'' category.) </TEXT> </DOC> <DOC id=NYT_ENG_20020605.0333 type=multi > <DATELINE>  (BC-FINFRONTS-NYT) </DATELINE> <TEXT> FOR THURSDAY AMs  All stories will be coded ``f'' unless otherwise noted.  For information on stories, or for reruns, please call: 888-346-9867 or 212-556-1927. For information on NYT photos and graphics, please call 888-603-1036 or 212-556-4204.  Business Day Front Page of The New York Times, Thursday, June 6.  (Lede story)  ANDERSEN (Houston) _ Arthur Andersen's scramble to shred Enron Corp.-related documents as dictated by its internal policy was a calculated effort to prepare for lawsuits and criminal probes, a federal prosecutor said Wednesday. (Summary from wires.) By Kurt Eichenwald.  (Scheduled to move by 9 p.m. ET.)  (Top display)  TYCO (Dateline TK) _ How the sales tax scandal involving L. Dennis Kozlowski, the former chairman and chief executive of Tyco International, is affecting the company. By Alex Berenson.  (Scheduled to move by 9 p.m. ET.)  (Middle right)  KOZLOWSKI-SALES-TAX (New York) _ Law enforcement investigators are focusing their work not on a widespread investigation of phony billing in the art world, but on the specific practices of L. Dennis Kozlowski, the former chairman and chief executive of Tyco International, who was indicted earlier this week by a grand jury in Manhattan on charges of evading more than $1 million of sales taxes on six painting that he bought last fall. By Carol Vogel.  With photo.  (Scheduled to move by 9 p.m. ET.)  (Botton right)  STOCK-OPTIONS-MARKETPLACE (New York) _ An effort by the New York Stock Exchange to require companies whose shares it trades to put all stock option plans to shareholder votes is coming under fire from the Business Roundtable, a lobbying organization that represents chief executives of large U.S. corporations. The pressure indicates that corporate executives will fight hard to keep shareholders from gaining control of the stock option purse. By Gretchen Morgenson.  (Column has moved.)  (Bottom display)  ARTISTS-LABELS (Los Angeles) _ Michael Jackson has a beef with the Sony Music Group, his recording company. He is unhappy, say people close to him, with how Sony's Epic label promoted his most recent album, ``Invincible,'' which sold only 2 million copies in the United States. Acting like any other outsider with a cause against the establishment, Jackson teamed up with Rev. Al Sharpton and Johnnie Cochran, the lawyer who defended O. J Simpson, to decry the way recording artists are being treated. But Jackson is not the only artist who is unhappy these days. By Laura M. Holson.  (Scheduled to move by 9 p.m. ET.)  Here are tonight's columns and regular features:  PRODUCTIVITY-ECONSCENE (Undated) _ One notable feature of the recent mini-recession was the unusual behavior of productivity. Normally, productivity falls during a recession and expands during a recovery. But not this time. By Hal R. Varian.  With photo and graphic.  (Story has moved.)  TV-AD-COLUMN (New York) _ With one eye on Wall Street and the other on newspaper headlines, the broadcast networks are taking a decidedly different approach this year in spreading the news about how much money they are taking in from advertisers for their fall prime-time lineups. By Bill Carter and Stuart Elliott.  With photo.  (Scheduled to move by 9 p.m. ET.)  WORLD-BIZ-BRIEFS (Undated) _ World business news in brief.  (The briefs have moved.)  TECH-BRIEFS (Undated) _ Technology news in brief.  (Scheduled to move by 9 p.m. ET.)  BIZGLANCE (Undated) _ Digest of the day's financial stories.  (Scheduled to move by 9 p.m. ET.)  The New York Times is running a wire story on the bond markets.  (Editors: All clients receive all budgets, but only full-service clients receive all stories. Please check your level of service to determine which stories you will receive.) </TEXT> </DOC> <DOC id=NYT_ENG_20020605.0334 type=story > <HEADLINE>     (For release Sunday, June 9) </HEADLINE> <DATELINE>  (BC-THOMPSON-COLUMN-$ADV09-HNS) </DATELINE> <TEXT> "	"nyt_eng_200206.gz"
"117646"	"she"	"guessed"	" When the assessor saw the contradictory listings, she guessed, Kresser said. ``When she saw his name, she said, `Oh, he's well known. He must live in Park City.''' And so the assessor changed the home into Romney's primary residence. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020606.0014 type=story > <HEADLINE> SERIOUS BLOOD SHORTAGE HAS HIT KC, OTHER PARTS OF HEARTLAND </HEADLINE> <DATELINE>  (BC-KC-BLOOD-KAN) </DATELINE> <TEXT> "	"nyt_eng_200206.gz"
"123369"	"I"	"guessed"	" Just then, a husky largemouth bass cleared the water in the kind of gill-rattling leap straight from the cover of an old Field and Stream. It crashed back into the lake, jumped again, then dove under the kayak, forcing me to pass the rod over my head to keep the line from rubbing against the hull. After a few more runs, the fish surrendered, allowing me to grab it by the lower lip, and hoist it up. Eighteen inches, I guessed, maybe three pounds. I let it go, and began casting again. </P> "	"nyt_eng_200208.gz"
"153861"	"he"	"guessed"	" Campbell's ancestors came from Scotland to Auckland, New Zealand, where there are more sheep than people. His win, he guessed, is going to break down all the barriers, pushing golf to the status held by rugby. </P> "	"nyt_eng_200506.gz"
"157324"	"he"	"guessed"	" They included Gary Antoine Sr., 54, who with six neighbors spent the last four days on his apartment building roof in central New Orleans without food or water trying to flag down passing helicopters. The water on the street was 8 feet deep, he guessed, and they were going nowhere until a helicopter finally picked them up this afternoon. </P> "	"nyt_eng_200509.gz"
