"pronoun"	"verb"	"context"	"filename"
"4054"	"you"	"guys"	" ``I haven't heard too many guys necessarily complaining about them,'' said McEnroe. ``But I can't say that many guys came up to us and said, `Hey, you guys, don't win this match.' '' </P> "	"nyt_eng_199409.gz"
"4715"	"you"	"guys"	" Nor could you imagine Grandma dropping to one knee in the huddle and barking, ``All right, you guys, listen up. If we don't score on this play, the game is over. Susie, it's up to you. Uncle Fred is dying out there. Run right at him, give him a little hitch move to the outside and then run a post pattern. I know you can beat him.'' </P> "	"nyt_eng_199409.gz"
"4720"	"you"	"guys"	" Nor could you imagine Grandma dropping to one knee in the huddle and barking, ``All right, you guys, listen up. If we don't score on this play, the game is over. Susie, it's up to you. Uncle Fred is dying out there. Run right at him, give him a little hitch move to the outside and then run a post pattern. I know you can beat him.'' </P> "	"nyt_eng_199409.gz"
"8127"	"you"	"guys"	" ``Now'' is one of the most elaborate and entertaining personal ads ever written. It's Bacall reminding the world: ``Hey, you guys, I haven't gone anywhere. I am still here. I am still ready and eager to work. I am still ready for love.'' </P> "	"nyt_eng_199411.gz"
"20499"	"you"	"guys"	" ``I said, `Hey, you guys, don't count me out. You're thinking I can't play anymore just because I turned that magical 35.' '' </P> "	"nyt_eng_199504.gz"
"24033"	"you"	"guys"	" ``I probably should have said, `Hey, you guys, you're going to play for this guy or I'm going to get rid of some of you guys,' '' Clarke said. ``After Mike left, a lot of these guys could never play in the NHL.'' </P> "	"nyt_eng_199506.gz"
"43245"	"you"	"guys"	" Von Bremzen looked around Sydney and saw Asian food everywhere. Quickly, she telephoned the American publisher who had done her first cookbook, ``Please, to the Table,'' a Russian compendium. ``Look, you guys,'' she yelled into the transcontinental phone. ``This is the direction the world is going.'' </P> "	"nyt_eng_199512.gz"
"52603"	"you"	"guys"	" ``I think the most exciting time for me is to go to Wrigley Field in the morning, go down to the dugout at 9 o'clock, sit there when no one's there and watch that ballpark come to life. It's something being born. I love going to Chicago to do that. It charges me up. It pumps me up. I see that ballpark. I see the players start to come out, the coaches come out. Then here come the ushers, the media, you guys, maybe Harry Caray, and the gates open and here's the people and all of a sudden, from nobody, one person, me, sitting there, at 1:20 there are 20 or 30 thousand. That is great. That is outstanding. </P> "	"nyt_eng_199603.gz"
"66018"	"you"	"guys"	" ``Hey, you guys, this is an engine that is not going to go 100 MPH,'' Matthews said. ``This is not a Ferrari. I think they're learning as they go. They're just going to take their time.'' </P> "	"nyt_eng_199607.gz"
"67932"	"you"	"guys"	" Wednesday, Kemp was downright giddy. ``I'm having fun, you guys,'' he said at one point. ``I tell you (David) Stockman was right when he called me the happy warrior.'' </P> "	"nyt_eng_199608.gz"
"75118"	"you"	"guys"	" ``I said, `Forget it, you guys,' '' she recalls. `` `I'm not even talking about it, and don't tell me you can't get a hold of the artist ... I don't want to hear it.' '' </P> "	"nyt_eng_199610.gz"
"84599"	"you"	"guys"	" ``Hey, you guys,'' said a woman in her 20s, excited over the prospect of perhaps seeing some of her favorite NFL players. ``Ah, it's not the Packers _ it's the Patriots.'' </P> "	"nyt_eng_199701.gz"
"91570"	"you"	"guys"	" ``Wake up, you guys, we're going to be late. Mr. Cordell said be there at 7, rain or shine. He made an announcement over the PA system _ `rain or shine.' '' </P> "	"nyt_eng_200105.gz"
"125376"	"you"	"guys"	" ``That was awesome, you guys,'' she said after a shaky run-through of ``Stormy Weather.'' ``But we,'' she added, nodding at Shelton, ``need to work on it.'' </P> "	"nyt_eng_200209.gz"
"127108"	"you"	"guys"	" After a few minutes, some kids lose focus and start talking to their neighbors, creating the kind of random buzz that often precedes after-dinner speakers. Numeroff, growing tense, says, ``Hey, you guys, there's a gazillion of you out there and there's only one of me.'' </P> "	"nyt_eng_200210.gz"
"129261"	"you"	"guys"	" They talked about boyfriends and had some wine and settled in for the night, triumphant. Holmes, whose own breakup letter is in the book, featuring a lot of capital letters and the phrase ``this situation is too toxic to me,'' had one regret: ``The problem is, you guys, I'm never going to get another date.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20021025.0259 type=multi > <HEADLINE> CANADA: ACCORD WITH INUITS </HEADLINE> <DATELINE> 10-25-02 20:05:00EDT (BC-WORLD-BRIEF-NYT) </DATELINE> <TEXT> The Canadian government signed an agreement with Quebec province's Inuit Indians to grant them rights to royalties from underwater resources off the Nunavik Islands. Ten thousand Natives stand to receive more than $50 million, and they will participate in the development and earnings from any discoveries of oil, gas and precious stones in the area. Officials described the agreement as the first-ever granting of off-shore royalties to Native Canadians.  </TEXT> </DOC> <DOC id=NYT_ENG_20021025.0260 type=story > <HEADLINE> CHANGES IN VISA RULES SINKS CONCERT TOUR </HEADLINE> <DATELINE> 10-25-02 20:06:00EDT (BC-MUSICIAN-VISA-NYT) </DATELINE> <TEXT> "	"nyt_eng_200210.gz"
"130483"	"you"	"guys"	" After being lowered down and unhooked from her safety harness, she ran full speed across the room and hurled herself on top of two of her bandmates, Evan Taubenfeld, a guitarist, and Matt Brann, her drummer, who were reclining on mats. ``Oh, my God, you guys, I was so scared,'' she said, cuddling in Brann's arms. She rolled over and sprawled between them, her legs entwined with Taubenfeld's. The three looked up at their manager, Shauna Gold, who was rappelling down the wall, her hot pink underwear clearly visible. ``Nice thong, Shauna!'' Lavigne yelled with a snort. </P> "	"nyt_eng_200211.gz"
"144925"	"you"	"guys"	" That's the wrong song, guys, she told her band in a mock panic. She then turned to the crowd and, smiling, said, Just kidding, you guys, and began Autobiography. Ms. Simpson's panting performance of the song made it clear that she was indeed performing live. </P> "	"nyt_eng_200410.gz"
"145021"	"you"	"guys"	" Very good, you guys, said Rachel Robinson, senior restaurant manager for Chipotle Mexican Grill. She spent a day recently teaching the burrito makers and their managers in Houston how to connect with their customers, properly describe the food and boost their confidence. </P> "	"nyt_eng_200410.gz"
"146991"	"you"	"guys"	" He recalled how his 14-year-old son, Roger, found nine dead bodies in a neighbor's garden, came running home and stayed in his room for four days without talking. And how at one point the men in the hotel gathered for what he called a blood brotherhood. We sat down, we had a drink, then we called our children, he said. We told them we might die today or tomorrow. If us parents die, you guys, the elder ones will take care of your younger brothers and sisters. And whoever remains, the elder will always take care of the younger. Even if there are only two left, one must take care of the other. </P> "	"nyt_eng_200412.gz"
"153079"	"you"	"guys"	" I went down the hall and said, 'Look at this, you guys,' to the other teachers, Sincler said. </P> "	"nyt_eng_200505.gz"
"156178"	"you"	"guys"	" They (the league) just said, 'Hey, you guys, work it out,'? Belkin said after the April meeting. </P> "	"nyt_eng_200508.gz"
"156263"	"you"	"guys"	" At the time, Belkin said the league's message was: Hey, you guys, work it out. </P> "	"nyt_eng_200508.gz"
"170545"	"you"	"guys"	" Likewise Shakira's Bollywood-inspired belly-dancing number for Hips Don't Lie, with Wyclef Jean, was a treat. Somehow, that woman can flash all the midriff she wants and shake her rear end like she's mixing martinis in there and she doesn't look even slightly cheap. On the other end of the spectrum was Hilton, whom Black introduced as the world's most attractive producer of independent film. Nice. Fortunately, Hilton was only a presenter, not a performer. Even Pink took a swipe at her when accepting her award for Stupid Girls, complete with an imitation of Hilton's sideways pose and an Oh my God, you guys, in a pitch-perfect faux baby voice. </P> "	"nyt_eng_200609.gz"
