"pronoun"	"verb"	"context"	"filename"
"3233"	"I"	"had"	" ``Have you ever flown over the glaciers?'' Packard asked the next morning. Sure, I had, several times in fact, but I had an inkling that what was to follow was going to be different than anything I could have imagined. </P> "	"nyt_eng_199408.gz"
"13071"	"he"	"had"	" As we packed boxes, I found myself thinking especially of my late father, Allan, a Chicago furniture salesman. I thought about the car trunk loaded with fabric samples as he traveled to far-off places like Dubuque and Davenport, Iowa, in the early 1960s, when every self-respecting Main Street still had a furniture store. When I moved into my first New York apartment almost 20 years ago, he had, after some arm-twisting on my part, procured a company sofa, a clunky modular wedged number outfitted in brown velveteen. </P> "	"nyt_eng_199501.gz"
"18757"	"he"	"had"	" Meanwhile, he continued as organist at St. Clothilde until 1987, purposely remaining on the post one year longer than his teacher, Tournemire, had. By the time he died in 1991, he had, as a composer, produced several of the classics of the organ repertoire. His output includes a chorale setting in honor of Smith, as well as an ``American Suite'' for organ, including the pieces ``Big Texas,'' inspired by his visits to Fort Worth, and ``Scherzo, Cats,'' inspired by the cats belonging to organist-musicologist Helen Hewitt of Denton, 35 miles north of Fort Worth. </P> "	"nyt_eng_199504.gz"
"20527"	"she"	"had"	" My own mother brought me to work on many occasions. A concert violinist who achieved international success in the 1950s, she had, by the time I was born, trimmed her schedule to fit the demands of mothering two young girls. In the years that followed she performed less, taught more, eventually taking a job as chamber music coach at a private arts school in Connecticut. It was there that I spent countless after-school hours watching my mother teach her many teen-age charges. </P> "	"nyt_eng_199504.gz"
"20894"	"they"	"had"	" After the Bruins broke a two-year, 12-game losing streak to the Pittsburgh Penguins with a 5-2 victory Sunday, among the biggest points of contention was whether the Penguins had degraded the Bruins with their comments following Friday night's game. According to the Pittsburgh Post-Gazette, they had, along with an assist from the headline: ``Patsy Bruins.'' </P> "	"nyt_eng_199505.gz"
"27112"	"he"	"had"	" Crock or timer, he had, yes, seen Grant perform on the silver screen. There had been an improbable story hung on sacramental plot gimmicks. Several weddings, a funeral. </P> "	"nyt_eng_199507.gz"
"29309"	"it"	"had"	" Jackie Gleason invented the character for a series of sketches in Gleason's variety show, Cavalcade of Stars in 1951, when the concept of situation comedy hadn't yet been defined. But by 1955, it had, and the model was what was now titled The Honeymooners, which became its own free-standing show. It was one of the first shows to be shot on a single set, in front of a studio audience, with a stock cast and recurring punch lines, which entered the public lexicon. Baby, it was the greatest. </P> "	"nyt_eng_199507.gz"
"38353"	"she"	"had"	" Both even fell in love with the same dancer, Vera Zorina. Shortly before marrying Balanchine in 1938, she had, by her own account, been part of a menage a trois with Massine and his second wife, the dancer Eugenia Delarova. </P> "	"nyt_eng_199510.gz"
"51671"	"they"	"had"	" However, once they donned masks for the Chhau dances, they had, in effect, ceased to be mortals and were now mythological archetypes. </P> "	"nyt_eng_199603.gz"
"54600"	"I"	"had"	" As a wartime youngster heavily impressed with military heroes, I had, in addition to relatives, my list of favorites: George Patton, Douglas MacArthur, Colin Kelly and John Bulkeley. </P> "	"nyt_eng_199604.gz"
"56487"	"it"	"had"	" Our first-floor room included a full kitchen, whirlpool bath, king-size bed and a patio overlooking one of the facility's four pools. We had asked for and were given a room next to the ``quiet'' pool, the one with no slides and therefore fewer little ones running around. Not only was this pool quiet, it had, located right outside our door, a man-made waterfall that gave off a calming sound from 9 a.m. to 9 p.m., when the pool closed and the waterfall was shut off. </P> "	"nyt_eng_199604.gz"
"56574"	"it"	"had"	" Our first-floor room included a full kitchen, whirlpool bath, king-size bed and a patio overlooking one of the facility's four pools. We had asked for and were given a room next to the ``quiet'' pool, the one with no slides and therefore fewer little ones running around. Not only was this pool quiet, it had, located right outside our door, a man-made waterfall that gave off a calming sound from 9 a.m. to 9 p.m., when the pool closed and the waterfall was shut off. </P> "	"nyt_eng_199604.gz"
"58088"	"he"	"had"	" That wouldn't be a bad idea (Barkley himself isn't against it) if you get what he's worth in return. Which is to say, a lot. Even at 33, he had, statistically, a season that rivaled his MVP year of 1993, when he had a better team around him and was less a focal point of opposing defenses. Unlike mere mortals, Barkley remains undeterred by age and injury. </P> "	"nyt_eng_199605.gz"
"66258"	"he"	"had"	" By the year of his death, he had collected 24 honorary doctorates, gold medals from most of the wildlife societies in America and Europe, the Presidential Medal of Freedom, and major retrospectives of his bird paintings at museums. Like Audubon before him, he had, in the words of the poet Stephen Vincent Benet, ``lived to look at birds.'' More than anyone else, he let the rest of us in on the secret. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960729.0534 type=story > <HEADLINE> CLINTON, CONGRESSIONAL LEADERS TO PRESS FOR NEW TERRORISM </HEADLINE> <DATELINE> WASHINGTON (BC-CLINTON-TERROR-500&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199607.gz"
"66391"	"he"	"had"	" Although his father, who farmed and operated a real estate business, became prominent in Kenyan affairs, serving as one of the original members of the Nairobi legislative council, by the time his son was born in 1909, he had, in the parlance of the flanneled colonials sipping gin and tonics at the Muthaiga Club, gone distinctly native. </P> "	"nyt_eng_199607.gz"
"70228"	"he"	"had"	" The questions showed that the prosecutors were still examining whether Clinton had been honest when he testified on behalf of his former business partners and what role, if any, he had, in obtaining a loan that was ultimately found to have been fraudulent. David Hale, another figure in the Whitewater investigation, has testified that Clinton asked him to make the fraudulent loan, an accusation that the president has denied. </P> "	"nyt_eng_199609.gz"
"77400"	"he"	"had"	" Although he had built a career embracing deficit reduction, he had, in the hope of political gain, subordinated that goal to a call for a 15 percent tax cut. Although he had worked diligently to broaden the Republican Party, he found in the end he could barely hold onto its core voters. And although he had spent decades trying to live down his reputation as a ``hatchet man,'' he finished his campaign on a note of bitterness. </P> "	"nyt_eng_199611.gz"
"82618"	"they"	"had"	" For all the distance the men had supposedly traveled to get to the bank (actually a graceful old apartment building posing as a bank), they had, in the Manhattan I know, gone three blocks. They could have walked and been there sooner. </P> "	"nyt_eng_199612.gz"
"85587"	"she"	"had"	" Born and reared in the Midwood section of Brooklyn with one younger brother, Adam, she had, she says, an idyllic childhood, a mixture of skateboarding in the cul-de-sac in front of her white clapboard home and spending dirt-road summers with her family at their Westchester County place. ``My parents let me be my own person,'' she says of her father, a trial lawyer, and her mother, a teacher. </P> "	"nyt_eng_199701.gz"
"99103"	"he"	"had"	" Although Atta had been a student in Hamburg, he had, by April of this year, shifted his operations to the United States, where he and other members of the hijacking teams attended flying schools in Florida and elsewhere, conducted surveillance of airports, and financed their plot preparations with large cash transfers from overseas banks in the United Arab Emirates and elsewhere. </P> "	"nyt_eng_200110.gz"
"99128"	"he"	"had"	" Although Atta had been a student in Hamburg, he had, by April of this year, shifted his operations to the United States, where he and other members of the hijacking teams attended flying schools in Florida and elsewhere, conducted surveillance of airports, and financed their plot preparations with large cash transfers from overseas banks in the United Arab Emirates and elsewhere. </P> "	"nyt_eng_200110.gz"
"100600"	"they"	"had"	" Before the Yankees signed Belcher in February 1984, they had, under the rules, submitted their protected list of 26 players. So as soon as he signed, the 21-year-old Belcher went into the pool. The Oakland Athletics quickly selected him as compensation for Tom Underwood, who had signed with Baltimore. </P> "	"nyt_eng_200111.gz"
"102341"	"they"	"had"	" Even though Ford and Gucci Group had a growing awareness of the impending downturn in the world's economy, they had, in the last two years, embarked on a program of rapid expansion. In 1999, following a lengthy takeover battle with rival luxury titan LVMH Moet Hennessy Louis Vuitton, Gucci Group was allied with Francois Pinault, one of the richest men in France. </P> "	"nyt_eng_200112.gz"
"102920"	"he"	"had"	" Frederick J. Ross, stopped at a traffic signal, noticed the license plate on the car in front of him: EIEIO. Before the light changed, he had, he thought, figured out the owner's name: MacDonald. </P> "	"nyt_eng_200112.gz"
"103051"	"we"	"had"	" ``In Mazar-e-Sharif, we had, as you know, a soldier injured with a mine,'' Pace said. ``In Bagram, previously, we had marines who were injured by mines. So this is still very, very dangerous work, still a lot to be done.'' </P> "	"nyt_eng_200112.gz"
