"pronoun"	"verb"	"context"	"filename"
"3706"	"it"	"happened"	" ``If that's what happened, it happened,'' said O'Dwyer. </P> "	"nyt_eng_199408.gz"
"24351"	"it"	"happened"	" I tasted more than a dozen sparklers at an outdoor party last weekend _ the special occasion being the onset of summer and, it happened, the sunniest day of the year thus far. My impression was that the overall quality of bubbly, even what was once considered cheap Champagne, is way up. Price isn't the determining factor in how much you will enjoy the wine. What's important is good food, good company and good weather. </P> "	"nyt_eng_199506.gz"
"30121"	"it"	"happened"	" ``Whether it was the right thing or the wrong thing, it happened, and I was surprised,'' Chandler said of the Oilers' drafting McNair. </P> "	"nyt_eng_199508.gz"
"46035"	"it"	"happened"	" ``A week later, it happened,'' she recalled. ``So, there you go!'' </P> "	"nyt_eng_199601.gz"
"48223"	"it"	"happened"	" Oh, it happened, all right. For a time, there, the point of ``The Good War'' ceased to be winning and became, instead, just keeping up the fight for the sake of the fighting. </P> "	"nyt_eng_199602.gz"
"54974"	"it"	"happened"	" In the league's renaissance of the 1980s, you would be startled to see a referee challenged verbally by an enraged player. Yes, it happened, but you were startled nonetheless. Now, you are as likely to see a referee engaged in combat as engaged in heated conversation. </P> "	"nyt_eng_199604.gz"
"100835"	"it"	"happened"	" ``It's like, OK, it happened, now lets move on,'' Lewis said. </P> "	"nyt_eng_200111.gz"
"101551"	"it"	"happened"	" ``It settles people down,'' he said. ``You really see people go through some horrendous memories and then after a while they say, `Yes, it happened,' and the memory's gone.'' </P> "	"nyt_eng_200111.gz"
"118994"	"it"	"happened"	" ``I thought about that a lot afterwards,'' she says. ``Because I didn't have to do that errand for work. But I was working on something really low-budget, it was my first big break, and I even thought to myself, `Should I spend $8 to get a messenger to go around the corner, or should I just quick do it myself?' And then I'm thinking, `Damn, why'd I do that?' But I did it, it happened, and I couldn't change it.'' </P> "	"nyt_eng_200206.gz"
"118996"	"it"	"happened"	" ``I thought about that a lot afterwards,'' she says. ``Because I didn't have to do that errand for work. But I was working on something really low-budget, it was my first big break, and I even thought to myself, `Should I spend $8 to get a messenger to go around the corner, or should I just quick do it myself?' And then I'm thinking, `Damn, why'd I do that?' But I did it, it happened, and I couldn't change it.'' </P> "	"nyt_eng_200206.gz"
"121631"	"it"	"happened"	" For Rogers, it happened, ``the day, the second, I turned 30. I had pains and aches I never had before.'' </P> "	"nyt_eng_200208.gz"
"125969"	"it"	"happened"	" ``And at the very end of the opera, it happened,'' she said. ``I sang my heart out. No one asked me to sing softer. It was completely wild, an erotic experience.'' She has never looked back. </P> "	"nyt_eng_200209.gz"
"126806"	"it"	"happened"	" This will be the 102nd meeting in football between these two universities, dating from 1893, with Harvard holding a 71-28-2 advantage. Both teams have long and, in many cases, distinguished football histories. Brown, it happened, was the first team to play in an official Rose Bowl, in 1916. It had such outstanding players as running back Fritz Pollard, who became the first African-American professional football coach, in the 1920's; a quarterback and defensive back in the late 1940s named Joe Paterno (he still shares a team interception record); and Steve Jordan, Brown '82, a six-time All-Pro tight end for the Minnesota Vikings. </P> "	"nyt_eng_200209.gz"
"131556"	"it"	"happened"	" The best body model for Franklin, it happened, was Smock, who, as a former historian of the House of Representatives, knew that Franklin's girth could be gauged from a brown silk suit of his that survives at the Smithsonian Institution's National Museum of American History. Smock photographed the suit and had it measured. ``It still has wrinkles where his stomach pushed the pants out,'' Smock said. ``You'd almost think Ben Franklin could have been in it not too long ago.'' </P> "	"nyt_eng_200211.gz"
"164966"	"it"	"happened"	" I set a goal for myself, which was something I shouldn't have done, Palmer said. I wanted to walk up 18 and smile and say hello to everybody. Well, it happened, and it couldn't have been much better than it was. </P> "	"nyt_eng_200603.gz"
