"pronoun"	"verb"	"context"	"filename"
"2704"	"it"	"happens"	" This game took place between the Yankees, in their traditional navy blue caps and pin stripes, and the Astros, in their snappy, familiar orange and gold uniforms. The Oneonta Yankees and the Auburn Astros, Class A versions of their parent clubs. Parents, it happens, who are on strike, who decided they will not try to go home again for a while. </P> "	"nyt_eng_199408.gz"
"4589"	"it"	"happens"	" ``It's something I don't think about. If it happens, it happens, but don't bother me with it. I couldn't care less.'' </P> "	"nyt_eng_199409.gz"
"7096"	"it"	"happens"	" Hey, it happens, folks. Again, we just wanted you to know, especially if your name is Terry Pendleton. </P> "	"nyt_eng_199410.gz"
"8683"	"it"	"happens"	" Betty, it happens, was a city girl. She's from St. Louis. Much as I hate to confess it, she wasn't brought up on Mexican food. Betty was ill-prepared for Fourth of July barbecues in the park, sitting on bales of hay, discovering midway through the program that the hay was infested with red ants. But she's a trouper. </P> "	"nyt_eng_199411.gz"
"11829"	"it"	"happens"	" ``Somewhere between all the problems and potential liabilities, it happens,'' said Gottsegen. </P> "	"nyt_eng_199501.gz"
"16484"	"it"	"happens"	" Hey, it happens, Karen says. Things get lost -- even mothers shipped first class. </P> "	"nyt_eng_199503.gz"
"17334"	"it"	"happens"	" ``If a terrorist attack happens, it happens,'' said Rick Little, a film maker and a daily rider of the New York subway. ``The chances of getting run over by a cab or getting mugged on the streets are much greater than a terrorist attack,'' said Little, who was both run over and mugged in the last year. </P> "	"nyt_eng_199503.gz"
"19070"	"it"	"happens"	" ``I might weigh more than last year, but when you're sitting at home and have nothing to do, it happens,'' Offerman explained. ``It will be easy for me to lose weight because I never had that kind of weight before. </P> "	"nyt_eng_199504.gz"
"21200"	"it"	"happens"	" Ms. Tennant was roundly ridiculed in Britain for daring to write a sequel to the inviolate novel. But she said she did it because, ``I thought, `What fun.''' She came to her latest project after a friend, the author Lady Antonia Fraser, recommended her to a lawyer for the Mitchell estate, who had, it happens, just read ``Pemberley.'' </P> "	"nyt_eng_199505.gz"
"26799"	"it"	"happens"	" ``In this system, when the leadership of the Legislature sets its mind to do something, it happens,'' said Lester M. Shulklapper, a lobbyist for the Catskill Resort Association, a group of hoteliers who support casino gambling. </P> "	"nyt_eng_199506.gz"
"28880"	"it"	"happens"	" While McDowell is also from California, he said nothing about raising anything, other than the middle finger of his right hand, a gesture, it happens, that every New York motorist routinely feels obliged to make. </P> "	"nyt_eng_199507.gz"
"37775"	"it"	"happens"	" ``If it happens, it happens,'' Norman said. ``The money title is not that important to me. I've always been a Vardon Trophy guy. I've said that for years and years.'' </P> "	"nyt_eng_199510.gz"
"37893"	"it"	"happens"	" ``It's hockey, it happens, tempers flare,'' Gretzky said, adding that he went after Hill ``probably (because of) that hit.'' </P> "	"nyt_eng_199510.gz"
