"pronoun"	"verb"	"context"	"filename"
"1112"	"he"	"has"	" Drawn to small, edgy films and known among directors for his openness to artistic risks, Cage wants to be a character actor as much as a leading man. For his willingness to show passion on the screen, even if he looks foolish, he has, in fact, been likened to the young Stewart. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940720.0137 type=story > <DATELINE>  (BC-CAGE-FILMS-ART-2NDTAKE-$ADV24-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"1322"	"he"	"has"	" Drawn to small, edgy films and known among directors for his openness to artistic risks, Cage wants to be a character actor as much as a leading man. For his willingness to show passion on the screen, even if he looks foolish, he has, in fact, been likened to the young Stewart. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940723.0097 type=story > <DATELINE>  (BC-CAGE-FILMS-ART-2NDTAKE-$ADV24-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"7741"	"it"	"has"	" In recent years, it has, of course, become fashionable to attack Washington and politicians in general. Whether the bad mood comes from alienation, ignorance, indifference or ``did not-did too'' campaigning is hard to tell. </P> "	"nyt_eng_199410.gz"
"9324"	"she"	"has"	" Recent crusade: To honor her late husband, Reginald Lewis, she has, among other things, dedicated a Harvard Law School building named for him. Lewis, a graduate of Harvard Law, donated $3 million to the school in 1992. </P> "	"nyt_eng_199411.gz"
"12719"	"he"	"has"	" By perfecting the use of composites like carbon fiber in racing yachts -- thereby making them stronger, lighter and much faster -- and in being able to deliver on time and within budget, he has, in fact, cornered the market. </P> "	"nyt_eng_199501.gz"
"19045"	"he"	"has"	" Though Clinton's long march back is just beginning, he has, in the words of White House communications director Mark Gearan, ``produced a road map as to where he thinks the country should be going, not only in his earnestness about what he wants to do, but in his description of what he won't tolerate.'' </P> "	"nyt_eng_199504.gz"
"21497"	"he"	"has"	" Throughout the three-day weekend, hundreds of thousands of visitors to the park have been visiting the globe to record their signatures for posterity and in gestures of support for peace and reconciliation. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950507.0027 type=advis > <DATELINE>  (AM-NYT-BUDGET) </DATELINE> <TEXT> (HLW)  FOR MONDAY AMs  Here are the top news stories in sight at this hour from The New York Times News Service for AMs of Monday, May 8:  For questions about stories call (212) 556-1927. The supervisor is Henry Louis Warnken, followed at 3:30 p.m. ET by Patricia Ryan.  For technical problems call Laurence Bunin at (212) 645-3000.  A rundown of columns and financial, lifestyle, sports and special section stories will move shortly as AM-ADD-BUDGET-NYT.  Please note that news stories and features from The Cox Newspapers, the Los Angeles Daily News, the San Francisco Chronicle, the Asahi News Service, the Fort Worth Star-Telegram, the Kansas City Star, the Seattle Post-Intelligencer, and the New York Times Regional newspapers are all part of your New York Times News Service file.  A list of stories being considered by New York Times editors for Page 1 will move at approximately 4:15 p.m. ET as AM-PAGE1-NYT-CONSIDER.  Stories scheduled for Page 1 will be listed in AM-FRONTPAGE-NYT, which will move by approximately 7 p.m. ET.  INTERNATIONAL  (Coded i)  FRANCE-VOTE (Paris) _ Developments and results in the French presidential election runoff. Craig R. Whitney.  Tentative:  FRANCE-CHIRAC (Paris) _ A profile of the mayor of Paris, if he wins the presidential election. Craig R. Whitney.  RUSSIA-ASSESS (Moscow) _ The real problem behind the conflicts expected at this week's summit is that the Russian government is so poorly organized at this point that nobody there knows quite who is in charge and where it is going. (News analysis.) Steven Erlanger.  RUSSIA-CHECHNYA (Dateline TK) _ In Chechnya, a visit to the site of a massacre during the separatists' war with Russian troops. Michael Specter.  CUBA-U.S.-CANOSA (Miami) _ In any debate about American policy toward Cuba, a major figure is likely to be Jorge Mas Canosa, considered by many to be the principal architect of that policy. Arguably the most influential of the nation's 1.5 million Cuban-Americans, he has, through three administrations, found an open door at the White House and on Capitol Hill. Larry Rohter.  CUBA-U.S.-POLICY (Washington) _ Details of the U.S. policy shift on Cuba and how it came about. Steven Greenhouse.  ISRAEL-U.S. (Jerusalem) _ Israeli officials are concerned about the impact on the peace process of Republican moves in Washington to force the American Embassy in Israel to move from Tel Aviv to Jerusalem. Clyde Haberman.  CHINA-POLITICS (Beijing) _ Many high-level officials have fallen victim to President Jiang's recent crackdown on corruption as he uses the issue of graft against his rivals. The entire city government of Beijing is effectively under arrest. Patrick E. Tyler.  PHILIPPINES-VOTE (Manila) _ When voters across the Philippines go to the polls on Monday, they will face a ballot that resembles both a social register and a rogues gallery, a reminder of how name recognition can mean much more than anything else in this country's messy democracy. Philip Shenon.  YUGOSLAVIA-CROATIA (Zagreb) _ Developments in Croatia, where Croatian troops have been moving in on the Serbs. Roger Cohen.  CHILE-LETELIER (Santiago, Chile) _ Since appeals were concluded three months ago for two military officers convicted of ordering the assassination of a Chilean opposition leader in Washington in 1976, tension has been rising here as both sides in the case have accused the other of trying to influence the Supreme Court in its decision. Calvin Sims.  GERMANY-SYNAGOGUE (Berlin) _ A synagogue involved in the Kristallnacht attack is reopened. Alan Cowell.  NATIONAL  (Coded a)  OKLA-BOMB-PSYCH (Oklahoma City) _ A look at the psychological toll of the bombing on the rescuers. Clifford Levy.  OKLA-BOMB-TOWN (Pendleton, N.Y.) _ A town that feels it's getting a black eye because Timothy McVeigh grew up there holds a five-kilometer run and walk to raise money for the families of the bombing victims. Joseph Treaster.  NRA-POLITICS (Undated) _ Battling for control of the NRA, it's extremists versus moderates as seen through Wayne LaPierre's battle to retain his position as executive vice president of the organization. Fox Butterfield.  WISCONSIN-WELFARE (Madison, Wis.) _ One of the nation's most leftwing cities is getting more than a little testy over the influx of welfare recipients from Chicago, who move 150 miles north for much higher benefits, much lower living costs, and a better quality of life than they get in the Windy City. Dirk Johnson.  SIMPSON-TRIAL-DNA (Los Angeles) _ A look at the technology of forensic DNA fingerprinting as it applies to the Simpson trial, in general, and next week's testimony, in particular. Kenneth B. Noble.  ORLEANS-KILLINGS (New Orleans) _ In a city that has become deaf to gunshots and inured to murder, where no fewer than 21 people died violently in a single week between Feb. 25 and March 4, it was three recent killings in a modest Vietnamese restaurant that made New Orleans weep. A brother and sister, one planning to be a priest, one hoping to be a nun, died on their knees in prayer. A few feet away, a young off-duty police officer, father of a week-old son, was also killed, shot through the body, then in the head at close range, just to make sure. Rick Bragg.  PHD-FUGITIVE (Hollywood, Fla.) _ By most accounts, Kathryn A. Reiter is an intelligent and caring woman with the credentials to match that perception _ a Ph.D. in education, a former town council member, a foster mother. But last month, she added fugitive to that list when she absconded with her foster daughter after losing custody to the girl's family. Mireya Navarro.  CALIF-TAX (Newport, Calif.) _ Here in Orange County, the capital of anti-tax fervor, business and government leaders alike are facing the grim reality that a sales tax hike may be unavoidable. But even with a $1.7-billion deficit looming, there are those who argue that a tax hike would only exacerbate the problem. Seth Mydans.  TOXIC-CARS (Undated) _ Electric cars are all the rage with environmentalists; but the fact is that, given the current level of technology, they will result in a lot more lead pollution from the disposal of the batteries that they use. Peter Passell.  WASHINGTON  (Coded w)  BUDGET-POLITICS (Washington) _ Next week, the budget committees in both the House and Senate are to lay their budget cards on the table. Michael Wines.  REPUBS-BUSINESS (Washington) _ The Republicans, casting a wider net for voters, are trying to distance themselves from big business. Richard L. Berke.  COLUMNS  (Coded k)  Anthony Lewis and William Safire; details later. </TEXT> </DOC> <DOC id=NYT_ENG_19950507.0028 type=advis > <DATELINE>  (AM-ADD-NYT-BUDGET) </DATELINE> <TEXT> (HLW)  Add N.Y. Times News Service budget for papers of Monday, May 8:  CULTURE  (Coded e)  DUTCH-MUSIC-FEST (Amstersdam) _ The Concertgebouw Orchestra leads off a festival in Amsterdam. James R. Oestreich.  MALAKHOV-DANCE (New York) _ Vladimir Malakhov is dancing up a storm with the American Ballet Theater. Jennifer Dunning.  POET-LAUREATE (Undated) _ Robert Hass has been named the poet laureate of the United States by James H. Billington, the librarian of Congress. Hass (rhymes with GRASS), the author of the poetry collections `Field Guide', `Praise', and `Human Wishes', succeeds Rita Dove, whose second one-year term as poet laureate ends this month. William Grimes.  SILICON-BOOK-REVIEW (Undated) _ Christopher Lehmann-Haupt reviews `Silicon Snakeoil: Second Thoughts on the Information Highway', by Clifford Stoll.  TV-VIRUS-REVIEW (Undated) _ John J. O'Connor reviews Robin Cook's `Virus', on NBC.  TV-WEST-REVIEW (Undated) _ Walter Goodman reviews (PBS) `How the West Was Won', on PBS stations, and `Turning Point: Whiz Kids', on ABC.  FINANCIAL  (Coded f)  JAPAN-U.S.-TRADE (Tokyo) _ Developments in the latest U.S.-Japan trade dispute. Andrew Pollack.  VIDEO-GAMES-MULTIMEDIA (Undated) _ For all their success in movies, music, and publishing, the world's top media companies have been a flop in multimedia _that vast but inchoate market for video games, CD-ROMs, on-line services, and interactive cable channels. Of the 20 top-selling PC games now in stores, only one comes from a media company: ``Star Trek Training Tech Manual'' from Viacom. Of the 15 top-selling cartridge games, not one comes from the world of Big Media. Mark Landler.  VIDEO-GAME-PLAYERS (Undated) _ For video game aficionados, the gore of ``Moral Kombat'' or ``Eternal Champions'' is a diversion. For the five companies squaring off against each other in the fight over the market for the next generation of video game players, there is nothing diverting about the coming confrontation. The challenge is to achieve dominance in the $4-billion video game market by introducing better, faster machines with 32-bit microprocessors that can deliver striking three-dimensional graphics and quicker and more intricate action than the current 16-bit machines. Lawrence M. Fisher.  HAMPERS-GRACE (Undated) _ A look at Constantine L. Hampers, the man who chased out J.P. Bolduc from W.R. Grace &AMP; Co., lost his bid for the top job there, and now wants to buy back his old company, National Medical Care, from Grace. Kenneth N. Gilpin.  GERMANY-DOLLAR (Frankfurt) _ The head of Germany's central bank, Hans Tietmeyer, in his most pointed remarks to date on the prospect of the beleaguered dollar rising against the Japanese yen and German mark, said it would not occur until President Clinton and the U.S. Congress took steps to reverse America's declining savings rate and reduce the country's budget deficit. Nathaniel C. Nash.  EAST-COAST-SHUTTLE (Undated) _ A look at the reasons for the East Coast shuttle's enduring success. Edwin McDowell.  EXEC-COMPUTER-COLUMN (Undated) _ Electonic `clipping services' can now cull cyberspace and fetch data for you. These services are customized electronic news services _ a new breed of information retrieval systems that scan on-line news sources and publications looking for information relevant to you. (The Executive Computer column.) Laurie Flynn.  CD-ROM-MAG (Undated) _ Word that Launch magazine is about the hit the streets later this week isn't likely to cause any sleepless nights at Time Warner or Conde Nast. Its start-up financing _ $150,000 from family and friends, and $1 million in venture capital _ amounts to little more than ``a rounding error'' in the budgets of big magazine publishers, jokes David Goldberg, co-founder of Launch. Yet in the infant industry of CD-ROM magazines, Launch is both the latest and the most ambitious entry to date. Aimed at the computer-literate 18-to-34-year-old market, it aspires to be the Entertainment Weekly of the magazine-on-a-disk business by offering a look at new music, movies, and computer games. Steve Lohr.  LAPTOP-BATTERIES (Undated) _ A look at zinc-air batteries for laptops. Matthew Wald.  MARKETPLACE _ Details TK.  CREDIT-RATES (Undated) _ Key interest rate numbers.  ECON-CALENDAR (Undated) _ Key government figures this week.  BOND-CALENDAR (Undated) _ The week's planned offerings.  EQUITIES (Undated) _ Equity issues coming to market this week.  DIVIDEND-MEETINGS (Undated) _ Major meetings this week.  BIZGLANCE (Undated) _ Major financial stories at a glance.  PATENTS (Undated) _ The weekly patents column. Sabra Chartrand.  MEDIA-BUSINESS  (Coding varies.)  FCC-MURDOCH-MEDIA (Undated) _ A look at the implications of the FCC-Murdoch ruling: what, for instance, does it mean, long term, for the possibility of foreign ownership of TV networks? And can anyone really challenge Murdoch with his politcal clout? Bill Carter.  GQ-MAG-MEDIA (Undated) _ A look at GQ, a magazine that has succeeded by a mixture of fairly good journalism and the world of mens' fashion; somewhat in the manner of the old Esquire of 30 years ago. Deirdre Carmody.  TV-SOAPS-MEDIA (Undated) _ Where have all the soap opera ratings gone? Down. Why? There's a glut on the market. Kristen Baldwin.  TV-FOX-MEDIA (Undated) _ The Fox Children's Television Network is taking a risk next fall. On the surface it sounds safe to buy a new live-action show based on the most popular children's book series in many years, the ``Goosebumps'' series of amusing mysteries by R.L. Stine. But bumping ``Mighty Morphin Power Rangers'' to broadcast it? Lawrie Mifflin. </TEXT> </DOC> <DOC id=NYT_ENG_19950507.0029 type=advis > <DATELINE>  (AM-FINANCIAL-NYT-BUDGET) </DATELINE> <TEXT> (HLW)  Add N.Y. Times News Service budget for papers of Monday, May 8:  FINANCIAL  JAPAN-U.S.-TRADE (Tokyo) _ Developments in the latest U.S.-Japan trade dispute. Andrew Pollack.  VIDEO-GAMES-MULTIMEDIA (Undated) _ For all their success in movies, music, and publishing, the world's top media companies have been a flop in multimedia _that vast but inchoate market for video games, CD-ROMs, on-line services, and interactive cable channels. Of the 20 top-selling PC games now in stores, only one comes from a media company: ``Star Trek Training Tech Manual'' from Viacom. Of the 15 top-selling cartridge games, not one comes from the world of Big Media. Mark Landler.  VIDEO-GAME-PLAYERS (Undated) _ For video game aficionados, the gore of ``Moral Kombat'' or ``Eternal Champions'' is a diversion. For the five companies squaring off against each other in the fight over the market for the next generation of video game players, there is nothing diverting about the coming confrontation. The challenge is to achieve dominance in the $4-billion video game market by introducing better, faster machines with 32-bit microprocessors that can deliver striking three-dimensional graphics and quicker and more intricate action than the current 16-bit machines. Lawrence M. Fisher.  HAMPERS-GRACE (Undated) _ A look at Constantine L. Hampers, the man who chased out J.P. Bolduc from W.R. Grace &AMP; Co., lost his bid for the top job there, and now wants to buy back his old company, National Medical Care, from Grace. Kenneth N. Gilpin.  GERMANY-DOLLAR (Frankfurt) _ The head of Germany's central bank, Hans Tietmeyer, in his most pointed remarks to date on the prospect of the beleaguered dollar rising against the Japanese yen and German mark, said it would not occur until President Clinton and the U.S. Congress took steps to reverse America's declining savings rate and reduce the country's budget deficit. Nathaniel C. Nash.  EAST-COAST-SHUTTLE (Undated) _ A look at the reasons for the East Coast shuttle's enduring success. Edwin McDowell.  EXEC-COMPUTER-COLUMN (Undated) _ Electonic `clipping services' can now cull cyberspace and fetch data for you. These services are customized electronic news services _ a new breed of information retrieval systems that scan on-line news sources and publications looking for information relevant to you. (The Executive Computer column.) Laurie Flynn.  CD-ROM-MAG (Undated) _ Word that Launch magazine is about the hit the streets later this week isn't likely to cause any sleepless nights at Time Warner or Conde Nast. Its start-up financing _ $150,000 from family and friends, and $1 million in venture capital _ amounts to little more than ``a rounding error'' in the budgets of big magazine publishers, jokes David Goldberg, co-founder of Launch. Yet in the infant industry of CD-ROM magazines, Launch is both the latest and the most ambitious entry to date. Aimed at the computer-literate 18-to-34-year-old market, it aspires to be the Entertainment Weekly of the magazine-on-a-disk business by offering a look at new music, movies, and computer games. Steve Lohr.  LAPTOP-BATTERIES (Undated) _ A look at zinc-air batteries for laptops. Matthew Wald.  MARKETPLACE _ Details TK.  CREDIT-RATES (Undated) _ Key interest rate numbers.  ECON-CALENDAR (Undated) _ Key government figures this week.  BOND-CALENDAR (Undated) _ The week's planned offerings.  EQUITIES (Undated) _ Equity issues coming to market this week.  DIVIDEND-MEETINGS (Undated) _ Major meetings this week.  BIZGLANCE (Undated) _ Major financial stories at a glance.  PATENTS (Undated) _ The weekly patents column. Sabra Chartrand. </TEXT> </DOC> <DOC id=NYT_ENG_19950507.0030 type=story > <HEADLINE> TIDE OF CUBAN REFUGEES IS HALTED </HEADLINE> <DATELINE> HAVANA, Cuba (BC-CUBA-500&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"21498"	"he"	"has"	" Those pieces do not fall into place until an hour or so before the storms erupt. These puzzle parts include wind-shift lines, places that have had more sunshine, edges of humid air and even the boundaries of old dying thunderstorms. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950507.0044 type=multi > <DATELINE>  (AM-PAGE1-CONSIDER-NYT) </DATELINE> <TEXT> (HLW)  EDITORS:  New York Times editors are CONSIDERING these stories for Monday's Page 1:  INTERNATIONAL  FRANCE-VOTE (Paris) _ Developments and results in the French presidential election runoff. Craig R. Whitney.  RUSSIA-ASSESS (Moscow) _ The real problem behind the conflicts expected at this week's summit is that the Russian government is so poorly organized at this point that nobody there knows quite who is in charge and where it is going. (News analysis.) Steven Erlanger.  RUSSIA-CHECHNYA (Dateline TK) _ In Chechnya, a visit to the site of a massacre during the separatists' war with Russian troops. Michael Specter.  NATIONAL  OKLA-BOMB-PSYCH (Oklahoma City) _ A look at the psychological toll of the bombing on the rescuers. Clifford Levy.  CUBA-U.S.-CANOSA (Miami) _ In any debate about American policy toward Cuba, a major figure is likely to be Jorge Mas Canosa, considered by many to be the principal architect of that policy. Arguably the most influential of the nation's 1.5 million Cuban-Americans, he has, through three administrations, found an open door at the White House and on Capitol Hill. Larry Rohter.  WISCONSIN-WELFARE (Madison, Wis.) _ One of the nation's most leftwing cities is getting more than a little testy over the influx of welfare recipients from Chicago, who move 150 miles north for much higher benefits, much lower living costs, and a better quality of life than they get in the Windy City. Dirk Johnson.  FARRAKHAN-SHABAZZ (New York) _ What did the reconciliation at the Apollo mean; developments. Joyce Purnick.  SPORTS  BKN-KNICKS-PROSPECTS (New York) _ Sports column on the Knicks-Pacers encounter. Harvey Araton.  RUGBY-WOMEN (Undated) _ Women's collegiate rugby takes off. Jere Longman.  PLEASE NOTE: Additional listings of major NYT stories scheduled for Monday moved as AM-NYT-BUDGET, AM-ADD-NYT-BUDGET, AM-FINANCIAL-NYT-BUDGET, and AM-SPORTS-NYT-BUDGET. </TEXT> </DOC> <DOC id=NYT_ENG_19950507.0045 type=story > <HEADLINE> BEWITCHED, NOT BEWILDERED </HEADLINE> <DATELINE>  (BC-MUSICALS-NEWSWEEK-NYTSF) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"29700"	"he"	"has"	" ``I always say, to be a good receiver, you need to be a good basketball player,'' Plumb said. ``A lot of those skills transfer over. The nice thing about it is the skills he needs to have as a receiver, he has, being an (all-state) high school basketball player.'' </P> "	"nyt_eng_199508.gz"
"37285"	"it"	"has"	" ``Yes, it has,'' I say. ``It was 1982, to be exact.'' </P> "	"nyt_eng_199510.gz"
