"pronoun"	"verb"	"context"	"filename"
"6923"	"it"	"hasn't"	" Well, it hasn't, but what can be done, has been done in Tulsa, is to create some sensible and humane way of treating its victims, not just because that is kind and good but because it may better serve the cause of justice. </P> "	"nyt_eng_199410.gz"
"7129"	"it"	"hasn't"	" ``Because, usually, it hasn't,'' he said with a chuckle. ``I just sort of take that as my touchstone for how to live.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941021.0276 type=story > <HEADLINE> SUSPENSE? YES. HORROR? OF (BU)COURSE </HEADLINE> <DATELINE>  (BC-PUPPET-FILM-REVIEW-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"41687"	"he"	"hasn't"	" But so far, he hasn't, and he isn't. </P> "	"nyt_eng_199512.gz"
"52895"	"he"	"hasn't"	" ``Dole has to answer the question, `What's in it for me,' and so far, he hasn't,'' Collett said. </P> "	"nyt_eng_199603.gz"
"52976"	"he"	"hasn't"	" ``Dole has to answer the question, `What's in it for me,' and so far, he hasn't,'' Collett said. </P> "	"nyt_eng_199603.gz"
"53109"	"he"	"hasn't"	" ``Dole has to answer the question, `What's in it for me,' and so far, he hasn't,'' Collett said. </P> "	"nyt_eng_199603.gz"
"54447"	"he"	"hasn't"	" ``Jay has helped Garnett a lot,'' said Saunders, who replaced the fired Blair December 18. ``He's explained to him, `I've done a lot of things in my career that haven't benefitted me. I've made some mistakes, and don't you make the same mistakes.''' So far, he hasn't, earning A's for punctuality and effort, two of Rider's weaknesses in past years. </P> "	"nyt_eng_199604.gz"
"115782"	"it"	"hasn't"	" Secondly, while some European leaders have expressed puzzlement about, bordering on disapproval for, Blair's shoulder-to-shoulder support for President Bush, it hasn't, in the words of one Downing Street insider, stopped them from angling for dinner invitations more assiduously than ever before. </P> "	"nyt_eng_200205.gz"
"130111"	"it"	"hasn't"	" But it's not as if this has swept economics, it hasn't, and for very deep structural reasons, it's not going to. The rational model has a hold on economics and it's going to stay that way. Behavioral economists fiddle with it, improving the assumptions and making them psychologically sensible, but it's not a completely different way of doing economic theory. </P> "	"nyt_eng_200211.gz"
"149914"	"she"	"hasn't"	" Though it feels as if she's already got an Oscar, she hasn't, and she's been nominated only once (Elizabeth). A few weeks ago, her chances didn't look all that good; after all, her performance verges on nightclub impersonation. But things are shifting her way. She recently was the Screen Actors Guild's choice. </P> "	"nyt_eng_200502.gz"
"159760"	"he"	"hasn't"	" So far, he hasn't, and at a meeting here on Tuesday NFL owners expressed compassion for the strain Benson is under, perhaps acknowledging that his image must be repaired for the Saints to be successful. </P> "	"nyt_eng_200511.gz"
