"pronoun"	"verb"	"context"	"filename"
"1045"	"I"	"have"	" ``Have you ever walked a cat on a leash?'' I ask. He admits he hasn't. ``Well, I have, more or less (mostly less), so let me share my experience with you.'' </P> "	"nyt_eng_199407.gz"
"2603"	"we"	"have"	" First of all, we have, in the United States of America, the greatest health care system in the history of the world. In the last 25 years, 90 percent of all the pharmaceuticals, 95 percent of all the medical procedures, 90 percent of all the routine miracles that we expect every time we go to the doctor, every time we go to the hospital, they have all been developed by Americans. </P> "	"nyt_eng_199408.gz"
"4084"	"you"	"have"	" Have you noticed -- well, of course, you have, you little ol' health-care consumer, you -- that the longer the wait, the fewer the magazines? The doctor in whose waiting room we whiled away 2 1/2 hours offered four publications, three being Better Homes and Gardens, September 1992. I can't remember the fourth, but I sure have the other three down pat. </P> "	"nyt_eng_199409.gz"
"8087"	"we"	"have"	" Yes, we have, right here at Churchill Downs on the first Saturday of last May, and you know what a mess the rain made of the Kentucky Derby. </P> "	"nyt_eng_199411.gz"
"12202"	"I"	"have"	" More interesting is the hour or so in the not-quite mid-morning when I set up in front of the tube while I'm exercising. From this slot, just after the breakfast chitchat shows (I gave up on them a couple of years ago, preferring to read the newspaper in silence), I have, over the years, come to an appreciation of shows in syndicated reruns. </P> "	"nyt_eng_199501.gz"
"12434"	"we"	"have"	" Instead, we have, once in a while, worthy programs about the plight of the poor. This just in: The poor are fully checked out on their plight. </P> "	"nyt_eng_199501.gz"
"15757"	"we"	"have"	" ``Well, we have,'' Ms. Clark replied. </P> "	"nyt_eng_199502.gz"
"15760"	"we"	"have"	" ``Well, we have,'' Clark replied. </P> "	"nyt_eng_199503.gz"
"15765"	"we"	"have"	" ``Well, we have,'' Clark replied. </P> "	"nyt_eng_199503.gz"
"16024"	"I"	"have"	" ``I sat down and thought about it seriously, doing it myself,'' she said. ``Um, I have, I'm not your classic schizophrenic but I do kind of go from one self to another self.'' </P> "	"nyt_eng_199503.gz"
"16120"	"I"	"have"	" ``I sat down and thought about it seriously, doing it myself,'' she said. ``Um, I have, I'm not your classic schizophrenic but I do kind of go from one self to another self.'' </P> "	"nyt_eng_199503.gz"
