"pronoun"	"verb"	"context"	"filename"
"19513"	"I"	"haven't"	" ``Judy asked, `Have you read the McNamara book,' '' Blitzer recalled in a telephone interview Friday, ``and he said, `No, I haven't, but I have read a lot of articles about it, and I think he did the right thing; it was a courageous thing for him to do.' </P> "	"nyt_eng_199504.gz"
"20859"	"they"	"haven't"	" ``Do you think they paid us? No, they haven't, and in this business you can't just cut off customers who you have a relationship with. Too much time and effort has been invested,'' said Emilio Lopez Cabeitas, an Intersoft vice president. </P> "	"nyt_eng_199504.gz"
"23049"	"I"	"haven't"	" ``No, I haven't,'' Luyendyk said. ``I know my situation. But what can I do about it? </P> "	"nyt_eng_199505.gz"
"27499"	"I"	"haven't"	" ``No, I haven't,'' said the waitress, who was clearly born years after the old Dodger pitched his last inning. </P> "	"nyt_eng_199507.gz"
"32130"	"I"	"haven't"	" ``No, I haven't,'' said A&AMP;M's former athletic director. ``I think he's it.'' </P> "	"nyt_eng_199508.gz"
"51989"	"we"	"haven't"	" ``The world is changing from a manufacturing society to a information-oriented society,'' he said. ``Unfortunately, we haven't, including MITI, adjusted to this change.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960315.0128 type=story > <HEADLINE> HEINEKEN 1995 NET RISES 10.1% AS EXPORTS HIT RECORD (UPDATE1) </HEADLINE> <DATELINE> Amsterdam, March 15 (Bloomberg) (BC-EARNS-HEINEKEN-UPDATE1-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199603.gz"
"52652"	"we"	"haven't"	" ``The world is changing from a manufacturing society to a information-oriented society,'' he said. ``Unfortunately, we haven't, including MITI, adjusted to this change.'' </P> "	"nyt_eng_199603.gz"
"70407"	"I"	"haven't"	" ``I told the lieutenant, `Listen, I haven't, but even if I had, I would say no. You are here now, but then you're going to leave, and here I stay.''' </P> "	"nyt_eng_199609.gz"
"72062"	"they"	"haven't"	" The difficulty now for Republicans, says Bositis, is coming up with an alternative to Clinton's ``mend it, don't end it'' position on affirmative action. So far, they haven't, he said. </P> "	"nyt_eng_199609.gz"
"74817"	"I"	"haven't"	" ``No, I haven't,'' I said. ``Look, what sort of oil do you use when someone just traveling through asks for the least expensive selection?'' </P> "	"nyt_eng_199610.gz"
"83722"	"they"	"haven't"	" So far, they haven't, and bears see blood. ``I think we are much closer to a meltdown in Japanese financial assets now than we have ever been,'' says Jeff Uscher, the editor of Grant's Asia Observer. </P> "	"nyt_eng_199701.gz"
"95864"	"they"	"haven't"	" ``If any of the other candidates could say that they've had not only the executive experience but also the legislative experience to work with this council, I don't think you have to be a rocket scientist and say, `No, they haven't,''' he said. ``As good as they are and as nice as they are, and I like them all, they simply don't have anything to do, nothing whatsoever to do with running a city council or running this city. `` </P> "	"nyt_eng_200107.gz"
"111605"	"I"	"haven't"	" A: No, I haven't, and it probably wouldn't be helpful for me to do something like that. I don't think this is about personality. And I am more than a reluctant participant in discussions with media, as I have been advertised. I actually think that the place of a commander and a soldier is to be doing the planning and be trying to think through how to get a mission done and keep people alive. And I'd rather just focus my energy on that. It is hard enough to be a personal representative of a whole lot of people wearing this uniform and walk into a baseball stadium and throw a parabolic pitch and have thousands of people stand up and clap. That is an emotional thing for a person who is not really interested in that. I don't know if you call that being an introvert. I'm not really sure. I am not comfortable doing that. I am reluctant to do it because I think it's too easy for people to pay more attention to the way they believe they are being perceived. If you pay too much attention to that kind of stuff you are probably not paying enough attention to what you really need to be doing. </P> "	"nyt_eng_200204.gz"
"116829"	"I"	"haven't"	" ``They're honorable people,'' Bush said. ``I was just with Cardinal Egan today. And I'm confident the church will clean up its business and do the right thing. As to the timing, I haven't, frankly _ I'm not exactly aware of the _ how fast or how not fast they're moving. I just can tell you I trust the leadership of the church.'' </P> "	"nyt_eng_200205.gz"
