"pronoun"	"verb"	"context"	"filename"
"7721"	"it"	"helps"	" ``Sometimes, when you get a little something, it helps,'' K-State Coach Bill Snyder said. ``You know you can get some first downs. You can expand your offense.'' </P> "	"nyt_eng_199410.gz"
"10610"	"it"	"helps"	" ``Any time you get more visible policemen on the streets, it helps,'' he said. ``And these fellows know the community. They can get closer.'' </P> "	"nyt_eng_199412.gz"
"69553"	"it"	"helps"	" ``The problem with a lot of media critics is they assume if something is put on the air, it helps,'' said ABC News correspondent Jeff Greenfield. ``I would argue that if the shot is of Evan Bayh giving a bad speech with people walking out, the Republicans would want us to cover that.'' </P> "	"nyt_eng_199608.gz"
"74476"	"it"	"helps"	" ``From a run standpoint and a force standpoint and banging people's bodies, yeah, it helps,'' Rhodes said. ``You have receivers that are now getting bigger. Thomas Lewis and Armani Toomer aren't really little receivers. </P> "	"nyt_eng_199610.gz"
"80528"	"it"	"helps"	" ``I won't lie to you, it helps,'' said Falcons defensive end Chuck Smith. ``I remember sitting in this locker room before the game watching (tackle) Bob Whitfield get fitted for earplugs. Today, we were just talking about how empty the place was.'' </P> "	"nyt_eng_199612.gz"
"88423"	"it"	"helps"	" ``If you put more money in the mix, it helps,'' he said. ``I definitely feel we need more capital funding, but the district I represent, Mesa (Unified), doesn't have a capital problem.'' So he said his top priority is maintenance and operations. </P> "	"nyt_eng_199702.gz"
"103707"	"it"	"helps"	" ``Advertising 101 tells you (that) if your product name is widely exposed, it helps,'' says Paul Dergarabedian of Exhibitor Relations, which tracks box-office figures. </P> "	"nyt_eng_200201.gz"
"103710"	"it"	"helps"	" ``Advertising 101 tells you (that) if your product name is widely exposed, it helps,'' says Paul Dergarabedian of Exhibitor Relations, which tracks box-office figures. </P> "	"nyt_eng_200201.gz"
"119937"	"it"	"helps"	" ``When you are coming down the stretch, it helps,'' Golden said when asked if having won before would help her this weekend. ``I still feel like I have nothing to lose. So let it fly.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020628.0289 type=story > <HEADLINE> FOUR CONFIRMED CASES OF DISAPPEARANCES IN MEXICO DEMONSTRATE </HEADLINE> <DATELINE>  (BC-MEXICO-VIOLENCE-HNS) </DATELINE> <TEXT> "	"nyt_eng_200206.gz"
"128316"	"it"	"helps"	" ``Sure, it helps,'' Oklahoma coach Bob Stoops said. ``It gives us some momentum. All I know is, we got to win Saturday against Iowa State. That's all that matters to us.'' </P> "	"nyt_eng_200210.gz"
"134915"	"it"	"helps"	" ``Size doesn't really matter,'' Doba said. ``I mean, it helps, don't get me wrong. But speed and strength are more important than size.'' </P> "	"nyt_eng_200212.gz"
"138974"	"it"	"helps"	" ``Psychologically, it helps,'' said Chris Brown, a professor of international relations at the London School of Economics. </P> "	"nyt_eng_200312.gz"
"138976"	"it"	"helps"	" ``Psychologically, it helps,'' said Chris Brown, a professor of international relations at the London School of Economics. </P> "	"nyt_eng_200312.gz"
"150054"	"it"	"helps"	" Hugh Young, the Singapore-based head of equities at Aberdeen Asset Management, likes tobacco stocks in Asia and Latin America for their good cash flow, good yield and lowish valuations, but he also appreciates their relative immunity from legal trouble, even if he is embarrassed to acknowledge it. It sounds dreadful, but yes, it helps, he said. </P> "	"nyt_eng_200503.gz"
"152523"	"it"	"helps"	" Sometimes they help, and, if it helps, it helps, says Pamela Boggs, director of education and development for the North American Menopause Society. But as a scientific organization, of course we like to see scientific evidence before we would recommend something, and unfortunately, the evidence just is not there. </P> "	"nyt_eng_200505.gz"
"161988"	"it"	"helps"	" We've actually talked about that a little bit. That's part of the reason I wanted to start catching him, Schneider said. Any time you catch somebody and you're more familiar with him, it helps, especially with as big as these games are going to be. </P> "	"nyt_eng_200601.gz"
