"pronoun"	"verb"	"context"	"filename"
"1097"	"I"	"hope"	" ``The competition is great. Having Marcus Allen out here helps make all of us better, the same with Greg Hill and Trevor Cobb and, I hope, me. Once you start worrying about that stuff it shows that you don't have confidence in yourself. Hopefully we can all pick up a little something from each other to make us better.'' </P> "	"nyt_eng_199407.gz"
"3317"	"they"	"hope"	" And that's why newspapers and even some magazines are experimenting with systems that deliver news -- and, they hope, some advertising -- to computer subscribers, said Michael Rinzel, an analyst with Jupiter Communications, a New York market research firm that specializes in high-tech industries. </P> "	"nyt_eng_199408.gz"
"3321"	"they"	"hope"	" Because the university has not kept separate records of domestic abuse -- they may be classified as assault or harassment -- officials could not say how widespread the problem is. But they believe it reflects society at large, where the problem is often not reported. Those who have been abused, they hope, will come forward now that there is a shelter for them. </P> "	"nyt_eng_199408.gz"
"4570"	"I"	"hope"	" Problem: We are planning an addition to our ranch-style house that was built in the '60s. The new space will include a larger kitchen and a family room, and, I hope, a lot of light from outside. </P> "	"nyt_eng_199409.gz"
"4807"	"they"	"hope"	" While they, like the Britons, take zestfully to debate the way many people do to sport, the topic is one that is close to them. In their own lives they have each found their own niche of faith defined as much by what has happened in their lives as by what happens in a church on Sunday. That, they hope, will give them the edge. </P> "	"nyt_eng_199409.gz"
"4815"	"I"	"hope"	" Espy, a former Democratic congressman from Mississippi, denied violating any laws or ethics rules and said that the documents made public Friday ``are the records of hard-working, committed and, I hope, effective secretary of agriculture.'' </P> "	"nyt_eng_199409.gz"
"4925"	"they"	"hope"	" While they, like the Britons, take zestfully to debate the way many people do to sport, the topic is one that is close to them. In their own lives they have each found their own niche of faith defined as much by what has happened in their lives as by what happens in a church on Sunday. That, they hope, will give them the edge. </P> "	"nyt_eng_199409.gz"
"4953"	"I"	"hope"	" I don't necessarily think all this TV viewing will destroy Erin's brain cells, the way Twinkies and her partiality to Hank Williams Jr. surely will. But I was pleased that the story of Zoe and Sheba kept her awake an extra few minutes after the Emmy show, and I was reassured that the printed word still holds magic enough to interest and, I hope, influence a little girl much closer to me than Sheba. Erin, long familiar with the slickness of ``Star Trek,'' now knows something of a brave young woman who cared enough to erase the sordidness from a sad childhood she never knew herself. </P> "	"nyt_eng_199409.gz"
"5149"	"we"	"hope"	" ``One cannot emphasize strongly enough that reception of holy communion outside of Mass is not the same as the celebration of Mass itself,'' the document states. Communion services, with distribution of bread previously consecrated by a priest, are ``inadequate, necessary and, we hope, temporary measures,'' it adds. </P> "	"nyt_eng_199409.gz"
"5736"	"I"	"hope"	" But more often, I hope, it means that people are enabled to live -- or die -- with the dignity that comes with assuming responsibility for themselves. </P> "	"nyt_eng_199409.gz"
"5923"	"I"	"hope"	" But more often, I hope, it means that people are enabled to live -- or die -- with the dignity that comes with assuming responsibility for themselves. </P> "	"nyt_eng_199410.gz"
"6053"	"I"	"hope"	" Maggie Green said, ``The men who did this were, I hope, probably as shocked as the rest of Italy. Maybe that will change their lives so that they will turn away from this.'' </P> "	"nyt_eng_199410.gz"
"6089"	"I"	"hope"	" ``People are beginning to realize, I hope, what the Europeans saw,'' Fleishmann said. ``We have here one of the great orchestras of the world. It's one of the great assets of Los Angeles ... One of the critics in Germany say we belong in the league of champions. What's happened to baseball and hockey? Dodgers are not the winning team, it's the philharmonic.'' </P> "	"nyt_eng_199410.gz"
"7863"	"I"	"hope"	" ``This is different. Benton has got demons. You see all his complications up front. Each week he deals with them. Every two weeks or so, you get to see more of them. That way, I hope, the audience won't get bored.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941101.0088 type=story > <HEADLINE> PHILANTHROPIST DONATES SET OF RARE DIAMONDS TO SMITHSONIAN </HEADLINE> <DATELINE> WASHINGTON  (BC-GEMS-COX) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"8475"	"I"	"hope"	" We'll have a chance now to see whether they (the Republicans) can say yes to anything, instead of just saying no. And I think they are going to be subjected, I hope, to the same kind of intense negative scrutiny that the president and the Democrats have faced. </P> "	"nyt_eng_199411.gz"
"9313"	"we"	"hope"	" ``One of the things we love about this is that it's going to be, we hope, a really great place for our son to grow up,'' Marthens said. ``But I never thought I'd be worrying the way I worry now.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941125.0239 type=story > <HEADLINE> TEXAS TECH'S COTTON BOWL ACCEPTANCE SUBDUED </HEADLINE> <DATELINE> FORT WORTH, Texas  (BC-FBC-TECH-COTTON-TEX) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"9538"	"we"	"hope"	" ``The standard bread-and-butter operas will be produced at the Met in the classic style,'' Volpe vowed in an interview last week. ``The production, we hope, will last much longer than me or Giancarlo del Monaco.'' </P> "	"nyt_eng_199411.gz"
"10011"	"I"	"hope"	" Friends have fled the city; those of us who remain are determined, like the tough, strong trees that thrive improbably in the sidewalks, to stay rooted here. The city dares us to stay; we take the dare. And one day, I hope, we'll thrill to pull open a heavy steel door, wander into a battered brick structure and find within the warmth and creativity and discipline that make us feel this place will be just fine. </P> "	"nyt_eng_199412.gz"
"10620"	"I"	"hope"	" ``One of the things we're going to do this year, I hope, is to zero out the Corporation for Public Broadcasting, which has been eating taxpayers' money,'' Gingrich said Dec. 6 on the conservative cable channel. </P> "	"nyt_eng_199412.gz"
"11188"	"I"	"hope"	" In widely discussed remarks made Dec. 6 on National Empowerment Television, a cable channel, Gingrich said, ``One of the things we're going to do this year, I hope, is to zero-out the CPB.'' Americans, Gingrich said, ``have been paying taxes involuntarily to subsidize something which told them how they should think.'' </P> "	"nyt_eng_199412.gz"
"11284"	"they"	"hope"	" The idea deserves a hearing. Absent a rapid, negotiated settlement, baseball's immediate future is dismal. The players have lodged an unfair-labor-practice charge with the National Labor Relations Board that, they hope, will eventually lead to a court injunction against the salary-cap plan. But such an injunction could trigger a lockout by the owners, who say they cannot afford to continue under the old economic rules. </P> "	"nyt_eng_199412.gz"
"12124"	"they"	"hope"	" ``Working for Bill, you design for change,'' Bohlin said. The architects drew the house in such a way, they hope, that it will not be dated as some late 1990s statement from the infant Information Age. </P> "	"nyt_eng_199501.gz"
"12423"	"I"	"hope"	" I catch my breath at the memory of those hours. I will never forget them, I hope, because they gave me a brief taste of the anguish of people who cry in the street because they do not know where their pain is coming from. </P> "	"nyt_eng_199501.gz"
"12611"	"I"	"hope"	" ``What I tried to do with this movie is push (that sense of alienation) as far as I could, without turning it into an Oliver Stone movie. We were trying to make a movie with a real independent spirit that, I hope, will get banned in places.'' </P> "	"nyt_eng_199501.gz"
"13374"	"they"	"hope"	" How does he do that? Playing time is the only way, and Minor will get that. Whether it comes at the expense of Brown, Wilkins or both remains to be seen. If there is a neat way out of this dilemma, it has not presented itself to the Celtics' front office, which realizes that Wilkins is struggling -- temporarily, they hope, but permanently, some of them fear. </P> "	"nyt_eng_199501.gz"
