"pronoun"	"verb"	"context"	"filename"
"2517"	"he"	"hoped"	" One that could, he hoped, last for life. </P> "	"nyt_eng_199408.gz"
"7864"	"he"	"hoped"	" This particular day was to end with wine aplenty, a Lucullan bash at ``21,'' restricted to 100 wine lovers willing to spend big bucks to share Johnson's meal and, he hoped, buy the book. </P> "	"nyt_eng_199411.gz"
"9020"	"it"	"hoped"	" Futerfas asserted in his appeal that previously released FBI reports show that the government ``turned a blind eye to Scarpa's activities'' in a plan ``to create and further a divisive conflict which would enable the FBI, to make, it hoped, dozens of arrests and convictions.'' </P> "	"nyt_eng_199411.gz"
"10369"	"he"	"hoped"	" Or perhaps they'd take customers out in the field to see Christmas trees. Only this time, he hoped, there wouldn't be girls armed with lipstick. His nose was still red from their visit the day before. </P> "	"nyt_eng_199412.gz"
"11446"	"they"	"hoped"	" Monday she was off home again, with 3,000 others from Slovenia. The buses, they hoped, would swing once last time past the Cathedral of Notre Dame. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950101.0039 type=story > <HEADLINE> IN WASHINGTON HEIGHTS, DRUG TRADE THRIVES </HEADLINE> <DATELINE> NEW YORK  (BC-NY-CRIME-II-600(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"11940"	"he"	"hoped"	" When he won the minority leader's job, Gephardt pointedly said that House Democrats would autonomously develop an agenda that, he hoped, would be embraced by the Senate and the White House. </P> "	"nyt_eng_199501.gz"
"12073"	"it"	"hoped"	" On Monday, Mexico used the credit line to buy pesos and, it hoped, to bolster their value. But on Tuesday, the currency continued to slide, closing at 5.85 pesos to the dollar, a one-day decline of 8.1 percent. Since a forced devaluation and floating of the peso late last month, the currency has deteriorated against the dollar more than 40 percent. </P> "	"nyt_eng_199501.gz"
"18329"	"I"	"hoped"	" Given the prominence of my vegetable garden, however, I felt that its plan must emphasize the aesthetic: My object was only to startle pleasurably, not offend. So in early spring I began by framing the planting area with 6-inch landscape timbers meticulously lap-jointed at the corners. I overlapped my three beds, stepping them down the gentle slope in an expanding sequence that would suggest, I hoped, the kind of organic patterns I have admired in photographs of Balinese mountainsides. </P> "	"nyt_eng_199503.gz"
"18468"	"I"	"hoped"	" Given the prominence of my vegetable garden, however, I felt that its plan must emphasize the aesthetic: My object was only to startle pleasurably, not offend. So in early spring I began by framing the planting area with 6-inch landscape timbers meticulously lap-jointed at the corners. I overlapped my three beds, stepping them down the gentle slope in an expanding sequence that would suggest, I hoped, the kind of organic patterns I have admired in photographs of Balinese mountainsides. </P> "	"nyt_eng_199504.gz"
"19672"	"he"	"hoped"	" Molpus used his opening statement to present himself as a regular Mississippi fellow of decent bent and a problem-solving turn of mind -- pre-empting, he hoped, an anticipated attempt by Fordice to morph him into the Great Satan, Bill Clinton. </P> "	"nyt_eng_199504.gz"
"19674"	"he"	"hoped"	" Molpus used his opening statement to present himself as a regular Mississippi fellow of decent bent and a problem-solving turn of mind -- pre-empting, he hoped, an anticipated attempt by Fordice to morph him into the Great Satan, Bill Clinton. </P> "	"nyt_eng_199504.gz"
"19932"	"they"	"hoped"	" The shattered building, its innards exposed to the camera; the black smoke; the confused people hastening, they hoped, away from danger; the bloodied bodies on the street; the crying babies; the agitated local reporters; and dubious scoops quickly delivered and almost as quickly withdrawn. </P> "	"nyt_eng_199504.gz"
"22014"	"it"	"hoped"	" It was a noble idea, fairly oozing with pioneer spirit. Three years ago the American Stock Exchange decided to give a break to some little companies that didn't quite fit the mold but that, it hoped, had boundless futures. </P> "	"nyt_eng_199505.gz"
"24802"	"they"	"hoped"	" Even though Gingrich aides lost the battle over the setting and structure of the meeting, they were happy to put their man next to the president. Despite Gingrich's prominence in Washington and the fact that he has set the political agenda there, his poll numbers around the country have been abysmally low. A chance for Gingrich to share a platform with Clinton, they hoped, would help elevate the speaker in a way that does not happen in the nation's capital. </P> "	"nyt_eng_199506.gz"
"25602"	"they"	"hoped"	" Congressional Democrats had planned to let the GOP do its worst and then, they hoped, ride back into power as dinged voters rose in outrage _ but without any honest governing scheme of their own. </P> "	"nyt_eng_199506.gz"
