"pronoun"	"verb"	"context"	"filename"
"6934"	"it"	"hurt"	" ``To see my mother holler and cry all the time, it hurt, but there was nothing I could do,'' he said. ``You hear it through the walls next door; you hear it upstairs in the apartment building. It was just a routine kind of thing. So who do you go to? Me and my brother used to sneak to the phone and call my grandmother. She'd come over and pick all of us up and take us back to her house. </P> "	"nyt_eng_199410.gz"
"20185"	"it"	"hurt"	" I think the glass, it hurt, because she got stitches all on the rim of her ears, and on the back of her ears. Then she got I don't know how many stitches on her thumb. That was cut pretty deep, on the left hand. And she has stitches on her left thigh. And she has a few scratches on her face and a few scratches on her cheek and on her back. Her back is pretty bruised. </P> "	"nyt_eng_199504.gz"
"25392"	"you"	"hurt"	" The rest of the crew caught up just in time to see Kevin land rather soundly against the fender of a red hatchback with Maryland plates. ``Keewee, you hurt, man?'' asked Allen Grant, who has always called his best friend Keewee. Kevin grimaced. </P> "	"nyt_eng_199506.gz"
"36768"	"we"	"hurt"	" ``Perhaps in the light of what we see today, maybe it's time to sit down and talk, not with any preconditions. You got pain, but we got pain, too. You hurt, we hurt, too,'' he said. </P> "	"nyt_eng_199510.gz"
"36771"	"we"	"hurt"	" ``Perhaps in the light of what we see today, maybe it's time to sit down and talk, not with any preconditions. You got pain, but we got pain, too. You hurt, we hurt, too,'' he said. </P> "	"nyt_eng_199510.gz"
"52433"	"they"	"hurt"	" ``My breasts were very full, they hurt,'' Mrs. Almada said. ``I said, `I'm sure my baby is hungry.''' </P> "	"nyt_eng_199603.gz"
"52499"	"they"	"hurt"	" ``My breasts were very full, they hurt,'' Mrs. Almada said. ``I said, `I'm sure my baby is hungry.''' </P> "	"nyt_eng_199603.gz"
"57772"	"it"	"hurt"	" Once the Rangers tied the score, 1-1, it was Jagr to the rescue again, this time with a blistering bullet from the left circle at 16:32. Richter was lucky the puck went by him rather than through him. Either way, it hurt, and it gave the Penguins a 2-1 lead. </P> "	"nyt_eng_199605.gz"
"66896"	"I"	"hurt"	" O'Brien took the lead after the shot put, the third event, but didn't count on gold until the final two laps of the 1,500m. ``I'm thinking, `I'm tired, I hurt, I'm numb, but that's what it's all about,''' he said. ``All I had to do was hang on. It was the hardest two days of my life, but the rewards are greater than the stresses.'' </P> "	"nyt_eng_199608.gz"
"66959"	"I"	"hurt"	" O'Brien took the lead after the shot put, the third event, but didn't count on gold until the final two laps of the 1,500m. ``I'm thinking, `I'm tired, I hurt, I'm numb, but that's what it's all about,''' he said. ``All I had to do was hang on. It was the hardest two days of my life, but the rewards are greater than the stresses.'' </P> "	"nyt_eng_199608.gz"
"78287"	"it"	"hurt"	" __ Layups: Jerome Kersey was activated as expected and logged 18 minutes in his Lakers debut, pulling down four rebounds and hitting a clutch scoop shot after L.A.'s lead was down to 63-58. ``I just (wanted) to put the purple on,'' Kersey said. ``Or the gold.'' ... O'Neal twisted his right ankle after colliding with Joe Kleine inside two minutes but thinks he'll be OK for Tuesday's trip to Golden State. ``Yeah, it hurt,'' Shaq said. ``Am I sitting? No.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19961118.0019 type=story > <HEADLINE> SONICS WIN ON WEARY LEGS </HEADLINE> <DATELINE> SEATTLE (BC-SONICS-VANCOUVER-SPI) </DATELINE> <TEXT> "	"nyt_eng_199611.gz"
"85747"	"it"	"hurt"	" ``As a team, as a family, it hurt,'' senior Sherick Simpson said. ``It hurt almost like a death.'' </P> "	"nyt_eng_199701.gz"
"97878"	"we"	"hurt"	" ``If the state is hurting, we hurt,'' she said. ``And if the nation is hurting, I'm sure Laura Bush feels the same way.'' </P> "	"nyt_eng_200110.gz"
"127181"	"I"	"hurt"	" ``Every time I hear an ambulance, I hurt,'' says Schulze, choking up and touching his heart. ``If you can, please give, because there are so many people out there who need you.'' </P> "	"nyt_eng_200210.gz"
"138718"	"they"	"hurt"	" ``Wives are very protective, and Pam in particular. . . . Do those things hurt? Yeah, they hurt, but I don't take it personally. You'd like for everybody to like you, but I learned a long time ago that's impossible.'' </P> "	"nyt_eng_200311.gz"
"152740"	"you"	"hurt"	" Finally I told him, 'When you become a parent, you'll find out that when your kids hurt, you hurt,' but then I said, 'Jesus Christ, Paulie, you're making $4 million a year!'  </P> "	"nyt_eng_200505.gz"
"157000"	"I"	"hurt"	" It's just one of those things when he hurts, I hurt, said Sheffield, the Yankees' right fielder. </P> "	"nyt_eng_200508.gz"
"161195"	"it"	"hurt"	" It hurt, it hurt, Grier says now, 50 years after he was in tears in the locker room. Because of you, your team lost. </P> "	"nyt_eng_200512.gz"
