"pronoun"	"verb"	"context"	"filename"
"2272"	"he"	"implied"	" And all this, he implied, was threatened by the steady infiltration of English words and phrases, ranging from street slang to business and technical terminology, into the French language. </P> "	"nyt_eng_199408.gz"
"2974"	"she"	"implied"	" Entering the diplomatic dispute between Germany and Russia, Energy Secretary Hazel O'Leary said Wednesday that finding the provenance of the atomic materials recently seized in Europe was far less important than increasing the general security of Russia's nuclear research and production complex. This complex, she implied, is the most likely source of the intercepted bomb materials. </P> "	"nyt_eng_199408.gz"
"15612"	"they"	"implied"	" Some Pasqua aides suggested to reporters that the culprit was Ambassador Pamela Harriman. Her intention, they implied, was to cover up her own failure to control maverick CIA operations within the U.S. embassy here. </P> "	"nyt_eng_199502.gz"
"19416"	"he"	"implied"	" ``There's two ways to approach McNair. Get him right away and go through the lumps as he develops.'' Or, he implied, a team may look at the talented small-college quarterback down the road as a player to be trained, what the football trade calls ``a project.'' </P> "	"nyt_eng_199504.gz"
"19459"	"he"	"implied"	" ``There's two ways to approach McNair. Get him right away and go through the lumps as he develops.'' Or, he implied, a team may look at the talented small-college quarterback down the road as a player to be trained, what the football trade calls ``a project.'' </P> "	"nyt_eng_199504.gz"
"22069"	"he"	"implied"	" The moral to the story was obvious. Twardzik raved about the Warriors' talent, but noted that the team was ``going a little bit sideways right now.'' If the players could put aside their differences, he implied, they could be playoff contenders. </P> "	"nyt_eng_199505.gz"
"28327"	"he"	"implied"	" ``We're usually right in town, but there's a boat race today and we couldn't get our regular mooring,'' said captain Ian Claproth. On a barge, he implied, you go with the flow. </P> "	"nyt_eng_199507.gz"
"29791"	"they"	"implied"	" Mantle's doctors, downcast and shaken, made the announcement Tuesday at Baylor University Medical Center, where he has been receiving aggressive chemotherapy. Although his doctors studiously avoided making predictions, they implied, and other specialists confirmed, that the chemotherapy was not a cure. </P> "	"nyt_eng_199508.gz"
"31020"	"he"	"implied"	" A $5 ``Slick Willie'' crying towel emblazoned with Bill Clinton's face and the words: ``I feel your pain.'' Perfect, he implied, for those who spurn what many attendees consider the weepy, wimpy Clinton crowd. </P> "	"nyt_eng_199508.gz"
"33942"	"he"	"implied"	" The lesson for Japan, he implied, was clear. In a 1990 book entitled, ``Beyond Capitalism,'' Sakakibara strenuously argued that Japan's economic system should never be modeled on that of America. </P> "	"nyt_eng_199509.gz"
"35358"	"she"	"implied"	" Thatcher added that mainland Chinese leader Deng Xiaoping has introduced economic freedoms that, with time, could lead to democratic political reforms _ reforms that, she implied, would ease tensions with its more democratic island neighbor. </P> "	"nyt_eng_199510.gz"
"45837"	"he"	"implied"	" But if ``there is no real compromise from Syria, and if we just hear nice words and a readiness to listen to us and to the Americans, then there will be no peace in 1996,'' said Beilin, and thus, he implied, no reason not to have an early vote. </P> "	"nyt_eng_199601.gz"
"49673"	"he"	"implied"	" Unless his opponents stop assailing him as an extremist, he implied, unless the party speaks to his supporters, they will stay home, vote Democratic or support a third-party candidate _ perhaps Ross Perot, perhaps Buchanan himself. </P> "	"nyt_eng_199602.gz"
"49811"	"he"	"implied"	" Unless his opponents stop assailing him as an extremist, he implied, unless the party speaks to his supporters, they will stay home, vote Democratic or support a third-party candidate _ perhaps Ross Perot, perhaps Buchanan himself. </P> "	"nyt_eng_199602.gz"
"60596"	"he"	"implied"	" Whether he will run again for the British Parliament in an election that could be held this fall will depend on the outcome of the June talks, he said. If the talks succeed, he implied, he may limit his work to the European Parliament. If they fail, he will continue to press his campaign in Parliament in Britain. </P> "	"nyt_eng_199605.gz"
"60657"	"he"	"implied"	" Whether he will run again for the British Parliament in an election that could be held this fall will depend on the outcome of the June talks, he said. If the talks succeed, he implied, he may limit his work to the European Parliament. If they fail, he will continue to press his campaign in Parliament in Britain. </P> "	"nyt_eng_199605.gz"
"63192"	"he"	"implied"	" So, I'm glad the TV reporter had the gumption to ask how the biker's flag clothing was different. It was OK for him and his buddies to wear flag clothing and not OK for Hoffman, he implied, because he ``respected the flag.'' </P> "	"nyt_eng_199606.gz"
