"pronoun"	"verb"	"context"	"filename"
"1016"	"he"	"indicated"	" Fehr said the players don't want to ``reinvent the wheel.'' They would be satisfied, he indicated, with making almost minor changes in some elements of the collective bargaining agreement that expired last Dec. 31. </P> "	"nyt_eng_199407.gz"
"4708"	"he"	"indicated"	" That baseball, he indicated, could involve starting the 1995 season with minor-league players if the current labor impasse is not resolved by then. </P> "	"nyt_eng_199409.gz"
"8729"	"he"	"indicated"	" One way to try to deliver on change, he indicated, was to include the Democratic minority and allow anyone to amend bills on the floor. Whether this produces change or bottles things up remains to be seen. </P> "	"nyt_eng_199411.gz"
"13777"	"they"	"indicated"	" Individual members of the union's bargaining team have said privately that despite the different elements of the tax plan, it was no improvement over the implemented salary cap. It was premature, they indicated, to say if the union would formulate a counterproposal using the same framework. The owners hoped they would. </P> "	"nyt_eng_199502.gz"
"14173"	"he"	"indicated"	" McCurry said White House officials weren't caught in the dark about Foster's work providing some abortions during his career. Instead, he indicated, they were caught in the dark about what administration opponents could do with this information. </P> "	"nyt_eng_199502.gz"
"17570"	"she"	"indicated"	" As she talked with a visitor in her apartment in a dilapidated housing project, Taylor was giving a shampoo to an older woman over the kitchen sink. These home hairdressing appointments, she indicated, represent the only work available to her. </P> "	"nyt_eng_199503.gz"
"18670"	"he"	"indicated"	" So far, Ito has indicated that prosecutors may not refer to positive test results that have not been confirmed by more reliable tests. But, he indicated, defense attorneys can use negative presumptive test results as a clear indication that prosecutors tested for, but found no blood on particular spots. </P> "	"nyt_eng_199504.gz"
"18722"	"he"	"indicated"	" Ultimately the defendants in the case, he indicated, are likely to include other physicians besides Foran, pharmacists who filled the faulty prescription order and nurses who administered the medication over four consecutive days. </P> "	"nyt_eng_199504.gz"
"21027"	"he"	"indicated"	" Matheson said even if some of the evidence was contaminated, contamination does not change the test results found in evidence such as a blood drop. At worst, he indicated, ``It would just get to the point where you will not get any results.'' </P> "	"nyt_eng_199505.gz"
"22388"	"he"	"indicated"	" Depending on how the socks were put on, he indicated, the stains would appear on the inside area _ the side of the leg where the big toe is located _ or on the outside area. </P> "	"nyt_eng_199505.gz"
"24313"	"he"	"indicated"	" Blood had been washed away, he indicated, and Nicole Simpson's hair pulled back to display wounds and puncture marks. </P> "	"nyt_eng_199506.gz"
"29894"	"they"	"indicated"	" If no agreement is reached by then, they indicated, they would not stand in the way of the dissident players, who have not only filed the lawsuit, but have also petitioned for a vote on the decertification of the union. </P> "	"nyt_eng_199508.gz"
"29897"	"they"	"indicated"	" If no agreement is reached by then, they indicated, they would not stand in the way of the dissident players, who have not only filed the lawsuit, but have also petitioned for a vote on the decertification of the union. </P> "	"nyt_eng_199508.gz"
"29936"	"they"	"indicated"	" If no agreement is reached by then, they indicated, they would not stand in the way of the dissident players, who have not only filed the lawsuit, but have also petitioned for a vote on the decertification of the union. </P> "	"nyt_eng_199508.gz"
"32200"	"he"	"indicated"	" The problems, he indicated, center on a 10-day suspension for careless riding he has been fighting since 1989 and certain details he must discuss with one of his current owners. As a trainer, he has won 52 races in three years; as a jockey, he won 7,759 races in 30 years and won 13 riding titles in 14 seasons at Saratoga. </P> "	"nyt_eng_199508.gz"
