"pronoun"	"verb"	"context"	"filename"
"83"	"they"	"insist"	" Arafat's popularity will endure, they insist, and he will continue to employ his strengths: publicizing the plight of the Palestinians, appealing to the world for financial assistance and articulating the mood of his people. </P> "	"nyt_eng_199407.gz"
"817"	"they"	"insist"	" To the Democrats, who are outnumbered in party registration in Nassau by a ratio of 3 to 2, the legislature is a tantalizing opportunity, if, they insist, a map is approved that does not unfairly dilute their voting power in the most heavily Democratic portions of the county. </P> "	"nyt_eng_199407.gz"
"2069"	"they"	"insist"	" Cigar smokers are relentless about making the point that they don't inhale. As a consequence, they insist, cigars are, if not healthful, at least a wash. Look at all of the ancient cigar smokers -- George Burns, for example. </P> "	"nyt_eng_199408.gz"
"2508"	"they"	"insist"	" The prosecutors in the retrial contend that whatever developments led to the dismissal of the defendant's 1980 conviction, they do not negate the statements in which, they insist, Jackson-Knight admitted that he had been one of three arsonists who set the fire. The six firefighters perished when a collapsing roof sent them tumbling into the flames. </P> "	"nyt_eng_199408.gz"
"10924"	"they"	"insist"	" Aides said Clinton would also display ``his true colors'' on other issues as well -- such as campaign finance reform -- which, they insist, he was forced to abandon because of opposition last year from Democratic leaders. </P> "	"nyt_eng_199412.gz"
"13415"	"they"	"insist"	" It is not that they doubt the seriousness of the problem, they insist, or question that the American economy will suffer if Mexico's problems are ignored. </P> "	"nyt_eng_199501.gz"
"13976"	"we"	"insist"	" Much is said about the working poor. Everybody declares respect for them. People on welfare, we insist, should follow their example and get jobs. </P> "	"nyt_eng_199502.gz"
"15048"	"they"	"insist"	" Anything short of Draconian fiscal discipline, they insist, will mean that foreign investors continue to pull money out of the country -- and the problem that the administration raced to solve last month could return in the form of a bigger crisis. </P> "	"nyt_eng_199502.gz"
"15058"	"they"	"insist"	" Anything short of Draconian fiscal discipline, they insist, will mean that foreign investors continue to pull money out of the country -- and the problem that the administration raced to solve last month could return in the form of a bigger crisis. </P> "	"nyt_eng_199502.gz"
"15486"	"they"	"insist"	" What we did in 1991 was lock Harrison-Jones in a tiny operating room with a school system that was clearly DOA and terse instructions to ``fix it.'' Lacking instruments, assistance or support, she filled it with breath, taught it to stand again. Now our busy beaver mayor and his chattering posse have flung open the door, amazed and angered that the patient isn't dancing yet. The doctor, they insist, has got to go. </P> "	"nyt_eng_199502.gz"
"15560"	"they"	"insist"	" The pattern, they insist, became clear only after the Roselawn crash. It is only in hindsight, they say, that the ATR crash seems as if it could have been prevented. ATR officials say much the same. The plane, they say, fully meets the standards set by American rules, and exhibits its flaw only when subjected to much more severe conditions. </P> "	"nyt_eng_199502.gz"
"15567"	"they"	"insist"	" The pattern, they insist, became clear only after the Roselawn crash. It is only in hindsight, they say, that the ATR crash seems as if it could have been prevented. ATR officials say much the same. The plane, they say, fully meets the standards set by American rules, and exhibits its flaw only when subjected to much more severe conditions. </P> "	"nyt_eng_199502.gz"
"17528"	"they"	"insist"	" But Lolita's owners say no Hollywood ending is necessary: Their star attraction is faring just fine. The real danger, they insist, would be releasing the 31-year-old mammal, who might starve because she's forgotten how to hunt. </P> "	"nyt_eng_199503.gz"
"18434"	"they"	"insist"	" The Razorbacks like to say they don't need luck. We aren't lucky, they insist, we're good. True enough. </P> "	"nyt_eng_199504.gz"
"21237"	"they"	"insist"	" Administration officials say they have not written off the Cuban-Americans or Florida's 25 electoral votes in the 1996 presidental election. Rather, they insist, they were selecting the policy that has the best chance at keeping the immigration situation from exploding this summer. </P> "	"nyt_eng_199505.gz"
"27966"	"they"	"insist"	" And from the exile perspective, every hour of the 36 years since Castro took power has been an hour of added suffering. No amount of material success, they insist, can make up for the loss of a homeland _ particularly a homeland only 140 miles away from their homes in South Florida. </P> "	"nyt_eng_199507.gz"
"27967"	"they"	"insist"	" And from the exile perspective, every hour of the 36 years since Castro took power has been an hour of added suffering. No amount of material success, they insist, can make up for the loss of a homeland _ particularly a homeland only 140 miles away from their homes in South Florida. </P> "	"nyt_eng_199507.gz"
"27981"	"they"	"insist"	" And from the exile perspective, every hour of the 36 years since Castro took power has been an hour of added suffering. No amount of material success, they insist, can make up for the loss of a homeland _ particularly a homeland only 140 miles away from their homes in South Florida. </P> "	"nyt_eng_199507.gz"
"27982"	"they"	"insist"	" And from the exile perspective, every hour of the 36 years since Castro took power has been an hour of added suffering. No amount of material success, they insist, can make up for the loss of a homeland _ particularly a homeland only 140 miles away from their homes in South Florida. </P> "	"nyt_eng_199507.gz"
"28063"	"they"	"insist"	" He and Martin think a lot these days about the world to come, and hardly at all about the siege and the fire. It was all part of the prophecy. And, they insist, they don't hate the government for what happened at Mount Carmel. </P> "	"nyt_eng_199507.gz"
"28177"	"they"	"insist"	" Both Palestinians and Israelis say they fully expect further acts of terror by the militants. What has changed, they insist, is the power of these acts to freeze the peace plan. </P> "	"nyt_eng_199507.gz"
"28280"	"they"	"insist"	" Both Palestinians and Israelis say they fully expect further acts of terror by the militants. What has changed, they insist, is the power of these acts to freeze the peace plan. </P> "	"nyt_eng_199507.gz"
