"pronoun"	"verb"	"context"	"filename"
"1053"	"he"	"insisted"	" One student complained to his parents about being called a bum. Jankiewicz gave no ground. That student, he insisted, had to be challenged to do better. </P> "	"nyt_eng_199407.gz"
"1188"	"he"	"insisted"	" One student complained to his parents about being called a bum. Jankiewicz gave no ground. That student, he insisted, had to be challenged to do better. </P> "	"nyt_eng_199407.gz"
"1376"	"he"	"insisted"	" But, he insisted, ``The one thing that can't change is universal coverage, and it has to pass this year.'' He added, ``We believe it is imperative that the final result cover everyone with insurance that can't be taken away.'' When he was asked if the administration would accept waiting ``8 to 10 years'' to cover all Americans, he replied, ``We don't want to wait that long.'' </P> "	"nyt_eng_199407.gz"
"1518"	"he"	"insisted"	" He is, he insisted, ``relaxed.'' Confident, but not necessarily comfortable. The dues of a 56-year-old former football warrior are being paid in the form of compressed disks in his neck. He had back surgery a year ago. </P> "	"nyt_eng_199407.gz"
"1623"	"he"	"insisted"	" Finally, he insisted, ``this bill would substantially set back the prospects for improvements in China's human rights conditions.'' </P> "	"nyt_eng_199407.gz"
"1662"	"he"	"insisted"	" Finally, he insisted, ``this bill would substantially set back the prospects for improvements in China's human rights conditions.'' </P> "	"nyt_eng_199407.gz"
"2567"	"he"	"insisted"	" But, he insisted, ``you have to have some sort of backup mechanism in case that fails.'' Asked if there were any other approach that would substitute, he replied: ``Everybody sat around here breaking their brains over what other alternatives were available. None emerged before he put his bill in. I can't imagine -- I just don't know what other alternatives there are.'' </P> "	"nyt_eng_199408.gz"
"3236"	"he"	"insisted"	" Understanding the evolution and biology of mosquitoes and the ecology of human-mosquito interactions is crucial, he insisted, to preventing the social and environmental devastation that can result from a surge in mosquito-borne diseases. </P> "	"nyt_eng_199408.gz"
"5898"	"he"	"insisted"	" Once back in Moscow, Yeltsin told reporters that he had simply overslept. Unaccountably his bodyguards had refused to disturb him, he insisted, and would face ``disciplinary action'' as a result. </P> "	"nyt_eng_199410.gz"
"5902"	"he"	"insisted"	" Once back in Moscow, Yeltsin told reporters that he had simply overslept. Unaccountably his bodyguards had refused to disturb him, he insisted, and would face ``disciplinary action'' as a result. </P> "	"nyt_eng_199410.gz"
