"pronoun"	"verb"	"context"	"filename"
"13"	"it"	"is"	" ``I wouldn't want to type it as a documentary, but as far as being factual and actual, it is, as far as I can tell from every bit of information that has come down to me,'' he said. </P> "	"nyt_eng_199407.gz"
"188"	"we"	"is"	" ``Jus' poor folks, we is,'' the washerwoman says. ``Jus' people from below. But that ain't reason fer us to complain. As long as we got our smelts, our pancakes 'n' our beans.'' </P> "	"nyt_eng_199407.gz"
"382"	"it"	"is"	" It may be that users with the whole world at their fingertips will not choose to dally with their neighbors. After all, Palo Alto, for all that it may be crowded with Silicon Valley grandees, is only a small island in the net. But for its residents, it is still the place outside the door. And that will always count for something. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0056 type=multi > <HEADLINE> CAPSULE REVIEWS OF CURRENT FILMS </HEADLINE> <DATELINE>  (BC-MINI-REVIEWS-(5takes)-COX) </DATELINE> <TEXT> These brief reviews of current movies are written by Cox News Service movie critic Eleanor Ringel. They move weekly to clients of the New York Times News Service.   G: General audiences. Nothing that would offend parents if viewed by children.   PG: Parental guidance suggested. May contain some material parents consider inappropriate for young children.   PG-13: Parents strongly cautioned. Some material may be inappropriate for preteens.   R: Under 17 requires accompanying parent or adult guardian. Parents are urged to learn more about the film before taking children.   NC-17: No one under 17 admitted. Replaces the X rating.   NR: Not rated.   . . STILL PLAYING   Above the Rim R   A perfectly commendable above-average after-school special, except for one problem: It thinks it's a real movie, aimed, perhaps, at the ``New Jack City'' crowd. Duane Martin (a Knicks prospect-turned-actor) stars as a high school hotshot who sees a college athletic scholarship as his ticket out of Harlem and into the NBA.   Ace Ventura: Pet Detective PG-13   Jim Carrey, the ``In Living Color'' regular plays an animal-loving goofball who specializes in missing pets. The script, alas, is the sort of appalling mishmash often used to launch cross-over stand-up comics. It's full of needless T-and-A jokes and homophobic humor that make it inappropriate for the younger teens who'd otherwise get the biggest kick out of the star's antics.   Baby's Day Out PG   A very long day indeed, for Baby and for the audience. This John Hughes-ian spin on ``The Ransom of Red Chief'' is best recommended to die-hard slapstick fans who've always wanted to see a remake of ``Three Men and a Baby,'' starring the Three Stooges. Posing as baby photographers, three bumbling crooks (Joe Mantegna, Joe Pantoliano, Brian Haley) kidnap 9-month-old Bennington August Cottwell IV, a.k.a., Baby Bink. They quickly learn that grabbing a curious tot is a lot easier than holding onto him.   Bad Girls R   Madeleine Stowe, Andie MacDowell, Drew Barrymore and Mary Stuart Masterson are working girls out West, on the run to Oregon, after Stowe plugs a murderously unruly client. While it's nice to see, finally, that even cowgirls get to ride off into the sunset, overall, ``Bad Girls'' just wants to have fun. You will, too.   Bitter Moon R   One loony movie. Internationally known naughty-boy Roman Polanski takes us on a luxury cruise with two couples. Nigel and Fiona (Hugh Grant and Kristin Scott Thomas) are stiff-upper-lip Brits trying to rekindle their marriage. Wheelchair-bound Oscar and his voluptuous wife, Mimi (Peter Coyote and Emmanuelle Seigner) are . . . well, what they are is pretty much the point of this hilariously preposterous tale of sexual obsession.   Blink R   Never mind the stink-bomb title. This is a sublimely entertaining romantic thriller with a pair of stars (Madeleine Stowe and Aidan Quinn) who are that rare thing: startlingly beautiful actors who can also act. Quinn is a Chicago detective with a messy murder on his hands. Luckily, he's got an eyewitness . . . of sorts. Stowe may have seen the killer leave the scene. The operative word is may; thanks to a recent corneal transplant, she's still not sure what she sees and what she thinks she sees.   Blown Away R   This so-so thriller won't blow anyone away. Jeff Bridges is a steely nerved, magic-fingered veteran of the Boston Bomb Squad; Tommy Lee Jones is a psycho who can ``make a bomb out of Bisquick.'' Because of a shared shady past, Jones becomes obsessed with Bridges and starts blowing away everyone near and dear to him.  </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0057 type=multi > <DATELINE>  (BC-MINI-REVIEWS-(2ndtake)-COX) </DATELINE> <TEXT> City Slickers II -- The Legend of Curly's Gold PG-13   Not as feel-good slick as its hugely popular predecessor, but funnier and far loopier in its own shaggy-dog way. Billy Crystal co-wrote, produced and stars in this sequel that sends him out West in search of buried gold. The movie is a half-hour too long, but at least Crystal hasn't pulled a ``Rocky,'' i.e., re-made the exact same movie and affixed a Roman numeral to it.   The Cowboy Way PG-13   The Woody Way. This action-comedy is going to catapult Woody Harrelson waaaaay up the ranks of Hollywood leading men. His self-assuredness -- make that, cocksuredness -- is the most interesting aspect of this otherwise sadly synthetic fish-out-of-water film. Harrelson and Kiefer Sutherland play rodeo champs from New Mexico who brave the arcane terrors of New York City to rescue a Cuban friend and his daughter.   The Crow R   The true- life tragedy hanging over this action film -- a misfired prop gun that killed star Brandon Lee on the set -- is a lot creepier than anything in the movie itself. Still, it's more than a morbid curiosity, thanks to the young star himself; this doomed son of the late Bruce Lee inherited more from his famous dad than bad karma. Lee plays a dead rock musician who rises from the grave to avenge the murders of himself and his fiancee.   D2: The Mighty Ducks PG   The mightiest thing about the first ``Mighty Ducks'' was its box-office clout -- far more than anyone expected from a hackneyed rehash of ``The Bad News Bears,'' with an almost-has-been Emilio Estevez as its star. This lame sequel simply repeats the same underdog plot.   The Endless Summer II PG   It's been a long time between waves for filmmaker Bruce Brown who, in 1964, parlayed a $50,000 paean to the zen of surfing into a $30 million hit. The surf's still up in this sequel of sorts as Brown focuses his camera on impish Robert ``Wingnut'' Weaver and towheaded Pat O'Connell. These two embark on a globe- trotting odyssey from Costa Rica to Java, in search of the perfect wave. When the movie stays in the water, it is, to coin a phrase, awesome. But on dry land, the movie is all wet.   Even Cowgirls Get the Blues R   Even talented directors make mistakes. And Gus Van Sant (``My Own Private Idaho'') has made a doozy with this abysmal adaptation of Tom Robbins's 1976 novel. The movie focuses on Sissy Hankshaw (a blank Uma Thurman), a former model who's also the best hitchhiker in the nation. Her secret: thumbs the size of kumquats.   Fear of a Black Hat R   It's a black thing and everyone will understand. That's how very funny, how very accessible this hilarious spoof is. No matter how rap- savvy you are or aren't (you can't tell Kris Kross from Salt-N-Pepa or you know every track on ``Fear of a Black Planet''), you'll be knocked out by this rude, crude, no-holds-barred satire. Filmmaker Rusty Cundieff does for rap what ``Spinal Tap'' did for heavy metal; he skewers it with a mix of affection, wit and insight.   The Flintstones PG   Hits rock bottom. The early buzz around Hollywood on this live-action version of the '60s animated TV series was that it ``skewed young.'' Translation: It's even stupider than they meant it to be. The plot, which somehow needed the talents of 35 writers, follows Fred's (John Goodman) precipitous ``Hudsucker Proxy''-ish rise from quarry worker to vice president of Slate and Co. when a villainous exec (Kyle MacLachlan) and his shapely assistant (Halle Berry) need a fall guy for their greedy schemes.   Forrest Gump PG-13   Tom Hanks is clueless in America in Robert Zemeckis's half-baked fable about an idiot-savant of sorts, skimming through the last half of the 20th century and colliding, ``Zelig''-like, with history. Forrest, who has the IQ of a kumquat, nevertheless manages to play football for Bear Bryant, become a hero in Vietnam, visit with presidents, play pingpong in Mao's China, etc. It's Hollywood's idea of an offbeat yet profound fable about the meaning of life; alas, it comes off like an Oliver Stone movie starring Gomer Pyle. Zemeckis creates an effective and often hilarious running gag in Forrest's constant run-ins with destiny -- whether teaching Elvis his swivel-hipped shimmy or calling security on a certain fateful night at the Watergate Hotel. But the movie is a one-trick pony, a superb technological gimmick/cultural cosmic joke tied to a TV-movie plot. Far more impressive than Zemeckis's techno- sleight-of-hand is the steadying integrity of the Hanks portrayal. His Southern- fried Holy Fool brings the movie focus, giving it a heart to make up for its lack of brains.   Four Weddings and a Funeral R   Hugh Grant is a charming British bachelor -- the always-a-groomsman-never-the-groom type -- who meets an equally charming American (Andie MacDowell) at the first of the film's nuptials. His not-quite- pursuit, not-quite-not-pursuit of her is the main plot-thread of this stylish froth. However, most of the film is about the delicate balance of emotion and humor that's inherent in such life-changing social rituals. This dapper valentine of a movie delivers even more than the title promises: four weddings, a funeral and a happy ending.  </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0058 type=multi > <DATELINE>  (BC-MINI-REVIEWS-(3rdtake)-COX) </DATELINE> <TEXT> Getting Even With Dad PG   The Mac is back -- sans ballet slippers and doing what he does best. Namely, acting out every kid's fantasy of outwitting every available adult and getting away with it. A ponytailed Ted Danson plays an ex-con who's been tempted into one last job -- stealing a cache of rare coins. However, he's suddenly saddled with his estranged son (Macaulay Culkin) who soon figures out what Danson is up to and has his own plan for the purloined coins, i.e., using them as blackmail to make his dad behave like a dad for a week.   Go Fish R   Director/writer Rose Troche has made one of the best relationship movies of the year; it just happens to be about same-sex relationships. Set in a vibrant lesbian community in Chicago, this romantic comedy is a girl-meets-girl story whose gender orientation may be specific and, for most mainstream audiences, exotic. However, the film's ruefully on-target observations about the perils of the dating game are pretty universal.   I Love Trouble PG   I love Julia Roberts and I love Nick Nolte but I didn't love their movie, no matter how hard I tried. Chances are, you won't either. The two play rival reporters working the same story. The movie just gets thinner and thinner until there's nothing to hold your attention except the leads. Luckily, that's what Nolte and Roberts do best: he's grizzled and adorable; she's incandescent and adorable. But their movie gives them nothing but trouble.   The Inkwell R   Where is Charles Burnett when we need him? This extremely promising material -- about family clashes, summer crushes and more during a 1976 beach vacation -- has been directed by Matty Rich (``Straight Out of Brooklyn'') who simply doesn't yet have the maturity to explore the story's wonderful array of characters and contradictions.   Jurassic Park PG-13   Steven Spielberg's spectacular dinosaur extravaganza has raptors and brachiosaurus and more oh-my! than any movie in recent memory.   Like Water for Chocolate R   Set in the early 20th century on a sprawling ranch near the U.S. border, the movie is about Tita (Lumi Cavazos) who's literally born in a kitchen and then tied to her tyrannical mother's apron strings by a family tradition that decrees the youngest daughter must never marry (instead, she must devote her life to taking care of mom). Relegated to the role of family cook while her sister marries her beloved (Marco Leonardi), Tita becomes something of a kitchen magician, i.e., whatever she's feeling is channelled into whatever she's cooking.   The Lion King G   A royal entertainment, fit for kids and kings. This classy, beautifully drawn cartoon effortlessly takes its place in the superb cycle of Disney neo- classics.The lion cub Simba (voice by Jonathan Taylor Thomas, then Matthew Broderick) must reclaim his throne after his evil uncle, Scar (Jeremy Irons doing Claus Von Bulow with a mane), connives to have Simba's father, King Mufasa (James Earl Jones), killed.   Little Big League PG   A baseball-mad 12-year-old (Luke Edwards) becomes the new owner/manager of the Minnesota Twins when his gramps (Jason Robards) leaves him the team in his will. The boy helps the Twins discover their winning ways by reclaiming their inner child. The movie is innocuous enough, if you don't mind how brazenly it rips off the far better ``Rookie of the Year.''   Little Buddha PG   You won't find nirvana in this visually ravishing, dramatically inept epic about Buddhism. The picture is an unwieldy hybrid of two stories. In the past, Prince Siddhartha (Keanu Reeves) leaves his protected palace to learn about suffering and death. In the present, an aged Tibetan monk goes to Seattle to see if a boy named Jesse is the reincarnation of his former master.   Maverick PG-13   In the parlance of its poker-playing hero, this dumb- fun western draws a winning hand. Not a royal flush, perhaps, but a solid three- of-a-kind -- the three being Mel Gibson, Jodie Foster and James Garner, who glide smoothly over the movie's rougher spots.   Monkey Trouble PG   An innocuously enjoyable kids' film with some nice things to say about responsibility and learning to get along with stepfamilies. Thora Birch (``Paradise'') stars as an animal-mad 9-year-old who really wants a pet. Trouble is, her new stepdad is really allergic to fur. So when an adorable Capucin monkey literally drops out into her arms out of nowhere, she's ecstatic -- and very careful to keep him hidden. What she doesn't know is that her new pet in on the lam from his brutal owner (Harvey Keitel) who trained him as a pickpocket par excellence.  </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0059 type=multi > <DATELINE>  (BC-MINI-REVIEWS-(4thtake)-COX) </DATELINE> <TEXT> Naked Gun 331/3 PG-13   More comic overkill from the ``Naked Gun'' hit factory. Leslie Nielsen is back as Lt. Frank Drebin, the best (worst?) thing to happen to law enforcement since Inspector Clousseau. Newly retired from the squad, he's called back into duty to foil a terrorist plot being hatched by Fred Ward.   The Paper R   OK, so it's about as accurate about life at a newspaper as the ``Naked Gun'' movies are about police work. That said, this is still an awfully entertaining picture, one that captures the cynicism, the sick humor, the deadline pressure and the sheer adrenaline-rush love of putting out a daily.   Philadelphia PG-13   Tom Hanks gives an Oscar- winning performance as a fast-track lawyer who sues his former firm after being fired for incompetence (hmmm, and they just gave him a promotion). Convinced he was let go because he was HIV-positive, Hanks wants his day in court to prove it.   The Princess and the Goblin G   This is a perfectly pleasant animated feature based on a popular Victorian children's novel by Scotsman George MacDonald. Princess Irene ventures out of her protected castle one day and discovers there are goblins out there. Literally. Worse, they're plotting to take over her father's kingdom. The movie's still-timely message -- find the magic inside yourself -- is imparted by Irene's ghostly great-great grandmother who can make roses appear out of thin air.   Schindler's List R   Steven Spielberg's hauntingly powerful, must-see Holocaust epic. This is the true story of an unlikely saint named Oskar Schindler (Liam Neeson.) who during World War II saved more than 1,100 Jews from the Nazi ovens.   Serial Mom R   How nice to report that John Waters is still alive and well (in his own peculiar fashion) and living in Baltimore. His movie is a frisky suburban farce about a homicidal happy homemaker (Kathleen Turner) who just has to express herself when she sees someone who doesn't recycle or refuses to rewind their rental video.   The Shadow PG-13   It's a shame ``The Shadow'' came along after ``Batman'' and ``Dick Tracy.'' It borrows the best elements of both -- ``Batman's'' brooding cityscapes and eerie atmosphere, combined with ``Tracy's'' lighter touch and wittier art design. But the inevitable comparisons make Russell Mulcahy's film seem redundant even though Alec Baldwin does a sterling job as Lamont Cranston, the mysterious, slouch-brimmed figure from '30s radio and pulp fiction.   Sirens R   Poised somewhere between soft- core porn and sex farce, this droll examination of the ongoing clash between status-quo conservatism and artistic freedom isn't always successful. But it has its moments. In '30s Australia, a proper minister and his wife (Hugh Grant and Tara Fitzgerald) are sent to a painter's (Sam Neill) retreat. Their mission: to persuade Neill to replace his ``vulgar'' (so says the bishop) paintings in a Sydney museum with something more suitable.   The Snapper R   A rowdy warmth and exhuberant high-spirits permeate every frame of Stephen Frears' terrific little Irish comedy. Sharing the same author (novelist Roddy Dyoe) and working-class Dublin setting as ``The Commitments,'' the movie centers on the Curley family in which 20-year-old Sharon (Tina Kellegher) has a bit of a surprise for her parents (Colm Meaney and Ruth McCabe). She's pregnant -- and she's not saying who the father is.   Speed R The perfect summer-movie rush. ``Speed'' hits the ground running and never lets up. The gimmick is simple: A wacko (Dennis Hopper) has put a bomb on a city bus. When the bus hits 50 mph, the bomb goes on; if it slows below 50, the bomb goes off. And so the chase is on -- with a busload of terrified passengers, a hurt driver, a spunky civilian at the wheel (the winning Sandra Bullock) and one very determined cop (Keanu Reeves) in pursuit.   Sugar Hill R   There's very little that's sweet in this mean-streets melodrama about two brothers who become successful Harlem drug lords. Wesley Snipes is the good son, who brings his derelict-junkie dad (Clarence Williams III) chicken soup and is increasingly conscience-stricken about how he earns a living. Michael Wright is the prodigal son -- hotheaded and hooked on his own poison. Not quite art-house solid, not-quite action- flick slick, ``Sugar Hill'' is something of a hybrid. But it's exceedingly well- crafted, expertly performed and certainly worth a look.  </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0060 type=multi > <DATELINE>  (BC-MINI-REVIEWS-(5thtake)-COX) </DATELINE> <TEXT> Surviving the Game R   Ernest Dickerson, best known as Spike Lee's cinematographer, proves he's far more than just the man behind the Spike with this story about wealthy, debauched hunters who pay billions to hunt a human prey. A homeless man (Ice-T, exuding a quiet cool) is the innocent, smoothly recruited by a seemingly caring social worker and sent running for his life through the gorgeous northwest wilderness.   3 Ninjas Kick Back PG   Pure formula, but pure fun. Like its hugely successful predecessor, this sequel is an unpretentiously entertaining kids' film -- a slow starter that just gets better and better as it goes along. This time, our three brothers (Sean Fox, Max Elliott Slade, Evan Bonifant) accompany their grandpa (Victor Wong) to Japan where they stumble into a ``Raiders''-like adventure involving an ancient dagger, a secret treasure cave and three ``jerko metalheads.''   When a Man Loves a Woman R   A movie that proves Meg Ryan looks better with a bad hangover than most of us looked at our senior prom. She and Andy Garcia play a seemingly perfect couple. There's just one little problem: Ryan drinks like a fish. However, the movie is less about her alcoholism than the effect it has on her family.   White R   Wonderful. The second film in Polish director Krystof Kieslowski's trilogy inspired by the French tricolor flag and motto (liberty, equality, fraternity) couldn't be more different from its melancholy, mystic predecessor, ``Blue.'' An expatriot Polish hairdresser (Zibgniew Zamachowski), returns home (in a hilarious ordeal) from Paris when his luscious wife (Julie Delpy) divorces him. After losing everything -- she accuses him of impotence, takes all his money and sets the French police after him -- he enjoys an incredible reversal of fortune in the economic hurly-burly of post-Communist Warsaw and hatches a bizarre scheme to win Delpy back.   Widows' Peak PG   Widows peek a lot in this winning Irish comedy. They also snoop, meddle, gossip, sneak around and generally engage in every possible manifestation of the time-honored art of exercising female power in a close-knit society (a.k.a., the Nosy Neighbor Network). Set in 1920s Ireland, the title refers to a hill above a small village that's entirely populated by well- heeled widows. The movie stars Joan Plowright, Mia Farrow and Natasha Richardson.   With Honors PG-13   Joe Pesci is part Ali MacGraw in ``Love Story,'' part Dustin Hoffman as Ratso Rizzo in this well-intentioned but decidedly unwieldy story of a homeless man (Pesci) adopted by a Harvard senior (Brendan Fraser) and his housemates (Moira Kelly, Patrick Dempsey and Josh Hamilton).   Wolf R   A slickly entertaining guilty pleasure. Jack Nicholson, Michelle Pfeiffer and Mike Nichols have lavished their A-list talent on a '90s version of an old Lon Chaney Jr. werewolf movie.   Wyatt Earp PG-13   Directed by Lawrence Kasdan and starring Kevin Costner as the famed lawman, this is a really good movie that's a half hour too long. The film covers a lot of territory as it follows Wyatt from his Kansas boyhood to his adventures out West, ricocheting from Wichita to Dodge and finally to Tombstone and 30 seconds of immortality at the O.K. Corral. .  </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0061 type=story > <HEADLINE> FOOD: SEPTUAGENARIAN SALAD BOWLS OVER A NEW GENERATION WITH ITS AGELESS APPEAL </HEADLINE> <DATELINE>  (BC-CAESAR-SALADS-COX) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"492"	"it"	"is"	" If any team in this World Cup has the right to be an apparition out of Fellini, it is, of course, the team from Il Maestro's homeland. The Italian team confounds and confuses and frustrates and frightens its own supporters, but in some bizarre, goofy, weird, Fellini-esque way, it keeps winning. </P> "	"nyt_eng_199407.gz"
"1736"	"it"	"is"	" Helen S. Rattray, editor of The East Hampton Star, an elegantly written 109-year-old weekly, wonders just how star-studded to make The Star to keep up with the competition. While some East End journalists say that The Star already caters to summer people -- with a circulation of about 16,000, it is, like Dan's Papers, available in Manhattan's more prosperous neighborhoods -- Mrs. Rattray says that she is loath to do anything that would make her paper a People magazine-by-the-sea. </P> "	"nyt_eng_199407.gz"
"2131"	"it"	"is"	" ``Separate checks, it is,'' he said. </P> "	"nyt_eng_199408.gz"
"2217"	"it"	"is"	" Now, it is, ``Baby killers!'' Then, it was, ``Hey, hey, LBJ, how many kids did you kill today?'' </P> "	"nyt_eng_199408.gz"
"2347"	"it"	"is"	" Now, it is, ``Baby killers!'' Then, it was, ``Hey, hey, LBJ, how many kids did you kill today?'' </P> "	"nyt_eng_199408.gz"
"2458"	"it"	"is"	" Michael's is as Los Angeles as Manhattan gets. Airy and spare as a piece of virgin white writing paper, it is, along with 44 at the Royalton and the Grill Room of the Four Seasons, a place where publishing pooh-bahs and celebrity authors carry on, pretending not to notice who else is around. </P> "	"nyt_eng_199408.gz"
"2786"	"it"	"is"	" The current health-care system not only is not in the interest of everyone, it is, in fact, quite threatening to the continued health security of millions of Americans -- and even life-threatening to hundreds of thousands -- who lack the security of insurance or are in danger of losing that security as escalating costs of the present system drive more employers to drop coverage. </P> "	"nyt_eng_199408.gz"
