"pronoun"	"verb"	"context"	"filename"
"838"	"she"	"isn't"	" Ms. Westcott understood the frustration of ignorance and her writing often clears it right up with sentences like this: ``The Mexican bean beetle has the typical convex shape of other lady beetles, but is larger, 1/3 inch long, coppery-yellow, with 16 black dots, 8 on each wing cover.'' (Faulkner, she isn't, but he didn't go into beetles.) </P> "	"nyt_eng_199407.gz"
"10394"	"it"	"isn't"	" ``People in the political class think $300 or $400 a year isn't meaningful, and if you make $100,000 a year, it isn't,'' he said. ``But if you make $25,000 or $30,000 a year, it can be rent for a month or two.'' </P> "	"nyt_eng_199412.gz"
"12126"	"it"	"isn't"	" ``Is it in the best time period possible right now? No, it isn't,'' Harbert admitted. ``Do I have a better time slot to give it? Not right now. That's one of the problems we face.'' </P> "	"nyt_eng_199501.gz"
"15889"	"it"	"isn't"	" ``What Mr. Angelos has said is that we shouldn't be selling something to the public as `major league baseball,' when, in fact, it isn't,'' explained Hemond, as he strolled through the Orioles minor league complex Thursday. ``He's not doing anything that should surprise anyone. He expressed his thoughts on this matter a long time ago.'' </P> "	"nyt_eng_199503.gz"
"16778"	"it"	"isn't"	" He reacted incredulously when Bailey asked him earlier whether lessons in evidence planting were part of his training at the police academy. ``Planting evidence?'' he asked incredulously. ``No, it isn't,'' he said. </P> "	"nyt_eng_199503.gz"
"21180"	"it"	"isn't"	" William Kristol does not appear on People's 1995 list of ``The 50 Most Beautiful People in the World'' (May 8). But editors of political publications set to debut in September need not despair. John F. Kennedy Jr., whose magazine, George, is scheduled to come out around Labor Day, upholds the group's honor by e reads his entry he might be one of ``The 50 Most Embarrassed People in the World'': ``In `A River Runs Through It,' at just about every sun-dappled close-up, your pulse stopped with a noise like the flavor-lock on a Tupperware lid. In `Interview with the Vampire,' you wanted to ride bareback down the slopes of his hair.'' After that, even the matter-of-fact egotism of TV actor Scott Wolf (``I was always considered cute'') looks good by comparison. We learn that T-Boz, of the singing group TLC, once used Kool-Aid to dye her hair (``it came out purple-burgundy'') and that Sweden's Queen Silvia _ did you know Sweden had a Queen Silvia? _ altered her gowns to be less revealing when she married her husband, Carl Gustaf, in 1976 (``What would my people think if I went around showing my bosom?''). With stuff like that, it's no wonder this is the second-largest regular issue in People's history (the champ is the 15th anniversary number in 1989). While it's impossible to say which of the fabulous 50 boasts the most memorable face, the most memorable name unquestionably belongs to actress Yasmine Bleeth. That's right, Yasmine Bleeth, who also can lay claim to the uckiest quote. The 5-foot-5 ``Bay Watch'' star laments, ``Tall, skinny women can get breast implants, and they become perfect. But women who are small and curvy can't get leg extensions. That isn't fair.'' No, it isn't, Yasmine. Biology is destiny. But perhaps if you keep in mind Jeremy Bentham's phrase ``nonsense on stilts'' you'll find the unfairness easier to bear. Who knows, there may be hope for you yet. </P> "	"nyt_eng_199505.gz"
"21672"	"it"	"isn't"	" One week later, we are supposed to believe that none of the above is true. Actually, it isn't, but there is nothing of factual consequence that wasn't known virtually from the beginning of the so-called controversy. The matters that were ``cleared up'' at the hearing could just as easily have been cleared up weeks before. </P> "	"nyt_eng_199505.gz"
"31542"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31543"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31544"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31569"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31570"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31571"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31738"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31740"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31744"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31757"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31758"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"31759"	"it"	"isn't"	" Actually, it isn't, because it presupposes an agreed account of human rights, which is something the world does not have. </P> "	"nyt_eng_199508.gz"
"37916"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199510.gz"
"37919"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199510.gz"
"38015"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199510.gz"
"38019"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199510.gz"
"38189"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199510.gz"
"38192"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199510.gz"
"38420"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"38423"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"39298"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"39301"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"40053"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"40056"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"40624"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"40627"	"it"	"isn't"	" ``We use oxygen to burn up the glucose in our bodies to make energy,'' Benjamin explains. ``Whereas if you're one of these bacteria, you have alternatives. One alternative is to use nitrate. You use that to burn up your fuel. It turns nitrate to nitrite. That's fine, as long as the nitrite isn't acidified. If it's on the surface of the tongue, it isn't, because the saliva is nice and alkaline.'' </P> "	"nyt_eng_199511.gz"
"45053"	"it"	"isn't"	" ``The line between right and wrong should have been bright red,'' Lipper said. It should be in real life, too, but somehow, it isn't, at least not always. </P> "	"nyt_eng_199601.gz"
"71668"	"it"	"isn't"	" ``No, it isn't,'' he said, ``and we told them that. But he never said that. I'm trying to think of a reason why he wouldn't listen to us when we said what the weather said. I think he was probably trying to get every game in on a straight basis.'' </P> "	"nyt_eng_199609.gz"
"86615"	"he"	"isn't"	" The same is true for King, who has had a long relationship with McCall and should be ashamed for putting him in the ring Friday night. Knowing King, though, he isn't, because shame is not an emotion he feels. Greed is a different matter. </P> "	"nyt_eng_199702.gz"
"87349"	"it"	"isn't"	" ``No, it isn't,'' Coach Don Hay said. ``We need to remember this game and what almost happened here today.'' </P> "	"nyt_eng_199702.gz"
"87535"	"it"	"isn't"	" As for the show's launch-pad possibilities for candidacies, Sununu was far from scandalized. ``No matter how people might view it as a foible of this city, it isn't,'' he insisted. </P> "	"nyt_eng_199702.gz"
"88904"	"it"	"isn't"	" Dia hates that as much as her mother. ``Your room should be a comforting place and when it's a mess, it isn't,'' she says. Nonetheless, Dia was grateful when her mother agreed she could let her room go for a while. ``I needed one thing in my life I could lose control of and have it be OK,'' says Dia. </P> "	"nyt_eng_199703.gz"
"101744"	"it"	"isn't"	" ``No, it isn't,'' Michael replied. </P> "	"nyt_eng_200111.gz"
"109446"	"it"	"isn't"	" Though the Shepards ultimately ask that McKinney receive mercy, not death, it's disturbing to think that the decision to pursue the death penalty is theirs. Technically, it isn't, but legal niceties aren't as dramatically compelling as individual forbearance. When Matthew Shepard's father (Sam Waterston) says to McKinney, in court, ``I give you life in memory of one who no longer lives,'' the noble sentiment _ taken from real life _ misses the larger point: is justice a variable, dependent on the feelings of a victim's family? </P> "	"nyt_eng_200203.gz"
"117110"	"it"	"isn't"	" No, it isn't, but then perhaps Zidane's leg injury was all part of some greater Senegalese design, and perhaps the fact that David Trezeguet hit the post with a shot in the first half and fellow French striker Thierry Henry hit the crossbar midway through the second half was woven into the pattern, as well. </P> "	"nyt_eng_200205.gz"
"126610"	"it"	"isn't"	" ``No, it isn't,'' said coach Glenn Hubbard, once an eight-year Braves fixture at second. ``So who do the Mets have at second base?'' </P> "	"nyt_eng_200209.gz"
"139294"	"it"	"isn't"	" I don't know how many times I've heard ytl(or read it, even in this newspaper: ``The proof is in the pudding.'' ``No, it isn't,'' I want to scream. ``The proof of the pudding is in the eating.'' Cervantes wrote that four centuries ago. And don't get me started about having your cake and eating it, too. You have to have your cake in order to eat it. The trick is to eat it and still have it. </P> "	"nyt_eng_200402.gz"
"144921"	"it"	"isn't"	" On an absolute P/E basis, yes. On a relative basis, it isn't, Tinker says. </P> "	"nyt_eng_200410.gz"
"157567"	"it"	"isn't"	" No, it isn't, and in any case, she is speaking in a rather obvious code. But it should be noted that this Detroit, apart from a few aerial skyline shots, is actually Toronto. However you describe it, the city is a hotbed of crime, especially the traffic in stolen firearms, in which Andy becomes unwittingly embroiled. This is because he is mistaken for Derrick Vann, a truculent federal agent played by Samuel L. Jackson, who is trying to crack a gun-running ring and also dodge an internal-affairs investigation. </P> "	"nyt_eng_200509.gz"
"161359"	"it"	"isn't"	" Be careful when using this product, it's pretty potent. You never want to get it on any desirable plants as it will damage or kill them as well. Don't spray when it's windy and just get the spray on the foliage, wetting it well but not soaking it so that it's dripping off the foliage all over the place. If you're using it full strength to paint the cut ends, don't dribble it on the soil, as the herbicide can sterilize the soil for up to a year and may adversely affect other desirable plants you may have in that area. I don't mean to make this sound like a scary, dangerous product, it isn't, but use a little caution and a lot of common sense when you use it. </P> "	"nyt_eng_200601.gz"
"162805"	"it"	"isn't"	" No, it isn't, Abby replies. They aren't going anywhere. They're still there. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20060208.0160 type=story > <HEADLINE> U.S. SKATER HEDRICK, DUTCH TEAM GET OFF ON WRONG FOOT </HEADLINE> <TEXT> "	"nyt_eng_200602.gz"
"166009"	"it"	"isn't"	" I don't understand why there isn't a sense of urgency, Bingham said. If there's some problem, let's change it. It appears so simple to me, but for some reason, it isn't, and I've never gotten a clear answer why. </P> "	"nyt_eng_200604.gz"
"171332"	"it"	"isn't"	" Well, no, it isn't, not according to Gondry. The monotony of adult responsibilities crushes most of us down to the two-dimensional, at best, for much of the day. </P> "	"nyt_eng_200609.gz"
