"pronoun"	"verb"	"context"	"filename"
"2491"	"he"	"joked"	" Responding to the first lady's comments, he joked, ``Tell people to stop calling me names.'' </P> "	"nyt_eng_199408.gz"
"9344"	"he"	"joked"	" Limbaugh relished this news. Anticipating a Jim Sasser talk show, he joked, ``That would be fun and entertaining to listen to, wouldn't it?'' And, of course, he's right: the effort is doomed. An entertainer first, Limbaugh has a comic delivery (part Paul Harvey, part W.C. Fields) that no politician can muster (intentionally at least). </P> "	"nyt_eng_199411.gz"
"10018"	"he"	"joked"	" But Howard said a key to the credibility of groups such as the one he heads is full disclosure of its financial backers. Otherwise, he joked, ``you're going to have to have some of those special night vision glasses to tell the guys in the white hats from the guys in the black hats.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941207.0142 type=story > <DATELINE>  (BC-TAYLOR-COLUMN-TEX) </DATELINE> <TEXT> "	"nyt_eng_199412.gz"
"14532"	"he"	"joked"	" However, he joked, firefighters ``tell me that's not a problem: You just chop your way out.'' </P> "	"nyt_eng_199502.gz"
"15854"	"he"	"joked"	" When the fisheries service's Northwest director, Will Stelle, was asked at the news conference how he can claim that the plan wasn't shaped by political considerations, he joked, ``It's easy: because nobody likes it.'' </P> "	"nyt_eng_199503.gz"
"17148"	"he"	"joked"	" The most lucrative time on his farm, he joked, was the hailstorm of 1992. Between disaster payments and crop subsidies, he said, ``It seemed like every time you went to the mailbox, there was a check from the government inside.'' </P> "	"nyt_eng_199503.gz"
"17255"	"he"	"joked"	" The most lucrative time on his farm, he joked, was the hailstorm of 1992. Between disaster payments and crop subsidies, he said, ``It seemed like every time you went to the mailbox, there was a check from the government inside.'' </P> "	"nyt_eng_199503.gz"
"17588"	"he"	"joked"	" Shortly after Carey arrived at work Thursday, he joked, ``I'm delighted that the death penalty has been restored to the statutes of New York.'' </P> "	"nyt_eng_199503.gz"
"27720"	"he"	"joked"	" Jim Leyritz of the Yankees received a close view of Johnson's fastball when he was hit with a pitch that glanced off his arm and struck his face May 31 in Seattle. Leyritz challenged Johnson to a fight that never materialized. When the pitcher was asked where his fourth All-Star appearance ranked in his career, he joked, ``I suppose it's right up there with going to New York after I hit Jim Leyritz.'' </P> "	"nyt_eng_199507.gz"
"31048"	"he"	"joked"	" Through all the adversity in his personal life, he exhibited a quiet but shrewd wit that he often unfurled in a down-home Oklahoma drawl. Of his fear of dying early, he once said: ``I'll never get a pension. I won't live long enough.'' And after years of drinking and carousing with Whitey Ford and Billy Martin as his chief running mates, he joked, ``If I knew I was going to live this long, I'd have taken better care of myself.'' </P> "	"nyt_eng_199508.gz"
"31050"	"he"	"joked"	" Through all the adversity in his personal life, he exhibited a quiet but shrewd wit that he often unfurled in a down-home Oklahoma drawl. Of his fear of dying early, he once said: ``I'll never get a pension. I won't live long enough.'' And after years of drinking and carousing with Whitey Ford and Billy Martin as his chief running mates, he joked, ``If I knew I was going to live this long, I'd have taken better care of myself.'' </P> "	"nyt_eng_199508.gz"
"31229"	"he"	"joked"	" In his spare time, Schreiber was studying to become a private pilot until his wife asked him to stop. He said when he was doing his first solo, he almost crashed into some electrical wires after incorrectly operating the flaps. When asked what was more dangerous, flying or playing on artificial turf, he joked, ``I'm not sure.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950814.0764 type=story > <HEADLINE> IN '65 OR '95, URBAN TROUBLES PERSIST </HEADLINE> <DATELINE>  (BC-WATTS-VOICES-2Takes-LADN) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"32419"	"he"	"joked"	" For our comfort, he joked, our passenger cars, built in the 1920s, came with built-in air conditioning _ the windows open. But he warned about putting heads and hands outside; in places, spiny brush grew so close to the tracks that it slapped against the side of the train. </P> "	"nyt_eng_199508.gz"
"35009"	"he"	"joked"	" For our comfort, he joked, our passenger cars, built in the 1920s, came with built-in air conditioning _ the windows open. But he warned about putting heads and hands outside; in places, spiny brush grew so close to the tracks that it slapped against the side of the train. </P> "	"nyt_eng_199509.gz"
"41457"	"he"	"joked"	" After winning the role, Robbins and the rest of the cast worked out their parts individually with animator Bill Melendez, whose vocal inflections, he joked, gave Charlie Brown ``a little Latin accent.'' </P> "	"nyt_eng_199512.gz"
"41718"	"he"	"joked"	" After winning the role, Robbins and the rest of the cast worked out their parts individually with animator Bill Melendez, whose vocal inflections, he joked, gave Charlie Brown ``a little Latin accent.'' </P> "	"nyt_eng_199512.gz"
"42439"	"he"	"joked"	" Last year, when Donahue returned to Notre Dame to recruit his first player from the school, All-American kicker Chris Sailer, he joked, ``The only thing I was familiar with was the detention room.'' </P> "	"nyt_eng_199512.gz"
"46372"	"he"	"joked"	" ``It's hard to argue with a $1.25 billion price differential,'' said one First Interstate manager who preferred to remain anonymous. Sensing the inevitable, he joked, ``We're waiting for the white smoke to come out of the stagecoach building.'' </P> "	"nyt_eng_199601.gz"
"47186"	"he"	"joked"	" It's a counterweight to the faddish side of the music business, but it doesn't have much cachet. After Lee announced the hard-rock award for Pearl Jam, he joked, ``The guys in Pearl Jam are way too fabulous to be here tonight.'' He was right. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960130.0506 type=story > <HEADLINE> CITICORP TO OPEN OFFICE IN TEL AVIV, ISRAEL NEXT WEEK </HEADLINE> <DATELINE> New York, Jan. 30 (Bloomberg) (BC-CITICORP-ISRAEL-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"49192"	"he"	"joked"	" Once he started talking, Dockery wouldn't stop. For the next 18 hours, he joked, reminisced and astonished friends and relatives with his recall of his former world. He recognized his sons, Colt and Sean, though they are teenagers now. He thought Ronald Reagan was still president. </P> "	"nyt_eng_199602.gz"
"52950"	"they"	"joked"	" The first Universal card, ending in multiple zeros and a 1, was issued to Kahn. When his credit report was pulled, executives marveled at his history of massive debt. Had he not been running the company, they joked, he never would have qualified for the card. </P> "	"nyt_eng_199603.gz"
"53103"	"they"	"joked"	" The first Universal card, ending in multiple zeros and a 1, was issued to Kahn. When his credit report was pulled, executives marveled at his history of massive debt. Had he not been running the company, they joked, he never would have qualified for the card. </P> "	"nyt_eng_199603.gz"
"63737"	"he"	"joked"	" Dole did not mention Clinton in his speech, but after quoting Abraham Lincoln, he joked, ``I've been wanting to talk to Lincoln, but all the lines are tied up.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960704.0530 type=story > <HEADLINE> NEVADA'S LATEST TOURIST GAMBLE </HEADLINE> <DATELINE> RACHEL, Nev. (BC-NEVADA-TOURISM-BOS) </DATELINE> <TEXT> "	"nyt_eng_199607.gz"
"69531"	"he"	"joked"	" In the meantime, Johnson is consumed by preparations for Gator Aid. He has lined up a local band, the Samurai Surfers, for the free party. The only dress code, he joked, is ``no alligator-skin boots or purses allowed.'' </P> "	"nyt_eng_199608.gz"
"69976"	"he"	"joked"	" After telling the audience that his wife had traveled to many natural disasters during her years at the American Red Cross, he joked, ``That doesn't include my campaign, of course.'' </P> "	"nyt_eng_199609.gz"
