"pronoun"	"verb"	"context"	"filename"
"1945"	"we"	"knew"	" The Braves are our team of the heart, and there can be only one. For however long they're on strike, we will miss them terribly. The rhythm of our days and nights will be thrown off. We'll feel a little lost, a tad empty. The last three years, we've felt that way only in late October, after the Braves were beaten in the postseason, but the feeling lingered only a few days. The team, we knew, would report to West Palm again in February, would be good again come next season. If the players strike, we'll have no such guarantee. They could be gone a week, a month, a year. (My guess is three weeks but, as you doubtless know, I'm often wrong.) </P> "	"nyt_eng_199408.gz"
"2788"	"I"	"knew"	" Somewhere, I knew, I had carefully stored the technical support number for Zenith Data Systems. That somewhere, I realized, was in a file on my computer. </P> "	"nyt_eng_199408.gz"
"3350"	"I"	"knew"	" ``Once it started happening, I knew,'' he said. ``I knew four weeks ago. But if I went in to ask for my release, then I would have been banished across the league, because then (teams would assume) I have an attitude problem. So I just rolled with the punches.'' </P> "	"nyt_eng_199408.gz"
"4280"	"we"	"knew"	" ``He didn't say it was for football, but we knew, we knew,'' said Henesey's mother, Helen. </P> "	"nyt_eng_199409.gz"
"6122"	"he"	"knew"	" Out there in the darkness, he knew, were fresh teams of agents, newly equipped with radios, all-terrain vehicles, night vision devices and motion detectors. There were even agents riding horses and dirt bikes. </P> "	"nyt_eng_199410.gz"
"6136"	"he"	"knew"	" Out there in the darkness, he knew, were fresh teams of agents, newly equipped with radios, all-terrain vehicles, night vision devices and motion detectors. There were even agents riding horses and dirt bikes. </P> "	"nyt_eng_199410.gz"
"9281"	"we"	"knew"	" ``When Kevin Williams took that kickoff back like he did, we knew,'' Nate Newton said. ``We started challenging each other.'' </P> "	"nyt_eng_199411.gz"
"12967"	"he"	"knew"	" His sorrow, he knew, would never compare to the pain of the victims' families. Their grief was justifiable, their anger understandable, and he didn't blame them during the trial, when they glared at him in the courtroom, asking him how he could kill their children, how, how, how, how ... </P> "	"nyt_eng_199501.gz"
"14887"	"we"	"knew"	" Snow White took a bite anyway, and although she immediately crumpled to the ice, there was no real reason to worry. The antidote, we knew, if she didn't, would be the First Kiss of Love. And we knew, and the Evil Queen didn't, that a handsome prince just happened to be hanging around in the forest. </P> "	"nyt_eng_199502.gz"
"15264"	"he"	"knew"	" The first preseason scrimmages did nothing for his confidence. His teammates ran the floor like cheetahs on steroids. The new system might as well have been old algebra. As a freshman, Derek Kellogg sometimes wondered whether he'd play a role in the University of Massachusetts' rebuilding plan. And there were moments, he knew, when others wondered the same thing. </P> "	"nyt_eng_199502.gz"
