"pronoun"	"verb"	"context"	"filename"
"5181"	"they"	"laugh"	" ``When you mention baseball to marketing or business people, they laugh,'' said Ken Gurnick, who works for Dennis Gilbert, an influential agent with a clientele that includes Barry Bonds, Mike Piazza, Jose Canseco, Bobby Bonilla and Rickey Henderson. ``Any endorsements we were working on are paralyzed because baseball is dead right now.'' </P> "	"nyt_eng_199409.gz"
"23960"	"they"	"laugh"	" ``The days get longer,'' she said, ``the weather changes, the stone of the city looks less severe, the color of the water changes, and the people change, too _ they shed their shells, they laugh, feel optimistic again. In winter we are often melancholy, but in summer we have been known to giggle.'' </P> "	"nyt_eng_199506.gz"
"30098"	"they"	"laugh"	" ``Some of the kids in my school, if I tell them I'm going to summer school, they laugh,'' said Sarah Jean Baptist, who is 12 and attended P.S. 163 in the Bensonhurst section of Brooklyn, last year. ``But some of the things I'm learning here _ it makes me happy.'' </P> "	"nyt_eng_199508.gz"
"33257"	"they"	"laugh"	" Whether or not the asphalt plant is built _ studies have finally been commissioned to examine its impact on community health _ the fledgling organization is already scribbling a wider agenda, scripting a more lasting presence. When Alake and Donovan get together, they laugh, shout, learn, challenge, interrupt one another often. Suddenly there's so much to talk about. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950908.0241 type=story > <HEADLINE> CHANGE IS A CONSTANT IN DAVID BOWIE'S CAREER </HEADLINE> <DATELINE>  (BC-MUSIC-BOWIE-2TKS-BOS) </DATELINE> <TEXT> "	"nyt_eng_199509.gz"
"49558"	"they"	"laugh"	" ``When I tell other people that I work out of a shower, they laugh,'' Ms. Bregman said. ``But the children love it here.'' </P> "	"nyt_eng_199602.gz"
"61554"	"we"	"laugh"	" ``It's great for everyone to get some time away from the family and the husband,'' Burns says. ``We talk, we laugh, we discuss the book; sometimes it's been real therapeutic.'' </P> "	"nyt_eng_199606.gz"
"61637"	"we"	"laugh"	" ``It's great for everyone to get some time away from the family and the husband,'' Burns says. ``We talk, we laugh, we discuss the book; sometimes it's been real therapeutic.'' </P> "	"nyt_eng_199606.gz"
"85506"	"they"	"laugh"	" They demonstrate that families and children are more alike than they are different. They love, they laugh, they sacrifice, they cling to each other during grueling times. And many of those grueling times are caused by insensitivity and prejudice. </P> "	"nyt_eng_199701.gz"
"85594"	"they"	"laugh"	" They demonstrate that families and children are more alike than they are different. They love, they laugh, they sacrifice, they cling to each other during grueling times. And many of those grueling times are caused by insensitivity and prejudice. </P> "	"nyt_eng_199701.gz"
"92924"	"I"	"laugh"	" ``They tell us to laugh, I laugh,'' she said, with a laugh. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20010605.0187 type=story > <HEADLINE> A RENDERING DUCK AND STILL SERVING IT MEDIUM RARE </HEADLINE> <DATELINE> NEW YORK (BC-MASTER-CHEF-NYT) </DATELINE> <TEXT> "	"nyt_eng_200106.gz"
"103296"	"we"	"laugh"	" ``We smile, we laugh,'' one executive said. ``We're here together. We have a purpose.'' </P> "	"nyt_eng_200201.gz"
"108591"	"they"	"laugh"	" Arya brings her a spoonful, they talk in Thai, they laugh, and the verdict comes back: ``Too sweet!'' </P> "	"nyt_eng_200203.gz"
