"pronoun"	"verb"	"context"	"filename"
"13263"	"she"	"laughed"	" ``Now that's something people can understand,'' said Comaford. ``They're used to using a word processor. And when you use Word, there's going to be a little icon on the screen on the tool bar, and you click on it, and suddenly, you'll be on the Internet, or at least into Microsoft's network for it. It's so transparent. That's what people want. All of this happens so easily.'' And, she laughed, ``All the time it's happening, it's being quietly billed to your credit card.'' </P> "	"nyt_eng_199501.gz"
"13454"	"she"	"laughed"	" ``Now that's something people can understand,'' said Comaford. ``They're used to using a word processor. And when you use Word, there's going to be a little icon on the screen on the tool bar, and you click on it, and suddenly, you'll be on the Internet, or at least into Microsoft's network for it. It's so transparent. That's what people want. All of this happens so easily.'' And, she laughed, ``All the time it's happening, it's being quietly billed to your credit card.'' </P> "	"nyt_eng_199501.gz"
"30115"	"he"	"laughed"	" Thanks to the FBI and the Unabomber, he laughed, there's more interest in his discipline right now than he is allowed to reveal. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950803.0748 type=story > <HEADLINE> CHECK SCAM WORKED WELL UNTIL SUSPECT GOT TALKATIVE </HEADLINE> <DATELINE> LOS ANGELES (BC-CHECK-SCAM-2Takes-LADN) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"31529"	"they"	"laughed"	" Last week, Serbian refugees from Krajina showed up at the Tomic house and asked to buy some things. When Tomic gave them a price, they laughed, Mrs. Tomic said, and simply began taking what they wanted _ carpets, dishes, firewood, even the electrical wall outlets. </P> "	"nyt_eng_199508.gz"
"39141"	"he"	"laughed"	" ``There will be one brigade of two or three battalions, depending on what special tasks are assigned to our forces by Generals Joulwan and Shevtsov when they do the overall planning,'' Grachev said. Asked how many soldiers would be involved, he laughed, ``One thousand and one.'' U.S. officers said that would be roughly three Russian battalions. </P> "	"nyt_eng_199511.gz"
"39151"	"he"	"laughed"	" ``There will be one brigade of two or three battalions, depending on what special tasks are assigned to our forces by Generals Joulwan and Shevtsov when they do the overall planning,'' Grachev said. Asked how many soldiers would be involved, he laughed, ``One thousand and one.'' U.S. officers said that would be roughly three Russian battalions. </P> "	"nyt_eng_199511.gz"
"43999"	"I"	"laughed"	" ``When they first asked me to come here, I laughed,'' said Fishkin, who had been working at Kings County Medical Center, another public hospital. ``I expected to see a really horrendous group of physicians.'' </P> "	"nyt_eng_199512.gz"
"61694"	"he"	"laughed"	" But Monday, after beating the guy everybody said wouldn't be beat, he laughed, ``OK, so I thought it's nice to go to Paris. My wife can shop. I'll play a couple of rounds, and see how it goes with the ankle.'' </P> "	"nyt_eng_199606.gz"
"67386"	"he"	"laughed"	" But, he laughed, ``We're really just grown up teenagers.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960809.0552 type=story > <HEADLINE> FERBER MAY BE SUED BY DISTRICT OF COLUMBIA AFTER CONVICTION </HEADLINE> <DATELINE> Boston, Aug. 9 (Bloomberg) (BC-FERBER-DC-CLAIM-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
"73808"	"he"	"laughed"	" When that was relayed to Hostetler, he laughed, too. (SS) ``He's right,'' said the battered but winning quarterback. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19961006.0342 type=story > <HEADLINE> COLTS RALLY, BUT LOSE TO BILLS IN OVERTIME </HEADLINE> <DATELINE> ORCHARD PARK, N.Y. (BC-FBN-COLTS-BILLS-NYT) </DATELINE> <TEXT> "	"nyt_eng_199610.gz"
