"pronoun"	"verb"	"context"	"filename"
"1009"	"we"	"learn"	" Furthermore, we learn, a majority of both men and women would root for the dog. Moore has his liberal biases tattooed on his arm. </P> "	"nyt_eng_199407.gz"
"3662"	"we"	"learn"	" The company is particularly proud of its robot, Herbie, who packages individual cellophaned boxes of tea in warehouse-ready boxes. Herbie, we learn, is camera-shy. That's the reason no photos are allowed on the plant tour. (Actually, the guide explains, the company doesn't want competitors getting a look at Herbie. This corporate spy stuff is kind of thrilling.) </P> "	"nyt_eng_199408.gz"
"3805"	"we"	"learn"	" ``Commercial television -- particularly programming aimed at children -- is in a horrific state,'' write the Bennetts, brows no doubt furrowed. They have managed to cut down their own television watching to near ``ZTV,'' or zero television. And they are, we learn, much better for it. Bully for the Bennett family. </P> "	"nyt_eng_199408.gz"
"3937"	"we"	"learn"	" ``Chicago Hope,'' CBS. Typical, isn't it? We have two good medical dramas for the first time in years, and they're scheduled opposite each other. ``Chicago Hope'' is the more high-minded of the two: It's set in a hospital that, we learn, just might be ``the best in the country.'' Consequently, it's staffed by people with huge egos that, frankly, get a little tiresome. E.G. Marshall plays a veteran surgeon with failing hands; Mandy Patinkin is his heir apparent, and Adam Arkin (CBS' ``Northern Exposuref'') is Patinkin's pal. Hector Elizondo plays the doctor in charge, which means he mostly strides around barking platitudes. It's good, but not as good as I'd hoped, particularly because it's from David Kelley, the creator of ``Picket Fences.'' Previews Sept. 18; premieres Sept. 22. </P> "	"nyt_eng_199409.gz"
"4416"	"we"	"learn"	" What impresses you first about the narrative by Ward is how very early baseball developed and explored its fullest possibilities. By the turn of the century, nearly every detail of the game had been invented -- not merely the stolen base, the curve ball and the sacrifice bunt, but also the betting scandal, the labor action and the owner-imposed salary cap. In 1868, we learn, baseball experienced its first seizure of nostalgia for the way the game used to be played. </P> "	"nyt_eng_199409.gz"
"7497"	"we"	"learn"	" Once again, we learn, the Clinton administration is racked by scandal. More haircuts on the runway? More sports tickets for high officials, courtesy of the Tyson chicken barons? No: the Rivlin memo. </P> "	"nyt_eng_199410.gz"
"8694"	"we"	"learn"	" In particular, we learn, Los Angeles sits on a huge and constantly moving chunk of the earth's crust known as the Pacific Ocean Plate, which is heading steadily to the northwest, so that in 5 million years or so, the city will be a suburb of San Francisco, or vice versa. </P> "	"nyt_eng_199411.gz"
"13476"	"we"	"learn"	" Certainly crises seem to blossom with startling alacrity in the lives of Rennie, Willis and Holly. Rennie, we learn, is dying of cancer that has spread throughout her body, and Willis, her wayward stepson, has returned to her seaside Rhode Island home to care for her in her remaining days. </P> "	"nyt_eng_199501.gz"
"14791"	"we"	"learn"	" Over the years, we learn, Maisie and Ted's father, Jinx Jenks, has dabbled in a series of failed schemes (beekeeping, rabbit farming, mead brewing and angora goat breeding, among others) that have increasingly earned the contempt of his wife, Ann. </P> "	"nyt_eng_199502.gz"
"17281"	"we"	"learn"	" Diane, an energetically ambitious management student, we learn, is sleeping with Bob, who's preccupied with his student-aid assignment: a 700-pound hog named Earl, who is the centerpiece of a secret study of hog behavior and potential. Prof. Helen Levy is sleeping with the provost, Ivar Harstad, but reluctant to marry him, while Ivar's twin brother, Nils, has decided to marry a middle-aged kitchen worker named Marly and use artificial fertilization procedures to guarantee them the large family he wants. </P> "	"nyt_eng_199503.gz"
"17652"	"we"	"learn"	" The blankest of all the characters he ever played -- the nonentity Chance in ``Being There,'' a simpleton mistaken for a sage -- was the role he wanted most. For years, we learn, Sellers hounded Jerzy Kosinski, who wrote the original novel, claiming he really was Chance. In a 1983 interview, Kosinski explains that only at first did he look upon Sellers' strange entreaties as a joke. </P> "	"nyt_eng_199503.gz"
"18083"	"you"	"learn"	" Junod also wrote, in the January issue, ``Frank Sinatra Jr. is Worth Six Buddy Greccos,'' which not only describes the drearier aspects of being the aging crooner's son but also his father's fans who call out to him things like, ``Junior, can you give me your autograph, even if you're only Junior?'' As Junod understates: ``When you are the son of Frank Sinatra, you learn, at every turn, your place in this world.'' </P> "	"nyt_eng_199503.gz"
