"pronoun"	"verb"	"context"	"filename"
"426"	"they"	"left"	" The Hot Shots have beepers so that they can be quickly marshaled to the latest fire emergency, ``and when the beepers jingled, they left,'' said Marie Johnson, whose two sons, Rob and Tony, were both members of the squad. When a wall of fire swept up the Glenwood Springs mountainside on Wednesday, both brothers ran for their lives. Tony survived. Rob was killed. </P> "	"nyt_eng_199407.gz"
"870"	"he"	"left"	" I felt good about myself for at least 5 minutes, until the military butler announced the arrival of Yo-Yo Ma. We scribbled, he left, and I ventured a guess to the pack: ``Inventor of the yo-yo?'' </P> "	"nyt_eng_199407.gz"
"1911"	"she"	"left"	" No secret is safe in New York's beauty salon world. Weeks before Kim Lepine was ready to tell Charles Booth of La Coupe that she was leaving his Madison Avenue salon after 24 years to open her own place, he saw a copy of the lease she had signed and confronted her. A few days later, she left, taking Rita Starnella, a colorist, and Pegi Palagate, another stylist with her. </P> "	"nyt_eng_199408.gz"
"2743"	"we"	"left"	" ``When we heard on the radio that the French were leaving, we left,'' Ndatimana said. He said the people were afraid of the new government's soldiers, the former rebels. </P> "	"nyt_eng_199408.gz"
"5989"	"he"	"left"	" The next hour was a physical and psychological nightmare. One moment, the man would sexually assault her and threaten to kill her daughter. The next, as she prayed out loud, he would express remorse and try to clean up blood from her cut finger. Eventually, he left, leaving Skalias bleeding and naked. </P> "	"nyt_eng_199410.gz"
"6346"	"I"	"left"	" ``When I worked, I was a very hard worker,'' he said in an interview in 1980. ``One beautiful spring day, I was in my office early in the afternoon, and on sudden impulse, I left, went up to 90th Street and started running. It was wonderful, and I told myself that if it was so important to me, it would be immoral not to deliver the message to others.'' </P> "	"nyt_eng_199410.gz"
"6347"	"I"	"left"	" ``When I worked, I was a very hard worker,'' he said in an interview in 1980. ``One beautiful spring day, I was in my office early in the afternoon, and on sudden impulse, I left, went up to 90th Street and started running. It was wonderful, and I told myself that if it was so important to me, it would be immoral not to deliver the message to others.'' </P> "	"nyt_eng_199410.gz"
"7095"	"they"	"left"	" ``I think the guy who was here before did a lousy job of recruiting,'' Helton said. ``He recruited a bunch of junior-college kids that weren't interested in being in school. They came, they left, and no one ever got redshirted.'' </P> "	"nyt_eng_199410.gz"
"18870"	"they"	"left"	" ``I got the impression it had something to do with his girlfriend,'' said Valentine. ``After that, they left, and we were left with some empty holes.'' </P> "	"nyt_eng_199504.gz"
"30313"	"she"	"left"	" A prisoner says he will give other inmates the usual answers when he returns. How was your visit? ``Same.'' Enjoy yourself? ``Same as the last visit.'' The summary: ``She came, she left, I'm here.'' </P> "	"nyt_eng_199508.gz"
"46628"	"we"	"left"	" Steelers cornerback Carnell Lake, who showed up 35 minutes late Wednesday, said Thursday that he had been told the players would be interviewed at breakfast. ``We went to breakfast and thought people were coming over to us. When no one showed up, we left,'' Lake said. </P> "	"nyt_eng_199601.gz"
"68644"	"he"	"left"	" When Manny returned to his mom's home in Ohio last Christmas Eve, he was immediately arrested and spent three months in jail before he was released March 6 to serve five years of probation. Two days later, he left, vowing never to return to Ohio. </P> "	"nyt_eng_199608.gz"
"68888"	"he"	"left"	" When Manny returned to his mom's home in Ohio last Christmas Eve, he was immediately arrested and spent three months in jail before he was released March 6 to serve five years of probation. Two days later, he left, vowing never to return to Ohio. </P> "	"nyt_eng_199608.gz"
"72950"	"they"	"left"	" Puerto Ricans settled in the downtown area, where inexpensive housing was available, and blended in. Their children went to school, got jobs and left. Eventually, they left, too. But word of Haverstraw hopped from one Caribbean island to another, and soon Dominicans took over the jobs and houses that Puerto Ricans had abandoned. </P> "	"nyt_eng_199609.gz"
"92480"	"they"	"left"	" ``I remember some of the members in Al Qaeda, they left,'' Al-Fadl said. ``They say, `No, we not going to stay in group' because Al Qaeda would not `do anything to help Sheik Omar Abdel Rahman.''' </P> "	"nyt_eng_200105.gz"
"100925"	"they"	"left"	" ``They were here, they asked some questions, they left,'' Shaikh told The Associated Press. ``I fully cooperated from this side and they left.'' </P> "	"nyt_eng_200111.gz"
"105527"	"I"	"left"	" Three courses later, I left, having paid $58. How, you ask? The add-ons. I ordered a $9 side of spinach (spinach leaves, butter and salt) with my lonely fillet. I had a $5.25 cup of coffee and a $10.75 glass of wine, the cheapest red on the list. </P> "	"nyt_eng_200202.gz"
"129948"	"he"	"left"	" By August, Malvo had enrolled in high school in Fort Myers, Fla., where his mother had settled. In October, he left, soon to join Muhammad in Bellingham, Wash. </P> "	"nyt_eng_200211.gz"
"129951"	"he"	"left"	" By August, Malvo had enrolled in high school in Fort Myers, Fla., where his mother had settled. In October, he left, soon to join Muhammad in Bellingham, Wash. </P> "	"nyt_eng_200211.gz"
"129963"	"he"	"left"	" By August, Malvo had enrolled in high school in Fort Myers, Fla., where his mother had settled. In October, he left, soon to join Muhammad in Bellingham, Wash. </P> "	"nyt_eng_200211.gz"
"129964"	"he"	"left"	" By August, Malvo had enrolled in high school in Fort Myers, Fla., where his mother had settled. In October, he left, soon to join Muhammad in Bellingham, Wash. </P> "	"nyt_eng_200211.gz"
"155801"	"we"	"left"	" So, too, is the beach, and after a $14.09 meal of eggs and chorizo at Gary's Handy Lunch, we drove to Second Beach in nearby Middletown, where parking was a whopping $20. This mile or so of clean, dune-edged sand was crowded with young people in low-slung board shorts and small bikinis, all working on their tans, surfing or throwing footballs and Frisbees. Almost no one looked over 40, and even Jean and I, at 31, felt a little aged and unhip. We spread out our beach towels, lay down and tried to read while the wind coated our sunscreen-sticky bodies with fine sand. Less than two hours later, we left, and I felt stupid for having spent what seemed like a lot of money. </P> "	"nyt_eng_200507.gz"
"163958"	"they"	"left"	" As quarterback at Ocala-Vanguard High, Culpepper was a big-league talent. Everyone could see that. But as quickly as recruiters came, they left, realizing that with such a poor grade-point average, Culpepper stood little chance of qualifying for a scholarship. </P> "	"nyt_eng_200603.gz"
"169023"	"I"	"left"	" Instead of dealing with the name-calling while I figured out who I was, I left, said Manoel, who later became a professional dancer to defy his father. </P> "	"nyt_eng_200608.gz"
"170804"	"we"	"left"	" Within 90 minutes or so, we were back at the Treasury, which now appeared softer in the late afternoon light. Again, we were transfixed, and pulled ourselves away only after Ali reminded us that someone was waiting at the gate to take us to our crossing point back to Israel. Sadly, we left, with no expectation that anything else on our trip could match the magic of the last eight hours. </P> "	"nyt_eng_200609.gz"
