"pronoun"	"verb"	"context"	"filename"
"48812"	"I"	"listen"	" Gramm _ pale and puffy-faced but smiling broadly with his wife Wendy as his side _ told a news conference: ``When the voter speaks, I listen, especially when the voter is saying someone else's name.'' </P> "	"nyt_eng_199602.gz"
"48814"	"I"	"listen"	" Gramm _ pale and puffy-faced but smiling broadly with his wife Wendy as his side _ told a news conference: ``When the voter speaks, I listen, especially when the voter is saying someone else's name.'' </P> "	"nyt_eng_199602.gz"
"48837"	"I"	"listen"	" ``When the voter speaks, I listen, especially when the voter is saying someone else's name,'' Gramm said. And he hinted that leaving the national campaign trail will not be that painful. </P> "	"nyt_eng_199602.gz"
"48847"	"I"	"listen"	" ``When the voter speaks, I listen, especially when the voter is saying someone else's name,'' Gramm said. And he hinted that leaving the national campaign trail will not be that painful. </P> "	"nyt_eng_199602.gz"
"48854"	"I"	"listen"	" ``When the voters speak, I listen,'' Gramm said. </P> "	"nyt_eng_199602.gz"
"48857"	"I"	"listen"	" ``When the voters speak, I listen,'' Gramm said. </P> "	"nyt_eng_199602.gz"
"48867"	"I"	"listen"	" ``Where were all you guys in Louisiana and Iowa?'' the senator joked, turning to his aides. ``I am today ending my campaign for president of the United States,'' a defiant-looking Gramm said. ``When the voters speak, I listen, especially when the voter is saying someone else's name.'' </P> "	"nyt_eng_199602.gz"
"48869"	"I"	"listen"	" ``When the voter speaks, I listen,'' Gramm said in Washington in withdrawing from the race on Wednesday, two days after finishing fifth in the Iowa caucuses, ``especially when the voter is saying someone else's name.'' But the senator said he was not endorsing anyone on Wednesday. </P> "	"nyt_eng_199602.gz"
"48870"	"I"	"listen"	" ``When the voter speaks, I listen, especially when the voter is saying someone else's name,'' the Texas Republican told an overflow crowd at a Washington news conference. ``Getting out this race is not an easy thing for me, but I decided that it would be unfair of me to stay in the race when it is clear that I am not going to win.'' </P> "	"nyt_eng_199602.gz"
"48879"	"I"	"listen"	" ``When the voter speaks, I listen, especially when the voter is saying someone else's name.'' </P> "	"nyt_eng_199602.gz"
"48887"	"I"	"listen"	" ``When voters speak, I listen, especially when the voter is saying someone else's name,'' Gramm told a packed Senate hearing chamber Wednesday. </P> "	"nyt_eng_199602.gz"
"59789"	"you"	"listen"	" MCI's 800-MUSIC-NOW service made its debut in November. You call, you listen, and then you can buy. All without leaving your home. More recently it started the same service on the Internet. </P> "	"nyt_eng_199605.gz"
"83793"	"they"	"listen"	" ``People if they have a need, they listen,'' the pastor said. ``But religion won't change people. Their relation with God will.'' </P> "	"nyt_eng_199701.gz"
"95897"	"we"	"listen"	" Patterson, the designer, got rid of the floral pastel motifs in the apartments. She did Parker's apartment in two of his favorite colors _ burgundy and green _ along with sunflower yellow. (``He doesn't ask for much, so when he does, we listen,'' Patterson said.) A wall of stained and leaded glass separates his bedroom from the hallway. His private office has French doors and a custom-made workstation with a red suede pin board. </P> "	"nyt_eng_200108.gz"
"109033"	"they"	"listen"	" ``People trust the church,'' said Diego Salazar, 36, who went to Mass Sunday morning at the Cathedral of St. Ignatius Loyola. ``They come, they listen, and they want to follow their teachings. You have to make sure you lead by example.'' </P> "	"nyt_eng_200203.gz"
"124416"	"they"	"listen"	" But as the crew of firefighters chat and joke and eat, they listen, almost subconsciously, to the ever present radio. </P> "	"nyt_eng_200209.gz"
"125888"	"you"	"listen"	" Meanwhile, in the present, there is ``Facing the Mask,'' and it offers much to love. You walk into the gallery, you look around, you listen, your metabolism shifts gears, you're pulled in and you're lifted up. There's no other way to describe the art of Africa. It's tough, elusive and rapturous, and it's always saving the next dance for you. </P> "	"nyt_eng_200209.gz"
"125946"	"they"	"listen"	" ``When he speaks around here, he's like E.F. Hutton, they listen,'' Melvin Sr. said. </P> "	"nyt_eng_200209.gz"
"132954"	"they"	"listen"	" ``You need someone to guide you or you need somebody to ask, `Why have you been around so long?' and try to copy the way the guy carries himself. Some guys, no matter what you say to them, they listen, but they don't do it. Those guys won't play that long unless they hit rock bottom and they realize that they need to make changes. I've seen that, too, but sometimes it's too late.'' </P> "	"nyt_eng_200212.gz"
"145477"	"I"	"listen"	" When I do a lot of my TiVo maneuvering, I don't even look at the remote, I listen, she said. When I hear that 'bump,' I know I have to suffer through a commercial. </P> "	"nyt_eng_200411.gz"
"153729"	"we"	"listen"	" This goes to the heart that there is not much meaningful input on the part of the communities, said Margaret Coppe, president of ShhAir or Safeguarding the Historic Hanscom Area's Irreplaceable Resources. We get told what is going to happen, and that's the end of it. They tell us, we listen, and we go home. </P> "	"nyt_eng_200506.gz"
"164734"	"you"	"listen"	" When a teenager says something like that, you listen, Dibner said. </P> "	"nyt_eng_200603.gz"
