"pronoun"	"verb"	"context"	"filename"
"27115"	"she"	"listened"	" As The Light ran through its repertoire, she listened, eyebrows knitted, head cocked to one side. After a few bars of Nirvana's ``Lithium,'' she waved for them to stop. </P> "	"nyt_eng_199507.gz"
"46046"	"we"	"listened"	" Chili Yazzie, a former council delegate and friend of Albert, said he also has noticed the erosion of his support. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960120.0226 type=advis > <DATELINE>  (BC-HEARST-NEWS-BUDGET-HNS) </DATELINE> <TEXT> Friday, Jan. 19, 1996  Editors:  The Hearst News Service will file the following stories for Sunday. If you have questions, please call Eric Rosenberg at 202-298-6320.  (Slugline includes the ``HNS'' tag.)  For Sunday:  NATIONAL NEWS (``a'' category)  JORDAN-FUNERAL (Houston) _ Barbara Jordan came home for the last time Saturday, finishing a journey cut short in time but not in impact. Her path led from the humblest corner of Houston to the corridors of power. Along the way, she touched lives, inspired hope and restored faith in public service. It seemed that all of Houston, and much of the nation, wanted to wish her a final farewell. By MIKE TOLSON.  JORDAN-CLINTON (Houston) _ President Clinton lead a delegation of Cabinet secretaries, members of Congress and prominent African-American officials aboard Air Force One to Houston to mark the passing of an old friend. ``When Barbara Jordan talked, we listened,'' Clinton told the mourners at her funeral here Saturday. By NANCY MATHIS. </TEXT> </DOC> <DOC id=NYT_ENG_19960120.0227 type=advis > <DATELINE>  (BC-HEARST-NEWS-BUDGET-1STLD-WRITETHRU-HNS) </DATELINE> <TEXT> (EDs: RESENDING to note today's date.)  Sat. Jan. 20, 1996  Editors:  The Hearst News Service will file the following stories for Sunday. If you have questions, please call Eric Rosenberg at 202-298-6320.  (Slugline includes the ``HNS'' tag.)  For Sunday:  NATIONAL NEWS (``a'' category)  JORDAN-FUNERAL (Houston) _ Barbara Jordan came home for the last time Saturday, finishing a journey cut short in time but not in impact. Her path led from the humblest corner of Houston to the corridors of power. Along the way, she touched lives, inspired hope and restored faith in public service. It seemed that all of Houston, and much of the nation, wanted to wish her a final farewell. By MIKE TOLSON.  JORDAN-CLINTON (Houston) _ President Clinton lead a delegation of Cabinet secretaries, members of Congress and prominent African-American officials aboard Air Force One to Houston to mark the passing of an old friend. ``When Barbara Jordan talked, we listened,'' Clinton told the mourners at her funeral here Saturday. By NANCY MATHIS. </TEXT> </DOC> <DOC id=NYT_ENG_19960120.0228 type=story > <HEADLINE> PRESIDENT CLINTON RECALLS THE STRENGTH AND POWER OF BARBARA </HEADLINE> <DATELINE> HOUSTON (BC-JORDAN-CLINTON-HNS) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"46047"	"we"	"listened"	" ``When Barbara Jordan talked, we listened,'' Clinton told the mourners at her funeral here Saturday. </P> "	"nyt_eng_199601.gz"
"46049"	"we"	"listened"	" ``Barbara Jordan understood, contrary to some people's idea of her, where to invest her hope,'' Cofield said. ``She understood no matter what position she held, no matter what titles, no matter how many degrees she received, she did not put her hope in those things. She put her hope in the Lord.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960120.0232 type=advis > <DATELINE>  (BC-HEARST-NEWS-BUDGET-2NDLD-WRITETHRU-HNS) </DATELINE> <TEXT> Sat. Jan. 20, 1996  Editors:  The Hearst News Service has filed the following stories for Sunday. If you have questions, please call Eric Rosenberg at 202-298-6320.  (Slugline includes the ``HNS'' tag.)  For Sunday:  NATIONAL NEWS (``a'' category)  JORDAN-FUNERAL (Houston) _ Barbara Jordan came home for the last time Saturday, finishing a journey cut short in time but not in impact. Her path led from the humblest corner of Houston to the corridors of power. Along the way, she touched lives, inspired hope and restored faith in public service. It seemed that all of Houston, and much of the nation, wanted to wish her a final farewell. By MIKE TOLSON.  JORDAN-CLINTON (Houston) _ President Clinton lead a delegation of Cabinet secretaries, members of Congress and prominent African-American officials aboard Air Force One to Houston to mark the passing of an old friend. ``When Barbara Jordan talked, we listened,'' Clinton told the mourners at her funeral here Saturday. By NANCY MATHIS. </TEXT> </DOC> <DOC id=NYT_ENG_19960120.0233 type=story > <HEADLINE> MANY IN HAITI ARE TROUBLED BY ARISTIDE'S MARRIAGE </HEADLINE> <DATELINE>  (BC-HAITI-FIRST-LADY-1STLEAD-WRITETHRU-NYT) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"47688"	"they"	"listened"	" They watched, they listened, they said little. One took notes. And everyone else was reminded that, Internet or not, best watch what one says. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960204.0111 type=story > <HEADLINE> EQUITY OFFERINGS THIS WEEK </HEADLINE> <DATELINE>  (BC-EQUITIES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199602.gz"
"47982"	"they"	"listened"	" They watched, they listened, they said little. One took notes. And everyone else was reminded that, Internet or not, best watch what one says. </P> "	"nyt_eng_199602.gz"
"72447"	"we"	"listened"	" This was the Goodman band; this was our special pleasure and when it read its offertory in such tabernacles as the Palomar in Los Angeles or the Madhattan Room in New York City, we listened, so to speak, all kneeling, as is the custom with the Book of Common Prayer. </P> "	"nyt_eng_199609.gz"
"90100"	"they"	"listened"	" Still, they listened, and wrote what McVeigh told them: That he believed that the United States was systematically disarming and suborning citizens; that the government, in fact, was waging war against its own people; and that, finally, it was his duty to strike back in as public and bloody a manner as possible. His only regret is that he did not know there was a day-care center in the Alfred P. Murrah Federal Building. But his conscience is clear, he says. He's a patriot, and, in war, death of civilians is inevitable. He believes his execution will make him a martyr to the cause of freedom. </P> "	"nyt_eng_200104.gz"
"101499"	"they"	"listened"	" But they had what reporters covering the White House like to describe as ``a frank but amicable exchange of views.'' They spoke, they listened, and they agreed that more Russell was just what the Raiders needed. </P> "	"nyt_eng_200111.gz"
"108509"	"I"	"listened"	" While Yellowman overviewed her challenging road from being a 14-year-old who spoke no English but who decided to start school anyway to a 30-year career as a teacher and county supervisor, I listened, thought and prepared. My mind went back to the ride I had given to that 80-year-old hitchhiker last summer. </P> "	"nyt_eng_200203.gz"
