"pronoun"	"verb"	"context"	"filename"
"3935"	"they"	"lose"	" ``If you get more than 9 percent (turnout), they lose,'' contended Annette Cootes of the Texas State Teachers Association, an educators' union that has fought the religious right. </P> "	"nyt_eng_199409.gz"
"3936"	"they"	"lose"	" ``If you get more than 9 percent (turnout), they lose,'' contended Annette Cootes of the Texas State Teachers Association, an educators' union that has fought the religious right. </P> "	"nyt_eng_199409.gz"
"7015"	"you"	"lose"	" ``Any time you lose, you lose,'' said Elway. ``It really doesn't matter how you lose. We're finding different ways to lose, though. ... We've got to figure out how to start winning.'' </P> "	"nyt_eng_199410.gz"
"10326"	"we"	"lose"	" ``If it's anything's close, we lose,'' one defense lawyer said, complaining about Ito's rulings. </P> "	"nyt_eng_199412.gz"
"20481"	"you"	"lose"	" Brian Noonan, who says his knee is not bothering him, scored two goals Monday night. He feels he can play better, however. ``To his credit, he came back seven to 10 days before they thought he would,'' said Coach Colin Campbell. ... Kevin Lowe (pinched nerve, neck) and Stephane Matteau (back spasms) both practiced Tuesday. ... Campbell on what was going through his mind as the Rangers four-goal lead started to dwindle away: ``You know what I was thinking of? What you guys were going to ask me after the game.'' It was suggested to the coach that he might be allowed one game a year after which he can refuse to answer the media. ``Maybe I shouldn't have come out after we won that game last night,'' he said. ``But my philosophy is, you lose, don't go out and hide like a lot of our guys did on Sunday.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950425.0453 type=story > <HEADLINE> SEVEN RICHEST NATIONS AGREE AILING DOLLAR NEEDS A CURE </HEADLINE> <DATELINE> WASHINGTON  (BC-DOLLAR-MINISTERS-HNS) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"21560"	"we"	"lose"	" ``It is now time for Americans to stand shoulder to shoulder. If we hesitate, we lose,'' said Mark Koernke, a University of Michigan janitor and keynote speaker during the seven-hour ``Take Our Country Back'' Convention on Sunday. </P> "	"nyt_eng_199505.gz"
"28100"	"you"	"lose"	" ``What I mean about a player not really having a life like everybody else is you just focus on your game,'' says Chris. ``Your career. It's ego first _ you're selfish. One day you win, you're a winner. A high. Next day, you lose, you're a loser. A downer. The mood swings are just like that. Nothing else matters. </P> "	"nyt_eng_199507.gz"
"32312"	"you"	"lose"	" Particularly for the Angels, who snored their way to a 5-2 loss before a paid sellout crowd of 61,082, the seventh-largest regular-season audience in club history. For the Angels, it was a slumber party, all right. You snooze, you lose, it seemed. </P> "	"nyt_eng_199508.gz"
"33748"	"I"	"lose"	" ``Without all those factors, I lose,'' said Russo. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950913.0517 type=story > <HEADLINE> IMF SAYS FINANCIAL CRISES REQUIRE NEW FUNDS FROM ITS MEMBERS </HEADLINE> <DATELINE> Washington, Sept. 13 (Bloomberg) (BC-IMF-ANNUAL-REPORT-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199509.gz"
"43364"	"we"	"lose"	" When both are playing well, Tech's tough to beat. ``If Stephon and Drew go nuts, we lose,'' said Calipari. </P> "	"nyt_eng_199512.gz"
"56131"	"we"	"lose"	" He appealed to the leaders or the land reform movement to drop their strategy of confrontation _ a step Diolinda Alves da Silva, leader of the movement for the landless, ruled out Friday. ``Whoever dies, we lose,'' he said. ``But there are plenty more to continue our fight.'' </P> "	"nyt_eng_199604.gz"
"56256"	"we"	"lose"	" He appealed to the leaders or the land reform movement to drop their strategy of confrontation _ a step Diolinda Alves da Silva, leader of the movement for the landless, ruled out Friday. ``Whoever dies, we lose,'' he said. ``But there are plenty more to continue our fight.'' </P> "	"nyt_eng_199604.gz"
"62415"	"you"	"lose"	" As Moorer said, ``It happened two years ago, it's not on my mind, it's part of boxing, you lose, you come back. The best have been down.'' </P> "	"nyt_eng_199606.gz"
"70384"	"you"	"lose"	" ``When you flinch, you lose,'' said Ron Powlus, the Notre Dame quarterback, with a serious look on his face. ``We weren't flinching.'' </P> "	"nyt_eng_199609.gz"
"70388"	"you"	"lose"	" ``When you flinch, you lose,'' said Notre Dame quarterback Ron Powlus, ``and we weren't flinching.'' </P> "	"nyt_eng_199609.gz"
"72574"	"you"	"lose"	" ``The federal government is saying, `Come in, we'll take your tax dollars, but then if you get in trouble, and the job you thought you had, you lose, or you get sick, we're not going to give you anything,' '' he said. ``You, however, just stay here, and what's the city and the state of New York going to have to do about it? They're going to have to pay for it.'' </P> "	"nyt_eng_199609.gz"
"75471"	"we"	"lose"	" ``This place is ours. It has always been ours and it always will be ours. The moment we make a concession, we lose,'' said Zvi Joskowicz, 46, an Orthodox Jew from Jerusalem. </P> "	"nyt_eng_199610.gz"
