"pronoun"	"verb"	"context"	"filename"
"6602"	"we"	"lost"	" ``Yes, we competed. Yes, we lost,'' PacTel spokesman Robert Stewart told The Washington Post this week. The deal, however, ``is too much of a giveaway.'' </P> "	"nyt_eng_199410.gz"
"7164"	"I"	"lost"	" Add Willis: His quote upon returning to the Hawks: ``I didn't come into this thing to renegotiate. There were some things I wanted to address, and I think we got those things out of the way.'' Translation: I tried to play hardball, I had no leverage, I lost, and now I stand before you as a big, greedy fool. ... </P> "	"nyt_eng_199410.gz"
"19576"	"we"	"lost"	" It's a game I will never forget because we came to Madison Square Garden with a 3-2 lead and could have ended the series in New York with a victory. Instead, we lost, and the next day in practice, the president of the Knicks at the time, Ned Irish, walked into the locker room and basically said: ``None of you guys have a chance to win. You're finished. None of you will be able to do any good. As far as I'm concerned, it's over.'' And then he walks out. </P> "	"nyt_eng_199504.gz"
"22392"	"we"	"lost"	" ``Any time you press, bad things happen. I just played terrible, we lost, we've got to go to Houston to win. That simple. </P> "	"nyt_eng_199505.gz"
"35398"	"they"	"lost"	" Linebacker Bobby Houston remained confused the morning after, as did so many others. He reflected on how the Jets had thought they were good enough last year, when they almost defeated the Dolphins in a game that would have tied them for first place in the division. Instead, they lost, starting a season-ending five-game losing streak. </P> "	"nyt_eng_199510.gz"
"35598"	"they"	"lost"	" Texas then drove 70 yards behind Koy, whose 135 yards helped the Longhorns win the statistical battle, 263-136. But after scoring with 1:27 remaining, they lost, 14-13, on a failed two-point conversion attempt. </P> "	"nyt_eng_199510.gz"
"36947"	"they"	"lost"	" ``I try to read as much about them as possible; I even got to go to their game up there. And wouldn't you know it, they lost,'' said the native of Red Deer, Alberta, who lists the Canadian Football League's Edmonton Eskimos as his second-favorite team. ``I've seen all of the Cowboys' games except the San Diego game, so I'm pretty much up to date on them.'' </P> "	"nyt_eng_199510.gz"
"38626"	"they"	"lost"	" Indeed. There was the Navy landslide after the victory against Arkansas; and a week after the Mustangs nearly beat Texas A&AMP;M, they lost, 38-15, to Houston, which scored 21 points in the final three minutes. </P> "	"nyt_eng_199511.gz"
"40018"	"I"	"lost"	" ``In my search for the very best, I lost, two or three times, the people I thought would have been the very best people to run certain agencies, because they had realistic problems, like children with special needs,'' he said. ``A difference of $20,000 or $30,000 would have made a difference in getting that person.'' </P> "	"nyt_eng_199511.gz"
"44830"	"they"	"lost"	" Last season, the Packers took a 17-3 lead on Thanksgiving only to lose, 42-31. When they returned for the playoffs, they lost, 35-9. </P> "	"nyt_eng_199601.gz"
"47068"	"we"	"lost"	" ``Columbia embraced losing as an academic badge of courage,'' Reeves said. ``The feeling is, `Hey, we lost, so we must be doing something right.' '' </P> "	"nyt_eng_199601.gz"
