"pronoun"	"verb"	"context"	"filename"
"2415"	"they"	"maintain"	" And, they maintain, children could be placed in child care that offers them more stimulation than they might receive at home. </P> "	"nyt_eng_199408.gz"
"4665"	"they"	"maintain"	" The baseball players claim major league baseball's exemption from the antitrust laws allows club owners to collude in setting players' salaries. Without that exemption, they maintain, owners could not get together and unilaterally dictate league-wide terms to players, as they did in imposing a salary cap as of Nov. 1. </P> "	"nyt_eng_199409.gz"
"4666"	"they"	"maintain"	" The baseball players claim major league baseball's exemption from the antitrust laws allows club owners to collude in setting players' salaries. Without that exemption, they maintain, owners could not get together and unilaterally dictate league-wide terms to players, as they did in imposing a salary cap as of Nov. 1. </P> "	"nyt_eng_199409.gz"
"7748"	"they"	"maintain"	" For the displaced vendors, on the other hand, there is no difference of opinion: The move, they maintain, has been a disaster. </P> "	"nyt_eng_199410.gz"
"7876"	"they"	"maintain"	" Such changes have prompted criticisms that the Kitchen is becoming more conservative, but representatives of the organization believe that it can broaden its base without losing its edge. The new technology in the Electronic Cafe, they maintain, will provide another means to attract new artists and audiences. </P> "	"nyt_eng_199411.gz"
"8914"	"they"	"maintain"	" If Dole holds out, they maintain, the pact will never get the 60 votes it needs to pass the Senate, a requirement that arises because the reduction in tariff revenues will widen the federal deficit. </P> "	"nyt_eng_199411.gz"
"19267"	"they"	"maintain"	" Mrs. Harris was removed from the jury after Ito learned that she had failed to acknowledge during jury selection that her husband had beaten her. The source of that disclosure, defense lawyers charge, was a retired police officer. Had prosecutors thought their case had been going well and viewed Mrs. Harris as an ally, they maintain, she would never have been investigated. </P> "	"nyt_eng_199504.gz"
"21529"	"they"	"maintain"	" Clinton, they maintain, is violating all the free-market principles he espouses, trying to micro-manage trade down to telling Toyota how many American-made parts they must buy. Washington shoots back that every other approach has failed, and that the Japanese are hardly suited to lecture anyone on the evils of managed trade. </P> "	"nyt_eng_199505.gz"
"22133"	"they"	"maintain"	" Most builders and real estate agents say they favor disclosure and are pleased that the off-site factors have been narrowed to physical conditions. Still, many expressed concern that the court once again made the decision retroactive and failed to specify the off-site factors that are deleterious or at what distance from those conditions disclosure becomes mandatory. This, they maintain, renders the court's mandate unworkable and their exposure to liability open-ended. </P> "	"nyt_eng_199505.gz"
"25043"	"they"	"maintain"	" But some Indian activists and historians are unswayed. Disney, they maintain, has distorted the story of Pocahontas, undermining not only her memory, but the history held precious by the 1,000 remaining members of her Powhatan nation. The tribe carries the name of Pocahontas' father. </P> "	"nyt_eng_199506.gz"
"26541"	"they"	"maintain"	" Since then, some leading Sun Belt senators have circulated alternative formulas and tried to make their case with the leadership. The status quo, they maintain, will not do. </P> "	"nyt_eng_199506.gz"
"27476"	"they"	"maintain"	" At a time of growing concern about corporations' accountability to the people who own their stock, many shareholders and experts in corporate governance believe that Smale has a chance to define a job that should be much more common. The existence of a separate chairman, drawn from outside a company's executive ranks, and the measure of accountability it adds, they maintain, will over the long term improve American competitiveness in the world marketplace. At the least, they reason, it should prompt boards to take faster action when a chief executive or a corporate plan isn't measuring up. </P> "	"nyt_eng_199507.gz"
"31617"	"they"	"maintain"	" Officials in New Jersey are lining up against increases as they have in the past, fearful of angering their constituents, who use the services more than New Yorkers do. But many of their New York counterparts favor raising at least some of the tolls or the fare because, they maintain, these fees are being kept artificially low. </P> "	"nyt_eng_199508.gz"
"38727"	"they"	"maintain"	" Opponents of the amendment say voters should not throw the baby out with the bath water. Every effort should be made to weed out unnecessary or outdated programs, they maintain, but the mandates remain a useful tool to establish uniform economic and social policies that local governing bodies might otherwise neglect. </P> "	"nyt_eng_199511.gz"
"42285"	"they"	"maintain"	" It's true that many Russians doubt that the apocalypse looms. Voters can opt for the communists, they maintain, but not for communism. </P> "	"nyt_eng_199512.gz"
"42343"	"they"	"maintain"	" It's true that many Russians doubt that the apocalypse looms. Voters can opt for the communists, they maintain, but not for communism. </P> "	"nyt_eng_199512.gz"
"43429"	"they"	"maintain"	" The regulars say they come because they're hooked on bingo, they love the companionship (Donnye McGowan and Wyneth Christian, for instance, have become such good friends that they exchange Christmas presents and do errands for each other) and they're drawn by the idea of winning. And, they maintain, it's cheap entertainment. </P> "	"nyt_eng_199512.gz"
"44094"	"they"	"maintain"	" Aides to his rivals say the reason the Forbes camp is not offering an explanation of how his strategy will work is that there is none. In the end, they maintain, Republican primary voters simply will not nominate for president a man who has never held public office. </P> "	"nyt_eng_199512.gz"
"44098"	"they"	"maintain"	" Aides to his rivals say the reason the Forbes camp is not offering an explanation of how his strategy will work is that there is none. In the end, they maintain, Republican primary voters simply will not nominate for president a man who has never held public office. </P> "	"nyt_eng_199512.gz"
