"pronoun"	"verb"	"context"	"filename"
"5972"	"he"	"married"	" One year older than Henry was William (1842-1910), portrayed in his sister's biography as the most likable of the Jameses and the only one endowed with a sense of humor. Although not quite a dandy and certainly no womanizer, he was something of a ladies' man who glittered in New York's most elevated social scene. Unlike his siblings, he married, with the apparent attainment of happiness. </P> "	"nyt_eng_199410.gz"
"17810"	"they"	"married"	" Eventually, they married, with Lui designing software in their tiny Manhattan apartment, while Ms. Wu pursued an international career as a concert pianist. </P> "	"nyt_eng_199503.gz"
"18086"	"they"	"married"	" Eventually, they married, with Lui designing software in their tiny Manhattan apartment, while Ms. Wu pursued an international career as a concert pianist. </P> "	"nyt_eng_199503.gz"
"23301"	"he"	"married"	" In 1884, he married, but while he and his wife, Constance, had two boys, his true nature would be awakened in 1892, when he met Lord Alfred Douglas, son of the Marquess of Queensberry. </P> "	"nyt_eng_199505.gz"
"44187"	"they"	"married"	" For use by clients of the New York Times News Service </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960102.0150 type=advis > <DATELINE>  (BC-HEARST-FEATURE-BUDGET-HNS) </DATELINE> <TEXT> Tuesday, Jan. 2, 1996  c.1995 Hearst News Service  The Hearst News Service will file the following stories for clients of the New York Times News Service for Wednesday. If you have questions, contact Judy Holland or Eric Rosenberg at 202-298-6920 or 202-298-6320.  (Slug includes the HNS designation.)  NATIONAL NEWS (``a'' category)  JORDAN-HEARTBREAK (San Francisco) _ Nearly three weeks after San Francisco's voters decided they didn't want Frank Jordan to lead the city for another four years, the one-term mayor described his Election Day fate as a ``heart-breaker.'' By RACHEL GORDON.  DANGEROUS-DOGS (San Francisco) _ Dangerous canines _ often trained for dog fights or as drug dealers' weapons _ roam San Francisco's public housing projects, endangering tenants and opening the city's Housing Authority to costly litigation. By LESLIE GOLDBERG.  MILLENNIUM-CELEBRATION (San Francisco) _ The New Year's Eve party spread over seven square blocks of San Francisco waterfront Sunday night was just a trial run for what the promoter intends to be the West Coast New Year's celebration for the new millennium, Dec. 31, 1999. By GEORGE RAINE.  RABIES-CONTROL (San Antonio) _ The skies over much of Texas will be filled later this week with bright yellow airplanes and falling biscuits as health officials launch the second phase of a massive campaign to control rabies in wild animals. By DON FINLEY.  BUSINESS &AMP; FINANCIAL NEWS (``f'' category)  EARTHQUAKE-INSURANCE (Sacramento, Calif.) _ Insurance companies can begin offering scaled-down earthquake insurance policies in California on Monday under a new law aimed at coaxing insurers to resume issuing homeowners policies. By STEVEN A. CAPPS.  EVOTE-PROGRAM (San Francisco) _ Marilyn Davis doesn't look like a revolutionary. But she has written a program called eVote that could one day replace every Congress and city council, not to mention PTA, with direct democracy based on e-mail. By TOM ABATE.  LIFESTYLE\FEATURES (``l'' category)  BABY-BOOMERS (San Francisco) _ In the 1950s, they ducked under desks during atomic bomb drills and played with Hula Hoops. A decade later, they took to the streets and campuses to protest war and poverty. In the 1970s and 1980s, they married, formed double-income households and had children late. In the 1990s, they bought PCs and surfed the Internet. By ANNIE NAKAO.  SPORTS (``s'' category)  FBN-REVIEW (San Francisco) _ As long as games are played and scores are kept, there are going to be winners and there are going to be losers. There is no shortage of either in the NFL this season, from (r)A(y) Rhodes to Zzzzzz, the sound of fans sleeping through, or sleeping off, a Jets game. By JOHN CRUMPACKER.  FBN-YOUNG (San Francisco) _ Of all the things that have been said about Steve Young over the years _ solid citizen, great player, lousy singer _ rarely is his record as a comeback quarterback mentioned. By JOHN CRUMPACKER.  POACHING-LAWS (San Francisco) _ California is suddenly the worst place in America to be a wildlife poacher. A new law will take effect on Jan. 1 that raises the maximum punishment to $30,000 and a year in jail, per offense, for illegally killing and selling fish or wildlife. By TOM STIENSTRA. </TEXT> </DOC> <DOC id=NYT_ENG_19960102.0151 type=story > <HEADLINE> DYING MAN'S SUIT PITS PRIVACY LAW AGAINST STATE BAN </HEADLINE> <DATELINE> WEST PALM BEACH, FLa. (BC-CANCER-LAWSUIT-COX) </DATELINE> <TEXT> "	"nyt_eng_199601.gz"
"44216"	"they"	"married"	" In the 1950s, they ducked under desks during atomic bomb drills and played with Hula Hoops. A decade later, they took to the streets and campuses to protest war and poverty. In the 1970s and 1980s, they married, formed double-income households and had children late. In the 1990s, they bought PCs and surfed the Internet. </P> "	"nyt_eng_199601.gz"
"44293"	"they"	"married"	" In the 1950s, they ducked under desks during atomic bomb drills and played with Hula Hoops. A decade later, they took to the streets and campuses to protest war and poverty. In the 1970s and 1980s, they married, formed double-income households and had children late. In the 1990s, they bought PCs and surfed the Internet. </P> "	"nyt_eng_199601.gz"
"58251"	"he"	"married"	" Taking a degree in English from UT ('53), he married, began raising a family, became a salesman. </P> "	"nyt_eng_199605.gz"
"73349"	"they"	"married"	" In time, Izzy Waldbaum asked to carry the pail home for her. That was their courtship. When he was 28 and she was 21, they married, and Julia went to work in the store. </P> "	"nyt_eng_199610.gz"
"77682"	"she"	"married"	" At 23, she married, hoping that marriage would soothe her fears. But her first baby strangled to death during birth, the umbilical cord wrapped around his neck. </P> "	"nyt_eng_199611.gz"
