"pronoun"	"verb"	"context"	"filename"
"61"	"I"	"mean"	" When cross-examined about inconsistencies between his testimony and what he told police, Tanner responded: ``I don't remember. I really don't. Two people that you knew are dead, I mean, what do you remember from that? You just know they are dead from that day.'' </P> "	"nyt_eng_199407.gz"
"79"	"I"	"mean"	" ``This year is different,'' said Ivanisevic. ``I mean, I'm keeping the level. I'm confident, I mean, I'm playing Pete and I'm playing better than I did two years ago. </P> "	"nyt_eng_199407.gz"
"210"	"I"	"mean"	" ``One of the things that obviously was discussed was, I mean, wouldn't it be better to get it out early, and wouldn't it be better if something came out that you could deal with, and let's see how the American people would react,'' Blair said. ``When I was trying lawsuits and I knew that my side had a big weak spot in it, I'd rather be the one to bring it out to the jury than let my opponent pull it out his way.'' </P> "	"nyt_eng_199407.gz"
"1531"	"I"	"mean"	" ``I thought, why are you doing this?'' he said. ``We're making money, I mean, all of us. In my estimation, that meeting and what came out of it was the end of rhythm-and-blues.'' </P> "	"nyt_eng_199407.gz"
"1751"	"I"	"mean"	" ``Well, I mean, to listen to some of the hearings, we are the Anti-Christ,'' Don Ohlmeyer, president of NBC West Coast, complained to reporters during last week's press tour held in the Los Angeles-area community of Universal City. </P> "	"nyt_eng_199407.gz"
"1752"	"I"	"mean"	" ``Well, I mean, to listen to some of the hearings, we are the Anti-Christ,'' Don Ohlmeyer, president of NBC West Coast, complained to reporters during last week's press tour held in the Los Angeles-area community of Universal City. </P> "	"nyt_eng_199407.gz"
"1816"	"I"	"mean"	" ``I thought, why are you doing this?'' he said. ``We're making money, I mean, all of us. In my estimation, that meeting and what came out of it was the end of rhythm-and-blues.'' </P> "	"nyt_eng_199407.gz"
"2455"	"I"	"mean"	" Taking care of the tigers is a constant job, Taylor said, even during the off-season when the circus is in winter quarters in Florida. ``I have to care for the animals myself, because I don't trust anyone else to do it -- right, I mean,'' he said. ``It's just better when I stay there and do it myself.'' </P> "	"nyt_eng_199408.gz"
"3134"	"I"	"mean"	" Number one, yes, I mean, to talk about we really need to slow all this up, we need another second opinion, ignores almost 75 years of debate and discussion about this. And second of all, of course your perspective about whether or not we need to stop or we need to block or we need to filibuster or whatever it is that we do, depends upon the situation of yourself and your family. </P> "	"nyt_eng_199408.gz"
"3723"	"I"	"mean"	" As they are leaving, a chubby youth rushes up to the actor on the sidewalk and stammers, ``You're Claude-Jean, I mean, Jean-(italics)Claude(end italics)Van Damme. Could I have my picture taken with you?'' His mother, barely less excited, holds up an Instamatic, while the boy slips his arm around the actor's waist. </P> "	"nyt_eng_199408.gz"
"3957"	"I"	"mean"	" So I was glad to see Jules pronounced a living treasure by Halberstam, and wasn't hurt at all about not getting the same honor. Look, I mean, if you're really a living treasure, you don't need somebody to tell you, do you? Who cares that people who confer the prize don't always get it right? </P> "	"nyt_eng_199409.gz"
"3985"	"I"	"mean"	" So I was glad to see Jules pronounced a living treasure by Halberstam, and wasn't hurt at all about not getting the same honor. Look, I mean, if you're really a living treasure, you don't need somebody to tell you, do you? Who cares that people who confer the prize don't always get it right? </P> "	"nyt_eng_199409.gz"
"4115"	"I"	"mean"	" So I was glad to see Jules pronounced a living treasure by Halberstam, and wasn't hurt at all about not getting the same honor. Look, I mean, if you're really a living treasure, you don't need somebody to tell you, do you? Who cares that people who confer the prize don't always get it right? </P> "	"nyt_eng_199409.gz"
"4672"	"I"	"mean"	" GATES: I did not want the job. Imade it clear immediately that I was committed to Microsoft and so we talked abouth other people in the industry. A lot of what we talked about was ways that IBM could be made stronger. Helping IBM to be healthy is a good thing for the industry, I mean, it's no benefit to anyone to see IBM in trouble. </P> "	"nyt_eng_199409.gz"
"5075"	"I"	"mean"	" ``The normal idea of Haitian policemen of getting a crowd's attention is to fire two rounds in the air,'' said one senior Pentagon official at a press briefing on Monday, describing one confrontation when a crowd surged out of control. ``So, I mean, this is not directed activity; this is just a Haitian policeman responding as he was trained.'' </P> "	"nyt_eng_199409.gz"
"5100"	"I"	"mean"	" ``The normal idea of Haitian policemen of getting a crowd's attention is to fire two rounds in the air,'' said one senior Pentagon official at a press briefing on Monday, describing one confrontation when a crowd surged out of control. ``So, I mean, this is not directed activity; this is just a Haitian policeman responding as he was trained.'' </P> "	"nyt_eng_199409.gz"
"5504"	"I"	"mean"	" Short shrugs, and aging only for a split second, says: ``You can't do comedy like this and not face the possibility that you're going to look like a complete jerk going out there that far. And so you can't worry about risk. If you did, well, I mean, you'd never do anything.'' </P> "	"nyt_eng_199409.gz"
"5809"	"I"	"mean"	" Warming quickly to his role as media jester, the judge ad-libbed a one-liner when the number of the first juror turned out to be that of O.J.'s old football jersey. Later he advised potential jurors to distract themselves from O.J. news by watching ``The Simpsons'' -- ``the TV show, I mean,'' he quipped -- and listening to Howard Stern. </P> "	"nyt_eng_199410.gz"
"6373"	"I"	"mean"	" Singel has apologized profusely for that decision, in which he voted with a 4-1 majority last year to release McFadden after 24 years in jail. Despite assurances that McFadden had rehabilitated in prison, Singel called his vote ``one of the worst decisions of my career. No, I mean, the worst decision of my career.'' </P> "	"nyt_eng_199410.gz"
"6380"	"I"	"mean"	" Singel has apologized for that decision, in which he voted with a 4-to-1 majority last year to release McFadden after 24 years in jail on assurances that McFadden had been rehabilitated. Singel called his vote ``one of the worst decisions of my career -- no, I mean, the worst decision of my career.'' </P> "	"nyt_eng_199410.gz"
"6608"	"I"	"mean"	" ``The fact that (`NBK') did well, I mean, that doesn't hurt my situation any,'' Tarantino acknowledged with an ironic laugh. ``But other than the fact that it got my name out there for about a month... </P> "	"nyt_eng_199410.gz"
"6929"	"I"	"mean"	" ``I said that I didn't make the movie for kids, but I also didn't make it for adults. I just made it for anyone that ever had a (crummy)'' -- Smith actually used a pejorative unprintable in a family newspaper -- ``job. So, I mean, that covers the spectrum from age 16 to 60.'' </P> "	"nyt_eng_199410.gz"
"6995"	"I"	"mean"	" ``William Gates gave you (the opposite) impression Arthur did,'' Gilbert recalled. ``When you first see him, he's like a boy-man. At 14 years old, I mean, he's backhand stuffing, just playing a whole different ball game.'' </P> "	"nyt_eng_199410.gz"
"7787"	"I"	"mean"	" These come in handy because sometimes the Tooth Fairy is sooo tired, she often doesn't remember, er, I mean, can't manage to get there until the following night. </P> "	"nyt_eng_199410.gz"
"7946"	"I"	"mean"	" ``Richards. I like how she speaks out,'' Jackson said. ``And I think she knows that it's hard out here. With kids, I mean, and trying to work, and trying to keep your babies out of trouble. Just, you know, trying to live.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941102.0133 type=story > <HEADLINE> ITALIANS LUST FOR RETURN OF BELOVED BORDELLOS </HEADLINE> <DATELINE> ROME  (BC-BROTHELS-COMEBACK-INDEPENDENT) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"8405"	"I"	"mean"	" Asked in a five-hour interview this fall what he had learned as governor, he replied: ``Oh, God, I'd have to go to the diary. I can -- I learn every day. Oh, I mean, what can I tell you? I mean, I'm not sure I can distill it down to, I've learned a lot about communication. I've learned a lot about how difficult it is. I've learned that the only way to communicate successfully,'' as a governor, ``is simplicity and reiteration. Constant reiteration of simple ideas. I have also decided I'm not capable of doing it.'' </P> "	"nyt_eng_199411.gz"
"8442"	"I"	"mean"	" On the other hand, Capriati's new coach is Jose Higueras, a baseline specialist. ``She'll probably go with what she does best,'' Davenport said. ``I watched her practice. She's hitting the ball, I mean, unbelievable.'' </P> "	"nyt_eng_199411.gz"
"8490"	"I"	"mean"	" ``She's hitting the ball, I mean, unbelievable,'' Davenport said. </P> "	"nyt_eng_199411.gz"
"8491"	"I"	"mean"	" She always hit the ball, I mean, unbelievable, but she never had the athleticism of a Seles, or a Graf. She needed to leave the baseline, as much as she needed to leave home. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941110.0026 type=story > <HEADLINE> WILSON SAYS RE-ELECTION IS VOTE OF CONFIDENCE </HEADLINE> <DATELINE> LOS ANGELES  (BC-ELN-CA-GOVRACE-2Takes-LADN) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"8578"	"I"	"mean"	" ``I went on a 27-day business trip with Adam when he was 2{ years old, and I loved that trip. I took him to business dinners, I mean, people had to put up with it. And you know what? Not one person complained. He was a handful, it was great, you know. He was still wearing diapers, I had to change his pants, I was trying to potty train him, I was going to business meetings, flying around. And it was good.'' </P> "	"nyt_eng_199411.gz"
"8592"	"they"	"mean"	" Has the group elevated by Big Government into the middle class only two generations ago already forgotten this? When employee-voters say they want government off their backs, they mean, mostly, they want to pay less tax and get a lot more stuff for it, especially for the income that vaporizes into the deduction ozone every payday. </P> "	"nyt_eng_199411.gz"
"8933"	"I"	"mean"	" ``I don't want them drinking -- I really don't,'' he says. ``If we can do some things to a teen-ager -- take away their driver's license, I mean, that would be a disaster for a teen-ager. There ought to be a price to pay, but I don't want them stained for life.'' </P> "	"nyt_eng_199411.gz"
"10803"	"I"	"mean"	" ``Cowboys, I mean, America's Team. You got the refs, they were probably out there with their Dallas Cowboy underwear on and they were pulling for the Cowboys, too,'' said Spencer, who himself had been called for pass interference earlier in the game. </P> "	"nyt_eng_199412.gz"
"11678"	"I"	"mean"	" ``One of the best reasons why they've won two Super Bowls is their play selection is always good, the way they set up plays and do things,'' Butler said of the Cowboys. ``If we don't give up the big plays, I mean, who knows? We might be undefeated this year. That's been the story of our life this year. The games that we've lost, we've given up not one, not two, but maybe three or four big plays.'' </P> "	"nyt_eng_199501.gz"
"12336"	"I"	"mean"	" ``A lot of people said that to me in college: `Why did you stay here? Why don't you leave?''' said Brien, who grew up in nearby Danville. ``But if you fly around the country and land in the Bay Area, I mean, why leave? You have everything in the world. The people are great, the skiing, the ocean. It's a beautiful city. I didn't have any choice (when he was drafted), but this was my No.1 choice. </P> "	"nyt_eng_199501.gz"
"14873"	"I"	"mean"	" In one sense, this time will be no different. Sooner or later, baseball will resume. Major league baseball, I mean, not this replacement game the team owners have conjured up in a hopeless attempt to create the illusion that baseball can get along without its overpaid, spoiled brats of summer. </P> "	"nyt_eng_199502.gz"
"15366"	"I"	"mean"	" He said his salvation was diving ``because I would focus on that, and unfortunately, I mean, if I had a bad workout, I had a bad day. If I had a good workout, I had a good day. I could deal with anything.'' </P> "	"nyt_eng_199502.gz"
"16390"	"I"	"mean"	" But now they realize they need to make more of an effort. There has been little of the preliminary counting of votes that usually precedes such an important vote. And advocates say the leadership has been nonchalant about building support even for the concept. Reminded Wednesday that some of his leadership team opposed term limits, House Speaker Newt Gingrich said, ``Well, I mean, it's a free country.'' </P> "	"nyt_eng_199503.gz"
"16975"	"I"	"mean"	" ``After that first (surgery), most people will just retire,'' he said. ``For me, I mean, I just love the sport.'' </P> "	"nyt_eng_199503.gz"
"17217"	"I"	"mean"	" As Rivera's panel discussed whether the defense team really expected jurors to believe the theory that Fuhrman had planted a bloody glove at Simpson's house to frame him as the killer, Mr. Spence said: ``If you're O.J. Simpson, and your glove is there, and it's got blood on it, I mean, what are you going to do? You going to say, `Well the dog drug it in'? Or are you going to say `The tooth fairy dropped it'?'' </P> "	"nyt_eng_199503.gz"
"17486"	"I"	"mean"	" Asked if believed CNN had a role in ending the Cold War, Turner answers: ''Yes. I think it had a role to play because, ah, well, I mean, I also had a personal role to play and it's hard to separate, hard to separate the two.'' </P> "	"nyt_eng_199503.gz"
"17490"	"I"	"mean"	" About the decline in CNN's ratings, Ted Turner said, ''People in this country don't care much about what happens in the rest of the world unless, I mean, it affects them....'' </P> "	"nyt_eng_199503.gz"
