"pronoun"	"verb"	"context"	"filename"
"23849"	"it"	"means"	" (For you less sophisticated readers, allow me to explain that ``haiku'' is a Japanese word referring to a type of verse that totals 17 syllables in three lines. Literally translated, it means, ``Even Yoko could write this caca.'') </P> "	"nyt_eng_199506.gz"
"31557"	"it"	"means"	" Heck, they would have to resolve their fear of competing on an equal footing with the opposite sex. Mostly, it means, that they will have to justify their prejudice and acts of discrimination. </P> "	"nyt_eng_199508.gz"
"50441"	"he"	"means"	" ``Whatever he says, he means,'' said junior James Vincent, 21, who plans to drive to his home in Hampton, S.C., to vote for Buchanan on Saturday. </P> "	"nyt_eng_199603.gz"
"53198"	"it"	"means"	" ``From now on,'' he says, ``when you flip someone off, it means, `I want a beer,' '' </P> "	"nyt_eng_199603.gz"
"53282"	"it"	"means"	" ``From now on,'' he says, ``when you flip someone off, it means, `I want a beer,' '' </P> "	"nyt_eng_199603.gz"
"69832"	"it"	"means"	" ``Trust.'' Also a sliding term. Coming from Bob Dole, it means, ``I'm not a smooth baby boomer who cheats on his wife.'' From President Clinton, it means, ``I care about everybody, and I'm virile enough to go the distance.'' (See also: ``Bridge to the 21st century.'') </P> "	"nyt_eng_199609.gz"
"75676"	"it"	"means"	" I skipped the weekly cocktail party, which is held at the owner's hillside house on the other end of the island, and decided to test room service. For dinner, there were usually three selections each for appetizer, main course and dessert. I circled my choices on the menu, walked to the road at the end of my steps (about 25 feet from my door), tucked the menu into my mailbox and raised the small yellow flag there. This signals the staff that there's something you want. Employees drive by in mini-mokes throughout the day, checking for yellow flags. When you raise the red flag instead, it means, ``Do not come in for any reason whatsoever.'' </P> "	"nyt_eng_199610.gz"
"93736"	"it"	"means"	" Ammons greets them in their Apurucayali dialect: ``Kitaitirivi, ajininka, ari nopoki.'' Roughly translated, it means, ``Hello, my people, we've arrived.'' </P> "	"nyt_eng_200106.gz"
"93811"	"it"	"means"	" Ammons greets them in their Apurucayali dialect: ``Kitaitirivi, ajininka, ari nopoki.'' Roughly translated, it means, ``Hello, my people, we've arrived.'' </P> "	"nyt_eng_200106.gz"
"93885"	"it"	"means"	" Ammons greets them in their Apurucayali dialect: ``Kitaitirivi, ajininka, ari nopoki.'' Roughly translated, it means, ``Hello, my people, we've arrived.'' </P> "	"nyt_eng_200106.gz"
"94140"	"it"	"means"	" Ammons greets them in their Apurucayali dialect: ``Kitaitirivi, ajininka, ari nopoki.'' Roughly translated, it means, ``Hello, my people, we've arrived.'' </P> "	"nyt_eng_200106.gz"
