"pronoun"	"verb"	"context"	"filename"
"1612"	"I"	"might"	" ``I never criticize the Clinton foreign policy,'' Haley Barbour, the Republican national chairman, said the other day. ``If they had one, I might,'' he added. </P> "	"nyt_eng_199407.gz"
"3526"	"you"	"might"	" Yes, you might, but it's not going to affect this guy. He's already phoning his Hong Kong office. </P> "	"nyt_eng_199408.gz"
"3652"	"you"	"might"	" Yes, you might, but it's not going to affect this guy. He's already phoning his Hong Kong office. </P> "	"nyt_eng_199408.gz"
"15950"	"I"	"might"	" Yeah, well, if I knew them, I might, too. But the show still stinks. Tuesday's episode has Bobbi going out on her first real date in years with an eligible man, Peter (Tony Carreiro), whom she happens to meet when he and Gil are involved in a wreck. </P> "	"nyt_eng_199503.gz"
"16094"	"we"	"might"	" ``You never know about us, we might,'' he said. ``He's sound, and if the weather continues to be rainy, we would definitely take a look at it.'' </P> "	"nyt_eng_199503.gz"
"21404"	"it"	"might"	" Also, since the Clinton administration lost two nominees for attorney general (both women, of course) on the same basis, it might, you know, look a little, er, hypocritical for the GOP to nominate a man for the presidency who has the very same problem in his household record as those women who were judged to be so utterly ruined for public service as a result. </P> "	"nyt_eng_199505.gz"
"23692"	"I"	"might"	" ``If you treat me right, I might,'' a coquettish voice replied. ``I'm temperamental.'' My head swiveled in search of the speaker, but I must admit that for a fraction of a second I stared at that tree in utter disbelief. </P> "	"nyt_eng_199505.gz"
"25667"	"you"	"might"	" ``If you were to take a sweeping look at the aero-political problems affecting the international civil aviation industry worldwide, you might, after analysis, realize that a common denominator in many of these problems was one country _ the United States of America,'' Koki Nagata, vice president of corporate planning for Japan Airlines, said in a speech last month at an Asian airline industry conference in Singapore. The title of the speech was ``The America Problem.'' </P> "	"nyt_eng_199506.gz"
"30822"	"I"	"might"	" ``Well, if you promise to run off with me, I might,'' Clinton told McClendon, who is well into her 80s. ``But otherwise, I can't think of any reason.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950810.0484 type=story > <HEADLINE> BBN WESTERN U.S. NEWSPAPER BUDGET FOR AUG. 10 </HEADLINE> <DATELINE> NETSCAPE-IPO-LESSON (New York) (BC-WEST-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"34804"	"they"	"might"	" So far, Miami is exciting a lot of people. It has a defense to complement its high-powered offense, led by quarterback Dan Marino, whom everybody wants to see win a Super Bowl. According to something called the NFL Power Index, three teams have ratings of 100 or better: the Cowboys, the Niners and, yes, the Dolphins. Great. Let the naive believe that Marino and Co. belong with the other two. Actually, they might, for now. But not in January. </P> "	"nyt_eng_199509.gz"
"48488"	"it"	"might"	" Indeed, it might, Yet to a skeptical American reporter visiting Moscow during another brutal Russian winter, there is an unmistakable feeling that something has been lost, and we may not see this opportunity come again for a very, very long time. </P> "	"nyt_eng_199602.gz"
"56913"	"they"	"might"	" Several principals said Crew's proposal would undermine his campaign to reduce the amount of politics and corruption in the school system. These principals said that if tenure were abolished, they might, for example, have to do political favors to persuade district school boards not to dismiss them. </P> "	"nyt_eng_199604.gz"
"58343"	"I"	"might"	" ``Well, if you promise to run off with me, I might,'' replied a mischievous Clinton. ``Otherwise, I can't think of any reason.'' </P> "	"nyt_eng_199605.gz"
"58353"	"I"	"might"	" ``Well, if you promise to run off with me, I might,'' replied a mischievous Clinton. ``Otherwise, I can't think of any reason.'' </P> "	"nyt_eng_199605.gz"
"68211"	"it"	"might"	" Contemporary science, in these portraits, seems trapped in a world that cannot hope to match the glories of the past and is uncertain about the future, in which technological advances are doomed to create problems as they solve them. This is a world of limits and limitations. And though it may be more difficult to live in, it might, in the long run, be more interesting than the apocalypses and utopias being brewed by millenarians. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960818.0115 type=story > <HEADLINE> MUSIC REVIEW: LACKLUSTER PERFORMANCE AT MOSTLY MOZART </HEADLINE> <DATELINE> NEW YORK (BC-MOSTLY-MOZART-REVIEW-NYT) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
"68494"	"it"	"might"	" Contemporary science, in these portraits, seems trapped in a world that cannot hope to match the glories of the past and is uncertain about the future, in which technological advances are doomed to create problems as they solve them. This is a world of limits and limitations. And though it may be more difficult to live in, it might, in the long run, be more interesting than the apocalypses and utopias being brewed by millenarians. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960821.0132 type=story > <HEADLINE> NETSCAPE STRIKES BACK WITH NEW VERSION OF ITS WEB BROWSER </HEADLINE> <DATELINE>  (BC-CPT-NETSCAPE-SFCHRON) </DATELINE> <TEXT> "	"nyt_eng_199608.gz"
"71951"	"you"	"might"	" If you stand on your tippy toes and listen really carefully, you might, indeed, detect a faint echo of Ms. Austen. Don't strain. </P> "	"nyt_eng_199609.gz"
"87985"	"you"	"might"	" For example, you might, decide not to allow an 8-year-old to use the modem at all without supervision, lest she run up astronomical bills, and to restrict a 12-year-old to sites with an acceptable rating from the Recreational Software Advisory Council, lest he see what we fearlessly call you-know-what. Microsoft Internet Explorer 3.01 is on the Microsoft Plus for Kids CD. </P> "	"nyt_eng_199702.gz"
"88179"	"you"	"might"	" For example, you might, decide not to allow an 8-year-old to use the modem at all without supervision, lest she run up astronomical bills, and to restrict a 12-year-old to sites with an acceptable rating from the Recreational Software Advisory Council, lest he see what we fearlessly call you-know-what. Microsoft Internet Explorer 3.01 is on the Microsoft Plus for Kids CD. </P> "	"nyt_eng_199702.gz"
"103523"	"they"	"might"	" Unless they bolster their rotation with a legitimate No. 2 starter, the Mets may find that giving up Appier for Vaughn was a misguided move. Had they pursued Gonzalez seriously, and added him as their other lusty run producer, and retained Appier, they might, on balance, be ahead of their current state. </P> "	"nyt_eng_200201.gz"
"107973"	"they"	"might"	" Worse, they might, like DaimlerChrysler, decide to submit GAAP accounts and bypass international standards altogether. Although the IASB may lay down any rules it likes, it has no power to enforce them. The body was made to look especially weak recently, when Sen. Carl Levin published an e-mail from Enron, the collapsed energy-trading company, suggesting that its executives expected to be able to pay for influence over the IASB's standards. </P> "	"nyt_eng_200203.gz"
"108342"	"you"	"might"	" Even if you can't tell a goose from a cardinal, you might, on visiting Cave Creek Canyon, want to dangle binoculars around your neck as a form of social blending. I don't recall seeing anyone without them. But we were drawn as much by the magnificent hiking _ 200 miles of trails _ and the region's history. </P> "	"nyt_eng_200203.gz"
"111224"	"you"	"might"	" The first 30-second spot, called ``I helped,'' shows a series of young people saying things like: ``I helped murder families in Colombia _ it was just innocent fun.'' ``I helped a bomber get a fake passport _ all the kids do it.'' ``I helped blow up buildings _ my life, my body.'' It ends with the tag line: ``Drug money supports terror. If you buy drugs, you might, too.'' </P> "	"nyt_eng_200204.gz"
"112905"	"he"	"might"	" The man had come to fetch his youngest son home for lunch. ``Three of my four older kids were part of the altar service. Next year, he might, too,'' he said, pointing to his son, ``and I wouldn't think twice about it. The tragedy has not affected my house.'' </P> "	"nyt_eng_200204.gz"
"114022"	"you"	"might"	" When the noon hunting curfew arrives, you might, if you are stout of heart and strong of limb, spend the rest of the day on a stream with flyrod in hand. You could take a midafternoon nap with your back against a sun-warmed boulder and be ready for rising trout at dusk. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020428.0170 type=story > <HEADLINE> GOTTA GLOVE THEIR CHANCES </HEADLINE> <DATELINE>  (BC-GEN-WALL-COLUMN-LADN) </DATELINE> <TEXT> "	"nyt_eng_200204.gz"
