"pronoun"	"verb"	"context"	"filename"
"13168"	"I"	"never"	" ``I don't teach you recipes. In fact, I never, ever follow a recipe. What you should do is take a recipe, read it and get a mental picture. Then line up your ingredients and get out the equipment you need. The next step is to throw out the recipe. ... From that recipe, really open your mind up and your creativity. The whole secret is experimenting and educating the palate.'' </P> "	"nyt_eng_199501.gz"
"20771"	"I"	"never"	" ``Oh, God, in writing the thing in two nights, I never, never realized the accuracy and acuity of the recall that was waiting there. Absolutely amazing.'' </P> "	"nyt_eng_199504.gz"
"22939"	"they"	"never"	" We met in the locker room and went upstairs for lunch, where Clark signed us in. I felt privileged. One, caddies aren't usually allowed in the locker room. Two, they never, ever, get invited upstairs for lunch at Colonial. </P> "	"nyt_eng_199505.gz"
"35207"	"they"	"never"	" ``Because of their bumbling, they ignored obvious clues,'' Cochran said of police. ``Because of their vanity they very soon pretended to solve this crime and we think implicated an innocent man. And they never, they never, ever looked for anyone else.'' </P> "	"nyt_eng_199509.gz"
"35218"	"they"	"never"	" ``Because of their bumbling, they ignored obvious clues,'' Cochran said of police. ``Because of their vanity they very soon pretended to solve this crime and we think implicated an innocent man. And they never, they never, ever looked for anyone else.'' </P> "	"nyt_eng_199509.gz"
"41424"	"he"	"never"	" He's played by Jeff Bridges with flowing hair, droopy mustache and the squinty-eyed toughness of an early Clint Eastwood. This sardonic Wild Bill rarely goes looking for a fight, but he's always ready for one _ especially if anyone messes with his hat. And no matter what, he never, ever apologizes. </P> "	"nyt_eng_199511.gz"
"41730"	"he"	"never"	" He's played by Jeff Bridges with flowing hair, droopy mustache and the squinty-eyed toughness of an early Clint Eastwood. This sardonic Wild Bill rarely goes looking for a fight, but he's always ready for one _ especially if anyone messes with his hat. And no matter what, he never, ever apologizes. </P> "	"nyt_eng_199512.gz"
"67023"	"he"	"never"	" But it was Littlefield she remained close to. As she puts it: ``Warren has such great taste. And I think he's a great leader, in that when he was under such stress, being attacked from all sides, with people saying he couldn't do anything right, he never, ever once turned on anybody on his staff.'' </P> "	"nyt_eng_199608.gz"
"67066"	"they"	"never"	" Some years later, with the benefit of experience, I was forced to learn a truth that I will never shake. Mothers not only love their unborn children, they never, never forget them. Not even when you've never heard them gurgle, or held them to make the hurt go away. </P> "	"nyt_eng_199608.gz"
"67078"	"he"	"never"	" But it was Littlefield she remained close to. As she puts it: ``Warren has such great taste. And I think he's a great leader, in that when he was under such stress, being attacked from all sides, with people saying he couldn't do anything right, he never, ever once turned on anybody on his staff.'' </P> "	"nyt_eng_199608.gz"
"73911"	"it"	"never"	" A mildly dark realism, mostly about quotidian human deceits, prevails through much of this collection. In ``Mortals,'' an obituary writer loses his job for letting a phony notification of death get past him; he realizes that, in his naive assumption that no one would do such a thing, he had possessed ``a radical failure of appreciation for the varieties of human pleasure.'' In ``The Life of the Body,'' a wonderful story about an English teacher too in love with his own cultivated depth, even the man's insights about ``Bartleby the Scrivener'' _ about man's dehumanizing of man _ can't save him from his own artifice. And while ``The Chain'' feels a bit contrived in its cruel lessons about revenge begetting revenge, it never, unfortunately for the main character, feels false. </P> "	"nyt_eng_199610.gz"
"77896"	"you"	"never"	" By the way, you never, never pour flour. I was reminded of this axiom the other night when I tilted the flour container to pour 2 cups into a large glass measuring cup. </P> "	"nyt_eng_199611.gz"
"104970"	"I"	"never"	" ``Hey, you'd laugh if you saw me around the house,'' Patton says. ``I get out of the work clothes first thing _ and when I'm off on weekends, I never, ever wear makeup.'' </P> "	"nyt_eng_200202.gz"
"109541"	"I"	"never"	" ``In over a decade of doing this work, I never, ever ran into an opponent who stooped to this tactic,'' said Karen Crist, one of Schonher's lawyers. </P> "	"nyt_eng_200203.gz"
"112619"	"I"	"never"	" ``And, to be honest, I never, ever asked them why they called their album `No Quarter,' or why they didn't call me,'' he says. ``I'm beginning not to care, really.'' </P> "	"nyt_eng_200204.gz"
"121748"	"I"	"never"	" ``I don't know why but for some reason, I never, ever stopped thinking of myself as a quarterback,'' Kramer said. ``Thinking back, that was kind of crazy because it would be five years from Pop Warner football until I would get a chance to play quarterback again.'' </P> "	"nyt_eng_200208.gz"
"128128"	"I"	"never"	" ``Twelve years ago, I never, ever would have dreamed I'd be here winning this race right now,'' Worsham said after defeating Bruce Sarver in a lopsided final. ``It's awful special.'' </P> "	"nyt_eng_200210.gz"
"135272"	"I"	"never"	" _ After Giants running back Tiki Barber's third fumble, he said: ``As a player, I never, never feared getting hurt, but I feared being embarrassed. For Tiki Barber, there is no greater pain that what he's done to this team.'' </P> "	"nyt_eng_200212.gz"
