"pronoun"	"verb"	"context"	"filename"
"4215"	"they"	"note"	" Earlier studies, they note, were all based on ``dumb farmer'' assumptions, in which the hewers and tillers, despite climate changes, kept doing whatever they had been doing. But that is not how farmers with access to technology and capital behave when production costs change. They adjust by changing seeds, fertilizers, growing techniques and even crops. </P> "	"nyt_eng_199409.gz"
"7983"	"they"	"note"	" For decades, they note, Mexican politicians were scrupulous in avoiding any hint of partisanship in American politics. But as Mexico and the United States become more integrated, they say, the political rules observed by the two countries are evolving, too. </P> "	"nyt_eng_199411.gz"
"8071"	"they"	"note"	" Supporters of term limits have their eyes on a prize bigger than a Supreme Court ruling. They hope that by making the case for term limits state by state, they will force Congress to propose a constitutional amendment setting a maximum of three terms in the House and two in the Senate. Through a similar process, they note, the Constitution was amended in 1913 to require direct popular election of senators and in 1920 to guarantee voting rights for women. </P> "	"nyt_eng_199411.gz"
"8171"	"they"	"note"	" Through a similar process, they note, the Constitution was amended in 1913 to require direct popular election of senators and in 1920 to guarantee voting rights for women. </P> "	"nyt_eng_199411.gz"
"8649"	"they"	"note"	" The prosecutors who are seeking the death penalty for Hill argue that the court is not helpless. The sentencing judge, they note, can make an independent determination by requesting an investigation of the defendant's character and history that can elicit favorable information. </P> "	"nyt_eng_199411.gz"
"8650"	"they"	"note"	" But to force the defendant to present a defense, they note, could interfere with his right to self-representation. </P> "	"nyt_eng_199411.gz"
"9754"	"they"	"note"	" Cleveland may be good, but the Giants aren't intimidated. Players say privately that the Browns' record is deceptive because the Browns have only beaten one team with a winning record this season. Included in those nine victories, they note, are four games against Cincinnati and Houston. </P> "	"nyt_eng_199412.gz"
"10622"	"they"	"note"	" But others are less sanguine. Ethicon sales are still surging, they note, while U.S. Surgical's are down even more this year. Although analysts said last week's contracts, which take effect in 1995, are positive signs and a testament to Hirsch's tenacity -- and could send the stock up in the near term -- by themselves they don't amount to a reversal of Ethicon's momentum, particularly since both deals are with existing customers. </P> "	"nyt_eng_199412.gz"
"12516"	"we"	"note"	" The FAA's text, we note, presupposes the vitality of contracts governing transportation by air carriers. Section 411(b), 49 U. S. C. App. s1381(b), thus authorizes airlines to ``incorporate by reference in any ticket or other written instrument any of the terms of the contract of carriage'' to the extent authorized by the DOT. And the DOT's regulations contemplate that, upon the January 1, 1983, termination of domestic tariffs, ``ticket contracts'' ordinarily would be enforceable under ``the contract law of the States.'' 47 Fed. Reg. 52129 (1982). Correspondingly, the DOT requires carriers to give passengers written notice of the time period within which they may ``bring an action against the carrier for its acts.'' 14 CFR s253.5(b)(2) (1994).American does not suggest that its contracts lack legal force. American sees the DOT, however, as the exclusively competent monitor of the airline's undertakings. American points to the Department's authority to require any airline, in conjunction with its certification, to file a performance bond conditioned on the airline's ``making appropriate compensation . . . , as prescribed by the (Department), for failure . . . to perform air transportation services in accordance with agreements therefor.'' FAA s401(q)(2), 49 U. S. C. App. s1371(q)(2). (footnote 7) But neither the DOT nor its predecessor, the CAB, has ever construed or applied this provision to displace courts as adjudicators in air carrier contract disputes. Instead, these agencies have read the provision to charge them with a less taxing task: In passing on air carrier fitness under FAA s401(d), 49 U. S. C. App. s1371(d)(1), the DOT and the CAB have used their performance bond authority to ensure that, when a carrier's financial fitness is marginal, funds will be available to compensate customers if the carrier goes under before providing already-paid-for services. See, e. g., U. S. Bahamas Service Investigation, CAB Order 79-11-116, p. 3, 84 CAB Reports 73, 75 (1979) (``We . . . find that Southeast (Airlines) is fit to provide scheduled foreign air transportation. However, because of Southeast's current financial condition its operations present an unacceptable risk of financial loss to consumers. Therefore, we shall require the carrier . . . to procure and maintain a bond for the protection of passengers who have paid for transportation not yet performed.''). </P> "	"nyt_eng_199501.gz"
"13616"	"they"	"note"	" Like many on Wall Street, Roach believes the Fed's policy makers will announce Thursday an increase in short-term rates, the seventh increase in a year. The Fed, they note, deals in expectations of what will happen in the future, not what has already happened. </P> "	"nyt_eng_199501.gz"
