"pronoun"	"verb"	"context"	"filename"
"37"	"he"	"noted"	" Besides, if what he did was so wrong, he noted, why didn't the Wimbledon official who accompanied him say no? </P> "	"nyt_eng_199407.gz"
"284"	"he"	"noted"	" When Mark Twain visited India at the end of the 19th century, he was appalled by much that he saw. The holy city of Benares, he noted, was filled with multi-armed Hindu ``idols.'' ``Crude, misshapen and ugly,'' he wrote, they ``flocked through one's dreams at night, a wild mob of nightmares.'' </P> "	"nyt_eng_199407.gz"
"323"	"he"	"noted"	" ``The vast majority of private facilities are doing a super job in providing a more normal life for residents,'' Sundram said. But the findings at the Flushing home, he noted, disclosed how vulnerable residents can be and exposed shortcomings in the inspection system at the Office of Mental Retardation. </P> "	"nyt_eng_199407.gz"
"381"	"he"	"noted"	" Worrell, after giving up three ninth-inning runs in Wednesday's 4-2 loss to Montreal (his sixth blown save in 13 chances), expressed his puzzlement with being asked to record a two-inning save for the fourth time in his last six appearances. Five other relievers, he noted, again sat unused as set-up men during the eighth. </P> "	"nyt_eng_199407.gz"
"479"	"he"	"noted"	" Six years, he noted, is the cut-off point under the state's statute of limitations. </P> "	"nyt_eng_199407.gz"
"568"	"he"	"noted"	" In addition, he noted, the city has been authorized by the state to sell bonds so it can balance its 1995 budget. </P> "	"nyt_eng_199407.gz"
"626"	"he"	"noted"	" As it is, he noted, Debora's mother is a maid. </P> "	"nyt_eng_199407.gz"
"649"	"they"	"noted"	" And in the entering class of 1992, they noted, there were 41 blacks and 55 Mexican-Americans. </P> "	"nyt_eng_199407.gz"
"658"	"he"	"noted"	" The Roe vs. Wade decision legalizing abortion has been a precedent for 21 years and was reaffirmed by the high court in 1992, he noted, adding: ``That is the law.'' He declined to state his views on how far states may go in regulating abortion rights, telling senators the subject is likely to come before the court again. </P> "	"nyt_eng_199407.gz"
"776"	"she"	"noted"	" (The herbs, she noted, serve more than decorative and culinary purposes. In keeping with Redenta's organic philosophy, rosemary, lavender, society garlic, sage and artemisia ward off pests.) </P> "	"nyt_eng_199407.gz"
"864"	"he"	"noted"	" Similarly he battered away at fears that guaranteed insurance would force the health care system to hold down costs by rationing medical services. For people like Ms. Hicks, he noted, medical care is already limited. </P> "	"nyt_eng_199407.gz"
"896"	"he"	"noted"	" McDougall counseled patience. After all, he noted, it was 50 years after Magellan made the first crossing of the Pacific before the Spanish finally managed to go back in 1571 and establish a permanent base on the other side, at Manila. </P> "	"nyt_eng_199407.gz"
"901"	"he"	"noted"	" McDougall counseled patience. After all, he noted, it was 50 years after Magellan made the first crossing of the Pacific before the Spanish finally managed to go back in 1571 and establish a permanent base on the other side, at Manila. </P> "	"nyt_eng_199407.gz"
"984"	"he"	"noted"	" McDougall counseled patience. After all, he noted, it was 50 years after Magellan made the first crossing of the Pacific before the Spanish finally managed to go back in 1571 and establish a permanent base on the other side, at Manila. </P> "	"nyt_eng_199407.gz"
"993"	"he"	"noted"	" Young voters had more political effect in the 1992 presidential campaign, he noted, when they were energized by the issues of education, abortion and national service. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940718.0236 type=story > <DATELINE>  (BC-MEN-FEDUP-2nd TAKE-SPI) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"1351"	"he"	"noted"	" The entire garage, he noted, should be brightly lit. Too many auxiliary areas, like staircases and passageways, he warned, are normally lit only with the dimmest lights even though these are the most hazardous areas of the home. </P> "	"nyt_eng_199407.gz"
"1552"	"he"	"noted"	" Bond prices improved quickly in the early afternoon after the Treasury Department sold $11 billion in five-year notes for a 6.98 percent yield, he noted, the highest in nearly three years but not exorbitantly expensive. </P> "	"nyt_eng_199407.gz"
"1620"	"he"	"noted"	" The ornaments, scepters and other regalia associated with the Warrior Priest in previously discovered art, he noted, were found in the tomb around the coffin; the priest in art was real, and this was his tomb. He died near the end of the third century. In other tombs, other figures from art were recognized as individuals who had specific religious roles. </P> "	"nyt_eng_199407.gz"
"1843"	"he"	"noted"	" Fifteen clubs would have to vote for a new agreement for it to take effect, and Reinsdorf said he doesn't think there are 15 clubs that would vote for the existing system. The problem would be compounded once a strike started, he noted, because the owners then would need 21 votes, or three-fourths, to approve a settlement. </P> "	"nyt_eng_199407.gz"
"1983"	"he"	"noted"	" Jurmain, who used to work on space shuttle missions with the National Aeronautics and Space Administration, said he got the idea for the doll last year after watching a public television program on sex education for teen-agers. Young women in the program carried eggs and bags of flour to simulate carrying babies. But bags of flour, he noted, do not wake people at night. </P> "	"nyt_eng_199408.gz"
"2117"	"they"	"noted"	" Senators from both parties zeroed in on the Feb. 2 meeting at which Altman announced his decision to recuse himself only to be talked out of it. The only purpose such pressure served, they noted, was to make sure that a politically explosive matter remained in the hands of a close friend of the president's. </P> "	"nyt_eng_199408.gz"
"2208"	"he"	"noted"	" U.S. District Judge Barbara Rothstein, he noted, upheld the law because she said there was no evidence ``that the Seattle City Council was targeting homeless people in a ... discriminatory fashion.'' Crew believes that has not been the case in San Francisco, where he said homeless people have been particularly targeted. </P> "	"nyt_eng_199408.gz"
"2210"	"she"	"noted"	" Lisa Morra, a sixth grader from Basking Ridge, N.J., who has a poster of the ``Saved by the Bell'' crew in her room, said that what makes stars attractive to teen-agers is ``their attitude and the way they act on the show.'' And, she noted, they have to be ``cute.'' </P> "	"nyt_eng_199408.gz"
"2651"	"he"	"noted"	" By comparison, ``Cafe Au Lait'' is gentle, a product of the racially-mixed Paris neighborhood of Belleville where Kassovitz lives and where, he noted, ``Jews, Arabs, Chinese and blacks live together and are forced to get along.'' </P> "	"nyt_eng_199408.gz"
