"pronoun"	"verb"	"context"	"filename"
"235"	"she"	"notes"	" Moreover, she notes, whereas GATT respects national sovereignty, the WTO would be run by a supra-national body of representatives and bureaucrats in Switzerland. As such, she says, it would turn control of the U.S. economy over to a contingent of foreigners accountable to nobody. </P> "	"nyt_eng_199407.gz"
"266"	"she"	"notes"	" Moreover, she notes, whereas GATT respects national sovereignty, the WTO would be run by a supra-national body of representatives and bureaucrats in Switzerland. As such, she says, it would turn control of the U.S. economy over to a contingent of foreigners accountable to nobody. </P> "	"nyt_eng_199407.gz"
"526"	"he"	"notes"	" Their view is justified, according to a new study for the Rand Corp. by Jaime Navarro, a Mexican scholar in Guadalajara. In the 1980s, he notes, Mexican wages collapsed, dropping the average worker's buying power to 1961 levels. No surprise, then, that in one survey more than 70 percent of migrants to the United States cited unemployment, low wages or inability to support a family as their reason for leaving. </P> "	"nyt_eng_199407.gz"
"717"	"he"	"notes"	" This latter point does not sit well with Zimmerman. Smokers, he notes, are on average poorer than nonsmokers. Hence, while the tax might not change consumption by confirmed addicts very much, it would certainly burden people who already bear more than their share of life's economic woes. </P> "	"nyt_eng_199407.gz"
"1414"	"he"	"notes"	" The ``outside world'' in this context means, first, the United States, he notes, since America alone possesses the logistical resources to put together a major relief effort on short notice under the arduous conditions existing in most of Africa. </P> "	"nyt_eng_199407.gz"
"2055"	"he"	"notes"	" Even dumping accusations with little legal merit are expensive to defend against, he notes, and government procedures for calculating fair value are so arbitrary that bizarre outcomes are not unknown. </P> "	"nyt_eng_199408.gz"
"2544"	"he"	"notes"	" That doesn't sound right to White, though. If the idea is to reduce the temptation of richer clubs to bid up the salaries of superstars, he notes, the clubs could always pool a higher percentage of their own revenues. Guth agrees: ``All they're arguing about is who gets the money.'' </P> "	"nyt_eng_199408.gz"
"2559"	"he"	"notes"	" That doesn't sound right to White, though. If the idea is to reduce the temptation of richer clubs to bid up the salaries of superstars, he notes, the clubs could always pool a higher percentage of their own revenues. Guth agrees: ``All they're arguing about is who gets the money.'' </P> "	"nyt_eng_199408.gz"
"2908"	"he"	"notes"	" Reinhardt favors radical change, even flawed change. Both Medicaid and Medicare were riddled with perverse economic incentives when they were created, he notes, but have since been whipped into shape. </P> "	"nyt_eng_199408.gz"
"2959"	"he"	"notes"	" What's more, Feldstein is not ready to lose sleep over the uninsured. No one, he notes, can be turned away at the emergency room door for lack of a Blue Cross card. </P> "	"nyt_eng_199408.gz"
"2960"	"he"	"notes"	" The midterm election will probably add Republicans to the Senate, he notes, deepening the conservative-liberal split on health care with the House and making a nonpartisan compromise far less likely. </P> "	"nyt_eng_199408.gz"
"3075"	"he"	"notes"	" His drive across America, he notes, has reminded him how much religious beliefs are part of everyday American life. He says abortion is wrong, but that it is not the business of government in Washington either to prohibit or to subsidize it. </P> "	"nyt_eng_199408.gz"
"3077"	"he"	"notes"	" His drive across America, he notes, has reminded him how much religious beliefs are part of everyday American life. He says abortion is wrong, but that it is not the business of government in Washington either to prohibit or to subsidize it. </P> "	"nyt_eng_199408.gz"
"3083"	"he"	"notes"	" His drive across America, he notes, has reminded him how much religious beliefs are part of everyday American life. He says abortion is wrong, but that it is not the business of government in Washington either to prohibit or to subsidize it. </P> "	"nyt_eng_199408.gz"
"3085"	"he"	"notes"	" His drive across America, he notes, has reminded him how much religious beliefs are part of everyday American life. He says abortion is wrong, but that it is not the business of government in Washington either to prohibit or to subsidize it. </P> "	"nyt_eng_199408.gz"
